Datas,Duesseldorf
2020/12/30,686.0
2020/12/31,745.0
2021/01/01,646.0
2021/01/02,519.0
2021/01/03,509.0
2021/01/04,555.0
2021/01/05,593.0
2021/01/06,688.0
2021/01/07,723.0
2021/01/08,732.0
2021/01/09,704.0
2021/01/10,660.0
2021/01/11,673.0
2021/01/12,691.0
2021/01/13,637.0
2021/01/14,672.0
2021/01/15,583.0
2021/01/16,528.0
2021/01/17,453.0
2021/01/18,409.0
2021/01/19,351.0
2021/01/20,335.0
2021/01/21,346.0
2021/01/22,
2021/01/23,
2021/01/24,
2021/01/25,369.0
2021/01/26,
2021/01/27,515.0
2021/01/28,511.0
2021/01/29,521.0
2021/01/30,441.0
2021/01/31,462.0
2021/02/01,466.0
2021/02/02,497.0
2021/02/03,557.0
2021/02/04,522.0
2021/02/05,1200.0
2021/02/06,1200.0
2021/02/07,1100.0
2021/02/08,1000.0
2021/02/09,980.0
2021/02/10,940.0
2021/02/11,940.0
2021/02/12,840.0
2021/02/13,800.0
2021/02/14,770.0
2021/02/15,720.0
2021/02/16,730.0
2021/02/17,740.0
2021/02/18,720.0
2021/02/19,680.0
2021/02/20,640.0
2021/02/21,700.0
2021/02/22,690.0
2021/02/23,700.0
2021/02/24,700.0
2021/02/25,710.0
2021/02/26,660.0
2021/02/27,620.0
2021/02/28,630.0
2021/03/01,560.0
2021/03/02,580.0
2021/03/03,580.0
2021/03/04,580.0
2021/03/05,570.0
2021/03/06,580.0
2021/03/07,560.0
2021/03/08,520.0
2021/03/09,530.0
2021/03/10,540.0
2021/03/11,570.0
2021/03/12,580.0
2021/03/13,600.0
2021/03/14,620.0
2021/03/15,570.0
2021/03/16,600.0
2021/03/17,640.0
2021/03/18,670.0
2021/03/19,680.0
2021/03/20,720.0
2021/03/21,660.0
2021/03/22,690.0
2021/03/23,720.0
2021/03/24,780.0
2021/03/25,900.0
2021/03/26,850.0
2021/03/27,890.0
2021/03/28,900.0
2021/03/29,870.0
2021/03/30,870.0
2021/03/31,970.0
2021/04/01,960.0
2021/04/02,1000.0
2021/04/03,1000.0
2021/04/04,970.0
2021/04/05,960.0
2021/04/06,910.0
2021/04/07,940.0
2021/04/08,990.0
2021/04/09,1000.0
2021/04/10,1100.0
2021/04/11,1100.0
2021/04/12,1100.0
2021/04/13,1200.0
2021/04/14,1200.0
2021/04/15,1300.0
2021/04/16,1300.0
2021/04/17,1400.0
2021/04/18,1400.0
2021/04/19,1300.0
2021/04/20,1500.0
2021/04/21,1500.0
2021/04/22,1600.0
2021/04/23,1600.0
2021/04/24,1600.0
2021/04/25,1600.0
2021/04/26,1500.0
2021/04/27,1500.0
2021/04/28,1600.0
2021/04/29,1600.0
2021/04/30,1700.0
2021/05/01,1600.0
2021/05/02,1500.0
2021/05/03,1500.0
2021/05/04,1400.0
2021/05/05,1400.0
2021/05/06,1400.0
2021/05/07,1400.0
2021/05/08,1400.0
2021/05/09,1300.0
2021/05/10,1200.0
2021/05/11,1100.0
2021/05/12,1100.0
2021/05/13,1100.0
2021/05/14,1000.0
2021/05/15,1000.0
2021/05/16,960.0
2021/05/17,900.0
2021/05/18,860.0
2021/05/19,810.0
2021/05/20,790.0
2021/05/21,760.0
2021/05/22,770.0
2021/05/23,740.0
2021/05/24,690.0
2021/05/25,650.0
2021/05/26,630.0
2021/05/27,600.0
2021/05/28,580.0
2021/05/29,580.0
2021/05/30,580.0
2021/05/31,490.0
2021/06/01,470.0
2021/06/02,420.0
2021/06/03,420.0
2021/06/04,380.0
2021/06/05,380.0
2021/06/06,380.0
2021/06/07,340.0
2021/06/08,320.0
2021/06/09,290.0
2021/06/10,270.0
2021/06/11,270.0
2021/06/12,250.0
2021/06/13,230.0
2021/06/14,210.0
2021/06/15,190.0
2021/06/16,180.0
2021/06/17,160.0
2021/06/18,170.0
2021/06/19,140.0
2021/06/20,140.0
2021/06/21,120.0
2021/06/22,110.0
2021/06/23,90.0
2021/06/24,90.0
2021/06/25,90.0
2021/06/26,90.0
2021/06/27,80.0
2021/06/28,80.0
2021/06/29,80.0
2021/06/30,80.0
2021/07/01,90.0
2021/07/02,90.0
2021/07/03,110.0
2021/07/04,100.0
2021/07/05,100.0
2021/07/06,120.0
2021/07/07,120.0
2021/07/08,110.0
2021/07/09,150.0
2021/07/10,180.0
2021/07/11,190.0
2021/07/12,190.0
2021/07/13,210.0
2021/07/14,200.0
2021/07/15,240.0
2021/07/16,270.0
2021/07/17,290.0
2021/07/18,290.0
2021/07/19,270.0
2021/07/20,290.0
2021/07/21,300.0
2021/07/22,330.0
2021/07/23,350.0
2021/07/24,340.0
2021/07/25,360.0
2021/07/26,340.0
2021/07/27,370.0
2021/07/28,380.0
2021/07/29,410.0
2021/07/30,400.0
2021/07/31,410.0
2021/08/01,410.0
2021/08/02,380.0
2021/08/03,390.0
2021/08/04,380.0
2021/08/05,410.0
2021/08/06,420.0
2021/08/07,460.0
2021/08/08,440.0
2021/08/09,410.0
2021/08/10,410.0
2021/08/11,500.0
2021/08/12,540.0
2021/08/13,560.0
2021/08/14,650.0
2021/08/15,660.0
2021/08/16,640.0
2021/08/17,700.0
2021/08/18,760.0
2021/08/19,860.0
2021/08/20,970.0
2021/08/21,1100.0
2021/08/22,1100.0
2021/08/23,1100.0
2021/08/24,1200.0
2021/08/25,1200.0
2021/08/26,1400.0
2021/08/27,1500.0
2021/08/28,1600.0
2021/08/29,1600.0
2021/08/30,1500.0
2021/08/31,1500.0
2021/09/01,1600.0
2021/09/02,1600.0
2021/09/03,1600.0
2021/09/04,1600.0
2021/09/05,1600.0
2021/09/06,1500.0
2021/09/07,1500.0
2021/09/08,1500.0
2021/09/09,1500.0
2021/09/10,1500.0
2021/09/11,1500.0
2021/09/12,1400.0
2021/09/13,1300.0
2021/09/14,1300.0
2021/09/15,1300.0
2021/09/16,1200.0
2021/09/17,1200.0
2021/09/18,1100.0
2021/09/19,1100.0
2021/09/20,1100.0
2021/09/21,1000.0
2021/09/22,1000.0
2021/09/23,1000.0
2021/09/24,990.0
2021/09/25,960.0
2021/09/26,950.0
2021/09/27,880.0
2021/09/28,850.0
2021/09/29,850.0
2021/09/30,830.0
2021/10/01,830.0
2021/10/02,810.0
2021/10/03,750.0
2021/10/04,700.0
2021/10/05,700.0
2021/10/06,690.0
2021/10/07,710.0
2021/10/08,630.0
2021/10/09,700.0
2021/10/10,660.0
2021/10/11,620.0
2021/10/12,620.0
2021/10/13,610.0
2021/10/14,620.0
2021/10/15,660.0
2021/10/16,690.0
2021/10/17,670.0
2021/10/18,630.0
2021/10/19,640.0
2021/10/20,740.0
2021/10/21,800.0
2021/10/22,820.0
2021/10/23,900.0
2021/10/24,910.0
2021/10/25,860.0
2021/10/26,990.0
2021/10/27,1100.0
2021/10/28,1100.0
2021/10/29,1200.0
2021/10/30,1300.0
2021/10/31,1200.0
2021/11/01,1200.0
2021/11/02,1100.0
2021/11/03,1200.0
2021/11/04,1300.0
2021/11/05,1300.0
2021/11/06,1300.0
2021/11/07,1400.0
2021/11/08,1300.0
2021/11/09,1500.0
2021/11/10,1500.0
2021/11/11,1700.0
2021/11/12,1800.0
2021/11/13,1900.0
2021/11/14,1900.0
2021/11/15,1800.0
2021/11/16,2000.0
2021/11/17,2200.0
2021/11/18,2300.0
2021/11/19,2400.0
2021/11/20,2500.0
2021/11/21,2600.0
2021/11/22,2500.0
2021/11/23,2700.0
2021/11/24,2900.0
2021/11/25,3000.0
2021/11/26,3100.0
2021/11/27,3200.0
2021/11/28,2900.0
2021/11/29,3000.0
2021/11/30,3100.0
2021/12/01,3100.0
2021/12/02,3100.0
2021/12/03,3100.0
2021/12/04,3200.0
2021/12/05,3100.0
2021/12/06,3000.0
2021/12/07,3000.0
2021/12/08,3200.0
2021/12/09,3200.0
2021/12/10,3100.0
2021/12/11,3300.0
2021/12/12,3100.0
2021/12/13,3200.0
2021/12/14,2900.0
2021/12/15,2800.0
2021/12/16,2800.0
2021/12/17,2800.0
2021/12/18,2800.0
2021/12/19,2700.0
2021/12/20,2500.0
2021/12/21,2500.0
2021/12/22,2500.0
2021/12/23,2600.0
2021/12/24,2700.0
2021/12/25,2700.0
2021/12/26,2600.0
2021/12/27,2600.0
2021/12/28,2400.0
2021/12/29,2600.0
2021/12/30,2700.0
2021/12/31,3000.0
2022/01/01,3100.0
2022/01/02,3100.0
2022/01/03,3100.0
2022/01/04,3500.0
2022/01/05,3900.0
2022/01/06,4400.0
2022/01/07,4700.0
2022/01/08,4700.0
2022/01/09,5100.0
2022/01/10,5500.0
2022/01/11,6000.0
2022/01/12,6200.0
2022/01/13,6000.0
2022/01/14,6000.0
2022/01/15,5900.0
2022/01/16,5400.0
2022/01/17,5200.0
2022/01/18,5200.0
2022/01/19,5400.0
2022/01/20,5400.0
2022/01/21,5400.0
2022/01/22,5400.0
2022/01/23,5400.0
2022/01/24,4900.0
2022/01/25,5300.0
2022/01/26,6800.0
2022/01/27,9700.0
2022/01/28,12000.0
2022/01/29,16000.0
2022/01/30,19200.0
2022/01/31,23300.0
2022/02/01,27600.0
2022/02/02,30000.0
2022/02/03,32400.0
2022/02/04,34200.0
2022/02/05,35500.0
2022/02/06,36800.0
2022/02/07,37400.0
2022/02/08,38900.0
2022/02/09,40800.0
2022/02/10,42200.0
2022/02/11,43100.0
2022/02/12,44000.0
2022/02/13,44100.0
2022/02/14,43200.0
2022/02/15,43100.0
2022/02/16,42700.0
2022/02/17,41800.0
2022/02/18,40400.0
2022/02/19,40200.0
2022/02/20,37300.0
2022/02/21,35100.0
2022/02/22,33400.0
2022/02/23,31300.0
2022/02/24,29300.0
2022/02/25,27400.0
2022/02/26,27400.0
2022/02/27,24700.0
2022/02/28,21900.0
2022/03/01,19700.0
2022/03/02,17900.0
2022/03/03,17500.0
2022/03/04,17100.0
2022/03/05,16900.0
2022/03/06,16600.0
2022/03/07,15700.0
2022/03/08,15000.0
2022/03/09,15000.0
2022/03/10,15700.0
2022/03/11,16000.0
2022/03/12,15800.0
2022/03/13,15900.0
2022/03/14,15200.0
2022/03/15,15700.0
2022/03/16,15800.0
2022/03/17,16900.0
2022/03/18,17000.0
2022/03/19,17400.0
2022/03/20,17100.0
2022/03/21,16900.0
2022/03/22,17400.0
2022/03/23,18300.0
2022/03/24,19500.0
2022/03/25,20200.0
2022/03/26,21200.0
2022/03/27,21500.0
2022/03/28,21500.0
2022/03/29,22900.0
2022/03/30,23700.0
2022/03/31,24600.0
2022/04/01,25100.0
2022/04/02,25700.0
2022/04/03,25700.0
2022/04/04,25300.0
2022/04/05,25600.0
2022/04/06,25700.0
2022/04/07,25800.0
2022/04/08,26800.0
2022/04/09,27200.0
2022/04/10,26400.0
2022/04/11,25100.0
2022/04/12,24500.0
2022/04/13,24100.0
2022/04/14,25000.0
2022/04/15,24400.0
2022/04/16,24400.0
2022/04/17,22800.0
2022/04/18,22800.0
2022/04/19,21900.0
2022/04/20,21000.0
2022/04/21,21000.0
2022/04/22,22000.0
2022/04/23,21600.0
2022/04/24,21200.0
2022/04/25,21000.0
2022/04/26,20100.0
2022/04/27,18300.0
2022/04/28,17700.0
2022/04/29,18300.0
2022/04/30,17900.0
2022/05/01,17200.0
2022/05/02,16100.0
2022/05/03,15800.0
2022/05/04,15400.0
2022/05/05,15000.0
2022/05/06,15500.0
2022/05/07,14500.0
2022/05/08,14500.0
2022/05/09,13800.0
2022/05/10,13300.0
2022/05/11,12700.0
2022/05/12,12400.0
2022/05/13,12800.0
2022/05/14,12600.0
2022/05/15,11900.0
2022/05/16,11600.0
2022/05/17,11200.0
2022/05/18,11100.0
2022/05/19,10700.0
2022/05/20,11000.0
2022/05/21,10500.0
2022/05/22,9900.0
2022/05/23,9300.0
2022/05/24,8900.0
2022/05/25,9200.0
2022/05/26,8600.0
2022/05/27,8700.0
2022/05/28,8600.0
2022/05/29,8200.0
2022/05/30,7700.0
2022/05/31,7600.0
2022/06/01,7600.0
2022/06/02,7500.0
2022/06/03,7900.0
2022/06/04,7900.0
2022/06/05,7800.0
2022/06/06,7200.0
2022/06/07,7100.0
2022/06/08,7600.0
2022/06/09,7900.0
2022/06/10,8600.0
2022/06/11,8800.0
2022/06/12,8600.0
2022/06/13,8400.0
2022/06/14,8400.0
2022/06/15,9200.0
2022/06/16,9300.0
2022/06/17,9700.0
2022/06/18,10000.0
2022/06/19,10300.0
2022/06/20,9900.0
2022/06/21,10400.0
2022/06/22,11400.0
2022/06/23,12500.0
2022/06/24,12800.0
2022/06/25,12800.0
2022/06/26,12800.0
2022/06/27,13800.0
2022/06/28,14300.0
2022/06/29,15000.0
2022/06/30,15700.0
2022/07/01,16000.0
2022/07/02,16000.0
2022/07/03,16000.0
2022/07/04,17200.0
2022/07/05,17500.0
2022/07/06,17900.0
2022/07/07,18400.0
2022/07/08,18500.0
2022/07/09,18500.0
2022/07/10,18500.0
2022/07/11,18900.0
2022/07/12,19100.0
2022/07/13,19300.0
2022/07/14,19800.0
2022/07/15,19900.0
2022/07/16,19900.0
2022/07/17,19900.0
2022/07/18,19400.0
2022/07/19,18900.0
2022/07/20,19700.0
2022/07/21,18300.0
2022/07/22,18200.0
2022/07/23,18200.0
2022/07/24,18200.0
2022/07/25,17300.0
2022/07/26,16900.0
2022/07/27,16700.0
2022/07/28,16400.0
2022/07/29,16200.0
2022/07/30,16200.0
2022/07/31,16200.0
2022/08/01,14800.0
2022/08/02,14100.0
2022/08/03,14100.0
2022/08/04,13900.0
2022/08/05,14500.0
2022/08/06,14200.0
2022/08/07,14000.0
2022/08/08,13700.0
2022/08/09,13100.0
2022/08/10,12900.0
2022/08/11,11600.0
2022/08/12,11400.0
2022/08/13,11700.0
2022/08/14,11600.0
2022/08/15,10500.0
2022/08/16,10500.0
2022/08/17,10400.0
2022/08/18,10400.0
2022/08/19,10300.0
2022/08/20,10200.0
2022/08/21,10200.0
2022/08/22,9300.0
2022/08/23,9300.0
2022/08/24,9100.0
2022/08/25,8900.0
2022/08/26,8900.0
2022/08/27,9100.0
2022/08/28,8900.0
2022/08/29,8100.0
2022/08/30,8100.0
2022/08/31,7800.0
2022/09/01,7800.0
2022/09/02,7700.0
2022/09/03,7700.0
2022/09/04,7700.0
2022/09/05,7100.0
2022/09/06,6900.0
2022/09/07,6700.0
2022/09/08,6600.0
2022/09/09,6600.0
2022/09/10,6600.0
2022/09/11,6600.0
2022/09/12,6000.0
