Datas,Biella
2021/02/13,26
2021/02/14,4
2021/02/15,20
2021/02/16,34
2021/02/17,25
2021/02/18,3
2021/02/19,73
2021/02/20,29
2021/02/21,18
2021/02/22,29
2021/02/23,52
2021/02/24,51
2021/02/25,41
2021/02/26,27
2021/02/27,36
2021/02/28,18
2021/03/01,7
2021/03/02,37
2021/03/03,48
2021/03/04,40
2021/03/05,37
2021/03/06,39
2021/03/07,13
2021/03/08,13
2021/03/09,50
2021/03/10,45
2021/03/11,49
2021/03/12,59
2021/03/13,48
2021/03/14,18
2021/03/15,17
2021/03/16,54
2021/03/17,51
2021/03/18,49
2021/03/19,54
2021/03/20,34
2021/03/21,16
2021/03/22,16
2021/03/23,54
2021/03/24,51
2021/03/25,36
2021/03/26,13
2021/03/27,65
2021/03/28,2
2021/03/29,20
2021/03/30,55
2021/03/31,78
2021/04/01,97
2021/04/02,42
2021/04/03,34
2021/04/04,21
2021/04/05,17
2021/04/06,24
2021/04/07,35
2021/04/08,46
2021/04/09,36
2021/04/10,26
2021/04/11,28
2021/04/12,14
2021/04/13,34
2021/04/14,48
2021/04/15,38
2021/04/16,28
2021/04/17,4
2021/04/18,4
2021/04/19,58
2021/04/20,15
2021/04/21,36
2021/04/22,35
2021/04/23,41
2021/04/24,36
2021/04/25,17
2021/04/26,11
2021/04/27,36
2021/04/28,61
2021/04/29,47
2021/04/30,35
2021/05/01,50
2021/05/02,16
2021/05/03,9
2021/05/04,30
2021/05/05,42
2021/05/06,51
2021/05/07,49
2021/05/08,36
2021/05/09,14
2021/05/10,9
2021/05/11,27
2021/05/12,46
2021/05/13,33
2021/05/14,25
2021/05/15,20
2021/05/16,7
2021/05/17,7
2021/05/18,19
2021/05/19,40
2021/05/20,26
2021/05/21,26
2021/05/22,14
2021/05/23,10
2021/05/24,4
2021/05/25,14
2021/05/26,18
2021/05/27,16
2021/05/28,11
2021/05/29,5
2021/05/30,9
2021/05/31,4
2021/06/01,14
2021/06/02,10
2021/06/03,3
2021/06/04,8
2021/06/05,7
2021/06/06,5
2021/06/07,5
2021/06/08,5
2021/06/09,5
2021/06/10,5
2021/06/11,4
2021/06/12,0
2021/06/13,0
2021/06/14,1
2021/06/15,2
2021/06/16,2
2021/06/17,4
2021/06/18,2
2021/06/19,1
2021/06/20,0
2021/06/21,1
2021/06/22,1
2021/06/23,1
2021/06/24,2
2021/06/25,2
2021/06/26,1
2021/06/27,0
2021/06/28,1
2021/06/29,2
2021/06/30,3
2021/07/01,0
2021/07/02,1
2021/07/03,0
2021/07/04,0
2021/07/05,2
2021/07/06,0
2021/07/07,1
2021/07/08,1
2021/07/09,1
2021/07/10,0
2021/07/11,1
2021/07/12,0
2021/07/13,2
2021/07/14,2
2021/07/15,3
2021/07/16,3
2021/07/17,4
2021/07/18,0
2021/07/19,0
2021/07/20,4
2021/07/21,0
2021/07/22,5
2021/07/23,2
2021/07/24,3
2021/07/25,1
2021/07/26,0
2021/07/27,4
2021/07/28,2
2021/07/29,7
2021/07/30,4
2021/07/31,10
2021/08/01,4
2021/08/02,2
2021/08/03,5
2021/08/04,4
2021/08/05,13
2021/08/06,10
2021/08/07,9
2021/08/08,8
2021/08/09,1
2021/08/10,8
2021/08/11,9
2021/08/12,12
2021/08/13,1
2021/08/14,15
2021/08/15,7
2021/08/16,0
2021/08/17,13
2021/08/18,19
2021/08/19,16
2021/08/20,14
2021/08/21,12
2021/08/22,9
2021/08/23,1
2021/08/24,17
2021/08/25,6
2021/08/26,5
2021/08/27,9
2021/08/28,12
2021/08/29,12
2021/08/30,1
2021/08/31,13
2021/09/01,7
2021/09/02,8
2021/09/03,6
2021/09/04,13
2021/09/05,7
2021/09/06,0
2021/09/07,9
2021/09/08,15
2021/09/09,10
2021/09/10,1
2021/09/11,9
2021/09/12,12
2021/09/13,1
2021/09/14,8
2021/09/15,8
2021/09/16,1
2021/09/17,10
2021/09/18,8
2021/09/19,3
2021/09/20,8
2021/09/21,12
2021/09/22,15
2021/09/23,13
2021/09/24,10
2021/09/25,8
2021/09/26,6
2021/09/27,4
2021/09/28,12
2021/09/29,12
2021/09/30,8
2021/10/01,8
2021/10/02,3
2021/10/03,7
2021/10/04,1
2021/10/05,5
2021/10/06,5
2021/10/07,4
2021/10/08,1
2021/10/09,3
2021/10/10,2
2021/10/11,1
2021/10/12,4
2021/10/13,2
2021/10/14,8
2021/10/15,5
2021/10/16,4
2021/10/17,1
2021/10/18,4
2021/10/19,6
2021/10/20,5
2021/10/21,3
2021/10/22,3
2021/10/23,8
2021/10/24,4
2021/10/25,4
2021/10/26,4
2021/10/27,4
2021/10/28,4
2021/10/29,6
2021/10/30,8
2021/10/31,6
2021/11/01,0
2021/11/02,5
2021/11/03,30
2021/11/04,11
2021/11/05,16
2021/11/06,7
2021/11/07,12
2021/11/08,5
2021/11/09,14
2021/11/10,18
2021/11/11,17
2021/11/12,16
2021/11/13,19
2021/11/14,11
2021/11/15,6
2021/11/16,10
2021/11/17,19
2021/11/18,15
2021/11/19,10
2021/11/20,19
2021/11/21,14
2021/11/22,3
2021/11/23,28
2021/11/24,20
2021/11/25,15
2021/11/26,27
2021/11/27,29
2021/11/28,23
2021/11/29,25
2021/11/30,26
2021/12/01,34
2021/12/02,44
2021/12/03,52
2021/12/04,45
2021/12/05,25
2021/12/06,41
2021/12/07,45
2021/12/08,46
2021/12/09,51
2021/12/10,74
2021/12/11,67
2021/12/12,48
2021/12/13,62
2021/12/14,91
2021/12/15,95
2021/12/16,147
2021/12/17,80
2021/12/18,94
2021/12/19,55
2021/12/20,74
2021/12/21,99
2021/12/22,104
2021/12/23,170
2021/12/24,152
2021/12/25,116
2021/12/26,47
2021/12/27,208
2021/12/28,341
2021/12/29,398
2021/12/30,486
2021/12/31,519
2022/01/01,328
2022/01/02,75
2022/01/03,231
2022/01/04,994
2022/01/05,582
2022/01/06,510
2022/01/07,287
2022/01/08,744
2022/01/09,388
2022/01/10,457
2022/01/11,800
2022/01/12,660
2022/01/13,593
2022/01/14,577
2022/01/15,580
2022/01/16,721
2022/01/17,512
2022/01/18,816
2022/01/19,655
2022/01/20,651
2022/01/21,667
2022/01/22,614
2022/01/23,439
2022/01/24,467
2022/01/25,860
2022/01/26,601
2022/01/27,477
2022/01/28,448
2022/01/29,444
2022/01/30,301
2022/01/31,426
2022/02/01,462
2022/02/02,312
2022/02/03,301
2022/02/04,310
2022/02/05,244
2022/02/06,138
2022/02/07,182
2022/02/08,266
2022/02/09,232
2022/02/10,193
2022/02/11,177
2022/02/12,147
2022/02/13,117
2022/02/14,146
2022/02/15,160
2022/02/16,145
2022/02/17,151
2022/02/18,132
2022/02/19,94
2022/02/20,68
2022/02/21,83
2022/02/22,116
2022/02/23,99
2022/02/24,68
2022/02/25,75
2022/02/26,77
2022/02/27,35
2022/02/28,47
2022/03/01,54
2022/03/02,60
2022/03/03,61
2022/03/04,62
2022/03/05,57
2022/03/06,34
2022/03/07,54
2022/03/08,69
2022/03/09,57
2022/03/10,63
2022/03/11,61
2022/03/12,64
2022/03/13,41
2022/03/14,69
2022/03/15,90
2022/03/16,90
2022/03/17,88
2022/03/18,63
2022/03/19,110
2022/03/20,61
2022/03/21,84
2022/03/22,88
2022/03/23,73
2022/03/24,67
2022/03/25,96
2022/03/26,79
2022/03/27,53
2022/03/28,96
2022/03/29,113
2022/03/30,92
2022/03/31,75
2022/04/01,97
2022/04/02,76
2022/04/03,75
2022/04/04,109
2022/04/05,101
2022/04/06,100
2022/04/07,103
2022/04/08,97
2022/04/09,88
2022/04/10,74
2022/04/11,126
2022/04/12,124
2022/04/13,110
2022/04/14,150
2022/04/15,133
2022/04/16,134
2022/04/17,73
2022/04/18,32
2022/04/19,143
2022/04/20,186
2022/04/21,85
2022/04/22,142
2022/04/23,153
2022/04/24,119
2022/04/25,76
2022/04/26,78
2022/04/27,243
2022/04/28,196
2022/04/29,129
2022/04/30,144
2022/05/01,77
2022/05/02,49
2022/05/03,154
2022/05/04,120
2022/05/05,114
2022/05/06,113
2022/05/07,111
2022/05/08,93
2022/05/09,82
2022/05/10,172
2022/05/11,139
2022/05/12,111
2022/05/13,180
2022/05/14,118
2022/05/15,67
2022/05/16,65
2022/05/17,139
2022/05/18,91
2022/05/19,93
2022/05/20,86
2022/05/21,70
2022/05/22,60
2022/05/23,54
2022/05/24,73
2022/05/25,52
2022/05/26,55
2022/05/27,46
2022/05/28,44
2022/05/29,24
2022/05/30,21
2022/05/31,46
2022/06/01,39
2022/06/02,26
2022/06/03,17
2022/06/04,47
2022/06/05,30
2022/06/06,44
2022/06/07,70
2022/06/08,51
2022/06/09,54
2022/06/10,42
2022/06/11,37
2022/06/12,43
2022/06/13,25
2022/06/14,89
2022/06/15,64
2022/06/16,106
2022/06/17,41
2022/06/18,65
2022/06/19,43
2022/06/20,49
2022/06/21,120
2022/06/22,102
2022/06/23,88
2022/06/24,81
2022/06/25,95
2022/06/26,91
2022/06/27,72
2022/06/28,240
2022/06/29,167
2022/06/30,219
2022/07/01,175
2022/07/02,79
2022/07/03,157
2022/07/04,97
2022/07/05,261
2022/07/06,227
2022/07/07,230
2022/07/08,228
2022/07/09,194
2022/07/10,162
2022/07/11,97
2022/07/12,404
2022/07/13,298
2022/07/14,245
2022/07/15,228
2022/07/16,204
2022/07/17,165
2022/07/18,93
2022/07/19,308
2022/07/20,183
2022/07/21,194
2022/07/22,171
2022/07/23,136
2022/07/24,110
2022/07/25,79
2022/07/26,165
2022/07/27,114
2022/07/28,147
2022/07/29,116
2022/07/30,85
2022/07/31,82
2022/08/01,98
2022/08/02,135
2022/08/03,109
2022/08/04,90
2022/08/05,97
2022/08/06,75
2022/08/07,53
2022/08/08,38
2022/08/09,99
2022/08/10,43
2022/08/11,46
2022/08/12,51
2022/08/13,57
2022/08/14,43
2022/08/15,21
2022/08/16,16
2022/08/17,89
2022/08/18,57
2022/08/19,47
2022/08/20,45
2022/08/21,24
2022/08/22,30
2022/08/23,80
2022/08/24,59
2022/08/25,52
2022/08/26,48
2022/08/27,40
2022/08/28,35
2022/08/29,36
2022/08/30,62
2022/08/31,55
2022/09/01,33
2022/09/02,51
2022/09/03,26
2022/09/04,21
2022/09/05,18
2022/09/06,55
2022/09/07,28
2022/09/08,46
2022/09/09,31
2022/09/10,47
2022/09/11,38
2022/09/12,31
2022/09/13,76
2022/09/14,64
2022/09/15,94
2022/09/16,58
2022/09/17,86
2022/09/18,57
2022/09/19,47
2022/09/20,155
2022/09/21,69
2022/09/22,105
2022/09/23,59
2022/09/24,114
2022/09/25,99
2022/09/26,72
2022/09/27,234
2022/09/28,165
2022/09/29,182
2022/09/30,195
2022/10/01,210
2022/10/02,208
2022/10/03,97
