Datas,Catanzaro
2021/02/13,16
2021/02/14,1
2021/02/15,0
2021/02/16,8
2021/02/17,10
2021/02/18,8
2021/02/19,20
2021/02/20,11
2021/02/21,24
2021/02/22,1
2021/02/23,5
2021/02/24,51
2021/02/25,15
2021/02/26,19
2021/02/27,9
2021/02/28,22
2021/03/01,11
2021/03/02,26
2021/03/03,60
2021/03/04,28
2021/03/05,70
2021/03/06,39
2021/03/07,17
2021/03/08,8
2021/03/09,9
2021/03/10,49
2021/03/11,36
2021/03/12,43
2021/03/13,60
2021/03/14,74
2021/03/15,9
2021/03/16,36
2021/03/17,53
2021/03/18,62
2021/03/19,78
2021/03/20,97
2021/03/21,54
2021/03/22,6
2021/03/23,82
2021/03/24,66
2021/03/25,90
2021/03/26,63
2021/03/27,67
2021/03/28,39
2021/03/29,21
2021/03/30,68
2021/03/31,88
2021/04/01,133
2021/04/02,96
2021/04/03,77
2021/04/04,74
2021/04/05,12
2021/04/06,26
2021/04/07,90
2021/04/08,67
2021/04/09,109
2021/04/10,135
2021/04/11,52
2021/04/12,18
2021/04/13,92
2021/04/14,91
2021/04/15,87
2021/04/16,57
2021/04/17,78
2021/04/18,48
2021/04/19,9
2021/04/20,51
2021/04/21,57
2021/04/22,76
2021/04/23,52
2021/04/24,90
2021/04/25,30
2021/04/26,18
2021/04/27,72
2021/04/28,116
2021/04/29,72
2021/04/30,59
2021/05/01,53
2021/05/02,12
2021/05/03,16
2021/05/04,36
2021/05/05,80
2021/05/06,61
2021/05/07,84
2021/05/08,48
2021/05/09,36
2021/05/10,1
2021/05/11,29
2021/05/12,58
2021/05/13,45
2021/05/14,23
2021/05/15,38
2021/05/16,23
2021/05/17,6
2021/05/18,23
2021/05/19,69
2021/05/20,37
2021/05/21,62
2021/05/22,33
2021/05/23,31
2021/05/24,1
2021/05/25,24
2021/05/26,45
2021/05/27,27
2021/05/28,46
2021/05/29,27
2021/05/30,27
2021/05/31,0
2021/06/01,21
2021/06/02,24
2021/06/03,5
2021/06/04,32
2021/06/05,16
2021/06/06,16
2021/06/07,2
2021/06/08,3
2021/06/09,19
2021/06/10,7
2021/06/11,67
2021/06/12,7
2021/06/13,7
2021/06/14,0
2021/06/15,10
2021/06/16,19
2021/06/17,5
2021/06/18,3
2021/06/19,13
2021/06/20,0
2021/06/21,1
2021/06/22,6
2021/06/23,5
2021/06/24,1
2021/06/25,9
2021/06/26,1
2021/06/27,0
2021/06/28,0
2021/06/29,2
2021/06/30,4
2021/07/01,0
2021/07/02,6
2021/07/03,1
2021/07/04,0
2021/07/05,0
2021/07/06,-14
2021/07/07,4
2021/07/08,2
2021/07/09,1
2021/07/10,3
2021/07/11,0
2021/07/12,0
2021/07/13,3
2021/07/14,1
2021/07/15,3
2021/07/16,5
2021/07/17,6
2021/07/18,0
2021/07/19,0
2021/07/20,1
2021/07/21,8
2021/07/22,7
2021/07/23,7
2021/07/24,33
2021/07/25,0
2021/07/26,11
2021/07/27,15
2021/07/28,10
2021/07/29,27
2021/07/30,25
2021/07/31,11
2021/08/01,2
2021/08/02,6
2021/08/03,14
2021/08/04,24
2021/08/05,16
2021/08/06,20
2021/08/07,28
2021/08/08,2
2021/08/09,4
2021/08/10,29
2021/08/11,19
2021/08/12,31
2021/08/13,30
2021/08/14,23
2021/08/15,6
2021/08/16,2
2021/08/17,22
2021/08/18,59
2021/08/19,17
2021/08/20,19
2021/08/21,18
2021/08/22,6
2021/08/23,1
2021/08/24,20
2021/08/25,23
2021/08/26,21
2021/08/27,13
2021/08/28,37
2021/08/29,0
