Datas,Parma
2021/02/13,141
2021/02/14,88
2021/02/15,71
2021/02/16,53
2021/02/17,72
2021/02/18,101
2021/02/19,65
2021/02/20,111
2021/02/21,133
2021/02/22,121
2021/02/23,41
2021/02/24,60
2021/02/25,162
2021/02/26,157
2021/02/27,142
2021/02/28,167
2021/03/01,172
2021/03/02,72
2021/03/03,115
2021/03/04,171
2021/03/05,234
2021/03/06,198
2021/03/07,196
2021/03/08,126
2021/03/09,148
2021/03/10,69
2021/03/11,150
2021/03/12,250
2021/03/13,202
2021/03/14,222
2021/03/15,117
2021/03/16,209
2021/03/17,77
2021/03/18,159
2021/03/19,242
2021/03/20,157
2021/03/21,181
2021/03/22,171
2021/03/23,182
2021/03/24,160
2021/03/25,137
2021/03/26,268
2021/03/27,199
2021/03/28,199
2021/03/29,158
2021/03/30,137
2021/03/31,117
2021/04/01,102
2021/04/02,269
2021/04/03,166
2021/04/04,157
2021/04/05,113
2021/04/06,15
2021/04/07,59
2021/04/08,138
2021/04/09,99
2021/04/10,190
2021/04/11,98
2021/04/12,123
2021/04/13,18
2021/04/14,76
2021/04/15,84
2021/04/16,51
2021/04/17,133
2021/04/18,82
2021/04/19,65
2021/04/20,77
2021/04/21,64
2021/04/22,88
2021/04/23,124
2021/04/24,101
2021/04/25,86
2021/04/26,95
2021/04/27,38
2021/04/28,33
2021/04/29,92
2021/04/30,148
2021/05/01,107
2021/05/02,109
2021/05/03,7
2021/05/04,21
2021/05/05,66
2021/05/06,134
2021/05/07,105
2021/05/08,136
2021/05/09,86
2021/05/10,37
2021/05/11,32
2021/05/12,115
2021/05/13,81
2021/05/14,89
2021/05/15,96
2021/05/16,69
2021/05/17,22
2021/05/18,63
2021/05/19,49
2021/05/20,59
2021/05/21,79
2021/05/22,44
2021/05/23,44
2021/05/24,58
2021/05/25,10
2021/05/26,45
2021/05/27,29
2021/05/28,32
2021/05/29,12
2021/05/30,21
2021/05/31,31
2021/06/01,7
2021/06/02,28
2021/06/03,24
2021/06/04,6
2021/06/05,19
2021/06/06,27
2021/06/07,35
2021/06/08,4
2021/06/09,13
2021/06/10,23
2021/06/11,14
2021/06/12,21
2021/06/13,18
2021/06/14,31
2021/06/15,8
2021/06/16,9
2021/06/17,15
2021/06/18,12
2021/06/19,25
2021/06/20,22
2021/06/21,30
2021/06/22,3
2021/06/23,7
2021/06/24,16
2021/06/25,27
2021/06/26,18
2021/06/27,17
2021/06/28,29
2021/06/29,4
2021/06/30,6
2021/07/01,12
2021/07/02,12
2021/07/03,7
2021/07/04,14
2021/07/05,20
2021/07/06,2
