Datas,Pescara
2021/02/12,133
2021/02/13,268
2021/02/14,69
2021/02/15,308
2021/02/16,329
2021/02/17,161
2021/02/18,192
2021/02/19,271
2021/02/20,105
2021/02/21,227
2021/02/22,118
2021/02/23,137
2021/02/24,160
2021/02/25,279
2021/02/26,234
2021/02/27,84
2021/02/28,299
2021/03/01,45
2021/03/02,60
2021/03/03,241
2021/03/04,188
2021/03/05,187
2021/03/06,112
2021/03/07,252
2021/03/08,39
2021/03/09,75
2021/03/10,95
2021/03/11,274
2021/03/12,151
2021/03/13,69
2021/03/14,27
2021/03/15,90
2021/03/16,41
2021/03/17,82
2021/03/18,197
2021/03/19,61
2021/03/20,65
2021/03/21,99
2021/03/22,30
2021/03/23,39
2021/03/24,85
2021/03/25,42
2021/03/26,66
2021/03/27,39
2021/03/28,47
2021/03/29,34
2021/03/30,21
2021/03/31,66
2021/04/01,10
2021/04/02,57
2021/04/03,30
2021/04/04,53
2021/04/05,5
2021/04/06,36
2021/04/07,16
2021/04/08,25
2021/04/09,64
2021/04/10,10
2021/04/11,31
2021/04/12,17
2021/04/13,6
2021/04/14,66
2021/04/15,17
2021/04/16,48
2021/04/17,22
2021/04/18,8
2021/04/19,6
2021/04/20,18
2021/04/21,21
2021/04/22,30
2021/04/23,9
2021/04/24,7
2021/04/25,11
2021/04/26,6
2021/04/27,19
2021/04/28,22
2021/04/29,7
2021/04/30,27
2021/05/01,7
2021/05/02,13
2021/05/03,19
2021/05/04,4
2021/05/05,29
2021/05/06,2
2021/05/07,33
2021/05/08,9
2021/05/09,7
2021/05/10,0
2021/05/11,22
2021/05/12,9
2021/05/13,21
2021/05/14,21
2021/05/15,12
2021/05/16,12
2021/05/17,0
2021/05/18,5
2021/05/19,11
2021/05/20,4
2021/05/21,6
2021/05/22,2
2021/05/23,5
2021/05/24,2
2021/05/25,5
2021/05/26,0
2021/05/27,6
2021/05/28,6
2021/05/29,2
2021/05/30,6
2021/05/31,0
2021/06/01,6
2021/06/02,2
2021/06/03,6
2021/06/04,6
2021/06/05,4
2021/06/06,0
2021/06/07,4
2021/06/08,25
2021/06/09,12
2021/06/10,23
2021/06/11,2
2021/06/12,1
2021/06/13,2
2021/06/14,3
2021/06/15,1
2021/06/16,1
2021/06/17,0
2021/06/18,-2
2021/06/19,1
2021/06/20,3
2021/06/21,1
2021/06/22,0
2021/06/23,0
2021/06/24,5
2021/06/25,1
2021/06/26,3
2021/06/27,1
2021/06/28,1
2021/06/29,0
2021/06/30,4
2021/07/01,1
2021/07/02,-3
2021/07/03,1
2021/07/04,1
2021/07/05,1
2021/07/06,5
2021/07/07,3
2021/07/08,6
2021/07/09,0
2021/07/10,0
2021/07/11,9
2021/07/12,0
2021/07/13,16
2021/07/14,16
2021/07/15,14
2021/07/16,9
2021/07/17,4
2021/07/18,18
2021/07/19,17
2021/07/20,20
2021/07/21,25
2021/07/22,18
2021/07/23,16
2021/07/24,6
2021/07/25,46
2021/07/26,5
2021/07/27,7
2021/07/28,51
2021/07/29,16
2021/07/30,39
2021/07/31,24
2021/08/01,13
2021/08/02,20
2021/08/03,15
2021/08/04,39
2021/08/05,34
2021/08/06,33
2021/08/07,17
2021/08/08,39
2021/08/09,14
2021/08/10,6
2021/08/11,56
2021/08/12,30
2021/08/13,11
2021/08/14,42
2021/08/15,19
2021/08/16,1
2021/08/17,22
2021/08/18,26
2021/08/19,25
