Datas,Siena
2021/02/13,52
2021/02/14,72
2021/02/15,25
2021/02/16,41
2021/02/17,126
2021/02/18,109
2021/02/19,102
2021/02/20,80
2021/02/21,99
2021/02/22,63
2021/02/23,75
2021/02/24,87
2021/02/25,122
2021/02/26,99
2021/02/27,99
2021/02/28,93
2021/03/01,93
2021/03/02,80
2021/03/03,95
2021/03/04,110
2021/03/05,101
2021/03/06,105
2021/03/07,85
2021/03/08,61
2021/03/09,90
2021/03/10,108
2021/03/11,117
2021/03/12,61
2021/03/13,56
2021/03/14,59
2021/03/15,51
2021/03/16,44
2021/03/17,107
2021/03/18,59
2021/03/19,68
2021/03/20,83
2021/03/21,71
2021/03/22,72
2021/03/23,47
2021/03/24,77
2021/03/25,89
2021/03/26,86
2021/03/27,60
2021/03/28,78
2021/03/29,65
2021/03/30,65
2021/03/31,110
2021/04/01,87
2021/04/02,81
2021/04/03,73
2021/04/04,125
2021/04/05,59
2021/04/06,40
2021/04/07,56
2021/04/08,104
2021/04/09,85
2021/04/10,89
2021/04/11,74
2021/04/12,60
2021/04/13,45
2021/04/14,84
2021/04/15,69
2021/04/16,92
2021/04/17,75
2021/04/18,82
2021/04/19,53
2021/04/20,44
2021/04/21,62
2021/04/22,65
2021/04/23,97
2021/04/24,46
2021/04/25,67
2021/04/26,42
2021/04/27,31
2021/04/28,67
2021/04/29,68
2021/04/30,62
2021/05/01,81
2021/05/02,42
2021/05/03,53
2021/05/04,35
2021/05/05,58
2021/05/06,66
2021/05/07,36
2021/05/08,45
2021/05/09,31
2021/05/10,27
2021/05/11,16
2021/05/12,31
2021/05/13,34
2021/05/14,26
2021/05/15,28
2021/05/16,40
2021/05/17,19
2021/05/18,20
2021/05/19,23
2021/05/20,24
2021/05/21,24
2021/05/22,27
2021/05/23,36
2021/05/24,19
2021/05/25,18
2021/05/26,22
2021/05/27,25
2021/05/28,20
2021/05/29,2
2021/05/30,26
2021/05/31,13
2021/06/01,22
2021/06/02,3
2021/06/03,24
2021/06/04,5
2021/06/05,12
2021/06/06,14
2021/06/07,8
2021/06/08,6
2021/06/09,6
2021/06/10,8
2021/06/11,14
2021/06/12,17
2021/06/13,7
2021/06/14,3
2021/06/15,4
2021/06/16,6
2021/06/17,1
2021/06/18,4
2021/06/19,4
2021/06/20,5
2021/06/21,4
2021/06/22,3
2021/06/23,8
2021/06/24,6
2021/06/25,5
2021/06/26,4
2021/06/27,4
2021/06/28,1
