Datas,Taranto
2021/02/13,168
2021/02/14,116
2021/02/15,53
2021/02/16,179
2021/02/17,197
2021/02/18,185
2021/02/19,173
2021/02/20,177
2021/02/21,118
2021/02/22,16
2021/02/23,174
2021/02/24,196
2021/02/25,233
2021/02/26,258
2021/02/27,253
2021/02/28,66
2021/03/01,100
2021/03/02,123
2021/03/03,248
2021/03/04,334
2021/03/05,273
2021/03/06,310
2021/03/07,134
2021/03/08,29
2021/03/09,256
2021/03/10,310
2021/03/11,291
2021/03/12,352
2021/03/13,334
2021/03/14,215
2021/03/15,24
2021/03/16,189
2021/03/17,355
2021/03/18,321
2021/03/19,315
2021/03/20,371
2021/03/21,250
2021/03/22,25
2021/03/23,354
2021/03/24,294
2021/03/25,350
2021/03/26,381
2021/03/27,400
2021/03/28,355
2021/03/29,43
2021/03/30,348
2021/03/31,329
2021/04/01,374
2021/04/02,415
2021/04/03,574
2021/04/04,284
2021/04/05,44
2021/04/06,15
2021/04/07,323
2021/04/08,323
2021/04/09,327
2021/04/10,376
2021/04/11,187
2021/04/12,26
2021/04/13,230
2021/04/14,368
2021/04/15,397
2021/04/16,328
2021/04/17,243
2021/04/18,211
2021/04/19,23
2021/04/20,215
2021/04/21,289
2021/04/22,271
2021/04/23,277
2021/04/24,237
2021/04/25,121
2021/04/26,8
2021/04/27,232
2021/04/28,279
2021/04/29,179
2021/04/30,257
2021/05/01,217
2021/05/02,26
2021/05/03,11
2021/05/04,169
2021/05/05,236
2021/05/06,123
2021/05/07,117
2021/05/08,140
2021/05/09,64
2021/05/10,1
2021/05/11,101
2021/05/12,130
2021/05/13,89
2021/05/14,86
2021/05/15,71
2021/05/16,23
2021/05/17,3
2021/05/18,51
2021/05/19,61
2021/05/20,31
2021/05/21,40
2021/05/22,44
2021/05/23,12
2021/05/24,-2
2021/05/25,31
2021/05/26,40
2021/05/27,36
2021/05/28,13
2021/05/29,50
2021/05/30,23
2021/05/31,7
2021/06/01,47
2021/06/02,21
2021/06/03,0
2021/06/04,25
2021/06/05,7
2021/06/06,15
2021/06/07,2
2021/06/08,18
2021/06/09,8
2021/06/10,14
2021/06/11,26
2021/06/12,23
2021/06/13,1
2021/06/14,1
2021/06/15,28
2021/06/16,42
2021/06/17,10
2021/06/18,20
2021/06/19,17
2021/06/20,3
2021/06/21,5
2021/06/22,18
2021/06/23,29
2021/06/24,8
2021/06/25,18
2021/06/26,25
2021/06/27,9
2021/06/28,0
2021/06/29,18
2021/06/30,6
2021/07/01,5
2021/07/02,3
2021/07/03,10
2021/07/04,2
2021/07/05,0
2021/07/06,15
2021/07/07,18
2021/07/08,25
2021/07/09,10
2021/07/10,5
2021/07/11,1
2021/07/12,2
2021/07/13,11
2021/07/14,4
2021/07/15,5
2021/07/16,3
2021/07/17,5
2021/07/18,8
2021/07/19,1
2021/07/20,3
2021/07/21,31
2021/07/22,22
2021/07/23,11
2021/07/24,8
2021/07/25,10
2021/07/26,0
2021/07/27,27
2021/07/28,9
2021/07/29,13
2021/07/30,13
2021/07/31,42
2021/08/01,12
2021/08/02,1
2021/08/03,36
2021/08/04,22
2021/08/05,19
2021/08/06,16
2021/08/07,38
2021/08/08,4
2021/08/09,5
2021/08/10,57
2021/08/11,14
2021/08/12,19
2021/08/13,28
2021/08/14,26
2021/08/15,7
2021/08/16,2
2021/08/17,25
2021/08/18,18
2021/08/19,14
2021/08/20,26
2021/08/21,19
2021/08/22,5
2021/08/23,4
2021/08/24,34
2021/08/25,22
2021/08/26,16
2021/08/27,33
2021/08/28,20
2021/08/29,5
2021/08/30,2
2021/08/31,25
2021/09/01,15
2021/09/02,14
2021/09/03,17
2021/09/04,16
2021/09/05,4
2021/09/06,1
2021/09/07,20
2021/09/08,10
2021/09/09,17
2021/09/10,18
2021/09/11,22
2021/09/12,3
2021/09/13,1
2021/09/14,19
2021/09/15,30
2021/09/16,14
2021/09/17,28
2021/09/18,18
2021/09/19,6
2021/09/20,3
2021/09/21,17
2021/09/22,13
2021/09/23,8
2021/09/24,19
2021/09/25,26
2021/09/26,0
2021/09/27,4
2021/09/28,18
2021/09/29,7
2021/09/30,24
2021/10/01,15
2021/10/02,28
2021/10/03,1
2021/10/04,4
2021/10/05,23
2021/10/06,18
2021/10/07,15
2021/10/08,18
2021/10/09,16
2021/10/10,6
2021/10/11,1
2021/10/12,28
2021/10/13,22
2021/10/14,20
2021/10/15,35
2021/10/16,14
2021/10/17,6
2021/10/18,1
2021/10/19,35
2021/10/20,33
2021/10/21,39
2021/10/22,39
2021/10/23,41
2021/10/24,6
2021/10/25,2
2021/10/26,75
2021/10/27,67
2021/10/28,36
2021/10/29,74
2021/10/30,63
2021/10/31,8
2021/11/01,8
2021/11/02,9
2021/11/03,67
2021/11/04,32
2021/11/05,48
2021/11/06,73
2021/11/07,15
2021/11/08,5
2021/11/09,89
2021/11/10,103
2021/11/11,60
2021/11/12,57
2021/11/13,86
2021/11/14,8
2021/11/15,6
2021/11/16,44
2021/11/17,89
2021/11/18,42
2021/11/19,67
2021/11/20,57
2021/11/21,1
2021/11/22,5
2021/11/23,83
2021/11/24,52
2021/11/25,23
2021/11/26,42
2021/11/27,45
2021/11/28,13
2021/11/29,9
2021/11/30,70
2021/12/01,58
2021/12/02,39
2021/12/03,69
2021/12/04,49
2021/12/05,10
2021/12/06,3
2021/12/07,89
2021/12/08,52
2021/12/09,2
2021/12/10,48
2021/12/11,55
2021/12/12,5
2021/12/13,7
2021/12/14,94
2021/12/15,52
2021/12/16,73
2021/12/17,75
2021/12/18,73
2021/12/19,11
2021/12/20,3
2021/12/21,99
2021/12/22,79
2021/12/23,87
2021/12/24,46
2021/12/25,152
2021/12/26,33
2021/12/27,48
2021/12/28,206
2021/12/29,256
2021/12/30,311
2021/12/31,421
2022/01/01,268
2022/01/02,376
2022/01/03,307
2022/01/04,343
2022/01/05,949
2022/01/06,226
2022/01/07,761
2022/01/08,996
2022/01/09,431
2022/01/10,123
2022/01/11,835
2022/01/12,500
2022/01/13,226
2022/01/14,3103
2022/01/15,3082
2022/01/16,2386
2022/01/17,563
2022/01/18,4322
2022/01/19,2508
2022/01/20,2627
2022/01/21,2117
2022/01/22,1971
2022/01/23,1613
2022/01/24,315
