Datas,Reggio nell'Emilia
2021/02/12,111
2021/02/13,105
2021/02/14,124
2021/02/15,80
2021/02/16,84
2021/02/17,136
2021/02/18,171
2021/02/19,175
2021/02/20,145
2021/02/21,254
2021/02/22,158
2021/02/23,127
2021/02/24,175
2021/02/25,247
2021/02/26,237
2021/02/27,253
2021/02/28,309
2021/03/01,276
2021/03/02,164
2021/03/03,301
2021/03/04,250
2021/03/05,335
2021/03/06,341
2021/03/07,271
2021/03/08,312
2021/03/09,265
2021/03/10,274
2021/03/11,194
2021/03/12,294
2021/03/13,303
2021/03/14,255
2021/03/15,195
2021/03/16,202
2021/03/17,221
2021/03/18,235
2021/03/19,237
2021/03/20,244
2021/03/21,332
2021/03/22,206
2021/03/23,193
2021/03/24,183
2021/03/25,192
2021/03/26,147
2021/03/27,223
2021/03/28,263
2021/03/29,150
2021/03/30,101
2021/03/31,144
2021/04/01,222
2021/04/02,156
2021/04/03,203
2021/04/04,179
2021/04/05,113
2021/04/06,111
2021/04/07,59
2021/04/08,108
2021/04/09,208
2021/04/10,162
2021/04/11,156
2021/04/12,101
2021/04/13,120
2021/04/14,114
2021/04/15,208
2021/04/16,138
2021/04/17,130
2021/04/18,178
2021/04/19,116
2021/04/20,93
2021/04/21,156
2021/04/22,152
2021/04/23,163
2021/04/24,152
2021/04/25,132
2021/04/26,106
2021/04/27,104
2021/04/28,105
2021/04/29,159
2021/04/30,147
2021/05/01,159
2021/05/02,149
2021/05/03,113
2021/05/04,64
2021/05/05,98
2021/05/06,59
2021/05/07,107
2021/05/08,144
2021/05/09,102
2021/05/10,44
2021/05/11,44
2021/05/12,102
2021/05/13,87
2021/05/14,88
2021/05/15,79
2021/05/16,46
2021/05/17,43
2021/05/18,38
2021/05/19,40
2021/05/20,53
2021/05/21,39
2021/05/22,64
2021/05/23,43
2021/05/24,27
2021/05/25,14
2021/05/26,23
2021/05/27,31
2021/05/28,27
2021/05/29,28
2021/05/30,20
2021/05/31,13
2021/06/01,2
2021/06/02,22
2021/06/03,18
2021/06/04,11
2021/06/05,11
2021/06/06,14
2021/06/07,11
2021/06/08,4
2021/06/09,22
2021/06/10,12
2021/06/11,10
2021/06/12,9
2021/06/13,7
2021/06/14,7
2021/06/15,3
2021/06/16,4
2021/06/17,4
2021/06/18,6
2021/06/19,5
2021/06/20,1
2021/06/21,10
2021/06/22,2
2021/06/23,3
2021/06/24,8
2021/06/25,8
2021/06/26,4
2021/06/27,5
2021/06/28,2
2021/06/29,5
2021/06/30,6
2021/07/01,12
2021/07/02,2
2021/07/03,13
2021/07/04,7
2021/07/05,-7
2021/07/06,7
2021/07/07,8
2021/07/08,11
2021/07/09,7
2021/07/10,15
2021/07/11,13
2021/07/12,17
2021/07/13,7
2021/07/14,19
2021/07/15,27
2021/07/16,29
2021/07/17,39
2021/07/18,48
2021/07/19,29
2021/07/20,40
2021/07/21,74
2021/07/22,69
2021/07/23,48
2021/07/24,80
2021/07/25,80
2021/07/26,62
2021/07/27,20
2021/07/28,59
2021/07/29,57
2021/07/30,78
2021/07/31,70
2021/08/01,102
2021/08/02,54
2021/08/03,49
2021/08/04,67
2021/08/05,75
2021/08/06,94
2021/08/07,73
2021/08/08,65
2021/08/09,49
2021/08/10,53
2021/08/11,42
2021/08/12,85
2021/08/13,61
2021/08/14,77
2021/08/15,68
2021/08/16,38
2021/08/17,40
2021/08/18,49
2021/08/19,64
2021/08/20,73
2021/08/21,52
2021/08/22,56
2021/08/23,31
2021/08/24,39
2021/08/25,40
2021/08/26,63
2021/08/27,81
2021/08/28,70
2021/08/29,42
2021/08/30,41
2021/08/31,22
2021/09/01,64
2021/09/02,74
2021/09/03,72
2021/09/04,86
2021/09/05,66
2021/09/06,16
2021/09/07,26
2021/09/08,44
2021/09/09,68
2021/09/10,39
2021/09/11,62
2021/09/12,35
2021/09/13,24
2021/09/14,27
2021/09/15,54
2021/09/16,32
2021/09/17,34
2021/09/18,43
2021/09/19,28
2021/09/20,20
2021/09/21,33
2021/09/22,29
2021/09/23,41
2021/09/24,16
2021/09/25,56
2021/09/26,36
2021/09/27,17
2021/09/28,8
2021/09/29,34
2021/09/30,26
2021/10/01,14
2021/10/02,28
2021/10/03,16
2021/10/04,23
2021/10/05,-1
2021/10/06,11
2021/10/07,29
2021/10/08,14
2021/10/09,15
2021/10/10,20
2021/10/11,23
2021/10/12,16
2021/10/13,21
2021/10/14,19
2021/10/15,21
2021/10/16,23
2021/10/17,15
2021/10/18,11
2021/10/19,20
2021/10/20,15
2021/10/21,24
2021/10/22,16
2021/10/23,9
2021/10/24,38
2021/10/25,19
2021/10/26,12
2021/10/27,24
2021/10/28,28
2021/10/29,20
2021/10/30,42
2021/10/31,41
2021/11/01,47
2021/11/02,18
2021/11/03,6
2021/11/04,28
2021/11/05,44
2021/11/06,47
2021/11/07,35
2021/11/08,31
2021/11/09,22
2021/11/10,30
2021/11/11,55
2021/11/12,44
2021/11/13,61
2021/11/14,53
2021/11/15,42
2021/11/16,38
2021/11/17,48
2021/11/18,71
