Datas,Forlì-Cesena
2021/02/11,126
2021/02/12,158
2021/02/13,148
2021/02/14,137
2021/02/15,161
2021/02/16,107
2021/02/17,106
2021/02/18,154
2021/02/19,140
2021/02/20,149
2021/02/21,153
2021/02/22,163
2021/02/23,128
2021/02/24,210
2021/02/25,167
2021/02/26,269
2021/02/27,247
2021/02/28,250
2021/03/01,240
2021/03/02,215
2021/03/03,292
2021/03/04,331
2021/03/05,312
2021/03/06,355
2021/03/07,311
2021/03/08,316
2021/03/09,199
2021/03/10,258
2021/03/11,325
2021/03/12,296
2021/03/13,358
2021/03/14,299
2021/03/15,348
2021/03/16,274
2021/03/17,338
2021/03/18,267
2021/03/19,395
2021/03/20,299
2021/03/21,284
2021/03/22,222
2021/03/23,169
2021/03/24,242
2021/03/25,238
2021/03/26,251
2021/03/27,253
2021/03/28,274
2021/03/29,258
2021/03/30,156
2021/03/31,214
2021/04/01,220
2021/04/02,185
2021/04/03,176
2021/04/04,214
2021/04/05,156
2021/04/06,103
2021/04/07,107
2021/04/08,164
2021/04/09,173
2021/04/10,155
2021/04/11,161
2021/04/12,136
2021/04/13,114
2021/04/14,144
2021/04/15,137
2021/04/16,148
2021/04/17,107
2021/04/18,144
2021/04/19,92
2021/04/20,90
2021/04/21,109
2021/04/22,135
2021/04/23,134
2021/04/24,123
2021/04/25,137
2021/04/26,105
2021/04/27,79
2021/04/28,83
2021/04/29,119
2021/04/30,134
2021/05/01,113
2021/05/02,93
2021/05/03,104
2021/05/04,61
2021/05/05,64
2021/05/06,79
2021/05/07,106
2021/05/08,117
2021/05/09,83
2021/05/10,74
2021/05/11,46
2021/05/12,62
2021/05/13,63
2021/05/14,45
2021/05/15,46
2021/05/16,43
2021/05/17,27
2021/05/18,30
2021/05/19,37
2021/05/20,32
2021/05/21,47
2021/05/22,27
2021/05/23,47
2021/05/24,28
2021/05/25,28
2021/05/26,34
2021/05/27,42
2021/05/28,33
2021/05/29,29
2021/05/30,37
2021/05/31,37
2021/06/01,17
2021/06/02,36
2021/06/03,49
2021/06/04,23
2021/06/05,41
2021/06/06,27
2021/06/07,21
2021/06/08,16
2021/06/09,33
2021/06/10,26
2021/06/11,36
2021/06/12,20
2021/06/13,28
2021/06/14,28
2021/06/15,2
2021/06/16,16
2021/06/17,10
2021/06/18,12
2021/06/19,13
2021/06/20,6
2021/06/21,12
2021/06/22,7
2021/06/23,12
2021/06/24,5
2021/06/25,3
2021/06/26,10
2021/06/27,6
2021/06/28,4
2021/06/29,1
2021/06/30,8
2021/07/01,7
2021/07/02,2
2021/07/03,5
2021/07/04,4
2021/07/05,-8
2021/07/06,4
2021/07/07,8
2021/07/08,5
2021/07/09,12
2021/07/10,4
2021/07/11,9
2021/07/12,7
2021/07/13,4
2021/07/14,4
2021/07/15,10
2021/07/16,6
2021/07/17,18
2021/07/18,13
2021/07/19,14
2021/07/20,9
2021/07/21,32
2021/07/22,30
2021/07/23,56
2021/07/24,29
2021/07/25,37
2021/07/26,28
2021/07/27,13
2021/07/28,54
2021/07/29,53
2021/07/30,39
2021/07/31,51
2021/08/01,59
2021/08/02,38
2021/08/03,45
2021/08/04,37
2021/08/05,47
2021/08/06,45
2021/08/07,56
2021/08/08,46
2021/08/09,51
2021/08/10,22
2021/08/11,42
2021/08/12,59
2021/08/13,37
2021/08/14,54
2021/08/15,38
2021/08/16,22
2021/08/17,27
2021/08/18,65
2021/08/19,44
2021/08/20,57
2021/08/21,69
2021/08/22,41
2021/08/23,31
2021/08/24,53
2021/08/25,55
2021/08/26,62
2021/08/27,42
2021/08/28,46
2021/08/29,42
2021/08/30,42
2021/08/31,41
2021/09/01,39
2021/09/02,52
2021/09/03,49
2021/09/04,33
2021/09/05,41
2021/09/06,26
2021/09/07,26
