Datas,Prato
2021/02/13,60
2021/02/14,55
2021/02/15,39
2021/02/16,45
2021/02/17,41
2021/02/18,83
2021/02/19,66
2021/02/20,74
2021/02/21,71
2021/02/22,118
2021/02/23,86
2021/02/24,50
2021/02/25,108
2021/02/26,110
2021/02/27,64
2021/02/28,69
2021/03/01,69
2021/03/02,128
2021/03/03,104
2021/03/04,98
2021/03/05,110
2021/03/06,138
2021/03/07,150
2021/03/08,96
2021/03/09,125
2021/03/10,124
2021/03/11,139
2021/03/12,172
2021/03/13,168
2021/03/14,97
2021/03/15,104
2021/03/16,184
2021/03/17,69
2021/03/18,113
2021/03/19,111
2021/03/20,234
2021/03/21,166
2021/03/22,136
2021/03/23,129
2021/03/24,115
2021/03/25,169
2021/03/26,213
2021/03/27,175
2021/03/28,171
2021/03/29,75
2021/03/30,171
2021/03/31,200
2021/04/01,158
2021/04/02,169
2021/04/03,157
2021/04/04,168
2021/04/05,61
2021/04/06,55
2021/04/07,71
2021/04/08,116
2021/04/09,158
2021/04/10,108
2021/04/11,100
2021/04/12,75
2021/04/13,108
2021/04/14,97
2021/04/15,111
2021/04/16,126
2021/04/17,167
2021/04/18,105
2021/04/19,79
2021/04/20,93
2021/04/21,104
2021/04/22,124
2021/04/23,121
2021/04/24,107
2021/04/25,91
2021/04/26,87
2021/04/27,77
2021/04/28,80
2021/04/29,109
2021/04/30,71
2021/05/01,112
2021/05/02,80
2021/05/03,33
2021/05/04,41
2021/05/05,115
2021/05/06,77
2021/05/07,95
2021/05/08,95
2021/05/09,70
2021/05/10,67
2021/05/11,72
2021/05/12,57
2021/05/13,86
2021/05/14,58
2021/05/15,56
2021/05/16,53
2021/05/17,58
2021/05/18,34
2021/05/19,38
2021/05/20,56
2021/05/21,51
2021/05/22,43
2021/05/23,39
2021/05/24,24
2021/05/25,32
2021/05/26,19
2021/05/27,36
2021/05/28,29
2021/05/29,31
2021/05/30,20
2021/05/31,22
2021/06/01,15
2021/06/02,19
2021/06/03,19
2021/06/04,11
2021/06/05,20
2021/06/06,18
2021/06/07,33
2021/06/08,12
2021/06/09,14
2021/06/10,18
2021/06/11,24
2021/06/12,18
