Datas,Sud Sardegna
2021/02/12,8
2021/02/13,22
2021/02/14,7
2021/02/15,3
2021/02/16,6
2021/02/17,15
2021/02/18,8
2021/02/19,10
2021/02/20,16
2021/02/21,0
2021/02/22,14
2021/02/23,13
2021/02/24,13
2021/02/25,13
2021/02/26,14
2021/02/27,15
2021/02/28,7
2021/03/01,1
2021/03/02,4
2021/03/03,14
2021/03/04,9
2021/03/05,9
2021/03/06,20
2021/03/07,16
2021/03/08,5
2021/03/09,7
2021/03/10,3
2021/03/11,24
2021/03/12,10
2021/03/13,21
2021/03/14,13
2021/03/15,13
2021/03/16,14
2021/03/17,7
2021/03/18,16
2021/03/19,15
2021/03/20,14
2021/03/21,6
2021/03/22,39
2021/03/23,16
2021/03/24,10
2021/03/25,31
2021/03/26,24
2021/03/27,28
2021/03/28,11
2021/03/29,24
2021/03/30,12
2021/03/31,35
2021/04/01,47
2021/04/02,57
2021/04/03,32
2021/04/04,13
2021/04/05,42
2021/04/06,16
2021/04/07,30
2021/04/08,22
2021/04/09,84
2021/04/10,39
2021/04/11,34
2021/04/12,28
2021/04/13,40
2021/04/14,85
2021/04/15,54
2021/04/16,38
2021/04/17,9
2021/04/18,56
2021/04/19,16
2021/04/20,50
2021/04/21,54
2021/04/22,52
2021/04/23,42
2021/04/24,23
2021/04/25,34
2021/04/26,2
2021/04/27,19
2021/04/28,81
2021/04/29,19
2021/04/30,46
2021/05/01,10
2021/05/02,39
2021/05/03,6
2021/05/04,23
2021/05/05,20
2021/05/06,22
2021/05/07,26
2021/05/08,35
2021/05/09,5
2021/05/10,2
2021/05/11,16
2021/05/12,24
2021/05/13,24
2021/05/14,13
2021/05/15,26
2021/05/16,2
2021/05/17,2
2021/05/18,22
2021/05/19,19
2021/05/20,8
2021/05/21,12
2021/05/22,12
2021/05/23,0
2021/05/24,0
2021/05/25,7
2021/05/26,3
2021/05/27,8
2021/05/28,6
2021/05/29,7
2021/05/30,0
2021/05/31,2
2021/06/01,11
2021/06/02,4
2021/06/03,2
2021/06/04,4
2021/06/05,1
2021/06/06,0
2021/06/07,0
2021/06/08,6
2021/06/09,0
2021/06/10,2
2021/06/11,0
2021/06/12,0
2021/06/13,0
2021/06/14,0
2021/06/15,7
2021/06/16,1
2021/06/17,0
2021/06/18,1
2021/06/19,0
2021/06/20,1
2021/06/21,0
2021/06/22,3
2021/06/23,1
2021/06/24,4
2021/06/25,6
2021/06/26,3
2021/06/27,0
2021/06/28,0
2021/06/29,3
2021/06/30,0
2021/07/01,1
2021/07/02,4
2021/07/03,1
2021/07/04,0
2021/07/05,1
2021/07/06,0
2021/07/07,0
2021/07/08,6
2021/07/09,7
2021/07/10,7
2021/07/11,2
2021/07/12,5
2021/07/13,20
2021/07/14,42
2021/07/15,27
2021/07/16,22
2021/07/17,51
2021/07/18,36
2021/07/19,28
2021/07/20,29
2021/07/21,62
2021/07/22,51
2021/07/23,36
