Datas,Pisa
2021/02/13,101
2021/02/14,90
2021/02/15,47
2021/02/16,58
2021/02/17,47
2021/02/18,82
2021/02/19,79
2021/02/20,94
2021/02/21,90
2021/02/22,104
2021/02/23,79
2021/02/24,66
2021/02/25,134
2021/02/26,106
2021/02/27,108
2021/02/28,85
2021/03/01,93
2021/03/02,131
2021/03/03,106
2021/03/04,110
2021/03/05,91
2021/03/06,101
2021/03/07,135
2021/03/08,149
2021/03/09,122
2021/03/10,127
2021/03/11,147
2021/03/12,104
2021/03/13,163
2021/03/14,179
2021/03/15,136
2021/03/16,199
2021/03/17,159
2021/03/18,141
2021/03/19,146
2021/03/20,163
2021/03/21,144
2021/03/22,104
2021/03/23,165
2021/03/24,106
2021/03/25,151
2021/03/26,151
2021/03/27,157
2021/03/28,151
2021/03/29,109
2021/03/30,107
2021/03/31,168
2021/04/01,164
2021/04/02,157
2021/04/03,135
2021/04/04,215
2021/04/05,112
2021/04/06,95
2021/04/07,124
2021/04/08,134
2021/04/09,117
2021/04/10,118
2021/04/11,129
2021/04/12,69
2021/04/13,111
2021/04/14,142
2021/04/15,139
2021/04/16,95
2021/04/17,104
2021/04/18,118
2021/04/19,80
2021/04/20,56
2021/04/21,98
2021/04/22,116
2021/04/23,110
2021/04/24,69
2021/04/25,84
2021/04/26,91
2021/04/27,71
2021/04/28,68
2021/04/29,127
2021/04/30,100
2021/05/01,125
2021/05/02,85
2021/05/03,54
2021/05/04,65
2021/05/05,71
2021/05/06,96
2021/05/07,50
2021/05/08,75
2021/05/09,57
2021/05/10,48
2021/05/11,36
2021/05/12,42
2021/05/13,57
2021/05/14,24
2021/05/15,35
2021/05/16,32
2021/05/17,17
2021/05/18,26
2021/05/19,21
2021/05/20,32
2021/05/21,22
2021/05/22,29
2021/05/23,24
2021/05/24,16
2021/05/25,11
2021/05/26,15
2021/05/27,10
2021/05/28,18
2021/05/29,12
2021/05/30,15
2021/05/31,10
2021/06/01,11
2021/06/02,18
2021/06/03,14
2021/06/04,10
2021/06/05,23
2021/06/06,23
2021/06/07,12
2021/06/08,9
2021/06/09,7
2021/06/10,14
2021/06/11,20
2021/06/12,9
2021/06/13,6
2021/06/14,5
2021/06/15,3
2021/06/16,8
2021/06/17,8
2021/06/18,8
2021/06/19,2
2021/06/20,10
2021/06/21,2
2021/06/22,1
2021/06/23,0
2021/06/24,8
2021/06/25,2
2021/06/26,3
2021/06/27,1
2021/06/28,1
2021/06/29,3
2021/06/30,2
2021/07/01,5
2021/07/02,3
2021/07/03,5
2021/07/04,3
2021/07/05,6
2021/07/06,4
2021/07/07,3
2021/07/08,4
2021/07/09,10
2021/07/10,12
2021/07/11,6
2021/07/12,4
2021/07/13,10
2021/07/14,14
2021/07/15,9
2021/07/16,14
2021/07/17,12
2021/07/18,14
2021/07/19,16
2021/07/20,14
2021/07/21,24
2021/07/22,33
2021/07/23,42
2021/07/24,41
2021/07/25,42
2021/07/26,31
2021/07/27,35
2021/07/28,90
2021/07/29,80
2021/07/30,77
2021/07/31,88
2021/08/01,85
2021/08/02,39
2021/08/03,38
2021/08/04,109
2021/08/05,90
2021/08/06,87
2021/08/07,65
2021/08/08,93
2021/08/09,78
2021/08/10,63
2021/08/11,88
2021/08/12,121
2021/08/13,80
2021/08/14,97
2021/08/15,106
2021/08/16,53
2021/08/17,48
2021/08/18,59
2021/08/19,96
2021/08/20,94
2021/08/21,59
2021/08/22,66
2021/08/23,53
2021/08/24,44
2021/08/25,47
2021/08/26,68
2021/08/27,98
2021/08/28,70
2021/08/29,70
2021/08/30,34
2021/08/31,68
2021/09/01,32
2021/09/02,54
2021/09/03,74
2021/09/04,46
2021/09/05,41
2021/09/06,36
2021/09/07,28
2021/09/08,53
2021/09/09,34
2021/09/10,31
2021/09/11,45
2021/09/12,35
2021/09/13,16
2021/09/14,19
2021/09/15,32
2021/09/16,28
2021/09/17,28
2021/09/18,22
2021/09/19,24
2021/09/20,11
2021/09/21,22
2021/09/22,23
2021/09/23,31
2021/09/24,28
2021/09/25,21
2021/09/26,16
2021/09/27,16
2021/09/28,17
2021/09/29,16
2021/09/30,30
2021/10/01,13
2021/10/02,15
2021/10/03,25
2021/10/04,12
2021/10/05,14
2021/10/06,19
2021/10/07,28
2021/10/08,17
2021/10/09,13
2021/10/10,19
2021/10/11,10
2021/10/12,18
2021/10/13,18
2021/10/14,19
2021/10/15,20
2021/10/16,26
2021/10/17,31
2021/10/18,19
2021/10/19,29
2021/10/20,29
2021/10/21,26
2021/10/22,44
2021/10/23,36
2021/10/24,49
2021/10/25,17
2021/10/26,32
2021/10/27,44
2021/10/28,37
2021/10/29,49
2021/10/30,30
2021/10/31,42
2021/11/01,28
2021/11/02,16
2021/11/03,33
2021/11/04,41
2021/11/05,31
2021/11/06,67
2021/11/07,50
2021/11/08,27
2021/11/09,35
2021/11/10,66
2021/11/11,71
2021/11/12,42
2021/11/13,61
2021/11/14,37
2021/11/15,26
2021/11/16,54
2021/11/17,33
2021/11/18,36
2021/11/19,72
2021/11/20,43
2021/11/21,53
2021/11/22,40
2021/11/23,29
2021/11/24,44
2021/11/25,61
2021/11/26,54
2021/11/27,50
2021/11/28,89
2021/11/29,27
2021/11/30,65
2021/12/01,31
2021/12/02,68
2021/12/03,58
2021/12/04,56
2021/12/05,51
2021/12/06,63
2021/12/07,68
2021/12/08,66
2021/12/09,63
2021/12/10,87
2021/12/11,75
2021/12/12,66
2021/12/13,64
2021/12/14,60
2021/12/15,106
2021/12/16,131
2021/12/17,115
2021/12/18,132
2021/12/19,152
2021/12/20,109
2021/12/21,135
2021/12/22,176
2021/12/23,215
2021/12/24,360
2021/12/25,268
2021/12/26,422
2021/12/27,285
2021/12/28,421
2021/12/29,695
2021/12/30,1852
2021/12/31,2047
2022/01/01,1849
2022/01/02,713
2022/01/03,521
2022/01/04,2296
2022/01/05,2222
2022/01/06,2076
2022/01/07,720
2022/01/08,2056
2022/01/09,1365
2022/01/10,597
2022/01/11,1896
2022/01/12,1644
2022/01/13,1600
2022/01/14,1273
2022/01/15,1445
2022/01/16,1242
2022/01/17,476
2022/01/18,1955
2022/01/19,1501
2022/01/20,1620
2022/01/21,1481
2022/01/22,1463
2022/01/23,1227
2022/01/24,570
2022/01/25,1699
2022/01/26,1189
2022/01/27,1349
2022/01/28,1108
2022/01/29,1131
2022/01/30,898
2022/01/31,407
2022/02/01,1242
2022/02/02,828
2022/02/03,952
2022/02/04,784
2022/02/05,756
2022/02/06,559
2022/02/07,281
2022/02/08,828
2022/02/09,515
2022/02/10,526
2022/02/11,456
2022/02/12,414
2022/02/13,365
2022/02/14,171
2022/02/15,448
2022/02/16,304
2022/02/17,416
2022/02/18,307
2022/02/19,373
2022/02/20,271
2022/02/21,97
2022/02/22,419
2022/02/23,292
2022/02/24,322
2022/02/25,191
2022/02/26,255
2022/02/27,200
2022/02/28,101
2022/03/01,286
2022/03/02,245
2022/03/03,365
2022/03/04,261
2022/03/05,302
2022/03/06,270
2022/03/07,150
2022/03/08,367
2022/03/09,251
2022/03/10,503
2022/03/11,397
2022/03/12,458
2022/03/13,404
2022/03/14,182
2022/03/15,790
2022/03/16,557
2022/03/17,591
2022/03/18,639
2022/03/19,629
2022/03/20,439
2022/03/21,172
2022/03/22,777
2022/03/23,560
2022/03/24,627
2022/03/25,569
2022/03/26,562
2022/03/27,492
2022/03/28,158
2022/03/29,817
2022/03/30,631
2022/03/31,619
2022/04/01,521
2022/04/02,564
2022/04/03,445
2022/04/04,133
2022/04/05,712
2022/04/06,526
2022/04/07,537
2022/04/08,473
2022/04/09,468
2022/04/10,429
2022/04/11,155
2022/04/12,685
2022/04/13,492
2022/04/14,542
2022/04/15,457
2022/04/16,524
2022/04/17,412
2022/04/18,95
2022/04/19,127
2022/04/20,843
2022/04/21,568
2022/04/22,516
2022/04/23,492
2022/04/24,408
2022/04/25,148
2022/04/26,108
2022/04/27,759
2022/04/28,496
2022/04/29,449
2022/04/30,364
2022/05/01,338
2022/05/02,70
2022/05/03,477
2022/05/04,338
2022/05/05,359
2022/05/06,288
2022/05/07,305
2022/05/08,235
2022/05/09,101
2022/05/10,422
2022/05/11,281
2022/05/12,287
2022/05/13,200
2022/05/14,246
2022/05/15,221
2022/05/16,50
2022/05/17,318
2022/05/18,236
2022/05/19,224
2022/05/20,170
2022/05/21,200
2022/05/22,122
2022/05/23,26
2022/05/24,220
2022/05/25,148
2022/05/26,159
2022/05/27,147
2022/05/28,126
2022/05/29,100
2022/05/30,42
2022/05/31,187
2022/06/01,118
2022/06/02,140
2022/06/03,27
2022/06/04,276
2022/06/05,135
2022/06/06,59
2022/06/07,297
2022/06/08,192
2022/06/09,218
2022/06/10,191
2022/06/11,206
2022/06/12,162
2022/06/13,59
2022/06/14,335
2022/06/15,273
2022/06/16,278
2022/06/17,279
2022/06/18,259
2022/06/19,246
2022/06/20,62
2022/06/21,586
2022/06/22,405
2022/06/23,430
2022/06/24,453
2022/06/25,482
2022/06/26,336
2022/06/27,65
2022/06/28,816
2022/06/29,542
2022/06/30,664
2022/07/01,515
2022/07/02,528
2022/07/03,427
2022/07/04,73
2022/07/05,1024
2022/07/06,666
2022/07/07,621
2022/07/08,580
2022/07/09,552
2022/07/10,440
2022/07/11,99
2022/07/12,909
2022/07/13,583
2022/07/14,647
2022/07/15,565
2022/07/16,510
2022/07/17,350
2022/07/18,72
2022/07/19,751
2022/07/20,492
2022/07/21,440
2022/07/22,409
2022/07/23,387
2022/07/24,323
2022/07/25,79
2022/07/26,613
2022/07/27,376
2022/07/28,390
2022/07/29,283
2022/07/30,319
2022/07/31,198
2022/08/01,49
2022/08/02,453
2022/08/03,264
2022/08/04,275
2022/08/05,236
2022/08/06,224
2022/08/07,169
2022/08/08,39
2022/08/09,293
2022/08/10,162
2022/08/11,167
2022/08/12,154
2022/08/13,127
2022/08/14,94
2022/08/15,36
2022/08/16,20
2022/08/17,225
2022/08/18,149
2022/08/19,119
2022/08/20,111
2022/08/21,133
2022/08/22,25
2022/08/23,213
2022/08/24,106
2022/08/25,129
2022/08/26,110
2022/08/27,126
2022/08/28,112
2022/08/29,22
2022/08/30,216
2022/08/31,98
2022/09/01,116
2022/09/02,83
2022/09/03,79
2022/09/04,62
2022/09/05,18
2022/09/06,183
2022/09/07,91
2022/09/08,106
2022/09/09,92
2022/09/10,85
2022/09/11,78
2022/09/12,7
2022/09/13,168
2022/09/14,110
2022/09/15,119
2022/09/16,71
2022/09/17,82
2022/09/18,79
2022/09/19,9
2022/09/20,191
2022/09/21,130
2022/09/22,123
2022/09/23,123
2022/09/24,120
2022/09/25,108
2022/09/26,19
2022/09/27,333
2022/09/28,191
2022/09/29,223
2022/09/30,212
2022/10/01,180
2022/10/02,163
2022/10/03,34
