Datas,Vercelli
2021/02/13,23
2021/02/14,7
2021/02/15,10
2021/02/16,15
2021/02/17,33
2021/02/18,32
2021/02/19,26
2021/02/20,37
2021/02/21,27
2021/02/22,27
2021/02/23,40
2021/02/24,66
2021/02/25,63
2021/02/26,72
2021/02/27,51
2021/02/28,62
2021/03/01,31
2021/03/02,68
2021/03/03,105
2021/03/04,85
2021/03/05,82
2021/03/06,71
2021/03/07,90
2021/03/08,40
2021/03/09,48
2021/03/10,60
2021/03/11,113
2021/03/12,137
2021/03/13,114
2021/03/14,113
2021/03/15,40
2021/03/16,37
2021/03/17,84
2021/03/18,76
2021/03/19,180
2021/03/20,73
2021/03/21,52
2021/03/22,81
2021/03/23,123
2021/03/24,100
2021/03/25,122
2021/03/26,97
2021/03/27,71
2021/03/28,49
2021/03/29,70
2021/03/30,59
2021/03/31,66
2021/04/01,110
2021/04/02,99
2021/04/03,20
2021/04/04,76
2021/04/05,5
2021/04/06,23
2021/04/07,30
2021/04/08,60
2021/04/09,45
2021/04/10,31
2021/04/11,35
2021/04/12,34
2021/04/13,37
2021/04/14,52
2021/04/15,37
2021/04/16,6
2021/04/17,29
2021/04/18,10
2021/04/19,12
2021/04/20,57
2021/04/21,9
2021/04/22,50
2021/04/23,55
2021/04/24,36
2021/04/25,13
2021/04/26,15
2021/04/27,28
2021/04/28,24
2021/04/29,33
2021/04/30,31
2021/05/01,31
2021/05/02,28
2021/05/03,4
2021/05/04,17
2021/05/05,46
2021/05/06,34
2021/05/07,45
2021/05/08,34
2021/05/09,11
2021/05/10,19
2021/05/11,34
2021/05/12,45
2021/05/13,33
2021/05/14,24
2021/05/15,20
2021/05/16,11
2021/05/17,2
2021/05/18,19
2021/05/19,26
2021/05/20,29
2021/05/21,20
2021/05/22,8
2021/05/23,10
2021/05/24,4
2021/05/25,16
2021/05/26,26
2021/05/27,15
2021/05/28,20
2021/05/29,3
2021/05/30,14
2021/05/31,2
2021/06/01,20
2021/06/02,19
2021/06/03,0
2021/06/04,11
2021/06/05,3
2021/06/06,9
2021/06/07,3
2021/06/08,3
2021/06/09,11
2021/06/10,3
2021/06/11,7
2021/06/12,8
2021/06/13,0
2021/06/14,7
2021/06/15,2
2021/06/16,2
2021/06/17,4
2021/06/18,2
2021/06/19,2
2021/06/20,1
2021/06/21,1
2021/06/22,3
2021/06/23,1
2021/06/24,1
2021/06/25,3
2021/06/26,3
2021/06/27,1
2021/06/28,0
2021/06/29,3
2021/06/30,2
2021/07/01,2
2021/07/02,4
2021/07/03,1
2021/07/04,0
2021/07/05,0
2021/07/06,2
2021/07/07,0
2021/07/08,1
2021/07/09,3
2021/07/10,3
2021/07/11,0
2021/07/12,0
2021/07/13,0
2021/07/14,3
2021/07/15,2
2021/07/16,1
2021/07/17,3
2021/07/18,1
2021/07/19,1
2021/07/20,2
2021/07/21,6
2021/07/22,6
2021/07/23,1
2021/07/24,3
2021/07/25,2
2021/07/26,2
2021/07/27,8
2021/07/28,7
2021/07/29,11
2021/07/30,5
2021/07/31,5
2021/08/01,3
2021/08/02,13
2021/08/03,10
2021/08/04,7
2021/08/05,17
2021/08/06,5
2021/08/07,12
2021/08/08,3
2021/08/09,1
2021/08/10,7
2021/08/11,14
2021/08/12,10
2021/08/13,13
2021/08/14,13
2021/08/15,12
2021/08/16,3
2021/08/17,5
2021/08/18,16
2021/08/19,4
2021/08/20,7
2021/08/21,8
2021/08/22,3
2021/08/23,2
2021/08/24,4
2021/08/25,10
2021/08/26,8
2021/08/27,6
2021/08/28,6
2021/08/29,8
2021/08/30,2
2021/08/31,13
2021/09/01,10
2021/09/02,8
2021/09/03,7
2021/09/04,5
2021/09/05,9
2021/09/06,4
2021/09/07,5
2021/09/08,15
2021/09/09,15
2021/09/10,12
2021/09/11,8
2021/09/12,9
2021/09/13,2
2021/09/14,11
2021/09/15,14
2021/09/16,15
2021/09/17,3
2021/09/18,10
2021/09/19,2
2021/09/20,3
2021/09/21,6
2021/09/22,0
2021/09/23,3
2021/09/24,7
2021/09/25,6
2021/09/26,2
2021/09/27,3
2021/09/28,1
2021/09/29,2
2021/09/30,6
2021/10/01,5
2021/10/02,2
2021/10/03,10
2021/10/04,2
2021/10/05,7
2021/10/06,3
2021/10/07,6
2021/10/08,6
2021/10/09,4
2021/10/10,2
2021/10/11,1
2021/10/12,2
2021/10/13,7
2021/10/14,2
2021/10/15,5
2021/10/16,4
2021/10/17,3
2021/10/18,1
2021/10/19,15
2021/10/20,6
2021/10/21,24
2021/10/22,16
2021/10/23,3
2021/10/24,0
2021/10/25,1
2021/10/26,18
2021/10/27,10
2021/10/28,9
2021/10/29,11
2021/10/30,5
2021/10/31,8
2021/11/01,3
2021/11/02,4
2021/11/03,11
2021/11/04,14
2021/11/05,15
2021/11/06,15
2021/11/07,15
2021/11/08,5
2021/11/09,12
2021/11/10,12
2021/11/11,11
2021/11/12,15
2021/11/13,40
2021/11/14,26
2021/11/15,11
2021/11/16,20
2021/11/17,22
2021/11/18,23
2021/11/19,14
2021/11/20,23
2021/11/21,9
2021/11/22,3
2021/11/23,18
2021/11/24,14
2021/11/25,20
2021/11/26,31
2021/11/27,24
2021/11/28,6
2021/11/29,9
2021/11/30,19
2021/12/01,18
2021/12/02,18
2021/12/03,28
2021/12/04,22
2021/12/05,10
2021/12/06,21
2021/12/07,35
2021/12/08,30
2021/12/09,14
2021/12/10,41
2021/12/11,35
2021/12/12,19
2021/12/13,23
2021/12/14,51
2021/12/15,51
2021/12/16,41
2021/12/17,44
2021/12/18,57
2021/12/19,26
2021/12/20,34
2021/12/21,42
2021/12/22,49
2021/12/23,164
2021/12/24,127
2021/12/25,74
2021/12/26,43
2021/12/27,121
2021/12/28,202
2021/12/29,246
2021/12/30,406
2021/12/31,297
2022/01/01,249
2022/01/02,88
2022/01/03,121
2022/01/04,673
2022/01/05,584
2022/01/06,470
2022/01/07,310
2022/01/08,623
2022/01/09,383
2022/01/10,284
2022/01/11,661
2022/01/12,731
2022/01/13,583
2022/01/14,561
2022/01/15,477
2022/01/16,587
2022/01/17,287
2022/01/18,693
2022/01/19,571
2022/01/20,541
2022/01/21,561
2022/01/22,415
2022/01/23,302
2022/01/24,219
2022/01/25,663
2022/01/26,535
2022/01/27,396
2022/01/28,389
2022/01/29,366
2022/01/30,188
2022/01/31,231
2022/02/01,422
2022/02/02,274
2022/02/03,235
2022/02/04,272
2022/02/05,219
2022/02/06,125
2022/02/07,122
2022/02/08,276
2022/02/09,164
2022/02/10,143
2022/02/11,131
2022/02/12,134
2022/02/13,79
2022/02/14,96
2022/02/15,125
2022/02/16,91
2022/02/17,115
2022/02/18,95
2022/02/19,118
2022/02/20,52
2022/02/21,49
2022/02/22,86
2022/02/23,89
2022/02/24,71
2022/02/25,65
2022/02/26,76
2022/02/27,34
2022/02/28,35
2022/03/01,80
2022/03/02,68
2022/03/03,66
2022/03/04,77
2022/03/05,94
2022/03/06,52
2022/03/07,51
2022/03/08,80
2022/03/09,77
2022/03/10,106
2022/03/11,74
2022/03/12,81
2022/03/13,60
2022/03/14,54
2022/03/15,124
2022/03/16,95
2022/03/17,128
2022/03/18,101
2022/03/19,88
2022/03/20,62
2022/03/21,53
2022/03/22,116
2022/03/23,78
2022/03/24,102
2022/03/25,77
2022/03/26,79
2022/03/27,52
2022/03/28,61
2022/03/29,118
2022/03/30,119
2022/03/31,94
2022/04/01,105
2022/04/02,84
2022/04/03,42
2022/04/04,81
2022/04/05,145
2022/04/06,84
2022/04/07,142
2022/04/08,94
2022/04/09,108
2022/04/10,65
2022/04/11,79
2022/04/12,173
2022/04/13,130
2022/04/14,143
2022/04/15,118
2022/04/16,108
2022/04/17,64
2022/04/18,24
2022/04/19,126
2022/04/20,241
2022/04/21,104
2022/04/22,145
2022/04/23,125
2022/04/24,95
2022/04/25,54
2022/04/26,42
2022/04/27,243
2022/04/28,158
2022/04/29,127
2022/04/30,129
2022/05/01,66
2022/05/02,32
2022/05/03,194
2022/05/04,98
2022/05/05,135
2022/05/06,113
2022/05/07,121
2022/05/08,79
2022/05/09,30
2022/05/10,159
2022/05/11,114
2022/05/12,72
2022/05/13,118
2022/05/14,87
2022/05/15,68
2022/05/16,27
2022/05/17,107
2022/05/18,46
2022/05/19,63
2022/05/20,45
2022/05/21,50
2022/05/22,35
2022/05/23,21
2022/05/24,61
2022/05/25,45
2022/05/26,53
2022/05/27,26
2022/05/28,47
2022/05/29,30
2022/05/30,14
2022/05/31,51
2022/06/01,30
2022/06/02,33
2022/06/03,17
2022/06/04,48
2022/06/05,27
2022/06/06,23
2022/06/07,51
2022/06/08,42
2022/06/09,44
2022/06/10,48
2022/06/11,48
2022/06/12,27
2022/06/13,9
2022/06/14,93
2022/06/15,68
2022/06/16,93
2022/06/17,71
2022/06/18,78
2022/06/19,55
2022/06/20,21
2022/06/21,124
2022/06/22,96
2022/06/23,118
2022/06/24,110
2022/06/25,122
2022/06/26,79
2022/06/27,32
2022/06/28,262
2022/06/29,135
2022/06/30,188
2022/07/01,165
2022/07/02,77
2022/07/03,154
2022/07/04,61
2022/07/05,278
2022/07/06,178
2022/07/07,206
2022/07/08,149
2022/07/09,167
2022/07/10,131
2022/07/11,49
2022/07/12,328
2022/07/13,196
2022/07/14,218
2022/07/15,162
2022/07/16,208
2022/07/17,136
2022/07/18,47
2022/07/19,250
2022/07/20,204
2022/07/21,185
2022/07/22,183
2022/07/23,161
2022/07/24,103
2022/07/25,42
2022/07/26,206
2022/07/27,150
