Datas,Cagliari
2021/02/13,44
2021/02/14,57
2021/02/15,24
2021/02/16,19
2021/02/17,23
2021/02/18,57
2021/02/19,21
2021/02/20,22
2021/02/21,23
2021/02/22,41
2021/02/23,16
2021/02/24,17
2021/02/25,23
2021/02/26,26
2021/02/27,33
2021/02/28,31
2021/03/01,24
2021/03/02,27
2021/03/03,31
2021/03/04,29
2021/03/05,50
2021/03/06,31
2021/03/07,60
2021/03/08,46
2021/03/09,102
2021/03/10,14
2021/03/11,57
2021/03/12,43
2021/03/13,27
2021/03/14,61
2021/03/15,42
2021/03/16,27
2021/03/17,23
2021/03/18,54
2021/03/19,33
2021/03/20,63
2021/03/21,92
2021/03/22,71
2021/03/23,49
2021/03/24,60
2021/03/25,50
2021/03/26,73
2021/03/27,60
2021/03/28,111
2021/03/29,86
2021/03/30,79
2021/03/31,90
2021/04/01,125
2021/04/02,107
2021/04/03,87
2021/04/04,100
2021/04/05,81
2021/04/06,90
2021/04/07,76
2021/04/08,76
2021/04/09,87
2021/04/10,147
2021/04/11,92
2021/04/12,80
2021/04/13,112
2021/04/14,167
2021/04/15,90
2021/04/16,156
2021/04/17,134
2021/04/18,90
2021/04/19,83
2021/04/20,64
2021/04/21,53
2021/04/22,101
2021/04/23,100
2021/04/24,44
2021/04/25,130
2021/04/26,50
2021/04/27,80
2021/04/28,53
2021/04/29,71
2021/04/30,78
2021/05/01,48
2021/05/02,45
2021/05/03,37
2021/05/04,19
2021/05/05,34
2021/05/06,35
2021/05/07,26
2021/05/08,28
2021/05/09,24
2021/05/10,19
2021/05/11,11
2021/05/12,22
2021/05/13,16
2021/05/14,15
2021/05/15,8
2021/05/16,16
2021/05/17,5
2021/05/18,14
2021/05/19,15
2021/05/20,14
2021/05/21,15
2021/05/22,10
2021/05/23,15
2021/05/24,13
2021/05/25,4
2021/05/26,10
2021/05/27,14
2021/05/28,6
2021/05/29,6
2021/05/30,13
2021/05/31,12
2021/06/01,9
2021/06/02,9
2021/06/03,10
2021/06/04,14
2021/06/05,5
2021/06/06,8
2021/06/07,2
2021/06/08,5
2021/06/09,13
2021/06/10,10
2021/06/11,3
2021/06/12,5
2021/06/13,2
2021/06/14,10
2021/06/15,2
2021/06/16,4
2021/06/17,0
2021/06/18,4
2021/06/19,7
2021/06/20,1
2021/06/21,3
2021/06/22,1
2021/06/23,10
2021/06/24,8
2021/06/25,5
2021/06/26,6
2021/06/27,3
2021/06/28,1
2021/06/29,4
2021/06/30,4
2021/07/01,6
2021/07/02,8
2021/07/03,3
2021/07/04,6
2021/07/05,5
2021/07/06,3
2021/07/07,9
2021/07/08,15
2021/07/09,28
2021/07/10,25
2021/07/11,31
2021/07/12,39
2021/07/13,43
2021/07/14,70
2021/07/15,61
2021/07/16,83
2021/07/17,104
2021/07/18,162
2021/07/19,57
2021/07/20,83
2021/07/21,154
2021/07/22,132
2021/07/23,145
2021/07/24,147
2021/07/25,241
2021/07/26,115
2021/07/27,154
2021/07/28,268
2021/07/29,222
2021/07/30,193
2021/07/31,189
2021/08/01,179
2021/08/02,131
2021/08/03,98
2021/08/04,172
2021/08/05,338
2021/08/06,181
2021/08/07,234
2021/08/08,170
2021/08/09,105
2021/08/10,133
2021/08/11,194
2021/08/12,236
2021/08/13,203
2021/08/14,239
2021/08/15,121
2021/08/16,144
2021/08/17,133
2021/08/18,171
2021/08/19,175
2021/08/20,186
2021/08/21,150
2021/08/22,111
2021/08/23,139
2021/08/24,80
2021/08/25,192
2021/08/26,164
2021/08/27,149
2021/08/28,90
2021/08/29,143
2021/08/30,48
2021/08/31,103
2021/09/01,157
2021/09/02,72
2021/09/03,85
2021/09/04,47
2021/09/05,66
2021/09/06,26
2021/09/07,34
2021/09/08,68
2021/09/09,41
2021/09/10,48
2021/09/11,52
2021/09/12,36
2021/09/13,34
2021/09/14,17
2021/09/15,25
2021/09/16,31
2021/09/17,30
2021/09/18,24
2021/09/19,27
2021/09/20,11
2021/09/21,13
2021/09/22,22
2021/09/23,11
2021/09/24,27
2021/09/25,9
2021/09/26,32
2021/09/27,10
2021/09/28,18
2021/09/29,17
2021/09/30,19
2021/10/01,18
2021/10/02,9
2021/10/03,5
2021/10/04,7
2021/10/05,2
2021/10/06,16
2021/10/07,17
2021/10/08,9
2021/10/09,11
2021/10/10,4
2021/10/11,9
2021/10/12,19
2021/10/13,8
2021/10/14,9
2021/10/15,7
2021/10/16,10
2021/10/17,4
2021/10/18,0
2021/10/19,6
2021/10/20,6
2021/10/21,3
2021/10/22,11
2021/10/23,15
2021/10/24,0
2021/10/25,3
2021/10/26,0
2021/10/27,5
2021/10/28,7
2021/10/29,2
2021/10/30,6
2021/10/31,3
2021/11/01,4
2021/11/02,2
2021/11/03,2
2021/11/04,10
2021/11/05,6
2021/11/06,13
2021/11/07,1
2021/11/08,6
2021/11/09,9
2021/11/10,6
2021/11/11,9
2021/11/12,24
2021/11/13,11
2021/11/14,23
2021/11/15,1
2021/11/16,31
2021/11/17,19
2021/11/18,31
2021/11/19,25
2021/11/20,36
2021/11/21,18
2021/11/22,5
2021/11/23,6
2021/11/24,25
2021/11/25,8
2021/11/26,12
2021/11/27,10
2021/11/28,17
2021/11/29,18
2021/11/30,6
2021/12/01,8
2021/12/02,29
2021/12/03,12
2021/12/04,16
2021/12/05,35
2021/12/06,15
2021/12/07,23
2021/12/08,21
2021/12/09,25
2021/12/10,26
2021/12/11,71
2021/12/12,36
2021/12/13,80
2021/12/14,32
2021/12/15,82
2021/12/16,85
2021/12/17,68
2021/12/18,75
2021/12/19,56
2021/12/20,95
2021/12/21,58
2021/12/22,102
2021/12/23,89
2021/12/24,154
2021/12/25,233
2021/12/26,135
2021/12/27,160
2021/12/28,157
2021/12/29,357
2021/12/30,213
2021/12/31,260
2022/01/01,137
2022/01/02,202
2022/01/03,163
2022/01/04,173
2022/01/05,123
2022/01/06,384
2022/01/07,369
2022/01/08,264
2022/01/09,227
2022/01/10,137
2022/01/11,174
2022/01/12,289
2022/01/13,302
2022/01/14,341
2022/01/15,333
2022/01/16,356
2022/01/17,167
2022/01/18,298
2022/01/19,406
2022/01/20,277
2022/01/21,422
2022/01/22,232
2022/01/23,227
2022/01/24,118
2022/01/25,371
2022/01/26,244
2022/01/27,226
2022/01/28,251
2022/01/29,278
2022/01/30,120
2022/01/31,306
2022/02/01,178
2022/02/02,429
2022/02/03,479
2022/02/04,366
2022/02/05,1190
2022/02/06,994
2022/02/07,418
2022/02/08,1093
2022/02/09,1011
2022/02/10,811
2022/02/11,735
