Datas,Bari
2021/02/12,438
2021/02/13,315
2021/02/14,311
2021/02/15,115
2021/02/16,237
2021/02/17,342
2021/02/18,326
2021/02/19,359
2021/02/20,368
2021/02/21,336
2021/02/22,174
2021/02/23,308
2021/02/24,561
2021/02/25,420
2021/02/26,429
2021/02/27,506
2021/02/28,573
2021/03/01,292
2021/03/02,410
2021/03/03,586
2021/03/04,646
2021/03/05,610
2021/03/06,600
2021/03/07,570
2021/03/08,301
2021/03/09,524
2021/03/10,797
2021/03/11,725
2021/03/12,714
2021/03/13,778
2021/03/14,687
2021/03/15,357
2021/03/16,445
2021/03/17,570
2021/03/18,1048
2021/03/19,652
2021/03/20,824
2021/03/21,623
2021/03/22,500
2021/03/23,638
2021/03/24,755
2021/03/25,858
2021/03/26,817
2021/03/27,820
2021/03/28,561
2021/03/29,350
2021/03/30,521
2021/03/31,767
2021/04/01,860
2021/04/02,776
2021/04/03,711
2021/04/04,588
2021/04/05,211
2021/04/06,161
2021/04/07,400
2021/04/08,809
2021/04/09,625
2021/04/10,530
2021/04/11,563
2021/04/12,297
2021/04/13,256
2021/04/14,655
2021/04/15,681
2021/04/16,562
2021/04/17,566
2021/04/18,474
2021/04/19,278
2021/04/20,267
2021/04/21,406
2021/04/22,730
2021/04/23,658
2021/04/24,333
2021/04/25,498
2021/04/26,100
2021/04/27,194
2021/04/28,502
2021/04/29,422
2021/04/30,320
2021/05/01,377
2021/05/02,213
2021/05/03,54
2021/05/04,317
2021/05/05,434
2021/05/06,253
2021/05/07,221
2021/05/08,278
2021/05/09,229
2021/05/10,32
2021/05/11,213
2021/05/12,209
2021/05/13,141
2021/05/14,131
2021/05/15,120
2021/05/16,95
2021/05/17,23
2021/05/18,125
2021/05/19,160
2021/05/20,81
2021/05/21,92
2021/05/22,106
2021/05/23,80
2021/05/24,2
2021/05/25,113
2021/05/26,49
2021/05/27,58
2021/05/28,51
2021/05/29,61
2021/05/30,11
2021/05/31,22
2021/06/01,67
2021/06/02,44
2021/06/03,8
2021/06/04,45
2021/06/05,44
2021/06/06,18
2021/06/07,4
2021/06/08,19
2021/06/09,77
2021/06/10,23
2021/06/11,38
2021/06/12,43
2021/06/13,13
2021/06/14,8
2021/06/15,60
2021/06/16,17
2021/06/17,20
2021/06/18,23
2021/06/19,11
2021/06/20,9
2021/06/21,1
2021/06/22,24
2021/06/23,18
2021/06/24,10
2021/06/25,14
2021/06/26,15
2021/06/27,2
2021/06/28,0
2021/06/29,27
2021/06/30,8
2021/07/01,5
2021/07/02,8
2021/07/03,4
2021/07/04,4
2021/07/05,1
2021/07/06,18
2021/07/07,7
2021/07/08,12
2021/07/09,9
2021/07/10,10
2021/07/11,7
2021/07/12,3
2021/07/13,30
2021/07/14,9
2021/07/15,5
2021/07/16,10
2021/07/17,16
2021/07/18,26
2021/07/19,14
2021/07/20,20
2021/07/21,35
2021/07/22,33
2021/07/23,39
2021/07/24,37
2021/07/25,43
2021/07/26,13
2021/07/27,30
2021/07/28,52
2021/07/29,21
2021/07/30,33
2021/07/31,60
2021/08/01,32
2021/08/02,10
2021/08/03,31
2021/08/04,98
2021/08/05,35
2021/08/06,70
2021/08/07,63
2021/08/08,40
2021/08/09,21
2021/08/10,35
2021/08/11,78
2021/08/12,38
2021/08/13,82
2021/08/14,64
2021/08/15,46
2021/08/16,14
2021/08/17,19
2021/08/18,92
2021/08/19,37
2021/08/20,54
2021/08/21,79
2021/08/22,46
2021/08/23,26
2021/08/24,16
2021/08/25,101
2021/08/26,67
2021/08/27,41
2021/08/28,77
2021/08/29,37
2021/08/30,15
2021/08/31,37
2021/09/01,79
