Datas,Chieti
2021/02/12,128
2021/02/13,114
2021/02/14,77
2021/02/15,119
2021/02/16,112
2021/02/17,147
2021/02/18,192
2021/02/19,96
2021/02/20,173
2021/02/21,136
2021/02/22,155
2021/02/23,76
2021/02/24,172
2021/02/25,255
2021/02/26,201
2021/02/27,160
2021/02/28,95
2021/03/01,106
2021/03/02,85
2021/03/03,191
2021/03/04,159
2021/03/05,130
2021/03/06,140
2021/03/07,104
2021/03/08,96
2021/03/09,82
2021/03/10,75
2021/03/11,147
2021/03/12,173
2021/03/13,103
2021/03/14,87
2021/03/15,105
2021/03/16,58
2021/03/17,74
2021/03/18,59
2021/03/19,163
2021/03/20,163
2021/03/21,87
2021/03/22,62
2021/03/23,44
2021/03/24,67
2021/03/25,81
2021/03/26,109
2021/03/27,109
2021/03/28,53
2021/03/29,116
2021/03/30,17
2021/03/31,123
2021/04/01,115
2021/04/02,101
2021/04/03,60
2021/04/04,88
2021/04/05,0
2021/04/06,0
2021/04/07,65
2021/04/08,68
2021/04/09,87
2021/04/10,77
2021/04/11,45
2021/04/12,54
2021/04/13,13
2021/04/14,62
2021/04/15,40
2021/04/16,43
2021/04/17,54
2021/04/18,59
2021/04/19,32
2021/04/20,37
2021/04/21,49
2021/04/22,84
2021/04/23,40
2021/04/24,56
2021/04/25,37
2021/04/26,51
2021/04/27,5
2021/04/28,56
2021/04/29,59
2021/04/30,47
2021/05/01,80
2021/05/02,82
2021/05/03,16
2021/05/04,20
2021/05/05,71
2021/05/06,80
2021/05/07,82
2021/05/08,17
2021/05/09,35
2021/05/10,43
2021/05/11,2
2021/05/12,63
2021/05/13,28
2021/05/14,54
2021/05/15,39
2021/05/16,41
2021/05/17,17
2021/05/18,6
2021/05/19,22
2021/05/20,28
2021/05/21,17
2021/05/22,10
2021/05/23,18
2021/05/24,9
2021/05/25,8
2021/05/26,19
2021/05/27,9
2021/05/28,13
2021/05/29,27
2021/05/30,12
2021/05/31,12
2021/06/01,3
2021/06/02,29
2021/06/03,3
2021/06/04,3
2021/06/05,12
2021/06/06,11
2021/06/07,3
2021/06/08,-5
2021/06/09,5
2021/06/10,17
2021/06/11,12
2021/06/12,7
2021/06/13,2
2021/06/14,0
