Datas,Verbano-Cusio-Ossola
2021/02/11,36
2021/02/12,20
2021/02/13,47
2021/02/14,61
2021/02/15,11
2021/02/16,38
2021/02/17,81
2021/02/18,1
2021/02/19,69
2021/02/20,58
2021/02/21,67
2021/02/22,52
2021/02/23,14
2021/02/24,92
2021/02/25,80
2021/02/26,101
2021/02/27,54
2021/02/28,80
2021/03/01,65
2021/03/02,13
2021/03/03,44
2021/03/04,124
2021/03/05,136
2021/03/06,90
2021/03/07,46
2021/03/08,73
2021/03/09,63
2021/03/10,87
2021/03/11,74
2021/03/12,126
2021/03/13,62
2021/03/14,33
2021/03/15,54
2021/03/16,31
2021/03/17,86
2021/03/18,93
2021/03/19,79
2021/03/20,64
2021/03/21,58
2021/03/22,54
2021/03/23,12
2021/03/24,49
2021/03/25,121
2021/03/26,61
2021/03/27,64
2021/03/28,49
2021/03/29,57
2021/03/30,21
2021/03/31,61
2021/04/01,86
2021/04/02,60
2021/04/03,43
2021/04/04,43
2021/04/05,7
2021/04/06,21
2021/04/07,12
2021/04/08,32
2021/04/09,35
2021/04/10,32
2021/04/11,61
2021/04/12,6
2021/04/13,12
2021/04/14,20
2021/04/15,15
2021/04/16,25
2021/04/17,19
2021/04/18,43
2021/04/19,29
2021/04/20,0
2021/04/21,16
2021/04/22,49
2021/04/23,48
2021/04/24,37
2021/04/25,11
2021/04/26,27
2021/04/27,16
2021/04/28,22
2021/04/29,51
2021/04/30,62
2021/05/01,20
2021/05/02,65
2021/05/03,7
2021/05/04,8
2021/05/05,29
2021/05/06,30
2021/05/07,14
2021/05/08,27
2021/05/09,27
2021/05/10,19
2021/05/11,2
2021/05/12,23
2021/05/13,16
2021/05/14,11
2021/05/15,30
2021/05/16,14
2021/05/17,9
2021/05/18,16
2021/05/19,23
2021/05/20,25
2021/05/21,29
2021/05/22,25
2021/05/23,3
2021/05/24,0
2021/05/25,7
2021/05/26,7
2021/05/27,13
2021/05/28,5
2021/05/29,10
2021/05/30,11
2021/05/31,1
2021/06/01,9
2021/06/02,12
2021/06/03,7
2021/06/04,8
2021/06/05,6
2021/06/06,3
2021/06/07,0
2021/06/08,0
2021/06/09,8
2021/06/10,3
2021/06/11,3
2021/06/12,1
2021/06/13,0
2021/06/14,0
2021/06/15,1
2021/06/16,2
2021/06/17,1
2021/06/18,1
2021/06/19,2
2021/06/20,1
2021/06/21,1
2021/06/22,1
2021/06/23,1
2021/06/24,1
2021/06/25,2
2021/06/26,2
2021/06/27,0
2021/06/28,0
2021/06/29,0
2021/06/30,2
2021/07/01,2
2021/07/02,1
2021/07/03,1
2021/07/04,0
2021/07/05,1
2021/07/06,2
2021/07/07,1
2021/07/08,4
2021/07/09,2
2021/07/10,4
2021/07/11,1
2021/07/12,1
2021/07/13,1
2021/07/14,5
2021/07/15,1
2021/07/16,2
2021/07/17,0
2021/07/18,1
2021/07/19,1
2021/07/20,1
2021/07/21,0
2021/07/22,3
2021/07/23,1
2021/07/24,2
2021/07/25,0
2021/07/26,2
2021/07/27,59
2021/07/28,9
2021/07/29,17
2021/07/30,13
2021/07/31,18
2021/08/01,5
2021/08/02,9
2021/08/03,7
2021/08/04,12
2021/08/05,10
2021/08/06,13
2021/08/07,13
2021/08/08,7
2021/08/09,14
2021/08/10,9
2021/08/11,11
2021/08/12,18
2021/08/13,23
2021/08/14,16
2021/08/15,9
2021/08/16,9
2021/08/17,12
2021/08/18,17
2021/08/19,11
2021/08/20,8
2021/08/21,7
2021/08/22,3
2021/08/23,8
2021/08/24,11
2021/08/25,7
2021/08/26,16
2021/08/27,12
2021/08/28,9
2021/08/29,6
2021/08/30,8
2021/08/31,1
2021/09/01,12
2021/09/02,12
2021/09/03,7
2021/09/04,15
2021/09/05,7
2021/09/06,6
2021/09/07,9
2021/09/08,5
2021/09/09,3
2021/09/10,7
2021/09/11,11
2021/09/12,4
2021/09/13,1
2021/09/14,3
2021/09/15,8
2021/09/16,7
2021/09/17,3
2021/09/18,4
2021/09/19,4
2021/09/20,3
2021/09/21,6
2021/09/22,9
2021/09/23,11
2021/09/24,13
2021/09/25,8
2021/09/26,10
2021/09/27,4
2021/09/28,10
2021/09/29,1
2021/09/30,9
2021/10/01,10
2021/10/02,8
2021/10/03,4
2021/10/04,5
2021/10/05,5
2021/10/06,8
2021/10/07,3
2021/10/08,1
2021/10/09,4
2021/10/10,1
2021/10/11,5
2021/10/12,4
2021/10/13,3
2021/10/14,5
2021/10/15,3
2021/10/16,3
2021/10/17,0
2021/10/18,0
2021/10/19,5
2021/10/20,5
2021/10/21,9
2021/10/22,6
2021/10/23,4
2021/10/24,2
2021/10/25,2
2021/10/26,3
2021/10/27,4
2021/10/28,18
2021/10/29,6
2021/10/30,3
2021/10/31,2
2021/11/01,0
2021/11/02,2
2021/11/03,16
2021/11/04,13
2021/11/05,7
2021/11/06,8
2021/11/07,8
2021/11/08,3
2021/11/09,13
2021/11/10,10
2021/11/11,7
2021/11/12,12
2021/11/13,7
2021/11/14,3
2021/11/15,16
2021/11/16,30
2021/11/17,31
2021/11/18,49
2021/11/19,21
2021/11/20,39
2021/11/21,37
2021/11/22,15
2021/11/23,35
2021/11/24,25
2021/11/25,56
2021/11/26,56
2021/11/27,37
2021/11/28,24
2021/11/29,20
2021/11/30,39
2021/12/01,43
2021/12/02,66
2021/12/03,66
2021/12/04,57
2021/12/05,48
2021/12/06,47
2021/12/07,91
2021/12/08,78
2021/12/09,25
2021/12/10,103
2021/12/11,82
2021/12/12,112
2021/12/13,71
2021/12/14,94
2021/12/15,79
2021/12/16,78
2021/12/17,118
2021/12/18,98
2021/12/19,88
2021/12/20,64
2021/12/21,78
2021/12/22,119
2021/12/23,161
2021/12/24,159
2021/12/25,120
2021/12/26,74
2021/12/27,165
2021/12/28,207
2021/12/29,306
2021/12/30,404
2021/12/31,390
2022/01/01,326
2022/01/02,132
2022/01/03,200
2022/01/04,768
2022/01/05,712
2022/01/06,668
2022/01/07,392
2022/01/08,807
2022/01/09,389
2022/01/10,404
2022/01/11,653
2022/01/12,602
2022/01/13,506
2022/01/14,476
2022/01/15,518
2022/01/16,652
2022/01/17,382
2022/01/18,578
2022/01/19,488
2022/01/20,481
2022/01/21,407
2022/01/22,327
2022/01/23,286
2022/01/24,293
2022/01/25,566
2022/01/26,355
2022/01/27,281
2022/01/28,292
2022/01/29,280
2022/01/30,172
2022/01/31,235
2022/02/01,289
2022/02/02,240
2022/02/03,214
2022/02/04,166
2022/02/05,168
2022/02/06,96
2022/02/07,129
2022/02/08,173
2022/02/09,133
2022/02/10,102
2022/02/11,115
2022/02/12,107
2022/02/13,67
2022/02/14,92
2022/02/15,91
2022/02/16,96
2022/02/17,131
2022/02/18,73
2022/02/19,68
2022/02/20,60
2022/02/21,98
2022/02/22,99
2022/02/23,109
2022/02/24,116
2022/02/25,85
2022/02/26,86
2022/02/27,37
2022/02/28,95
2022/03/01,95
2022/03/02,92
2022/03/03,98
2022/03/04,76
2022/03/05,68
2022/03/06,59
2022/03/07,77
2022/03/08,122
2022/03/09,103
2022/03/10,136
2022/03/11,79
2022/03/12,96
2022/03/13,76
2022/03/14,107
2022/03/15,145
2022/03/16,131
2022/03/17,137
2022/03/18,131
2022/03/19,157
2022/03/20,81
2022/03/21,156
2022/03/22,165
2022/03/23,139
2022/03/24,137
2022/03/25,120
2022/03/26,105
2022/03/27,63
2022/03/28,119
2022/03/29,161
2022/03/30,140
2022/03/31,120
2022/04/01,155
2022/04/02,102
2022/04/03,75
2022/04/04,122
2022/04/05,146
2022/04/06,132
2022/04/07,102
2022/04/08,102
2022/04/09,111
2022/04/10,78
2022/04/11,114
