Datas,Latina
2021/02/13,1
2021/02/14,0
2021/02/15,226
2021/02/16,102
2021/02/17,99
2021/02/18,12
2021/02/19,60
2021/02/20,82
2021/02/21,3
2021/02/22,78
2021/02/23,250
2021/02/24,59
2021/02/25,121
2021/02/26,157
2021/02/27,4
2021/02/28,1
2021/03/01,350
2021/03/02,14
2021/03/03,91
2021/03/04,8
2021/03/05,181
2021/03/06,304
2021/03/07,5
2021/03/08,5
2021/03/09,367
2021/03/10,116
2021/03/11,165
2021/03/12,152
2021/03/13,3
2021/03/14,0
2021/03/15,58
2021/03/16,7
2021/03/17,613
2021/03/18,143
2021/03/19,220
2021/03/20,6
2021/03/21,1
2021/03/22,200
2021/03/23,467
2021/03/24,130
2021/03/25,13
2021/03/26,167
2021/03/27,222
2021/03/28,5
2021/03/29,145
2021/03/30,244
2021/03/31,243
2021/04/01,7
2021/04/02,195
2021/04/03,3
2021/04/04,309
2021/04/05,7
2021/04/06,205
2021/04/07,293
2021/04/08,69
2021/04/09,132
2021/04/10,2
2021/04/11,1
2021/04/12,144
2021/04/13,455
2021/04/14,273
2021/04/15,5
2021/04/16,142
2021/04/17,3
2021/04/18,3
2021/04/19,155
2021/04/20,390
2021/04/21,220
2021/04/22,193
2021/04/23,4
2021/04/24,139
2021/04/25,1
2021/04/26,-1
2021/04/27,607
2021/04/28,99
2021/04/29,8
2021/04/30,342
2021/05/01,110
2021/05/02,4
2021/05/03,134
2021/05/04,193
2021/05/05,88
2021/05/06,91
2021/05/07,11
2021/05/08,9
2021/05/09,1
2021/05/10,277
2021/05/11,315
2021/05/12,43
2021/05/13,5
2021/05/14,155
2021/05/15,2
2021/05/16,1
2021/05/17,238
2021/05/18,43
2021/05/19,71
2021/05/20,5
2021/05/21,21
2021/05/22,0
2021/05/23,5
2021/05/24,64
2021/05/25,102
2021/05/26,73
2021/05/27,1
2021/05/28,26
2021/05/29,4
2021/05/30,1
2021/05/31,95
2021/06/01,14
2021/06/02,0
2021/06/03,0
2021/06/04,28
2021/06/05,1
2021/06/06,1
2021/06/07,47
2021/06/08,48
2021/06/09,15
2021/06/10,18
2021/06/11,2
2021/06/12,1
2021/06/13,-1
2021/06/14,79
2021/06/15,13
2021/06/16,0
2021/06/17,6
2021/06/18,0
2021/06/19,3
2021/06/20,-1
2021/06/21,74
2021/06/22,1
2021/06/23,22
2021/06/24,5
2021/06/25,3
2021/06/26,1
2021/06/27,2
2021/06/28,4
2021/06/29,-3
2021/06/30,3
2021/07/01,0
2021/07/02,5
2021/07/03,5
2021/07/04,4
2021/07/05,-2
2021/07/06,1
2021/07/07,3
2021/07/08,0
2021/07/09,3
2021/07/10,7
2021/07/11,7
2021/07/12,2
2021/07/13,3
2021/07/14,1
2021/07/15,5
2021/07/16,12
2021/07/17,37
2021/07/18,7
2021/07/19,58
2021/07/20,22
2021/07/21,2
2021/07/22,86
2021/07/23,3
2021/07/24,2
2021/07/25,4
2021/07/26,137
2021/07/27,52
2021/07/28,10
2021/07/29,1
2021/07/30,126
2021/07/31,67
2021/08/01,46
2021/08/02,12
2021/08/03,28
2021/08/04,18
2021/08/05,30
2021/08/06,100
2021/08/07,89
2021/08/08,46
2021/08/09,22
2021/08/10,50
2021/08/11,54
2021/08/12,47
2021/08/13,47
2021/08/14,61
2021/08/15,24
2021/08/16,41
2021/08/17,23
2021/08/18,38
2021/08/19,49
2021/08/20,81
2021/08/21,38
2021/08/22,39
2021/08/23,22
2021/08/24,54
2021/08/25,32
2021/08/26,57
2021/08/27,65
2021/08/28,27
2021/08/29,58
2021/08/30,20
2021/08/31,21
2021/09/01,40
2021/09/02,43
2021/09/03,47
2021/09/04,32
2021/09/05,28
2021/09/06,31
2021/09/07,13
2021/09/08,65
2021/09/09,21
2021/09/10,36
2021/09/11,15
2021/09/12,34
2021/09/13,19
2021/09/14,12
2021/09/15,39
2021/09/16,44
2021/09/17,21
2021/09/18,34
2021/09/19,25
2021/09/20,14
2021/09/21,16
2021/09/22,18
2021/09/23,76
2021/09/24,14
2021/09/25,43
2021/09/26,16
2021/09/27,6
2021/09/28,23
2021/09/29,45
2021/09/30,20
2021/10/01,9
2021/10/02,39
2021/10/03,21
2021/10/04,23
2021/10/05,18
2021/10/06,13
2021/10/07,41
2021/10/08,35
2021/10/09,22
2021/10/10,20
2021/10/11,23
2021/10/12,10
2021/10/13,27
2021/10/14,42
2021/10/15,22
2021/10/16,35
2021/10/17,29
2021/10/18,21
2021/10/19,22
2021/10/20,42
2021/10/21,59
2021/10/22,54
2021/10/23,29
2021/10/24,50
2021/10/25,29
2021/10/26,25
2021/10/27,67
2021/10/28,51
2021/10/29,46
2021/10/30,39
2021/10/31,66
2021/11/01,27
2021/11/02,8
2021/11/03,40
2021/11/04,47
2021/11/05,100
2021/11/06,39
2021/11/07,95
2021/11/08,35
2021/11/09,22
2021/11/10,110
2021/11/11,81
2021/11/12,145
2021/11/13,97
2021/11/14,109
2021/11/15,48
2021/11/16,30
2021/11/17,106
2021/11/18,72
2021/11/19,147
2021/11/20,124
2021/11/21,121
2021/11/22,87
2021/11/23,76
2021/11/24,137
2021/11/25,133
2021/11/26,160
2021/11/27,95
2021/11/28,156
2021/11/29,76
2021/11/30,79
2021/12/01,132
2021/12/02,97
2021/12/03,122
2021/12/04,198
