Datas,Belluno
2021/02/13,41
2021/02/14,37
2021/02/15,3
2021/02/16,31
2021/02/17,33
2021/02/18,68
2021/02/19,20
2021/02/20,53
2021/02/21,27
2021/02/22,2
2021/02/23,53
2021/02/24,36
2021/02/25,53
2021/02/26,47
2021/02/27,51
2021/02/28,29
2021/03/01,0
2021/03/02,69
2021/03/03,39
2021/03/04,58
2021/03/05,76
2021/03/06,56
2021/03/07,65
2021/03/08,55
2021/03/09,71
2021/03/10,50
2021/03/11,81
2021/03/12,94
2021/03/13,87
2021/03/14,81
2021/03/15,19
2021/03/16,81
2021/03/17,97
2021/03/18,76
2021/03/19,89
2021/03/20,63
2021/03/21,78
2021/03/22,5
2021/03/23,36
2021/03/24,101
2021/03/25,96
2021/03/26,80
2021/03/27,65
2021/03/28,55
2021/03/29,57
2021/03/30,62
2021/03/31,68
2021/04/01,74
2021/04/02,53
2021/04/03,41
2021/04/04,34
2021/04/05,24
2021/04/06,15
2021/04/07,49
2021/04/08,42
2021/04/09,41
2021/04/10,38
2021/04/11,44
2021/04/12,13
2021/04/13,31
2021/04/14,35
2021/04/15,37
2021/04/16,30
2021/04/17,53
2021/04/18,27
2021/04/19,7
2021/04/20,53
2021/04/21,15
2021/04/22,26
2021/04/23,22
2021/04/24,17
2021/04/25,13
2021/04/26,9
2021/04/27,23
2021/04/28,24
2021/04/29,9
2021/04/30,25
2021/05/01,28
2021/05/02,15
2021/05/03,13
2021/05/04,18
2021/05/05,23
2021/05/06,25
2021/05/07,10
2021/05/08,16
2021/05/09,15
2021/05/10,10
2021/05/11,15
2021/05/12,11
2021/05/13,4
2021/05/14,19
2021/05/15,9
2021/05/16,1
2021/05/17,6
2021/05/18,6
2021/05/19,6
2021/05/20,21
2021/05/21,4
2021/05/22,14
2021/05/23,0
2021/05/24,4
2021/05/25,3
2021/05/26,9
2021/05/27,13
2021/05/28,2
2021/05/29,12
2021/05/30,2
2021/05/31,1
2021/06/01,0
2021/06/02,5
2021/06/03,0
2021/06/04,8
2021/06/05,10
2021/06/06,0
2021/06/07,2
2021/06/08,3
2021/06/09,3
2021/06/10,1
2021/06/11,2
2021/06/12,4
2021/06/13,1
2021/06/14,1
2021/06/15,2
2021/06/16,0
2021/06/17,6
2021/06/18,-1
2021/06/19,2
2021/06/20,1
2021/06/21,1
2021/06/22,0
2021/06/23,1
2021/06/24,1
2021/06/25,0
2021/06/26,0
2021/06/27,0
2021/06/28,0
2021/06/29,1
2021/06/30,0
2021/07/01,4
2021/07/02,8
2021/07/03,2
2021/07/04,0
2021/07/05,5
2021/07/06,5
2021/07/07,4
2021/07/08,3
2021/07/09,8
2021/07/10,0
2021/07/11,5
2021/07/12,4
2021/07/13,4
2021/07/14,4
2021/07/15,3
2021/07/16,3
2021/07/17,7
2021/07/18,15
2021/07/19,7
2021/07/20,9
2021/07/21,10
2021/07/22,21
2021/07/23,12
2021/07/24,13
2021/07/25,12
2021/07/26,1
2021/07/27,26
2021/07/28,15
2021/07/29,17
2021/07/30,19
2021/07/31,8
2021/08/01,2
2021/08/02,13
2021/08/03,27
2021/08/04,23
2021/08/05,15
2021/08/06,13
2021/08/07,21
2021/08/08,15
2021/08/09,24
2021/08/10,19
2021/08/11,15
2021/08/12,15
2021/08/13,12
2021/08/14,20
2021/08/15,4
2021/08/16,0
2021/08/17,11
2021/08/18,11
2021/08/19,19
2021/08/20,8
2021/08/21,13
2021/08/22,23
2021/08/23,2
2021/08/24,17
2021/08/25,29
2021/08/26,26
2021/08/27,14
2021/08/28,23
2021/08/29,18
2021/08/30,1
2021/08/31,14
2021/09/01,9
2021/09/02,33
2021/09/03,18
2021/09/04,17
2021/09/05,20
2021/09/06,1
2021/09/07,20
2021/09/08,31
2021/09/09,25
2021/09/10,14
2021/09/11,20
2021/09/12,16
2021/09/13,8
2021/09/14,26
2021/09/15,21
2021/09/16,17
2021/09/17,16
2021/09/18,18
2021/09/19,4
2021/09/20,3
2021/09/21,11
2021/09/22,20
2021/09/23,22
2021/09/24,14
2021/09/25,13
2021/09/26,8
2021/09/27,0
2021/09/28,6
2021/09/29,12
2021/09/30,6
2021/10/01,6
2021/10/02,7
2021/10/03,6
2021/10/04,-2
2021/10/05,5
2021/10/06,14
2021/10/07,1
2021/10/08,7
2021/10/09,11
2021/10/10,5
2021/10/11,-1
2021/10/12,12
2021/10/13,12
2021/10/14,5
2021/10/15,12
2021/10/16,5
2021/10/17,12
2021/10/18,9
2021/10/19,13
2021/10/20,9
2021/10/21,6
2021/10/22,10
2021/10/23,7
2021/10/24,12
2021/10/25,6
2021/10/26,22
2021/10/27,12
2021/10/28,24
2021/10/29,20
2021/10/30,31
2021/10/31,14
2021/11/01,4
2021/11/02,15
2021/11/03,28
2021/11/04,45
2021/11/05,33
2021/11/06,33
2021/11/07,18
2021/11/08,9
2021/11/09,47
2021/11/10,13
2021/11/11,47
2021/11/12,35
2021/11/13,55
2021/11/14,33
2021/11/15,16
2021/11/16,40
2021/11/17,47
2021/11/18,59
2021/11/19,26
2021/11/20,51
2021/11/21,52
2021/11/22,42
2021/11/23,50
2021/11/24,61
2021/11/25,54
2021/11/26,48
2021/11/27,57
2021/11/28,55
2021/11/29,38
2021/11/30,107
2021/12/01,86
2021/12/02,80
2021/12/03,131
2021/12/04,97
2021/12/05,39
2021/12/06,61
2021/12/07,61
2021/12/08,73
2021/12/09,56
2021/12/10,102
2021/12/11,99
2021/12/12,87
2021/12/13,46
2021/12/14,112
2021/12/15,90
2021/12/16,137
2021/12/17,93
2021/12/18,93
2021/12/19,108
2021/12/20,54
2021/12/21,82
2021/12/22,101
2021/12/23,155
2021/12/24,142
2021/12/25,123
2021/12/26,82
2021/12/27,103
2021/12/28,127
2021/12/29,246
2021/12/30,440
2021/12/31,211
2022/01/01,315
2022/01/02,82
2022/01/03,377
2022/01/04,299
2022/01/05,438
2022/01/06,574
2022/01/07,242
2022/01/08,762
2022/01/09,562
2022/01/10,290
2022/01/11,672
2022/01/12,601
2022/01/13,756
2022/01/14,704
2022/01/15,777
2022/01/16,445
2022/01/17,190
2022/01/18,951
2022/01/19,854
2022/01/20,509
2022/01/21,795
2022/01/22,745
2022/01/23,514
2022/01/24,191
2022/01/25,1897
2022/01/26,782
2022/01/27,373
2022/01/28,794
2022/01/29,688
2022/01/30,418
2022/01/31,195
2022/02/01,629
2022/02/02,554
2022/02/03,450
2022/02/04,389
2022/02/05,411
2022/02/06,308
2022/02/07,98
2022/02/08,445
2022/02/09,252
2022/02/10,285
2022/02/11,286
2022/02/12,235
2022/02/13,216
2022/02/14,79
2022/02/15,302
2022/02/16,154
2022/02/17,266
2022/02/18,188
2022/02/19,157
2022/02/20,182
2022/02/21,78
2022/02/22,183
2022/02/23,179
2022/02/24,187
2022/02/25,132
2022/02/26,169
2022/02/27,110
2022/02/28,41
2022/03/01,180
2022/03/02,127
2022/03/03,105
2022/03/04,122
2022/03/05,128
2022/03/06,93
2022/03/07,52
2022/03/08,158
2022/03/09,105
2022/03/10,132
2022/03/11,123
2022/03/12,139
2022/03/13,147
2022/03/14,25
2022/03/15,211
2022/03/16,174
2022/03/17,170
2022/03/18,155
2022/03/19,167
2022/03/20,138
2022/03/21,30
2022/03/22,281
2022/03/23,175
2022/03/24,222
2022/03/25,176
2022/03/26,180
2022/03/27,135
2022/03/28,57
2022/03/29,271
2022/03/30,186
2022/03/31,248
2022/04/01,160
2022/04/02,230
2022/04/03,168
2022/04/04,32
2022/04/05,276
2022/04/06,253
2022/04/07,210
2022/04/08,202
2022/04/09,202
2022/04/10,280
2022/04/11,61
2022/04/12,334
2022/04/13,255
2022/04/14,264
2022/04/15,237
2022/04/16,232
2022/04/17,169
2022/04/18,98
2022/04/19,77
2022/04/20,276
2022/04/21,274
2022/04/22,210
2022/04/23,268
2022/04/24,138
2022/04/25,66
2022/04/26,39
2022/04/27,301
2022/04/28,157
2022/04/29,183
2022/04/30,137
2022/05/01,134
2022/05/02,54
2022/05/03,154
2022/05/04,143
2022/05/05,139
2022/05/06,82
2022/05/07,181
2022/05/08,145
2022/05/09,13
2022/05/10,174
2022/05/11,137
2022/05/12,108
2022/05/13,128
2022/05/14,99
2022/05/15,97
2022/05/16,18
2022/05/17,153
2022/05/18,124
2022/05/19,85
2022/05/20,71
2022/05/21,76
2022/05/22,42
2022/05/23,16
2022/05/24,89
2022/05/25,53
2022/05/26,93
2022/05/27,72
2022/05/28,57
2022/05/29,28
2022/05/30,5
2022/05/31,72
2022/06/01,40
2022/06/02,49
2022/06/03,14
2022/06/04,93
2022/06/05,49
2022/06/06,11
2022/06/07,90
2022/06/08,62
2022/06/09,90
2022/06/10,85
2022/06/11,63
2022/06/12,58
2022/06/13,17
2022/06/14,106
2022/06/15,158
2022/06/16,142
2022/06/17,148
2022/06/18,154
2022/06/19,122
2022/06/20,36
2022/06/21,228
2022/06/22,195
2022/06/23,228
2022/06/24,189
2022/06/25,238
2022/06/26,152
2022/06/27,71
2022/06/28,365
2022/06/29,274
2022/06/30,376
2022/07/01,332
2022/07/02,295
2022/07/03,258
2022/07/04,49
2022/07/05,517
2022/07/06,368
2022/07/07,319
2022/07/08,328
2022/07/09,322
2022/07/10,274
2022/07/11,62
2022/07/12,484
2022/07/13,392
2022/07/14,374
2022/07/15,359
2022/07/16,409
2022/07/17,222
2022/07/18,63
2022/07/19,444
2022/07/20,291
2022/07/21,226
2022/07/22,356
2022/07/23,247
2022/07/24,204
2022/07/25,64
2022/07/26,342
2022/07/27,286
2022/07/28,238
2022/07/29,258
2022/07/30,173
2022/07/31,172
2022/08/01,53
2022/08/02,290
