Datas,Piacenza
2021/02/12,75
2021/02/13,71
2021/02/14,67
2021/02/15,47
2021/02/16,46
2021/02/17,46
2021/02/18,44
2021/02/19,57
2021/02/20,62
2021/02/21,40
2021/02/22,19
2021/02/23,87
2021/02/24,56
2021/02/25,57
2021/02/26,46
2021/02/27,107
2021/02/28,39
2021/03/01,42
2021/03/02,68
2021/03/03,63
2021/03/04,58
2021/03/05,77
2021/03/06,70
2021/03/07,43
2021/03/08,40
2021/03/09,85
2021/03/10,64
2021/03/11,33
2021/03/12,106
2021/03/13,55
2021/03/14,37
2021/03/15,38
2021/03/16,78
2021/03/17,31
2021/03/18,85
2021/03/19,50
2021/03/20,63
2021/03/21,36
2021/03/22,38
2021/03/23,80
2021/03/24,64
2021/03/25,40
2021/03/26,66
2021/03/27,59
2021/03/28,39
2021/03/29,50
2021/03/30,53
2021/03/31,42
2021/04/01,22
2021/04/02,41
2021/04/03,54
2021/04/04,23
2021/04/05,29
2021/04/06,38
2021/04/07,60
2021/04/08,29
2021/04/09,34
2021/04/10,37
2021/04/11,29
2021/04/12,38
2021/04/13,24
2021/04/14,32
2021/04/15,35
2021/04/16,24
2021/04/17,70
2021/04/18,54
2021/04/19,23
2021/04/20,46
2021/04/21,38
2021/04/22,31
2021/04/23,61
2021/04/24,16
2021/04/25,41
2021/04/26,38
2021/04/27,56
2021/04/28,17
2021/04/29,43
2021/04/30,62
2021/05/01,36
2021/05/02,55
2021/05/03,27
2021/05/04,31
2021/05/05,39
2021/05/06,28
2021/05/07,19
2021/05/08,22
2021/05/09,22
2021/05/10,7
2021/05/11,29
2021/05/12,13
2021/05/13,19
2021/05/14,11
2021/05/15,16
2021/05/16,20
2021/05/17,13
2021/05/18,28
2021/05/19,17
2021/05/20,15
2021/05/21,14
2021/05/22,6
2021/05/23,11
2021/05/24,10
2021/05/25,7
2021/05/26,10
2021/05/27,7
2021/05/28,9
2021/05/29,6
2021/05/30,5
2021/05/31,2
2021/06/01,8
2021/06/02,3
2021/06/03,11
2021/06/04,2
2021/06/05,18
2021/06/06,4
2021/06/07,4
2021/06/08,10
2021/06/09,11
2021/06/10,11
2021/06/11,0
2021/06/12,7
2021/06/13,4
2021/06/14,-1
2021/06/15,0
2021/06/16,2
2021/06/17,1
2021/06/18,6
2021/06/19,5
2021/06/20,1
2021/06/21,0
2021/06/22,2
2021/06/23,2
2021/06/24,0
2021/06/25,1
2021/06/26,2
2021/06/27,1
2021/06/28,1
2021/06/29,2
2021/06/30,0
2021/07/01,2
2021/07/02,2
2021/07/03,5
2021/07/04,7
2021/07/05,-5
2021/07/06,5
2021/07/07,9
2021/07/08,17
2021/07/09,13
2021/07/10,15
2021/07/11,14
2021/07/12,7
2021/07/13,11
2021/07/14,18
2021/07/15,23
2021/07/16,29
2021/07/17,23
2021/07/18,26
2021/07/19,20
2021/07/20,19
2021/07/21,36
2021/07/22,42
2021/07/23,53
2021/07/24,20
2021/07/25,52
2021/07/26,24
2021/07/27,51
2021/07/28,40
2021/07/29,38
2021/07/30,43
2021/07/31,52
2021/08/01,29
2021/08/02,16
2021/08/03,54
2021/08/04,14
2021/08/05,35
2021/08/06,45
2021/08/07,37
2021/08/08,29
2021/08/09,14
2021/08/10,50
2021/08/11,31
2021/08/12,27
2021/08/13,45
2021/08/14,44
2021/08/15,32
2021/08/16,6
2021/08/17,36
2021/08/18,42
2021/08/19,9
2021/08/20,37
2021/08/21,41
2021/08/22,19
2021/08/23,36
2021/08/24,43
2021/08/25,20
2021/08/26,37
2021/08/27,56
2021/08/28,52
2021/08/29,38
2021/08/30,36
2021/08/31,65
2021/09/01,14
2021/09/02,37
2021/09/03,52
2021/09/04,29
2021/09/05,38
2021/09/06,14
2021/09/07,52
2021/09/08,19
2021/09/09,18
2021/09/10,47
2021/09/11,36
2021/09/12,15
2021/09/13,8
2021/09/14,29
2021/09/15,28
2021/09/16,21
2021/09/17,14
2021/09/18,26
2021/09/19,18
2021/09/20,12
2021/09/21,24
2021/09/22,40
2021/09/23,-26
2021/09/24,49
2021/09/25,19
2021/09/26,9
2021/09/27,19
2021/09/28,16
2021/09/29,8
2021/09/30,45
2021/10/01,13
2021/10/02,23
2021/10/03,13
2021/10/04,15
2021/10/05,19
2021/10/06,5
2021/10/07,21
2021/10/08,8
2021/10/09,17
2021/10/10,10
2021/10/11,5
2021/10/12,8
2021/10/13,13
2021/10/14,6
2021/10/15,5
2021/10/16,6
2021/10/17,9
2021/10/18,6
2021/10/19,6
2021/10/20,5
2021/10/21,17
2021/10/22,16
2021/10/23,14
2021/10/24,9
2021/10/25,9
2021/10/26,21
2021/10/27,5
2021/10/28,14
2021/10/29,13
2021/10/30,16
2021/10/31,21
2021/11/01,17
2021/11/02,12
2021/11/03,20
2021/11/04,21
2021/11/05,4
2021/11/06,17
2021/11/07,21
2021/11/08,8
2021/11/09,19
2021/11/10,26
2021/11/11,26
2021/11/12,25
2021/11/13,20
2021/11/14,11
2021/11/15,52
2021/11/16,49
2021/11/17,23
2021/11/18,42
2021/11/19,57
2021/11/20,23
2021/11/21,44
2021/11/22,40
2021/11/23,54
2021/11/24,29
2021/11/25,42
2021/11/26,38
2021/11/27,35
2021/11/28,39
2021/11/29,21
2021/11/30,65
2021/12/01,43
2021/12/02,40
2021/12/03,55
2021/12/04,60
2021/12/05,51
2021/12/06,29
2021/12/07,82
2021/12/08,67
2021/12/09,19
2021/12/10,90
2021/12/11,65
2021/12/12,72
2021/12/13,32
2021/12/14,89
2021/12/15,70
2021/12/16,84
2021/12/17,111
2021/12/18,97
2021/12/19,89
2021/12/20,69
2021/12/21,140
2021/12/22,79
2021/12/23,93
2021/12/24,180
2021/12/25,111
2021/12/26,140
2021/12/27,124
2021/12/28,223
2021/12/29,267
2021/12/30,405
2021/12/31,658
2022/01/01,244
2022/01/02,264
2022/01/03,596
2022/01/04,455
2022/01/05,312
2022/01/06,327
2022/01/07,491
2022/01/08,474
2022/01/09,342
2022/01/10,221
2022/01/11,4057
2022/01/12,39
2022/01/13,2617
2022/01/14,1744
2022/01/15,1021
2022/01/16,15
2022/01/17,657
2022/01/18,2413
2022/01/19,1235
2022/01/20,1030
2022/01/21,1050
2022/01/22,1007
2022/01/23,802
2022/01/24,603
2022/01/25,619
2022/01/26,941
2022/01/27,748
2022/01/28,805
2022/01/29,832
2022/01/30,599
2022/01/31,350
2022/02/01,531
2022/02/02,465
2022/02/03,427
2022/02/04,373
2022/02/05,349
2022/02/06,272
2022/02/07,192
2022/02/08,231
2022/02/09,265
2022/02/10,231
2022/02/11,217
2022/02/12,178
2022/02/13,174
2022/02/14,96
2022/02/15,131
2022/02/16,134
2022/02/17,111
2022/02/18,121
2022/02/19,125
2022/02/20,108
2022/02/21,65
2022/02/22,92
2022/02/23,123
2022/02/24,93
2022/02/25,91
2022/02/26,88
2022/02/27,84
2022/02/28,61
2022/03/01,68
2022/03/02,87
2022/03/03,72
2022/03/04,86
2022/03/05,85
2022/03/06,109
2022/03/07,59
2022/03/08,119
2022/03/09,117
2022/03/10,99
2022/03/11,120
2022/03/12,117
2022/03/13,110
2022/03/14,81
2022/03/15,113
2022/03/16,143
2022/03/17,148
2022/03/18,154
2022/03/19,161
2022/03/20,176
2022/03/21,107
2022/03/22,133
2022/03/23,170
2022/03/24,174
2022/03/25,234
2022/03/26,151
2022/03/27,190
2022/03/28,93
2022/03/29,187
2022/03/30,198
2022/03/31,219
2022/04/01,234
2022/04/02,190
2022/04/03,190
2022/04/04,182
2022/04/05,164
2022/04/06,203
2022/04/07,236
2022/04/08,277
2022/04/09,234
2022/04/10,187
2022/04/11,158
2022/04/12,190
2022/04/13,227
2022/04/14,208
2022/04/15,183
2022/04/16,203
2022/04/17,194
2022/04/18,104
2022/04/19,76
2022/04/20,213
2022/04/21,216
2022/04/22,269
2022/04/23,256
2022/04/24,204
2022/04/25,130
2022/04/26,84
2022/04/27,190
2022/04/28,230
2022/04/29,225
2022/04/30,188
2022/05/01,149
2022/05/02,98
2022/05/03,125
2022/05/04,145
2022/05/05,151
2022/05/06,135
2022/05/07,123
2022/05/08,108
2022/05/09,79
2022/05/10,142
2022/05/11,128
2022/05/12,148
2022/05/13,145
2022/05/14,126
2022/05/15,115
2022/05/16,90
2022/05/17,108
2022/05/18,137
2022/05/19,93
2022/05/20,80
2022/05/21,73
2022/05/22,67
2022/05/23,64
2022/05/24,110
2022/05/25,80
2022/05/26,85
2022/05/27,6
2022/05/28,122
2022/05/29,32
2022/05/30,36
2022/05/31,45
2022/06/01,45
2022/06/02,1
2022/06/03,101
2022/06/04,52
2022/06/05,49
2022/06/06,36
2022/06/07,72
2022/06/08,82
2022/06/09,88
2022/06/10,71
2022/06/11,63
2022/06/12,72
2022/06/13,32
2022/06/14,88
2022/06/15,3
2022/06/16,215
2022/06/17,110
2022/06/18,18
2022/06/19,19
2022/06/20,1
2022/06/21,315
2022/06/22,138
2022/06/23,132
2022/06/24,165
2022/06/25,180
2022/06/26,152
2022/06/27,102
2022/06/28,205
2022/06/29,254
2022/06/30,258
2022/07/01,295
2022/07/02,228
2022/07/03,209
2022/07/04,184
2022/07/05,220
2022/07/06,320
2022/07/07,306
2022/07/08,361
2022/07/09,300
2022/07/10,261
2022/07/11,194
2022/07/12,359
2022/07/13,374
2022/07/14,392
2022/07/15,406
2022/07/16,304
2022/07/17,287
2022/07/18,180
2022/07/19,339
2022/07/20,5
2022/07/21,289
2022/07/22,319
2022/07/23,280
2022/07/24,209
2022/07/25,164
2022/07/26,280
2022/07/27,-1
2022/07/28,480
2022/07/29,995
2022/07/30,254
2022/07/31,215
2022/08/01,122
2022/08/02,230
2022/08/03,262
2022/08/04,189
2022/08/05,185
2022/08/06,179
2022/08/07,110
2022/08/08,86
2022/08/09,187
2022/08/10,147
2022/08/11,129
2022/08/12,117
2022/08/13,126
2022/08/14,92
2022/08/15,59
2022/08/16,30
2022/08/17,84
2022/08/18,128
2022/08/19,92
2022/08/20,93
2022/08/21,119
2022/08/22,69
2022/08/23,107
2022/08/24,98
2022/08/25,61
2022/08/26,128
2022/08/27,94
2022/08/28,72
2022/08/29,50
2022/08/30,85
2022/08/31,87
2022/09/01,70
2022/09/02,88
2022/09/03,77
2022/09/04,54
2022/09/05,31
2022/09/06,58
2022/09/07,72
2022/09/08,73
2022/09/09,66
2022/09/10,69
2022/09/11,59
2022/09/12,40
2022/09/13,0
2022/09/14,135
2022/09/15,55
2022/09/16,59
2022/09/17,62
2022/09/18,58
2022/09/19,42
2022/09/20,100
2022/09/21,81
2022/09/22,79
2022/09/23,107
2022/09/24,81
2022/09/25,106
2022/09/26,60
2022/09/27,146
2022/09/28,185
2022/09/29,179
2022/09/30,201
2022/10/01,171
2022/10/02,165
2022/10/03,145
