Datas,Frosinone
2021/02/12,151
2021/02/13,36
2021/02/14,11
2021/02/15,64
2021/02/16,187
2021/02/17,236
2021/02/18,52
2021/02/19,179
2021/02/20,37
2021/02/21,21
2021/02/22,206
2021/02/23,430
2021/02/24,127
2021/02/25,202
2021/02/26,50
2021/02/27,52
2021/02/28,35
2021/03/01,258
2021/03/02,558
2021/03/03,292
2021/03/04,56
2021/03/05,481
2021/03/06,32
2021/03/07,35
2021/03/08,312
2021/03/09,43
2021/03/10,688
2021/03/11,73
2021/03/12,246
2021/03/13,287
2021/03/14,31
2021/03/15,46
2021/03/16,556
2021/03/17,759
2021/03/18,228
2021/03/19,240
2021/03/20,21
2021/03/21,11
2021/03/22,25
2021/03/23,575
2021/03/24,202
2021/03/25,39
2021/03/26,335
2021/03/27,17
2021/03/28,20
2021/03/29,26
2021/03/30,455
2021/03/31,161
2021/04/01,161
2021/04/02,29
2021/04/03,52
2021/04/04,11
2021/04/05,11
2021/04/06,241
2021/04/07,252
2021/04/08,46
2021/04/09,184
2021/04/10,25
2021/04/11,19
2021/04/12,90
2021/04/13,151
2021/04/14,227
2021/04/15,38
2021/04/16,58
2021/04/17,45
2021/04/18,22
2021/04/19,52
2021/04/20,216
2021/04/21,105
2021/04/22,55
2021/04/23,47
2021/04/24,67
2021/04/25,15
2021/04/26,93
2021/04/27,166
2021/04/28,75
2021/04/29,68
2021/04/30,72
2021/05/01,63
2021/05/02,9
2021/05/03,52
2021/05/04,62
2021/05/05,66
2021/05/06,71
2021/05/07,29
2021/05/08,30
2021/05/09,45
2021/05/10,68
2021/05/11,75
2021/05/12,57
2021/05/13,43
2021/05/14,61
2021/05/15,26
2021/05/16,8
2021/05/17,57
2021/05/18,19
2021/05/19,26
2021/05/20,43
2021/05/21,34
2021/05/22,18
2021/05/23,10
2021/05/24,18
2021/05/25,19
2021/05/26,21
2021/05/27,13
2021/05/28,16
2021/05/29,11
2021/05/30,6
2021/05/31,17
2021/06/01,31
2021/06/02,9
2021/06/03,6
2021/06/04,14
2021/06/05,6
2021/06/06,4
2021/06/07,9
2021/06/08,9
2021/06/09,17
2021/06/10,7
2021/06/11,9
2021/06/12,11
2021/06/13,1
