Datas,Mantova
2021/02/13,109
2021/02/14,56
2021/02/15,3
2021/02/16,103
2021/02/17,117
2021/02/18,121
2021/02/19,140
2021/02/20,109
2021/02/21,83
2021/02/22,34
2021/02/23,95
2021/02/24,104
2021/02/25,215
2021/02/26,180
2021/02/27,182
2021/02/28,153
2021/03/01,124
2021/03/02,114
2021/03/03,217
2021/03/04,291
2021/03/05,188
2021/03/06,261
2021/03/07,205
2021/03/08,62
2021/03/09,197
2021/03/10,228
2021/03/11,258
2021/03/12,382
2021/03/13,326
2021/03/14,286
2021/03/15,58
2021/03/16,253
2021/03/17,227
2021/03/18,381
2021/03/19,267
2021/03/20,236
2021/03/21,182
2021/03/22,14
2021/03/23,283
2021/03/24,199
2021/03/25,354
2021/03/26,287
2021/03/27,216
2021/03/28,277
2021/03/29,57
2021/03/30,134
2021/03/31,243
2021/04/01,203
2021/04/02,217
2021/04/03,219
2021/04/04,144
2021/04/05,71
2021/04/06,67
2021/04/07,82
2021/04/08,123
2021/04/09,155
2021/04/10,164
2021/04/11,132
2021/04/12,64
2021/04/13,118
2021/04/14,125
2021/04/15,114
2021/04/16,133
2021/04/17,147
2021/04/18,119
2021/04/19,61
2021/04/20,69
2021/04/21,154
2021/04/22,140
2021/04/23,115
2021/04/24,116
2021/04/25,130
2021/04/26,20
2021/04/27,77
2021/04/28,141
2021/04/29,141
2021/04/30,98
2021/05/01,114
2021/05/02,49
2021/05/03,26
2021/05/04,35
2021/05/05,119
2021/05/06,100
2021/05/07,78
2021/05/08,85
2021/05/09,86
2021/05/10,38
2021/05/11,36
2021/05/12,73
2021/05/13,45
2021/05/14,49
2021/05/15,66
2021/05/16,40
2021/05/17,23
2021/05/18,12
2021/05/19,69
2021/05/20,52
2021/05/21,32
2021/05/22,40
2021/05/23,45
2021/05/24,0
2021/05/25,37
2021/05/26,36
2021/05/27,26
2021/05/28,28
2021/05/29,12
2021/05/30,24
2021/05/31,4
2021/06/01,18
2021/06/02,37
2021/06/03,19
2021/06/04,11
2021/06/05,13
2021/06/06,17
2021/06/07,2
2021/06/08,6
2021/06/09,23
2021/06/10,21
2021/06/11,7
2021/06/12,4
2021/06/13,13
2021/06/14,1
2021/06/15,7
2021/06/16,13
2021/06/17,5
2021/06/18,9
2021/06/19,4
2021/06/20,4
2021/06/21,8
2021/06/22,4
2021/06/23,8
2021/06/24,5
2021/06/25,8
2021/06/26,11
2021/06/27,4
2021/06/28,3
2021/06/29,6
2021/06/30,6
2021/07/01,5
2021/07/02,5
2021/07/03,4
2021/07/04,5
2021/07/05,11
2021/07/06,3
2021/07/07,7
2021/07/08,8
2021/07/09,10
2021/07/10,7
2021/07/11,9
2021/07/12,2
2021/07/13,15
2021/07/14,18
2021/07/15,28
2021/07/16,22
2021/07/17,19
2021/07/18,33
2021/07/19,10
2021/07/20,15
2021/07/21,19
2021/07/22,42
2021/07/23,53
2021/07/24,25
2021/07/25,26
2021/07/26,8
2021/07/27,45
2021/07/28,70
2021/07/29,40
2021/07/30,35
2021/07/31,46
2021/08/01,32
2021/08/02,23
2021/08/03,32
2021/08/04,27
2021/08/05,56
2021/08/06,44
2021/08/07,42
2021/08/08,53
2021/08/09,14
2021/08/10,37
2021/08/11,48
2021/08/12,46
2021/08/13,56
2021/08/14,39
2021/08/15,15
2021/08/16,10
2021/08/17,15
2021/08/18,33
2021/08/19,50
2021/08/20,61
2021/08/21,39
2021/08/22,34
2021/08/23,18
2021/08/24,30
2021/08/25,30
2021/08/26,26
2021/08/27,37
2021/08/28,27
2021/08/29,22
2021/08/30,6
2021/08/31,32
2021/09/01,23
2021/09/02,42
2021/09/03,41
2021/09/04,27
2021/09/05,13
2021/09/06,17
2021/09/07,31
2021/09/08,37
2021/09/09,30
2021/09/10,14
2021/09/11,20
2021/09/12,17
2021/09/13,1
2021/09/14,21
2021/09/15,26
2021/09/16,19
2021/09/17,17
2021/09/18,40
2021/09/19,12
2021/09/20,4
2021/09/21,17
2021/09/22,12
2021/09/23,12
2021/09/24,18
2021/09/25,8
2021/09/26,7
2021/09/27,7
2021/09/28,10
2021/09/29,11
2021/09/30,13
2021/10/01,14
2021/10/02,6
2021/10/03,5
2021/10/04,0
2021/10/05,12
2021/10/06,6
2021/10/07,9
2021/10/08,3
2021/10/09,6
2021/10/10,2
2021/10/11,2
2021/10/12,4
2021/10/13,6
2021/10/14,1
2021/10/15,5
2021/10/16,7
2021/10/17,5
2021/10/18,1
2021/10/19,10
2021/10/20,15
2021/10/21,6
2021/10/22,11
2021/10/23,15
2021/10/24,17
2021/10/25,4
2021/10/26,26
2021/10/27,15
2021/10/28,17
2021/10/29,22
2021/10/30,23
2021/10/31,22
2021/11/01,10
2021/11/02,7
2021/11/03,29
2021/11/04,30
2021/11/05,52
2021/11/06,26
2021/11/07,25
2021/11/08,17
2021/11/09,34
2021/11/10,46
2021/11/11,47
2021/11/12,47
2021/11/13,42
2021/11/14,26
2021/11/15,26
2021/11/16,65
2021/11/17,67
2021/11/18,67
2021/11/19,65
2021/11/20,65
2021/11/21,55
2021/11/22,35
2021/11/23,84
2021/11/24,72
2021/11/25,84
2021/11/26,82
2021/11/27,50
2021/11/28,120
2021/11/29,38
2021/11/30,109
2021/12/01,106
2021/12/02,124
2021/12/03,124
2021/12/04,119
2021/12/05,90
2021/12/06,81
2021/12/07,159
2021/12/08,174
2021/12/09,59
2021/12/10,161
2021/12/11,170
2021/12/12,153
2021/12/13,91
2021/12/14,221
2021/12/15,156
2021/12/16,185
2021/12/17,188
2021/12/18,186
2021/12/19,188
2021/12/20,105
2021/12/21,302
2021/12/22,237
2021/12/23,290
2021/12/24,340
2021/12/25,388
2021/12/26,68
2021/12/27,147
2021/12/28,693
2021/12/29,708
2021/12/30,822
2021/12/31,1128
2022/01/01,1028
2022/01/02,281
2022/01/03,304
2022/01/04,1654
2022/01/05,1604
2022/01/06,1704
2022/01/07,345
2022/01/08,1928
2022/01/09,1243
2022/01/10,349
2022/01/11,1876
2022/01/12,1550
2022/01/13,1494
2022/01/14,1433
2022/01/15,1408
2022/01/16,1111
2022/01/17,368
2022/01/18,1999
2022/01/19,1767
2022/01/20,1577
2022/01/21,1542
2022/01/22,1542
2022/01/23,1209
2022/01/24,244
2022/01/25,1635
2022/01/26,1435
2022/01/27,1390
2022/01/28,1072
2022/01/29,1001
2022/01/30,824
2022/01/31,177
2022/02/01,1166
2022/02/02,817
2022/02/03,908
2022/02/04,581
2022/02/05,640
2022/02/06,455
2022/02/07,83
2022/02/08,740
2022/02/09,523
2022/02/10,453
2022/02/11,374
2022/02/12,338
2022/02/13,307
2022/02/14,67
2022/02/15,482
2022/02/16,316
2022/02/17,333
2022/02/18,305
2022/02/19,288
2022/02/20,256
2022/02/21,57
2022/02/22,456
2022/02/23,273
2022/02/24,272
2022/02/25,259
2022/02/26,216
2022/02/27,186
2022/02/28,51
2022/03/01,307
2022/03/02,247
2022/03/03,244
2022/03/04,187
2022/03/05,224
2022/03/06,183
2022/03/07,56
2022/03/08,321
2022/03/09,238
2022/03/10,239
2022/03/11,249
2022/03/12,214
2022/03/13,187
2022/03/14,69
2022/03/15,415
2022/03/16,320
2022/03/17,374
2022/03/18,344
2022/03/19,291
2022/03/20,270
2022/03/21,68
2022/03/22,511
2022/03/23,360
2022/03/24,411
2022/03/25,409
2022/03/26,430
2022/03/27,309
2022/03/28,102
2022/03/29,700
2022/03/30,450
2022/03/31,434
2022/04/01,501
2022/04/02,475
2022/04/03,349
2022/04/04,109
2022/04/05,689
2022/04/06,447
2022/04/07,475
2022/04/08,497
2022/04/09,432
2022/04/10,343
2022/04/11,82
2022/04/12,647
2022/04/13,410
2022/04/14,513
2022/04/15,369
2022/04/16,401
2022/04/17,282
2022/04/18,60
2022/04/19,101
2022/04/20,846
2022/04/21,438
2022/04/22,471
2022/04/23,420
2022/04/24,363
2022/04/25,84
2022/04/26,83
2022/04/27,829
2022/04/28,403
2022/04/29,405
2022/04/30,330
2022/05/01,233
2022/05/02,53
2022/05/03,488
2022/05/04,298
2022/05/05,268
2022/05/06,279
2022/05/07,201
2022/05/08,79
2022/05/09,68
2022/05/10,422
2022/05/11,219
2022/05/12,200
2022/05/13,181
2022/05/14,197
2022/05/15,135
2022/05/16,52
2022/05/17,417
2022/05/18,187
2022/05/19,145
2022/05/20,146
2022/05/21,139
2022/05/22,95
2022/05/23,26
2022/05/24,155
2022/05/25,100
2022/05/26,86
2022/05/27,76
2022/05/28,99
2022/05/29,56
2022/05/30,14
2022/05/31,119
2022/06/01,62
2022/06/02,92
2022/06/03,20
2022/06/04,102
2022/06/05,47
2022/06/06,27
2022/06/07,159
2022/06/08,95
2022/06/09,98
2022/06/10,110
2022/06/11,114
2022/06/12,89
2022/06/13,24
2022/06/14,216
2022/06/15,151
2022/06/16,214
2022/06/17,189
2022/06/18,217
2022/06/19,176
2022/06/20,63
2022/06/21,388
2022/06/22,314
2022/06/23,353
2022/06/24,327
2022/06/25,340
2022/06/26,245
2022/06/27,43
2022/06/28,73
2022/06/29,998
2022/06/30,481
2022/07/01,442
2022/07/02,478
2022/07/03,333
2022/07/04,64
2022/07/05,837
2022/07/06,580
2022/07/07,610
2022/07/08,509
2022/07/09,559
2022/07/10,421
2022/07/11,151
2022/07/12,1027
2022/07/13,658
2022/07/14,703
2022/07/15,657
2022/07/16,550
2022/07/17,455
2022/07/18,122
2022/07/19,1055
2022/07/20,590
2022/07/21,555
