Datas,Savona
2021/02/11,49
2021/02/12,46
2021/02/13,54
2021/02/14,65
2021/02/15,36
2021/02/16,34
2021/02/17,22
2021/02/18,70
2021/02/19,40
2021/02/20,59
2021/02/21,79
2021/02/22,44
2021/02/23,54
2021/02/24,33
2021/02/25,65
2021/02/26,59
2021/02/27,42
2021/02/28,30
2021/03/01,107
2021/03/02,61
2021/03/03,45
2021/03/04,65
2021/03/05,37
2021/03/06,44
2021/03/07,114
2021/03/08,51
2021/03/09,36
2021/03/10,42
2021/03/11,78
2021/03/12,60
2021/03/13,48
2021/03/14,52
2021/03/15,76
2021/03/16,62
2021/03/17,43
2021/03/18,74
2021/03/19,121
2021/03/20,56
2021/03/21,84
2021/03/22,116
2021/03/23,72
2021/03/24,81
2021/03/25,103
2021/03/26,116
2021/03/27,111
2021/03/28,101
2021/03/29,114
2021/03/30,124
2021/03/31,56
2021/04/01,171
2021/04/02,93
2021/04/03,92
2021/04/04,49
2021/04/05,138
2021/04/06,39
2021/04/07,119
2021/04/08,75
2021/04/09,72
2021/04/10,109
2021/04/11,49
2021/04/12,117
2021/04/13,31
2021/04/14,78
2021/04/15,91
2021/04/16,77
2021/04/17,68
2021/04/18,59
2021/04/19,53
2021/04/20,47
2021/04/21,26
2021/04/22,56
2021/04/23,58
2021/04/24,43
2021/04/25,54
2021/04/26,51
2021/04/27,53
2021/04/28,28
2021/04/29,60
2021/04/30,43
2021/05/01,37
2021/05/02,39
2021/05/03,33
2021/05/04,22
2021/05/05,18
2021/05/06,36
2021/05/07,22
2021/05/08,31
2021/05/09,33
2021/05/10,13
2021/05/11,18
2021/05/12,21
2021/05/13,20
2021/05/14,18
2021/05/15,9
2021/05/16,11
2021/05/17,14
2021/05/18,11
2021/05/19,13
2021/05/20,19
2021/05/21,8
2021/05/22,4
2021/05/23,20
2021/05/24,6
2021/05/25,8
2021/05/26,10
2021/05/27,15
2021/05/28,4
2021/05/29,12
2021/05/30,5
2021/05/31,9
2021/06/01,3
2021/06/02,8
2021/06/03,4
2021/06/04,2
2021/06/05,11
2021/06/06,7
2021/06/07,3
2021/06/08,2
2021/06/09,4
2021/06/10,8
2021/06/11,2
2021/06/12,12
2021/06/13,5
2021/06/14,1
2021/06/15,4
2021/06/16,7
2021/06/17,4
2021/06/18,2
2021/06/19,11
2021/06/20,5
2021/06/21,1
2021/06/22,3
2021/06/23,5
2021/06/24,4
2021/06/25,0
2021/06/26,1
2021/06/27,0
2021/06/28,0
2021/06/29,3
2021/06/30,1
2021/07/01,1
2021/07/02,1
2021/07/03,1
2021/07/04,2
2021/07/05,7
2021/07/06,1
2021/07/07,3
2021/07/08,6
2021/07/09,2
2021/07/10,4
2021/07/11,5
2021/07/12,0
2021/07/13,2
2021/07/14,0
2021/07/15,3
2021/07/16,5
2021/07/17,3
2021/07/18,6
2021/07/19,2
2021/07/20,17
2021/07/21,9
2021/07/22,7
2021/07/23,9
2021/07/24,7
2021/07/25,0
2021/07/26,3
2021/07/27,16
2021/07/28,9
2021/07/29,12
2021/07/30,11
2021/07/31,25
2021/08/01,7
2021/08/02,1
2021/08/03,6
2021/08/04,14
2021/08/05,17
2021/08/06,36
2021/08/07,10
2021/08/08,9
2021/08/09,4
2021/08/10,11
2021/08/11,22
2021/08/12,24
2021/08/13,37
2021/08/14,10
2021/08/15,26
2021/08/16,12
2021/08/17,18
2021/08/18,27
2021/08/19,32
2021/08/20,24
2021/08/21,17
2021/08/22,17
2021/08/23,7
2021/08/24,21
2021/08/25,30
2021/08/26,4
2021/08/27,24
2021/08/28,13
2021/08/29,19
2021/08/30,8
2021/08/31,26
2021/09/01,13
2021/09/02,29
2021/09/03,22
2021/09/04,14
2021/09/05,23
2021/09/06,5
2021/09/07,-15
2021/09/08,12
2021/09/09,41
2021/09/10,19
2021/09/11,20
2021/09/12,12
2021/09/13,8
2021/09/14,16
2021/09/15,30
2021/09/16,16
2021/09/17,15
2021/09/18,14
2021/09/19,19
2021/09/20,3
2021/09/21,5
2021/09/22,14
2021/09/23,14
2021/09/24,19
2021/09/25,3
2021/09/26,11
2021/09/27,0
2021/09/28,12
2021/09/29,16
2021/09/30,8
2021/10/01,20
2021/10/02,9
2021/10/03,9
2021/10/04,9
2021/10/05,12
2021/10/06,3
2021/10/07,20
2021/10/08,20
2021/10/09,10
2021/10/10,11
2021/10/11,4
2021/10/12,5
2021/10/13,11
2021/10/14,18
2021/10/15,15
2021/10/16,3
2021/10/17,3
2021/10/18,2
2021/10/19,15
2021/10/20,6
2021/10/21,3
2021/10/22,11
2021/10/23,9
2021/10/24,7
2021/10/25,3
2021/10/26,8
2021/10/27,6
2021/10/28,11
2021/10/29,31
2021/10/30,27
2021/10/31,2
2021/11/01,5
2021/11/02,2
2021/11/03,19
2021/11/04,5
2021/11/05,13
2021/11/06,3
2021/11/07,0
2021/11/08,0
2021/11/09,89
2021/11/10,26
2021/11/11,124
2021/11/12,47
2021/11/13,23
2021/11/14,2
2021/11/15,53
2021/11/16,49
2021/11/17,38
2021/11/18,53
2021/11/19,45
2021/11/20,60
2021/11/21,42
2021/11/22,5
2021/11/23,84
2021/11/24,42
2021/11/25,96
2021/11/26,36
2021/11/27,65
2021/11/28,83
2021/11/29,28
2021/11/30,57
2021/12/01,113
2021/12/02,147
2021/12/03,85
2021/12/04,76
2021/12/05,110
2021/12/06,62
2021/12/07,71
2021/12/08,145
2021/12/09,75
2021/12/10,107
2021/12/11,100
2021/12/12,156
2021/12/13,106
2021/12/14,93
2021/12/15,143
2021/12/16,141
2021/12/17,165
2021/12/18,177
2021/12/19,174
2021/12/20,116
2021/12/21,137
2021/12/22,171
2021/12/23,179
2021/12/24,308
2021/12/25,157
2021/12/26,107
2021/12/27,128
2021/12/28,112
2021/12/29,292
2021/12/30,343
2021/12/31,475
2022/01/01,487
2022/01/02,70
2022/01/03,169
2022/01/04,194
2022/01/05,345
2022/01/06,777
2022/01/07,571
2022/01/08,267
2022/01/09,316
2022/01/10,2755
2022/01/11,1355
2022/01/12,855
2022/01/13,809
2022/01/14,880
2022/01/15,918
2022/01/16,833
2022/01/17,583
2022/01/18,1289
2022/01/19,966
2022/01/20,1046
2022/01/21,871
2022/01/22,898
2022/01/23,817
2022/01/24,479
2022/01/25,1102
2022/01/26,959
2022/01/27,935
2022/01/28,783
2022/01/29,783
2022/01/30,661
2022/01/31,363
2022/02/01,754
2022/02/02,701
2022/02/03,612
2022/02/04,525
2022/02/05,509
2022/02/06,341
2022/02/07,222
2022/02/08,532
2022/02/09,355
