Datas,Udine
2021/02/13,227
2021/02/14,126
2021/02/15,19
2021/02/16,165
2021/02/17,194
2021/02/18,157
2021/02/19,175
2021/02/20,224
2021/02/21,164
2021/02/22,106
2021/02/23,140
2021/02/24,316
2021/02/25,519
2021/02/26,273
2021/02/27,302
2021/02/28,204
2021/03/01,92
2021/03/02,364
2021/03/03,451
2021/03/04,399
2021/03/05,524
2021/03/06,425
2021/03/07,245
2021/03/08,286
2021/03/09,401
2021/03/10,490
2021/03/11,601
2021/03/12,582
2021/03/13,622
2021/03/14,331
2021/03/15,171
2021/03/16,466
2021/03/17,532
2021/03/18,585
2021/03/19,501
2021/03/20,536
2021/03/21,304
2021/03/22,176
2021/03/23,315
2021/03/24,361
2021/03/25,410
2021/03/26,448
2021/03/27,405
2021/03/28,194
2021/03/29,111
2021/03/30,262
2021/03/31,262
2021/04/01,347
2021/04/02,267
2021/04/03,238
2021/04/04,106
2021/04/05,71
2021/04/06,40
2021/04/07,118
2021/04/08,207
2021/04/09,162
2021/04/10,126
2021/04/11,76
2021/04/12,30
2021/04/13,164
2021/04/14,81
2021/04/15,93
2021/04/16,138
2021/04/17,50
2021/04/18,62
2021/04/19,31
2021/04/20,107
2021/04/21,82
2021/04/22,75
2021/04/23,37
2021/04/24,66
2021/04/25,57
2021/04/26,20
2021/04/27,83
2021/04/28,39
2021/04/29,60
2021/04/30,31
2021/05/01,51
2021/05/02,14
2021/05/03,11
2021/05/04,24
2021/05/05,62
2021/05/06,13
2021/05/07,30
2021/05/08,28
2021/05/09,16
2021/05/10,9
2021/05/11,27
2021/05/12,19
2021/05/13,22
2021/05/14,8
2021/05/15,20
2021/05/16,5
2021/05/17,5
2021/05/18,7
2021/05/19,12
2021/05/20,4
2021/05/21,10
2021/05/22,10
2021/05/23,12
2021/05/24,2
2021/05/25,13
2021/05/26,8
2021/05/27,2
2021/05/28,10
2021/05/29,15
2021/05/30,7
2021/05/31,4
2021/06/01,3
2021/06/02,10
2021/06/03,5
2021/06/04,6
2021/06/05,11
2021/06/06,1
2021/06/07,5
2021/06/08,12
2021/06/09,1
2021/06/10,13
2021/06/11,3
2021/06/12,4
2021/06/13,3
2021/06/14,0
2021/06/15,2
2021/06/16,1
2021/06/17,3
2021/06/18,3
2021/06/19,0
2021/06/20,1
2021/06/21,0
2021/06/22,4
2021/06/23,4
2021/06/24,-408
2021/06/25,2
2021/06/26,3
2021/06/27,0
2021/06/28,0
2021/06/29,1
2021/06/30,0
2021/07/01,3
2021/07/02,7
2021/07/03,4
2021/07/04,1
2021/07/05,1
2021/07/06,9
2021/07/07,3
2021/07/08,5
2021/07/09,7
2021/07/10,5
2021/07/11,1
2021/07/12,-1
2021/07/13,2
2021/07/14,9
2021/07/15,4
2021/07/16,9
2021/07/17,5
2021/07/18,8
2021/07/19,3
2021/07/20,0
2021/07/21,32
2021/07/22,20
2021/07/23,12
2021/07/24,20
2021/07/25,5
2021/07/26,0
2021/07/27,20
2021/07/28,22
2021/07/29,34
2021/07/30,26
2021/07/31,28
2021/08/01,10
2021/08/02,7
