Datas,Livorno
2021/02/13,57
2021/02/14,27
2021/02/15,48
2021/02/16,34
2021/02/17,50
2021/02/18,85
2021/02/19,63
2021/02/20,61
2021/02/21,59
2021/02/22,53
2021/02/23,60
2021/02/24,71
2021/02/25,91
2021/02/26,57
2021/02/27,82
2021/02/28,49
2021/03/01,50
2021/03/02,61
2021/03/03,79
2021/03/04,81
2021/03/05,69
2021/03/06,77
2021/03/07,63
2021/03/08,90
2021/03/09,47
2021/03/10,75
2021/03/11,95
2021/03/12,93
2021/03/13,58
2021/03/14,86
2021/03/15,89
2021/03/16,72
2021/03/17,113
2021/03/18,123
2021/03/19,86
2021/03/20,98
2021/03/21,71
2021/03/22,58
2021/03/23,66
2021/03/24,68
2021/03/25,91
2021/03/26,87
2021/03/27,93
2021/03/28,97
2021/03/29,80
2021/03/30,67
2021/03/31,134
2021/04/01,95
2021/04/02,100
2021/04/03,142
2021/04/04,106
2021/04/05,72
2021/04/06,70
2021/04/07,73
2021/04/08,70
2021/04/09,94
2021/04/10,76
2021/04/11,69
2021/04/12,55
2021/04/13,68
2021/04/14,76
2021/04/15,70
2021/04/16,119
2021/04/17,79
2021/04/18,37
2021/04/19,43
2021/04/20,44
2021/04/21,61
2021/04/22,65
2021/04/23,68
2021/04/24,58
2021/04/25,30
2021/04/26,52
2021/04/27,27
2021/04/28,42
2021/04/29,57
2021/04/30,49
2021/05/01,59
2021/05/02,45
2021/05/03,32
2021/05/04,21
2021/05/05,45
2021/05/06,42
2021/05/07,48
2021/05/08,26
2021/05/09,65
2021/05/10,40
2021/05/11,19
2021/05/12,23
2021/05/13,36
2021/05/14,22
2021/05/15,26
2021/05/16,17
2021/05/17,20
2021/05/18,7
2021/05/19,18
2021/05/20,21
2021/05/21,15
2021/05/22,9
2021/05/23,6
2021/05/24,14
2021/05/25,4
2021/05/26,11
2021/05/27,13
2021/05/28,13
2021/05/29,11
2021/05/30,9
2021/05/31,7
2021/06/01,10
2021/06/02,13
2021/06/03,8
2021/06/04,7
2021/06/05,16
2021/06/06,5
2021/06/07,13
2021/06/08,4
2021/06/09,9
2021/06/10,17
2021/06/11,9
2021/06/12,8
2021/06/13,6
2021/06/14,4
2021/06/15,3
2021/06/16,5
2021/06/17,4
2021/06/18,6
2021/06/19,1
2021/06/20,2
2021/06/21,4
2021/06/22,1
2021/06/23,3
2021/06/24,4
2021/06/25,2
2021/06/26,5
2021/06/27,2
2021/06/28,4
2021/06/29,0
2021/06/30,0
2021/07/01,4
2021/07/02,4
2021/07/03,2
2021/07/04,2
2021/07/05,1
2021/07/06,0
2021/07/07,2
2021/07/08,6
2021/07/09,6
2021/07/10,7
2021/07/11,3
2021/07/12,4
2021/07/13,5
2021/07/14,4
2021/07/15,3
2021/07/16,20
2021/07/17,16
2021/07/18,6
2021/07/19,21
2021/07/20,3
2021/07/21,23
2021/07/22,31
2021/07/23,46
2021/07/24,29
2021/07/25,26
2021/07/26,43
2021/07/27,24
2021/07/28,61
2021/07/29,44
2021/07/30,57
2021/07/31,72
2021/08/01,36
2021/08/02,69
2021/08/03,38
2021/08/04,74
2021/08/05,63
2021/08/06,76
2021/08/07,68
2021/08/08,68
2021/08/09,61
2021/08/10,65
2021/08/11,120
2021/08/12,82
2021/08/13,93
2021/08/14,87
2021/08/15,68
2021/08/16,92
2021/08/17,38
2021/08/18,82
2021/08/19,71
2021/08/20,87
2021/08/21,68
2021/08/22,51
2021/08/23,71
2021/08/24,64
2021/08/25,80
2021/08/26,60
2021/08/27,80
2021/08/28,53
2021/08/29,47
2021/08/30,43
2021/08/31,24
2021/09/01,68
2021/09/02,24
2021/09/03,52
2021/09/04,34
2021/09/05,44
2021/09/06,31
2021/09/07,10
2021/09/08,30
2021/09/09,24
2021/09/10,23
2021/09/11,24
2021/09/12,27
2021/09/13,20
2021/09/14,19
2021/09/15,34
2021/09/16,36
2021/09/17,50
2021/09/18,28
2021/09/19,19
2021/09/20,24
2021/09/21,14
2021/09/22,28
2021/09/23,17
2021/09/24,13
2021/09/25,30
2021/09/26,10
2021/09/27,19
2021/09/28,5
2021/09/29,9
2021/09/30,13
2021/10/01,26
2021/10/02,17
2021/10/03,10
2021/10/04,11
2021/10/05,24
2021/10/06,21
2021/10/07,22
2021/10/08,28
2021/10/09,23
2021/10/10,10
2021/10/11,22
2021/10/12,4
2021/10/13,16
2021/10/14,12
2021/10/15,11
2021/10/16,5
2021/10/17,8
2021/10/18,9
2021/10/19,5
2021/10/20,16
2021/10/21,15
2021/10/22,30
2021/10/23,13
2021/10/24,17
2021/10/25,26
2021/10/26,12
2021/10/27,22
2021/10/28,30
2021/10/29,39
2021/10/30,20
2021/10/31,18
2021/11/01,35
2021/11/02,22
2021/11/03,10
2021/11/04,24
2021/11/05,32
2021/11/06,29
2021/11/07,17
2021/11/08,32
2021/11/09,10
2021/11/10,18
2021/11/11,23
2021/11/12,19
2021/11/13,31
2021/11/14,16
2021/11/15,26
2021/11/16,30
2021/11/17,28
2021/11/18,35
2021/11/19,60
2021/11/20,39
2021/11/21,45
2021/11/22,27
2021/11/23,44
2021/11/24,26
2021/11/25,54
2021/11/26,56
2021/11/27,40
2021/11/28,63
2021/11/29,53
2021/11/30,39
2021/12/01,49
2021/12/02,60
2021/12/03,75
2021/12/04,85
2021/12/05,56
2021/12/06,77
2021/12/07,56
2021/12/08,113
2021/12/09,73
2021/12/10,83
2021/12/11,118
2021/12/12,91
2021/12/13,115
2021/12/14,113
2021/12/15,119
2021/12/16,152
2021/12/17,178
2021/12/18,155
2021/12/19,118
2021/12/20,154
2021/12/21,90
2021/12/22,184
2021/12/23,206
2021/12/24,238
2021/12/25,187
2021/12/26,186
2021/12/27,93
2021/12/28,243
2021/12/29,525
2021/12/30,923
2021/12/31,1008
2022/01/01,880
2022/01/02,244
2022/01/03,374
2022/01/04,1236
2022/01/05,1116
2022/01/06,1291
2022/01/07,579
2022/01/08,1172
2022/01/09,952
2022/01/10,595
2022/01/11,1331
2022/01/12,1073
2022/01/13,1195
2022/01/14,1017
2022/01/15,1105
2022/01/16,977
2022/01/17,563
2022/01/18,1504
2022/01/19,1340
2022/01/20,1389
2022/01/21,1380
2022/01/22,1271
2022/01/23,1087
2022/01/24,645
2022/01/25,1509
2022/01/26,1119
2022/01/27,1180
2022/01/28,1050
2022/01/29,1008
2022/01/30,942
2022/01/31,439
2022/02/01,1023
2022/02/02,792
2022/02/03,891
2022/02/04,685
2022/02/05,792
2022/02/06,594
2022/02/07,408
2022/02/08,642
2022/02/09,488
2022/02/10,543
2022/02/11,505
2022/02/12,350
2022/02/13,347
2022/02/14,220
2022/02/15,423
2022/02/16,296
2022/02/17,432
2022/02/18,348
2022/02/19,382
2022/02/20,253
2022/02/21,122
2022/02/22,388
2022/02/23,317
2022/02/24,351
2022/02/25,260
2022/02/26,264
2022/02/27,175
2022/02/28,116
2022/03/01,299
2022/03/02,238
2022/03/03,294
2022/03/04,269
2022/03/05,316
2022/03/06,273
2022/03/07,184
2022/03/08,359
2022/03/09,358
2022/03/10,383
2022/03/11,429
2022/03/12,423
2022/03/13,388
2022/03/14,186
2022/03/15,596
2022/03/16,491
2022/03/17,633
2022/03/18,551
2022/03/19,521
2022/03/20,462
2022/03/21,296
2022/03/22,624
2022/03/23,533
2022/03/24,569
2022/03/25,546
2022/03/26,467
2022/03/27,438
2022/03/28,223
2022/03/29,698
2022/03/30,561
2022/03/31,544
2022/04/01,511
2022/04/02,465
2022/04/03,346
2022/04/04,213
2022/04/05,589
2022/04/06,437
2022/04/07,476
2022/04/08,412
2022/04/09,384
2022/04/10,370
2022/04/11,185
2022/04/12,486
2022/04/13,422
2022/04/14,448
2022/04/15,446
2022/04/16,396
2022/04/17,373
2022/04/18,78
2022/04/19,108
2022/04/20,657
2022/04/21,493
2022/04/22,448
2022/04/23,449
2022/04/24,408
2022/04/25,249
2022/04/26,93
2022/04/27,536
2022/04/28,350
2022/04/29,369
2022/04/30,328
2022/05/01,221
2022/05/02,88
2022/05/03,356
2022/05/04,246
2022/05/05,245
