Datas,Lodi
2021/02/13,38
2021/02/14,23
2021/02/15,21
2021/02/16,22
2021/02/17,37
2021/02/18,53
2021/02/19,27
2021/02/20,50
2021/02/21,30
2021/02/22,19
2021/02/23,45
2021/02/24,45
2021/02/25,57
2021/02/26,51
2021/02/27,74
2021/02/28,66
2021/03/01,27
2021/03/02,54
2021/03/03,63
2021/03/04,80
2021/03/05,67
2021/03/06,75
2021/03/07,51
2021/03/08,36
2021/03/09,68
2021/03/10,89
2021/03/11,87
2021/03/12,90
2021/03/13,84
2021/03/14,73
2021/03/15,28
2021/03/16,67
2021/03/17,73
2021/03/18,87
2021/03/19,72
2021/03/20,77
2021/03/21,58
2021/03/22,19
2021/03/23,64
2021/03/24,60
2021/03/25,98
2021/03/26,84
2021/03/27,74
2021/03/28,57
2021/03/29,12
2021/03/30,61
2021/03/31,94
2021/04/01,71
2021/04/02,84
2021/04/03,74
2021/04/04,45
2021/04/05,10
2021/04/06,24
2021/04/07,43
2021/04/08,52
2021/04/09,66
2021/04/10,44
2021/04/11,26
2021/04/12,18
2021/04/13,40
2021/04/14,48
2021/04/15,45
2021/04/16,38
2021/04/17,44
2021/04/18,25
2021/04/19,4
2021/04/20,36
2021/04/21,30
2021/04/22,44
2021/04/23,40
2021/04/24,43
2021/04/25,46
2021/04/26,5
2021/04/27,19
2021/04/28,43
2021/04/29,38
2021/04/30,48
2021/05/01,36
2021/05/02,23
2021/05/03,0
2021/05/04,31
2021/05/05,26
2021/05/06,25
2021/05/07,18
2021/05/08,56
2021/05/09,15
2021/05/10,4
2021/05/11,16
2021/05/12,8
2021/05/13,15
2021/05/14,10
2021/05/15,8
2021/05/16,7
2021/05/17,2
2021/05/18,8
2021/05/19,22
2021/05/20,6
2021/05/21,14
2021/05/22,7
2021/05/23,11
2021/05/24,2
2021/05/25,2
2021/05/26,10
2021/05/27,5
2021/05/28,10
2021/05/29,3
2021/05/30,1
2021/05/31,2
2021/06/01,-5
2021/06/02,10
2021/06/03,7
2021/06/04,6
2021/06/05,6
2021/06/06,9
2021/06/07,0
2021/06/08,3
2021/06/09,5
2021/06/10,3
2021/06/11,3
2021/06/12,2
2021/06/13,7
2021/06/14,0
2021/06/15,3
2021/06/16,6
2021/06/17,2
2021/06/18,5
2021/06/19,5
2021/06/20,1
2021/06/21,1
2021/06/22,1
2021/06/23,6
2021/06/24,11
2021/06/25,6
2021/06/26,7
2021/06/27,5
2021/06/28,6
2021/06/29,2
2021/06/30,8
2021/07/01,6
2021/07/02,4
2021/07/03,11
2021/07/04,15
2021/07/05,4
2021/07/06,13
2021/07/07,12
2021/07/08,13
2021/07/09,26
2021/07/10,9
2021/07/11,23
2021/07/12,7
2021/07/13,14
2021/07/14,36
2021/07/15,17
2021/07/16,6
2021/07/17,15
2021/07/18,24
2021/07/19,3
2021/07/20,6
2021/07/21,13
2021/07/22,14
2021/07/23,20
2021/07/24,8
2021/07/25,16
2021/07/26,2
2021/07/27,14
2021/07/28,22
2021/07/29,10
2021/07/30,10
2021/07/31,15
2021/08/01,20
2021/08/02,1
2021/08/03,10
2021/08/04,31
2021/08/05,22
2021/08/06,10
2021/08/07,19
2021/08/08,7
2021/08/09,0
2021/08/10,12
2021/08/11,18
2021/08/12,16
2021/08/13,16
2021/08/14,9
2021/08/15,13
2021/08/16,1
2021/08/17,10
2021/08/18,16
2021/08/19,11
2021/08/20,10
2021/08/21,11
2021/08/22,11
2021/08/23,7
2021/08/24,14
2021/08/25,14
2021/08/26,18
2021/08/27,13
2021/08/28,19
2021/08/29,15
2021/08/30,2
2021/08/31,17
2021/09/01,15
2021/09/02,27
2021/09/03,16
2021/09/04,14
2021/09/05,10
2021/09/06,1
2021/09/07,13
2021/09/08,14
2021/09/09,15
2021/09/10,11
2021/09/11,7
2021/09/12,24
2021/09/13,0
2021/09/14,7
