Datas,Enna
2021/02/13,9
2021/02/14,3
2021/02/15,10
2021/02/16,3
2021/02/17,15
2021/02/18,16
2021/02/19,10
2021/02/20,17
2021/02/21,1
2021/02/22,9
2021/02/23,21
2021/02/24,17
2021/02/25,12
2021/02/26,20
2021/02/27,14
2021/02/28,7
2021/03/01,7
2021/03/02,8
2021/03/03,10
2021/03/04,7
2021/03/05,14
2021/03/06,11
2021/03/07,0
2021/03/08,10
2021/03/09,1
2021/03/10,6
2021/03/11,3
2021/03/12,3
2021/03/13,6
2021/03/14,4
2021/03/15,5
2021/03/16,36
2021/03/17,46
2021/03/18,28
2021/03/19,32
2021/03/20,23
2021/03/21,2
2021/03/22,33
2021/03/23,46
2021/03/24,29
2021/03/25,50
2021/03/26,20
2021/03/27,25
2021/03/28,11
2021/03/29,25
2021/03/30,0
2021/03/31,72
2021/04/01,41
2021/04/02,33
2021/04/03,22
2021/04/04,7
2021/04/05,0
2021/04/06,11
2021/04/07,87
2021/04/08,50
2021/04/09,48
2021/04/10,20
2021/04/11,29
2021/04/12,15
2021/04/13,65
2021/04/14,32
2021/04/15,52
2021/04/16,42
2021/04/17,26
2021/04/18,20
2021/04/19,24
2021/04/20,34
2021/04/21,27
2021/04/22,20
2021/04/23,24
2021/04/24,9
2021/04/25,4
2021/04/26,18
2021/04/27,10
2021/04/28,7
2021/04/29,14
2021/04/30,26
2021/05/01,24
2021/05/02,10
2021/05/03,2
2021/05/04,14
2021/05/05,10
2021/05/06,5
2021/05/07,16
2021/05/08,16
2021/05/09,4
2021/05/10,4
2021/05/11,14
2021/05/12,25
2021/05/13,4
2021/05/14,11
2021/05/15,0
2021/05/16,35
2021/05/17,10
2021/05/18,1
2021/05/19,12
2021/05/20,34
2021/05/21,10
2021/05/22,8
2021/05/23,0
2021/05/24,2
2021/05/25,18
2021/05/26,16
2021/05/27,17
2021/05/28,7
2021/05/29,13
2021/05/30,0
2021/05/31,10
2021/06/01,5
2021/06/02,13
2021/06/03,10
2021/06/04,16
2021/06/05,10
2021/06/06,0
2021/06/07,1
2021/06/08,1
2021/06/09,58
2021/06/10,3
2021/06/11,42
2021/06/12,30
2021/06/13,12
2021/06/14,0
2021/06/15,11
2021/06/16,19
2021/06/17,22
2021/06/18,1
2021/06/19,11
2021/06/20,14
2021/06/21,1
2021/06/22,14
2021/06/23,27
2021/06/24,13
2021/06/25,1
2021/06/26,19
2021/06/27,0
2021/06/28,15
2021/06/29,0
2021/06/30,14
2021/07/01,9
2021/07/02,5
2021/07/03,6
2021/07/04,5
2021/07/05,0
2021/07/06,2
2021/07/07,21
2021/07/08,8
2021/07/09,8
2021/07/10,23
2021/07/11,21
2021/07/12,2
2021/07/13,0
2021/07/14,43
2021/07/15,30
2021/07/16,20
2021/07/17,23
2021/07/18,21
2021/07/19,10
2021/07/20,37
2021/07/21,26
2021/07/22,20
2021/07/23,21
2021/07/24,20
2021/07/25,28
2021/07/26,1
2021/07/27,11
2021/07/28,43
2021/07/29,14
2021/07/30,10
2021/07/31,17
2021/08/01,0
2021/08/02,20
2021/08/03,29
2021/08/04,53
2021/08/05,30
2021/08/06,33
2021/08/07,29
2021/08/08,28
2021/08/09,38
2021/08/10,45
2021/08/11,33
2021/08/12,3
2021/08/13,77
2021/08/14,50
2021/08/15,25
2021/08/16,32
2021/08/17,93
2021/08/18,73
2021/08/19,35
2021/08/20,63
2021/08/21,81
2021/08/22,46
2021/08/23,88
2021/08/24,44
2021/08/25,63
2021/08/26,115
2021/08/27,87
2021/08/28,48
2021/08/29,10
2021/08/30,105
2021/08/31,68
2021/09/01,54
2021/09/02,46
2021/09/03,1
2021/09/04,31
2021/09/05,21
2021/09/06,37
2021/09/07,35
2021/09/08,2
2021/09/09,50
2021/09/10,37
2021/09/11,13
2021/09/12,6
2021/09/13,13
2021/09/14,48
2021/09/15,17
2021/09/16,20
2021/09/17,10
2021/09/18,0
2021/09/19,19
2021/09/20,17
2021/09/21,5
2021/09/22,16
2021/09/23,6
2021/09/24,0
2021/09/25,25
2021/09/26,5
2021/09/27,8
2021/09/28,31
2021/09/29,12
2021/09/30,12
2021/10/01,0
2021/10/02,0
