Datas,Terni
2021/02/13,32
2021/02/14,38
2021/02/15,0
2021/02/16,3
2021/02/17,37
2021/02/18,27
2021/02/19,13
2021/02/20,45
2021/02/21,53
2021/02/22,4
2021/02/23,9
2021/02/24,41
2021/02/25,31
2021/02/26,36
2021/02/27,33
2021/02/28,27
2021/03/01,1
2021/03/02,48
2021/03/03,72
2021/03/04,49
2021/03/05,77
2021/03/06,79
2021/03/07,70
2021/03/08,0
2021/03/09,29
2021/03/10,91
2021/03/11,69
2021/03/12,52
2021/03/13,68
2021/03/14,90
2021/03/15,1
2021/03/16,32
2021/03/17,69
2021/03/18,54
2021/03/19,52
2021/03/20,80
2021/03/21,58
2021/03/22,20
2021/03/23,11
2021/03/24,74
2021/03/25,22
2021/03/26,73
2021/03/27,58
2021/03/28,67
2021/03/29,1
2021/03/30,14
2021/03/31,37
2021/04/01,35
2021/04/02,34
2021/04/03,18
2021/04/04,65
2021/04/05,7
2021/04/06,3
2021/04/07,17
2021/04/08,43
2021/04/09,41
2021/04/10,24
2021/04/11,48
2021/04/12,3
2021/04/13,4
2021/04/14,36
2021/04/15,28
2021/04/16,15
2021/04/17,29
2021/04/18,27
2021/04/19,2
2021/04/20,7
2021/04/21,24
2021/04/22,25
2021/04/23,36
2021/04/24,29
2021/04/25,39
2021/04/26,15
2021/04/27,3
2021/04/28,29
2021/04/29,52
2021/04/30,33
2021/05/01,18
2021/05/02,13
2021/05/03,7
2021/05/04,20
2021/05/05,44
2021/05/06,17
2021/05/07,28
2021/05/08,34
2021/05/09,40
2021/05/10,10
2021/05/11,29
2021/05/12,12
2021/05/13,54
2021/05/14,15
2021/05/15,15
2021/05/16,9
2021/05/17,1
2021/05/18,5
2021/05/19,9
2021/05/20,7
2021/05/21,10
2021/05/22,13
2021/05/23,16
2021/05/24,1
2021/05/25,11
2021/05/26,8
2021/05/27,6
2021/05/28,8
2021/05/29,6
2021/05/30,12
2021/05/31,0
2021/06/01,2
2021/06/02,10
2021/06/03,1
2021/06/04,0
2021/06/05,6
2021/06/06,3
2021/06/07,0
2021/06/08,1
2021/06/09,0
2021/06/10,0
2021/06/11,1
2021/06/12,2
2021/06/13,0
2021/06/14,1
2021/06/15,1
2021/06/16,1
2021/06/17,2
2021/06/18,1
2021/06/19,1
2021/06/20,15
2021/06/21,4
2021/06/22,0
2021/06/23,0
2021/06/24,1
2021/06/25,0
2021/06/26,0
2021/06/27,0
2021/06/28,0
2021/06/29,0
