Datas,Imperia
2021/02/12,85
2021/02/13,70
2021/02/14,54
2021/02/15,51
2021/02/16,74
2021/02/17,93
2021/02/18,92
2021/02/19,87
2021/02/20,81
2021/02/21,90
2021/02/22,7
2021/02/23,110
2021/02/24,85
2021/02/25,112
2021/02/26,99
2021/02/27,81
2021/02/28,83
2021/03/01,23
2021/03/02,84
2021/03/03,103
2021/03/04,93
2021/03/05,45
2021/03/06,63
2021/03/07,64
2021/03/08,5
2021/03/09,61
2021/03/10,55
2021/03/11,62
2021/03/12,49
2021/03/13,49
2021/03/14,60
2021/03/15,19
2021/03/16,60
2021/03/17,58
2021/03/18,62
2021/03/19,67
2021/03/20,66
2021/03/21,76
2021/03/22,20
2021/03/23,60
2021/03/24,81
2021/03/25,82
2021/03/26,78
2021/03/27,92
2021/03/28,89
2021/03/29,18
2021/03/30,100
2021/03/31,104
2021/04/01,138
2021/04/02,99
2021/04/03,96
2021/04/04,84
2021/04/05,47
2021/04/06,64
2021/04/07,104
2021/04/08,59
2021/04/09,76
2021/04/10,87
2021/04/11,76
2021/04/12,23
2021/04/13,68
2021/04/14,90
2021/04/15,71
2021/04/16,46
2021/04/17,46
2021/04/18,58
2021/04/19,12
2021/04/20,69
2021/04/21,50
2021/04/22,40
2021/04/23,67
2021/04/24,46
2021/04/25,33
2021/04/26,3
2021/04/27,36
2021/04/28,56
2021/04/29,39
2021/04/30,32
2021/05/01,36
2021/05/02,31
2021/05/03,8
2021/05/04,41
2021/05/05,31
2021/05/06,25
2021/05/07,21
2021/05/08,27
2021/05/09,22
2021/05/10,8
2021/05/11,28
2021/05/12,12
2021/05/13,21
2021/05/14,16
2021/05/15,9
2021/05/16,13
2021/05/17,3
2021/05/18,17
2021/05/19,15
2021/05/20,25
2021/05/21,4
2021/05/22,7
2021/05/23,4
2021/05/24,6
2021/05/25,7
2021/05/26,7
2021/05/27,3
2021/05/28,11
2021/05/29,5
2021/05/30,8
2021/05/31,0
2021/06/01,2
2021/06/02,4
2021/06/03,0
2021/06/04,3
2021/06/05,-1
2021/06/06,1
2021/06/07,0
2021/06/08,1
2021/06/09,0
2021/06/10,0
2021/06/11,0
2021/06/12,0
2021/06/13,1
2021/06/14,1
2021/06/15,0
2021/06/16,1
2021/06/17,0
2021/06/18,1
2021/06/19,2
2021/06/20,1
2021/06/21,1
2021/06/22,1
2021/06/23,1
2021/06/24,1
2021/06/25,2
2021/06/26,1
2021/06/27,2
2021/06/28,0
2021/06/29,2
2021/06/30,0
2021/07/01,1
2021/07/02,0
2021/07/03,1
2021/07/04,2
2021/07/05,-7
2021/07/06,4
2021/07/07,2
2021/07/08,1
2021/07/09,0
2021/07/10,1
2021/07/11,1
2021/07/12,2
2021/07/13,3
2021/07/14,6
2021/07/15,4
2021/07/16,8
2021/07/17,11
2021/07/18,7
2021/07/19,6
2021/07/20,13
2021/07/21,19
2021/07/22,36
2021/07/23,14
2021/07/24,21
2021/07/25,16
2021/07/26,9
2021/07/27,35
2021/07/28,34
2021/07/29,17
2021/07/30,36
2021/07/31,39
2021/08/01,40
2021/08/02,1
2021/08/03,32
2021/08/04,45
2021/08/05,34
2021/08/06,38
2021/08/07,52
2021/08/08,42
2021/08/09,8
2021/08/10,32
2021/08/11,55
2021/08/12,56
2021/08/13,40
2021/08/14,-846
2021/08/15,933
2021/08/16,8
2021/08/17,39
2021/08/18,50
2021/08/19,37
2021/08/20,44
2021/08/21,28
2021/08/22,36
2021/08/23,18
2021/08/24,42
2021/08/25,44
2021/08/26,36
2021/08/27,39
2021/08/28,28
2021/08/29,34
2021/08/30,1
2021/08/31,25
2021/09/01,37
2021/09/02,29
2021/09/03,34
2021/09/04,19
2021/09/05,14
2021/09/06,5
2021/09/07,27
2021/09/08,23
2021/09/09,20
2021/09/10,23
2021/09/11,17
2021/09/12,21
2021/09/13,2
2021/09/14,20
2021/09/15,21
2021/09/16,18
2021/09/17,18
2021/09/18,16
2021/09/19,21
2021/09/20,4
2021/09/21,15
2021/09/22,8
2021/09/23,16
2021/09/24,9
2021/09/25,14
2021/09/26,14
2021/09/27,1
2021/09/28,15
2021/09/29,16
2021/09/30,15
2021/10/01,13
2021/10/02,7
2021/10/03,14
2021/10/04,5
2021/10/05,12
2021/10/06,18
2021/10/07,15
2021/10/08,5
2021/10/09,10
2021/10/10,12
2021/10/11,2
2021/10/12,17
2021/10/13,12
2021/10/14,13
2021/10/15,19
2021/10/16,21
2021/10/17,28
2021/10/18,3
2021/10/19,13
2021/10/20,26
2021/10/21,20
2021/10/22,23
2021/10/23,17
2021/10/24,18
2021/10/25,2
2021/10/26,41
2021/10/27,9
2021/10/28,17
2021/10/29,29
2021/10/30,19
2021/10/31,21
2021/11/01,1
2021/11/02,22
2021/11/03,45
2021/11/04,22
2021/11/05,25
2021/11/06,32
2021/11/07,10
2021/11/08,0
2021/11/09,40
2021/11/10,53
2021/11/11,31
2021/11/12,30
2021/11/13,36
2021/11/14,34
2021/11/15,9
2021/11/16,57
2021/11/17,62
2021/11/18,36
2021/11/19,51
2021/11/20,41
2021/11/21,40
2021/11/22,3
2021/11/23,103
2021/11/24,97
2021/11/25,97
2021/11/26,75
2021/11/27,94
2021/11/28,41
2021/11/29,2
2021/11/30,81
2021/12/01,141
2021/12/02,126
2021/12/03,139
2021/12/04,127
2021/12/05,78
2021/12/06,3
2021/12/07,154
2021/12/08,164
2021/12/09,3
2021/12/10,160
2021/12/11,214
2021/12/12,140
2021/12/13,104
2021/12/14,157
2021/12/15,244
2021/12/16,333
2021/12/17,357
2021/12/18,222
2021/12/19,239
2021/12/20,83
2021/12/21,324
2021/12/22,327
2021/12/23,245
2021/12/24,322
2021/12/25,381
2021/12/26,14
2021/12/27,143
2021/12/28,165
2021/12/29,247
2021/12/30,325
2021/12/31,410
2022/01/01,354
2022/01/02,146
2022/01/03,216
2022/01/04,366
2022/01/05,439
2022/01/06,309
2022/01/07,162
2022/01/08,449
2022/01/09,320
2022/01/10,988
2022/01/11,1953
2022/01/12,693
2022/01/13,737
2022/01/14,744
2022/01/15,761
2022/01/16,313
2022/01/17,486
2022/01/18,1004
2022/01/19,821
2022/01/20,933
2022/01/21,947
2022/01/22,656
2022/01/23,773
2022/01/24,120
2022/01/25,896
2022/01/26,868
2022/01/27,785
2022/01/28,665
2022/01/29,643
2022/01/30,512
2022/01/31,197
2022/02/01,403
2022/02/02,670
2022/02/03,502
2022/02/04,324
2022/02/05,339
2022/02/06,269
2022/02/07,48
2022/02/08,420
2022/02/09,277
2022/02/10,233
2022/02/11,257
2022/02/12,210
2022/02/13,159
2022/02/14,33
2022/02/15,278
2022/02/16,224
2022/02/17,120
2022/02/18,233
2022/02/19,158
2022/02/20,151
2022/02/21,37
2022/02/22,226
2022/02/23,139
2022/02/24,119
2022/02/25,110
2022/02/26,96
2022/02/27,62
2022/02/28,23
2022/03/01,141
2022/03/02,100
2022/03/03,85
2022/03/04,85
2022/03/05,82
2022/03/06,55
2022/03/07,20
2022/03/08,132
2022/03/09,125
2022/03/10,134
2022/03/11,95
2022/03/12,114
2022/03/13,78
2022/03/14,24
2022/03/15,189
2022/03/16,156
2022/03/17,193
2022/03/18,155
2022/03/19,154
2022/03/20,123
2022/03/21,40
2022/03/22,214
2022/03/23,181
2022/03/24,206
2022/03/25,138
2022/03/26,141
2022/03/27,145
2022/03/28,30
2022/03/29,239
2022/03/30,179
2022/03/31,178
2022/04/01,179
2022/04/02,159
2022/04/03,106
2022/04/04,30
2022/04/05,167
2022/04/06,184
2022/04/07,149
2022/04/08,169
2022/04/09,140
2022/04/10,164
2022/04/11,42
2022/04/12,184
2022/04/13,211
2022/04/14,174
2022/04/15,188
