Datas,Arezzo
2021/02/13,58
2021/02/14,78
2021/02/15,17
2021/02/16,43
2021/02/17,76
2021/02/18,87
2021/02/19,84
2021/02/20,67
2021/02/21,101
2021/02/22,129
2021/02/23,86
2021/02/24,96
2021/02/25,129
2021/02/26,101
2021/02/27,111
2021/02/28,147
2021/03/01,75
2021/03/02,97
2021/03/03,141
2021/03/04,104
2021/03/05,120
2021/03/06,149
2021/03/07,176
2021/03/08,86
2021/03/09,120
2021/03/10,140
2021/03/11,127
2021/03/12,111
2021/03/13,144
2021/03/14,142
2021/03/15,116
2021/03/16,76
2021/03/17,121
2021/03/18,197
2021/03/19,131
2021/03/20,143
2021/03/21,148
2021/03/22,131
2021/03/23,101
2021/03/24,144
2021/03/25,134
2021/03/26,150
2021/03/27,136
2021/03/28,118
2021/03/29,163
2021/03/30,62
2021/03/31,87
2021/04/01,153
2021/04/02,116
2021/04/03,113
2021/04/04,130
2021/04/05,114
2021/04/06,64
2021/04/07,49
2021/04/08,109
2021/04/09,102
2021/04/10,106
2021/04/11,120
2021/04/12,107
2021/04/13,54
2021/04/14,103
2021/04/15,110
2021/04/16,114
2021/04/17,79
2021/04/18,77
2021/04/19,71
2021/04/20,35
2021/04/21,118
2021/04/22,53
2021/04/23,97
2021/04/24,106
2021/04/25,133
2021/04/26,80
2021/04/27,41
2021/04/28,99
2021/04/29,113
2021/04/30,80
2021/05/01,63
2021/05/02,124
2021/05/03,65
2021/05/04,44
2021/05/05,84
2021/05/06,66
2021/05/07,106
2021/05/08,45
2021/05/09,97
2021/05/10,62
2021/05/11,38
2021/05/12,76
2021/05/13,73
2021/05/14,111
2021/05/15,66
2021/05/16,75
2021/05/17,53
2021/05/18,25
2021/05/19,48
2021/05/20,62
2021/05/21,47
2021/05/22,37
2021/05/23,45
2021/05/24,40
2021/05/25,23
2021/05/26,28
2021/05/27,29
2021/05/28,72
2021/05/29,13
2021/05/30,34
2021/05/31,11
2021/06/01,13
2021/06/02,29
2021/06/03,11
2021/06/04,16
2021/06/05,10
2021/06/06,18
2021/06/07,6
2021/06/08,2
2021/06/09,14
2021/06/10,14
2021/06/11,8
2021/06/12,13
2021/06/13,14
2021/06/14,1
2021/06/15,4
2021/06/16,6
2021/06/17,5
2021/06/18,5
2021/06/19,3
2021/06/20,2
2021/06/21,5
2021/06/22,1
2021/06/23,3
2021/06/24,1
2021/06/25,7
2021/06/26,2
2021/06/27,3
