Datas,La Spezia
2021/02/11,34
2021/02/12,33
2021/02/13,47
2021/02/14,23
2021/02/15,14
2021/02/16,26
2021/02/17,56
2021/02/18,42
2021/02/19,22
2021/02/20,52
2021/02/21,25
2021/02/22,8
2021/02/23,16
2021/02/24,49
2021/02/25,48
2021/02/26,36
2021/02/27,45
2021/02/28,39
2021/03/01,20
2021/03/02,43
2021/03/03,86
2021/03/04,54
2021/03/05,41
2021/03/06,29
2021/03/07,40
2021/03/08,4
2021/03/09,17
2021/03/10,80
2021/03/11,71
2021/03/12,70
2021/03/13,46
2021/03/14,46
2021/03/15,1
2021/03/16,35
2021/03/17,41
2021/03/18,33
2021/03/19,29
2021/03/20,35
2021/03/21,13
2021/03/22,25
2021/03/23,44
2021/03/24,78
2021/03/25,45
2021/03/26,73
2021/03/27,65
2021/03/28,60
2021/03/29,25
2021/03/30,35
2021/03/31,73
2021/04/01,67
2021/04/02,52
2021/04/03,69
2021/04/04,64
2021/04/05,7
2021/04/06,25
2021/04/07,22
2021/04/08,56
2021/04/09,40
2021/04/10,33
2021/04/11,44
2021/04/12,17
2021/04/13,23
2021/04/14,71
2021/04/15,56
2021/04/16,33
2021/04/17,34
2021/04/18,42
2021/04/19,18
2021/04/20,20
2021/04/21,38
2021/04/22,23
2021/04/23,55
2021/04/24,26
2021/04/25,25
2021/04/26,5
2021/04/27,16
2021/04/28,38
2021/04/29,33
2021/04/30,25
2021/05/01,33
2021/05/02,28
2021/05/03,7
2021/05/04,17
2021/05/05,47
2021/05/06,20
2021/05/07,24
2021/05/08,28
2021/05/09,48
2021/05/10,5
2021/05/11,23
2021/05/12,42
2021/05/13,19
2021/05/14,25
2021/05/15,26
2021/05/16,16
2021/05/17,1
2021/05/18,19
2021/05/19,18
2021/05/20,20
2021/05/21,12
2021/05/22,19
2021/05/23,8
2021/05/24,8
2021/05/25,15
2021/05/26,17
2021/05/27,7
2021/05/28,4
2021/05/29,6
2021/05/30,4
2021/05/31,4
2021/06/01,6
2021/06/02,7
2021/06/03,0
2021/06/04,3
2021/06/05,0
2021/06/06,5
2021/06/07,0
2021/06/08,5
2021/06/09,1
2021/06/10,5
2021/06/11,2
2021/06/12,3
2021/06/13,0
2021/06/14,0
2021/06/15,0
2021/06/16,4
2021/06/17,0
2021/06/18,5
2021/06/19,0
2021/06/20,2
2021/06/21,0
2021/06/22,1
2021/06/23,81
2021/06/24,3
2021/06/25,2
2021/06/26,0
2021/06/27,2
2021/06/28,0
2021/06/29,1
2021/06/30,0
2021/07/01,3
2021/07/02,2
2021/07/03,1
2021/07/04,0
2021/07/05,9
2021/07/06,2
2021/07/07,4
2021/07/08,1
2021/07/09,3
2021/07/10,8
2021/07/11,2
2021/07/12,0
2021/07/13,6
2021/07/14,7
2021/07/15,10
2021/07/16,6
2021/07/17,16
2021/07/18,10
2021/07/19,3
2021/07/20,13
2021/07/21,12
2021/07/22,20
2021/07/23,20
2021/07/24,16
2021/07/25,14
2021/07/26,5
2021/07/27,24
2021/07/28,29
2021/07/29,22
2021/07/30,22
2021/07/31,18
2021/08/01,21
2021/08/02,7
2021/08/03,8
2021/08/04,36
2021/08/05,22
2021/08/06,23
2021/08/07,24
2021/08/08,20
2021/08/09,10
2021/08/10,19
2021/08/11,25
2021/08/12,15
2021/08/13,20
2021/08/14,905
2021/08/15,-872
2021/08/16,4
2021/08/17,19
2021/08/18,19
2021/08/19,29
2021/08/20,32
2021/08/21,23
2021/08/22,18
2021/08/23,19
2021/08/24,30
2021/08/25,28
2021/08/26,34
2021/08/27,20
2021/08/28,40
2021/08/29,19
2021/08/30,12
2021/08/31,33
2021/09/01,26
2021/09/02,39
2021/09/03,32
2021/09/04,44
2021/09/05,19
2021/09/06,12
2021/09/07,13
2021/09/08,31
2021/09/09,20
2021/09/10,21
2021/09/11,15
2021/09/12,13
2021/09/13,2
2021/09/14,18
2021/09/15,16
2021/09/16,18
2021/09/17,15
