Datas,Rovigo
2021/02/12,43
2021/02/13,31
2021/02/14,24
2021/02/15,20
2021/02/16,13
2021/02/17,12
2021/02/18,54
2021/02/19,28
2021/02/20,59
2021/02/21,22
2021/02/22,44
2021/02/23,47
2021/02/24,58
2021/02/25,57
2021/02/26,63
2021/02/27,58
2021/02/28,62
2021/03/01,11
2021/03/02,60
2021/03/03,62
2021/03/04,71
2021/03/05,61
2021/03/06,73
2021/03/07,75
2021/03/08,42
2021/03/09,81
2021/03/10,59
2021/03/11,70
2021/03/12,47
2021/03/13,85
2021/03/14,75
2021/03/15,25
2021/03/16,75
2021/03/17,109
2021/03/18,68
2021/03/19,58
2021/03/20,89
2021/03/21,67
2021/03/22,40
2021/03/23,57
2021/03/24,109
2021/03/25,102
2021/03/26,101
2021/03/27,76
2021/03/28,61
2021/03/29,6
2021/03/30,30
2021/03/31,98
2021/04/01,63
2021/04/02,58
2021/04/03,70
2021/04/04,24
2021/04/05,27
2021/04/06,16
2021/04/07,30
2021/04/08,64
2021/04/09,33
2021/04/10,49
2021/04/11,34
2021/04/12,22
2021/04/13,4
2021/04/14,33
2021/04/15,55
2021/04/16,36
2021/04/17,15
2021/04/18,27
2021/04/19,17
2021/04/20,13
2021/04/21,31
2021/04/22,40
2021/04/23,23
2021/04/24,34
2021/04/25,32
2021/04/26,9
2021/04/27,13
2021/04/28,8
2021/04/29,39
2021/04/30,11
2021/05/01,16
2021/05/02,14
2021/05/03,8
2021/05/04,8
2021/05/05,17
2021/05/06,20
2021/05/07,9
2021/05/08,22
2021/05/09,21
2021/05/10,0
2021/05/11,6
2021/05/12,22
2021/05/13,12
2021/05/14,29
2021/05/15,7
2021/05/16,8
2021/05/17,3
2021/05/18,8
2021/05/19,9
2021/05/20,3
2021/05/21,17
2021/05/22,9
2021/05/23,3
2021/05/24,6
2021/05/25,1
2021/05/26,13
2021/05/27,8
2021/05/28,7
2021/05/29,6
2021/05/30,5
2021/05/31,0
2021/06/01,5
2021/06/02,4
2021/06/03,3
2021/06/04,3
2021/06/05,9
2021/06/06,3
2021/06/07,1
2021/06/08,2
2021/06/09,0
2021/06/10,3
2021/06/11,-1
2021/06/12,0
2021/06/13,5
2021/06/14,0
2021/06/15,3
2021/06/16,5
2021/06/17,1
2021/06/18,5
2021/06/19,-3
2021/06/20,1
2021/06/21,0
2021/06/22,0
2021/06/23,1
2021/06/24,0
2021/06/25,2
2021/06/26,0
2021/06/27,0
2021/06/28,1
2021/06/29,0
2021/06/30,3
2021/07/01,-1
2021/07/02,0
2021/07/03,0
2021/07/04,1
2021/07/05,0
2021/07/06,1
2021/07/07,2
2021/07/08,5
2021/07/09,-1
2021/07/10,1
2021/07/11,-1
2021/07/12,0
2021/07/13,2
2021/07/14,0
2021/07/15,2
2021/07/16,2
2021/07/17,5
2021/07/18,4
2021/07/19,6
2021/07/20,14
2021/07/21,7
2021/07/22,7
2021/07/23,9
2021/07/24,17
2021/07/25,10
2021/07/26,9
2021/07/27,15
2021/07/28,13
2021/07/29,39
2021/07/30,38
2021/07/31,32
2021/08/01,36
2021/08/02,14
2021/08/03,18
2021/08/04,48
2021/08/05,71
