Datas,Cosenza
2021/02/13,66
2021/02/14,35
2021/02/15,29
2021/02/16,18
2021/02/17,79
2021/02/18,45
2021/02/19,22
2021/02/20,79
2021/02/21,53
2021/02/22,6
2021/02/23,5
2021/02/24,49
2021/02/25,52
2021/02/26,59
2021/02/27,71
2021/02/28,45
2021/03/01,11
2021/03/02,18
2021/03/03,61
2021/03/04,93
2021/03/05,92
2021/03/06,118
2021/03/07,109
2021/03/08,3
2021/03/09,22
2021/03/10,121
2021/03/11,120
2021/03/12,73
2021/03/13,103
2021/03/14,115
2021/03/15,119
2021/03/16,111
2021/03/17,70
2021/03/18,169
2021/03/19,157
2021/03/20,173
2021/03/21,228
2021/03/22,58
2021/03/23,108
2021/03/24,172
2021/03/25,257
2021/03/26,186
2021/03/27,262
2021/03/28,191
2021/03/29,52
2021/03/30,107
2021/03/31,110
2021/04/01,173
2021/04/02,178
2021/04/03,166
2021/04/04,207
2021/04/05,124
2021/04/06,75
2021/04/07,91
2021/04/08,227
2021/04/09,211
2021/04/10,139
2021/04/11,323
2021/04/12,115
2021/04/13,233
2021/04/14,247
2021/04/15,277
2021/04/16,171
2021/04/17,184
2021/04/18,243
2021/04/19,24
2021/04/20,182
2021/04/21,214
2021/04/22,130
2021/04/23,395
2021/04/24,227
2021/04/25,247
2021/04/26,11
2021/04/27,115
2021/04/28,156
2021/04/29,184
2021/04/30,107
2021/05/01,167
2021/05/02,162
2021/05/03,85
2021/05/04,69
2021/05/05,99
2021/05/06,116
2021/05/07,188
2021/05/08,118
2021/05/09,141
2021/05/10,47
2021/05/11,20
2021/05/12,134
2021/05/13,110
2021/05/14,122
2021/05/15,72
2021/05/16,53
2021/05/17,11
2021/05/18,5
2021/05/19,105
2021/05/20,41
2021/05/21,72
2021/05/22,52
2021/05/23,70
2021/05/24,4
2021/05/25,21
2021/05/26,93
2021/05/27,61
2021/05/28,6
2021/05/29,67
2021/05/30,23
2021/05/31,7
2021/06/01,28
2021/06/02,52
2021/06/03,46
2021/06/04,73
2021/06/05,22
2021/06/06,57
2021/06/07,15
2021/06/08,5
2021/06/09,62
2021/06/10,27
2021/06/11,25
2021/06/12,40
2021/06/13,17
2021/06/14,2
2021/06/15,1
2021/06/16,7
2021/06/17,41
2021/06/18,22
2021/06/19,33
2021/06/20,39
2021/06/21,1
2021/06/22,3
2021/06/23,48
2021/06/24,9
2021/06/25,2
2021/06/26,11
2021/06/27,17
2021/06/28,1
2021/06/29,7
2021/06/30,11
2021/07/01,24
2021/07/02,4
2021/07/03,41
2021/07/04,7
2021/07/05,9
2021/07/06,15
2021/07/07,22
2021/07/08,35
2021/07/09,5
2021/07/10,6
2021/07/11,19
2021/07/12,4
2021/07/13,29
2021/07/14,23
2021/07/15,-2
2021/07/16,42
2021/07/17,21
2021/07/18,15
2021/07/19,35
2021/07/20,6
2021/07/21,28
2021/07/22,16
2021/07/23,29
2021/07/24,36
2021/07/25,32
2021/07/26,2
2021/07/27,32
2021/07/28,33
2021/07/29,30
2021/07/30,21
2021/07/31,35
2021/08/01,43
2021/08/02,1
2021/08/03,14
2021/08/04,62
2021/08/05,44
2021/08/06,53
2021/08/07,65
2021/08/08,22
2021/08/09,-19
2021/08/10,14
2021/08/11,81
2021/08/12,102
2021/08/13,70
2021/08/14,55
2021/08/15,87
2021/08/16,2
2021/08/17,45
2021/08/18,32
2021/08/19,44
2021/08/20,74
2021/08/21,56
2021/08/22,47
2021/08/23,0
2021/08/24,45
2021/08/25,85
2021/08/26,102
2021/08/27,104
2021/08/28,127
2021/08/29,55
2021/08/30,3
2021/08/31,43
2021/09/01,137
2021/09/02,136
2021/09/03,124
2021/09/04,128
2021/09/05,120
2021/09/06,8
2021/09/07,75
2021/09/08,65
2021/09/09,134
2021/09/10,96
2021/09/11,88
2021/09/12,138
2021/09/13,2
2021/09/14,44
2021/09/15,99
2021/09/16,66
2021/09/17,24
2021/09/18,92
2021/09/19,64
2021/09/20,-1
2021/09/21,12
2021/09/22,51
2021/09/23,55
2021/09/24,39
2021/09/25,86
2021/09/26,31
2021/09/27,2
2021/09/28,31
2021/09/29,34
2021/09/30,67
2021/10/01,38
2021/10/02,52
2021/10/03,43
2021/10/04,7
2021/10/05,8
2021/10/06,60
2021/10/07,32
2021/10/08,32
2021/10/09,20
2021/10/10,36
2021/10/11,2
2021/10/12,44
2021/10/13,38
2021/10/14,35
2021/10/15,25
2021/10/16,24
2021/10/17,18
2021/10/18,2
2021/10/19,20
2021/10/20,24
2021/10/21,43
2021/10/22,12
2021/10/23,40
2021/10/24,31
2021/10/25,4
2021/10/26,13
2021/10/27,31
2021/10/28,54
2021/10/29,52
2021/10/30,55
2021/10/31,52
2021/11/01,2
2021/11/02,0
2021/11/03,24
2021/11/04,66
2021/11/05,50
2021/11/06,88
2021/11/07,78
2021/11/08,7
2021/11/09,31
2021/11/10,61
2021/11/11,61
2021/11/12,33
2021/11/13,73
2021/11/14,45
2021/11/15,4
2021/11/16,30
2021/11/17,52
2021/11/18,63
2021/11/19,34
2021/11/20,62
2021/11/21,53
2021/11/22,7
2021/11/23,36
2021/11/24,61
2021/11/25,65
2021/11/26,36
2021/11/27,70
2021/11/28,95
2021/11/29,9
2021/11/30,65
2021/12/01,82
2021/12/02,123
2021/12/03,51
2021/12/04,213
2021/12/05,57
2021/12/06,9
2021/12/07,90
2021/12/08,128
2021/12/09,65
2021/12/10,104
2021/12/11,88
2021/12/12,240
2021/12/13,10
2021/12/14,51
2021/12/15,60
2021/12/16,447
2021/12/17,138
2021/12/18,156
2021/12/19,108
2021/12/20,77
2021/12/21,61
2021/12/22,139
2021/12/23,178
2021/12/24,219
2021/12/25,308
2021/12/26,9
2021/12/27,10
2021/12/28,101
2021/12/29,161
2021/12/30,218
2021/12/31,376
2022/01/01,302
2022/01/02,104
2022/01/03,118
2022/01/04,150
2022/01/05,254
2022/01/06,363
2022/01/07,357
2022/01/08,427
2022/01/09,324
2022/01/10,454
2022/01/11,428
2022/01/12,452
2022/01/13,571
2022/01/14,623
2022/01/15,401
2022/01/16,375
2022/01/17,310
2022/01/18,576
2022/01/19,319
2022/01/20,281
2022/01/21,174
2022/01/22,157
2022/01/23,146
2022/01/24,39
2022/01/25,128
2022/01/26,174
2022/01/27,195
2022/01/28,84
2022/01/29,220
2022/01/30,103
2022/01/31,13
2022/02/01,107
2022/02/02,147
2022/02/03,324
2022/02/04,118
2022/02/05,129
2022/02/06,92
2022/02/07,24
2022/02/08,94
2022/02/09,212
2022/02/10,114
2022/02/11,120
2022/02/12,157
2022/02/13,207
2022/02/14,18
2022/02/15,80
2022/02/16,121
2022/02/17,196
2022/02/18,107
2022/02/19,166
2022/02/20,81
2022/02/21,22
2022/02/22,78
2022/02/23,174
2022/02/24,105
2022/02/25,392
2022/02/26,372
2022/02/27,330
2022/02/28,332
2022/03/01,500
2022/03/02,538
2022/03/03,589
2022/03/04,642
2022/03/05,749
2022/03/06,492
2022/03/07,444
2022/03/08,904
2022/03/09,796
2022/03/10,904
2022/03/11,796
2022/03/12,812
2022/03/13,712
2022/03/14,563
2022/03/15,1270
2022/03/16,916
2022/03/17,999
2022/03/18,1116
2022/03/19,986
2022/03/20,789
2022/03/21,610
2022/03/22,1237
2022/03/23,934
2022/03/24,1138
2022/03/25,932
2022/03/26,890
2022/03/27,669
2022/03/28,548
2022/03/29,1267
2022/03/30,906
2022/03/31,728
2022/04/01,930
2022/04/02,854
2022/04/03,593
2022/04/04,514
2022/04/05,945
2022/04/06,693
2022/04/07,749
2022/04/08,608
2022/04/09,646
2022/04/10,463
2022/04/11,404
2022/04/12,712
2022/04/13,513
2022/04/14,599
2022/04/15,559
2022/04/16,576
2022/04/17,491
2022/04/18,179
2022/04/19,403
2022/04/20,991
2022/04/21,753
2022/04/22,835
2022/04/23,860
2022/04/24,700
2022/04/25,296
2022/04/26,458
2022/04/27,978
