Datas,Ascoli Piceno
2021/02/13,20
2021/02/14,21
2021/02/15,2
2021/02/16,29
2021/02/17,29
2021/02/18,11
2021/02/19,27
2021/02/20,48
2021/02/21,26
2021/02/22,19
2021/02/23,57
2021/02/24,90
2021/02/25,76
2021/02/26,95
2021/02/27,65
2021/02/28,46
2021/03/01,14
2021/03/02,43
2021/03/03,49
2021/03/04,61
2021/03/05,93
2021/03/06,54
2021/03/07,74
2021/03/08,18
2021/03/09,50
2021/03/10,57
2021/03/11,93
2021/03/12,66
2021/03/13,78
2021/03/14,59
2021/03/15,23
2021/03/16,41
2021/03/17,91
2021/03/18,44
2021/03/19,83
2021/03/20,70
2021/03/21,29
2021/03/22,16
2021/03/23,68
2021/03/24,82
2021/03/25,50
2021/03/26,70
2021/03/27,69
2021/03/28,45
2021/03/29,7
2021/03/30,54
2021/03/31,73
2021/04/01,49
2021/04/02,48
2021/04/03,72
2021/04/04,30
2021/04/05,19
2021/04/06,2
2021/04/07,34
2021/04/08,63
2021/04/09,93
2021/04/10,58
2021/04/11,43
2021/04/12,18
2021/04/13,58
2021/04/14,66
2021/04/15,31
2021/04/16,47
2021/04/17,63
2021/04/18,31
2021/04/19,9
2021/04/20,46
2021/04/21,84
2021/04/22,39
2021/04/23,42
2021/04/24,53
2021/04/25,49
2021/04/26,6
2021/04/27,42
2021/04/28,73
2021/04/29,59
2021/04/30,42
2021/05/01,51
2021/05/02,22
2021/05/03,2
2021/05/04,46
2021/05/05,41
2021/05/06,39
2021/05/07,44
2021/05/08,33
2021/05/09,54
2021/05/10,4
2021/05/11,44
2021/05/12,35
2021/05/13,32
2021/05/14,62
2021/05/15,21
2021/05/16,42
2021/05/17,9
2021/05/18,36
2021/05/19,14
2021/05/20,31
2021/05/21,29
2021/05/22,16
2021/05/23,22
2021/05/24,5
2021/05/25,31
2021/05/26,26
2021/05/27,21
2021/05/28,6
2021/05/29,18
2021/05/30,11
2021/05/31,6
2021/06/01,5
2021/06/02,13
2021/06/03,4
2021/06/04,22
2021/06/05,18
2021/06/06,9
2021/06/07,1
2021/06/08,12
2021/06/09,8
2021/06/10,3
2021/06/11,4
2021/06/12,6
2021/06/13,3
2021/06/14,0
2021/06/15,1
2021/06/16,2
2021/06/17,2
2021/06/18,3
2021/06/19,1
2021/06/20,0
2021/06/21,0
2021/06/22,0
2021/06/23,1
2021/06/24,1
2021/06/25,3
2021/06/26,0
2021/06/27,0
2021/06/28,0
2021/06/29,3
2021/06/30,7
2021/07/01,27
2021/07/02,18
2021/07/03,22
2021/07/04,27
2021/07/05,0
2021/07/06,30
2021/07/07,19
2021/07/08,15
2021/07/09,12
2021/07/10,14
2021/07/11,12
2021/07/12,1
2021/07/13,3
2021/07/14,18
2021/07/15,6
2021/07/16,11
2021/07/17,13
2021/07/18,9
2021/07/19,0
2021/07/20,17
2021/07/21,12
2021/07/22,3
2021/07/23,8
2021/07/24,16
2021/07/25,4
2021/07/26,1
2021/07/27,14
2021/07/28,20
2021/07/29,8
2021/07/30,12
2021/07/31,6
2021/08/01,1
2021/08/02,1
2021/08/03,18
2021/08/04,12
2021/08/05,13
2021/08/06,15
2021/08/07,18
2021/08/08,20
2021/08/09,0
2021/08/10,4
2021/08/11,22
2021/08/12,23
2021/08/13,14
2021/08/14,28
2021/08/15,9
2021/08/16,0
2021/08/17,18
2021/08/18,32
2021/08/19,28
2021/08/20,10
2021/08/21,9
2021/08/22,10
2021/08/23,2
2021/08/24,11
2021/08/25,16
2021/08/26,19
2021/08/27,30
2021/08/28,14
2021/08/29,12
2021/08/30,1
2021/08/31,12
2021/09/01,15
2021/09/02,22
2021/09/03,28
2021/09/04,32
2021/09/05,16
2021/09/06,0
2021/09/07,18
2021/09/08,36
2021/09/09,16
2021/09/10,12
2021/09/11,13
2021/09/12,15
2021/09/13,3
2021/09/14,18
2021/09/15,30
2021/09/16,18
2021/09/17,17
2021/09/18,6
2021/09/19,11
2021/09/20,1
2021/09/21,8
2021/09/22,8
2021/09/23,7
2021/09/24,9
2021/09/25,2
2021/09/26,2
2021/09/27,0
2021/09/28,1
2021/09/29,10
2021/09/30,8
2021/10/01,9
2021/10/02,9
2021/10/03,3
2021/10/04,0
2021/10/05,4
2021/10/06,7
2021/10/07,6
2021/10/08,4
2021/10/09,2
2021/10/10,5
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,0
2021/10/15,0
2021/10/16,0
2021/10/17,0
2021/10/18,3
2021/10/19,4
