Datas,Salerno
2021/02/13,380
2021/02/14,271
2021/02/15,320
2021/02/16,249
2021/02/17,325
2021/02/18,304
2021/02/19,318
2021/02/20,273
2021/02/21,353
2021/02/22,244
2021/02/23,359
2021/02/24,490
2021/02/25,528
2021/02/26,422
2021/02/27,501
2021/02/28,354
2021/03/01,366
2021/03/02,475
2021/03/03,953
2021/03/04,-142
2021/03/05,506
2021/03/06,386
2021/03/07,336
2021/03/08,219
2021/03/09,389
2021/03/10,475
2021/03/11,418
2021/03/12,387
2021/03/13,468
2021/03/14,341
2021/03/15,301
2021/03/16,2505
2021/03/17,493
2021/03/18,434
2021/03/19,271
2021/03/20,431
2021/03/21,276
2021/03/22,162
2021/03/23,348
2021/03/24,311
2021/03/25,262
2021/03/26,274
2021/03/27,1487
2021/03/28,377
2021/03/29,189
2021/03/30,251
2021/03/31,357
2021/04/01,0
2021/04/02,661
2021/04/03,382
2021/04/04,344
2021/04/05,136
2021/04/06,112
2021/04/07,203
2021/04/08,304
2021/04/09,350
2021/04/10,354
2021/04/11,382
2021/04/12,308
2021/04/13,222
2021/04/14,349
2021/04/15,337
2021/04/16,299
2021/04/17,300
2021/04/18,244
2021/04/19,175
2021/04/20,208
2021/04/21,218
2021/04/22,303
2021/04/23,224
2021/04/24,318
2021/04/25,246
2021/04/26,238
2021/04/27,194
2021/04/28,291
2021/04/29,294
2021/04/30,232
2021/05/01,253
2021/05/02,175
2021/05/03,139
2021/05/04,195
2021/05/05,195
2021/05/06,222
2021/05/07,210
2021/05/08,183
2021/05/09,208
2021/05/10,132
2021/05/11,145
2021/05/12,148
2021/05/13,176
2021/05/14,157
2021/05/15,152
2021/05/16,128
2021/05/17,81
2021/05/18,90
2021/05/19,123
2021/05/20,121
2021/05/21,114
2021/05/22,71
2021/05/23,98
2021/05/24,50
2021/05/25,50
2021/05/26,0
2021/05/27,178
2021/05/28,76
2021/05/29,60
2021/05/30,54
2021/05/31,32
2021/06/01,83
2021/06/02,71
2021/06/03,15
2021/06/04,42
2021/06/05,38
2021/06/06,50
2021/06/07,42
2021/06/08,39
2021/06/09,50
2021/06/10,30
2021/06/11,37
2021/06/12,33
2021/06/13,37
2021/06/14,3
2021/06/15,24
2021/06/16,26
2021/06/17,13
2021/06/18,23
2021/06/19,21
2021/06/20,19
2021/06/21,5
2021/06/22,12
2021/06/23,28
2021/06/24,31
2021/06/25,29
2021/06/26,23
2021/06/27,9
2021/06/28,8
2021/06/29,16
2021/06/30,0
2021/07/01,17
2021/07/02,12
2021/07/03,10
2021/07/04,12
2021/07/05,3
2021/07/06,14
2021/07/07,18
2021/07/08,8
2021/07/09,15
2021/07/10,26
2021/07/11,15
2021/07/12,3
2021/07/13,34
2021/07/14,16
2021/07/15,31
2021/07/16,26
2021/07/17,35
2021/07/18,45
2021/07/19,4
2021/07/20,43
2021/07/21,41
2021/07/22,59
2021/07/23,25
2021/07/24,58
2021/07/25,49
2021/07/26,12
2021/07/27,65
2021/07/28,49
2021/07/29,51
2021/07/30,63
2021/07/31,67
2021/08/01,64
2021/08/02,14
2021/08/03,60
2021/08/04,82
2021/08/05,131
2021/08/06,45
2021/08/07,133
2021/08/08,52
2021/08/09,31
2021/08/10,112
2021/08/11,70
2021/08/12,132
2021/08/13,103
2021/08/14,170
2021/08/15,50
2021/08/16,14
2021/08/17,84
2021/08/18,83
2021/08/19,125
2021/08/20,64
2021/08/21,109
2021/08/22,80
2021/08/23,11
2021/08/24,108
2021/08/25,74
2021/08/26,132
2021/08/27,46
2021/08/28,97
2021/08/29,76
2021/08/30,16
2021/08/31,71
2021/09/01,68
2021/09/02,82
2021/09/03,67
2021/09/04,69
2021/09/05,86
2021/09/06,29
2021/09/07,73
2021/09/08,46
2021/09/09,71
2021/09/10,49
2021/09/11,75
2021/09/12,42
2021/09/13,25
2021/09/14,62
2021/09/15,52
2021/09/16,94
2021/09/17,61
2021/09/18,78
2021/09/19,52
2021/09/20,24
2021/09/21,59
2021/09/22,40
2021/09/23,75
2021/09/24,19
2021/09/25,55
2021/09/26,17
2021/09/27,17
2021/09/28,46
2021/09/29,35
2021/09/30,38
2021/10/01,32
2021/10/02,19
2021/10/03,37
2021/10/04,10
2021/10/05,16
2021/10/06,43
2021/10/07,54
2021/10/08,18
2021/10/09,39
2021/10/10,9
2021/10/11,4
2021/10/12,40
2021/10/13,20
2021/10/14,51
2021/10/15,29
2021/10/16,32
2021/10/17,59
2021/10/18,18
2021/10/19,37
2021/10/20,120
2021/10/21,68
2021/10/22,54
2021/10/23,91
2021/10/24,55
2021/10/25,46
2021/10/26,87
2021/10/27,83
2021/10/28,125
2021/10/29,123
2021/10/30,117
2021/10/31,109
2021/11/01,27
2021/11/02,56
2021/11/03,106
2021/11/04,112
2021/11/05,104
2021/11/06,127
2021/11/07,133
2021/11/08,50
2021/11/09,106
2021/11/10,135
2021/11/11,153
2021/11/12,143
2021/11/13,135
2021/11/14,119
2021/11/15,47
2021/11/16,184
2021/11/17,169
2021/11/18,133
2021/11/19,122
2021/11/20,159
2021/11/21,133
2021/11/22,88
2021/11/23,159
2021/11/24,217
2021/11/25,179
2021/11/26,174
2021/11/27,155
2021/11/28,200
2021/11/29,77
2021/11/30,193
2021/12/01,209
2021/12/02,190
2021/12/03,169
2021/12/04,159
2021/12/05,193
2021/12/06,128
2021/12/07,177
2021/12/08,188
2021/12/09,121
2021/12/10,186
2021/12/11,255
2021/12/12,273
2021/12/13,196
2021/12/14,215
2021/12/15,290
2021/12/16,296
2021/12/17,272
2021/12/18,311
2021/12/19,316
2021/12/20,127
2021/12/21,378
2021/12/22,529
2021/12/23,481
2021/12/24,666
2021/12/25,670
2021/12/26,205
2021/12/27,248
2021/12/28,1310
2021/12/29,1543
2021/12/30,1554
2021/12/31,2126
2022/01/01,2088
2022/01/02,617
2022/01/03,836
2022/01/04,1987
2022/01/05,3061
2022/01/06,2980
2022/01/07,1998
2022/01/08,2381
2022/01/09,1607
2022/01/10,390
2022/01/11,4863
2022/01/12,4375
2022/01/13,3591
2022/01/14,3434
2022/01/15,3019
2022/01/16,2914
2022/01/17,1510
2022/01/18,3631
2022/01/19,2922
2022/01/20,3036
2022/01/21,2352
2022/01/22,2534
2022/01/23,2236
2022/01/24,1005
2022/01/25,3050
2022/01/26,67
2022/01/27,2303
2022/01/28,2187
2022/01/29,2155
2022/01/30,2120
2022/01/31,936
2022/02/01,2914
2022/02/02,1974
2022/02/03,1954
2022/02/04,1797
2022/02/05,1892
2022/02/06,1611
2022/02/07,732
2022/02/08,2337
2022/02/09,1557
2022/02/10,1585
2022/02/11,1374
2022/02/12,1329
2022/02/13,1162
2022/02/14,563
2022/02/15,1670
2022/02/16,1129
2022/02/17,1112
2022/02/18,1067
2022/02/19,1061
2022/02/20,963
2022/02/21,426
2022/02/22,1344
2022/02/23,889
2022/02/24,939
2022/02/25,719
2022/02/26,744
2022/02/27,558
2022/02/28,218
2022/03/01,874
2022/03/02,700
2022/03/03,726
2022/03/04,728
2022/03/05,686
2022/03/06,590
2022/03/07,387
2022/03/08,1230
2022/03/09,815
2022/03/10,1072
2022/03/11,956
2022/03/12,1034
2022/03/13,1001
2022/03/14,450
2022/03/15,1802
2022/03/16,1415
2022/03/17,1542
2022/03/18,1542
2022/03/19,1606
2022/03/20,1345
2022/03/21,634
2022/03/22,2101
2022/03/23,1560
2022/03/24,1693
2022/03/25,1612
2022/03/26,1617
2022/03/27,1426
2022/03/28,615
2022/03/29,2415
2022/03/30,1656
2022/03/31,1738
2022/04/01,1596
2022/04/02,1552
2022/04/03,1309
2022/04/04,664
2022/04/05,2188
2022/04/06,1443
2022/04/07,1611
2022/04/08,1543
2022/04/09,1420
2022/04/10,1310
2022/04/11,576
2022/04/12,2087
2022/04/13,1335
2022/04/14,1467
2022/04/15,1371
2022/04/16,1515
2022/04/17,1409
2022/04/18,343
2022/04/19,630
2022/04/20,2551
2022/04/21,1783
2022/04/22,1809
2022/04/23,1793
2022/04/24,1608
2022/04/25,535
2022/04/26,902
2022/04/27,2416
2022/04/28,1583
2022/04/29,1486
2022/04/30,1348
2022/05/01,1136
2022/05/02,402
2022/05/03,1813
2022/05/04,1181
2022/05/05,1088
2022/05/06,1114
2022/05/07,964
2022/05/08,867
2022/05/09,387
2022/05/10,1526
2022/05/11,1037
2022/05/12,1120
2022/05/13,917
2022/05/14,1155
2022/05/15,836
2022/05/16,401
2022/05/17,1428
2022/05/18,893
2022/05/19,876
2022/05/20,799
2022/05/21,697
2022/05/22,559
2022/05/23,209
2022/05/24,995
2022/05/25,611
2022/05/26,585
2022/05/27,574
2022/05/28,574
2022/05/29,504
2022/05/30,171
2022/05/31,738
2022/06/01,487
2022/06/02,479
2022/06/03,139
2022/06/04,598
2022/06/05,350
2022/06/06,156
2022/06/07,600
2022/06/08,363
2022/06/09,421
2022/06/10,446
2022/06/11,423
2022/06/12,409
2022/06/13,173
2022/06/14,793
2022/06/15,558
2022/06/16,554
2022/06/17,645
2022/06/18,701
2022/06/19,641
2022/06/20,263
2022/06/21,1192
2022/06/22,860
2022/06/23,1006
2022/06/24,1032
2022/06/25,1039
2022/06/26,957
2022/06/27,388
2022/06/28,1941
2022/06/29,1491
2022/06/30,1747
2022/07/01,1884
2022/07/02,2036
2022/07/03,1707
2022/07/04,769
2022/07/05,3532
2022/07/06,2574
2022/07/07,2425
2022/07/08,2485
2022/07/09,2488
2022/07/10,2006
2022/07/11,828
2022/07/12,3460
2022/07/13,2291
2022/07/14,2445
2022/07/15,2225
2022/07/16,1967
2022/07/17,1420
2022/07/18,499
2022/07/19,2948
2022/07/20,1917
2022/07/21,1644
2022/07/22,1493
2022/07/23,1540
2022/07/24,1118
2022/07/25,418
2022/07/26,1905
2022/07/27,1306
2022/07/28,1238
2022/07/29,1090
2022/07/30,1103
2022/07/31,824
2022/08/01,310
2022/08/02,1411
2022/08/03,958
2022/08/04,890
2022/08/05,799
2022/08/06,821
2022/08/07,669
2022/08/08,224
2022/08/09,1090
2022/08/10,664
2022/08/11,659
2022/08/12,601
2022/08/13,630
2022/08/14,475
2022/08/15,261
2022/08/16,222
2022/08/17,868
2022/08/18,579
2022/08/19,615
2022/08/20,565
2022/08/21,433
2022/08/22,171
2022/08/23,850
2022/08/24,606
2022/08/25,548
2022/08/26,505
2022/08/27,587
2022/08/28,515
2022/08/29,189
2022/08/30,811
2022/08/31,513
2022/09/01,542
2022/09/02,481
2022/09/03,442
2022/09/04,375
2022/09/05,98
2022/09/06,706
2022/09/07,440
2022/09/08,390
2022/09/09,362
2022/09/10,398
2022/09/11,322
2022/09/12,150
2022/09/13,655
2022/09/14,393
2022/09/15,398
2022/09/16,405
2022/09/17,372
2022/09/18,342
2022/09/19,136
2022/09/20,729
2022/09/21,462
2022/09/22,490
2022/09/23,444
2022/09/24,369
2022/09/25,365
2022/09/26,149
2022/09/27,757
2022/09/28,621
2022/09/29,639
2022/09/30,563
2022/10/01,562
2022/10/02,474
2022/10/03,166
