Datas,Trapani
2021/02/13,13
2021/02/14,19
2021/02/15,9
2021/02/16,14
2021/02/17,17
2021/02/18,7
2021/02/19,15
2021/02/20,18
2021/02/21,24
2021/02/22,7
2021/02/23,17
2021/02/24,9
2021/02/25,12
2021/02/26,17
2021/02/27,16
2021/02/28,8
2021/03/01,15
2021/03/02,16
2021/03/03,12
2021/03/04,17
2021/03/05,11
2021/03/06,32
2021/03/07,15
2021/03/08,21
2021/03/09,14
2021/03/10,14
2021/03/11,39
2021/03/12,23
2021/03/13,6
2021/03/14,5
2021/03/15,6
2021/03/16,29
2021/03/17,16
2021/03/18,58
2021/03/19,37
2021/03/20,46
2021/03/21,13
2021/03/22,7
2021/03/23,43
2021/03/24,26
2021/03/25,27
2021/03/26,47
2021/03/27,20
2021/03/28,25
2021/03/29,20
2021/03/30,0
2021/03/31,83
2021/04/01,9
2021/04/02,113
2021/04/03,19
2021/04/04,35
2021/04/05,78
2021/04/06,3
2021/04/07,40
2021/04/08,24
2021/04/09,135
2021/04/10,53
2021/04/11,65
2021/04/12,15
2021/04/13,52
2021/04/14,104
2021/04/15,99
2021/04/16,111
2021/04/17,74
2021/04/18,33
2021/04/19,26
2021/04/20,108
2021/04/21,43
2021/04/22,22
2021/04/23,48
2021/04/24,45
2021/04/25,26
2021/04/26,19
2021/04/27,55
2021/04/28,25
2021/04/29,51
2021/04/30,50
2021/05/01,14
2021/05/02,35
2021/05/03,25
2021/05/04,50
2021/05/05,38
2021/05/06,22
2021/05/07,18
2021/05/08,41
2021/05/09,19
2021/05/10,20
2021/05/11,57
2021/05/12,22
2021/05/13,31
2021/05/14,25
2021/05/15,30
2021/05/16,22
2021/05/17,10
2021/05/18,52
2021/05/19,29
2021/05/20,22
2021/05/21,44
2021/05/22,16
2021/05/23,20
2021/05/24,2
2021/05/25,35
2021/05/26,18
2021/05/27,34
2021/05/28,23
2021/05/29,10
2021/05/30,11
2021/05/31,7
2021/06/01,34
2021/06/02,8
2021/06/03,37
2021/06/04,27
2021/06/05,7
2021/06/06,14
2021/06/07,13
2021/06/08,8
2021/06/09,16
2021/06/10,6
2021/06/11,4
2021/06/12,7
2021/06/13,19
2021/06/14,1
2021/06/15,15
2021/06/16,0
2021/06/17,11
2021/06/18,15
2021/06/19,29
2021/06/20,1
2021/06/21,0
2021/06/22,21
2021/06/23,5
2021/06/24,8
2021/06/25,10
2021/06/26,13
2021/06/27,11
2021/06/28,9
2021/06/29,11
2021/06/30,20
2021/07/01,8
2021/07/02,24
2021/07/03,10
2021/07/04,10
2021/07/05,4
2021/07/06,21
2021/07/07,7
2021/07/08,21
2021/07/09,24
2021/07/10,20
2021/07/11,12
2021/07/12,4
