Datas,Campobasso
2021/02/13,71
2021/02/14,99
2021/02/15,36
2021/02/16,7
2021/02/17,107
2021/02/18,141
2021/02/19,90
2021/02/20,85
2021/02/21,49
2021/02/22,70
2021/02/23,20
2021/02/24,71
2021/02/25,55
2021/02/26,63
2021/02/27,54
2021/02/28,87
2021/03/01,40
2021/03/02,14
2021/03/03,61
2021/03/04,52
2021/03/05,82
2021/03/06,39
2021/03/07,30
2021/03/08,24
2021/03/09,21
2021/03/10,53
2021/03/11,72
2021/03/12,38
2021/03/13,67
2021/03/14,30
2021/03/15,10
2021/03/16,15
2021/03/17,50
2021/03/18,62
2021/03/19,33
2021/03/20,43
2021/03/21,42
2021/03/22,15
2021/03/23,28
2021/03/24,22
2021/03/25,14
2021/03/26,39
2021/03/27,30
2021/03/28,63
2021/03/29,11
2021/03/30,2
2021/03/31,15
2021/04/01,30
2021/04/02,39
2021/04/03,30
2021/04/04,31
2021/04/05,18
2021/04/06,0
2021/04/07,2
2021/04/08,21
2021/04/09,40
2021/04/10,42
2021/04/11,14
2021/04/12,26
2021/04/13,0
2021/04/14,27
2021/04/15,59
2021/04/16,24
2021/04/17,30
2021/04/18,47
2021/04/19,5
2021/04/20,3
2021/04/21,41
2021/04/22,71
2021/04/23,12
2021/04/24,43
2021/04/25,21
2021/04/26,15
2021/04/27,1
2021/04/28,18
2021/04/29,32
2021/04/30,29
2021/05/01,29
2021/05/02,24
2021/05/03,14
2021/05/04,4
2021/05/05,25
2021/05/06,10
2021/05/07,16
2021/05/08,25
2021/05/09,13
2021/05/10,0
2021/05/11,5
2021/05/12,16
2021/05/13,12
2021/05/14,10
2021/05/15,6
2021/05/16,0
2021/05/17,0
2021/05/18,3
2021/05/19,8
2021/05/20,4
2021/05/21,1
2021/05/22,-9767
2021/05/23,9768
2021/05/24,0
2021/05/25,1
2021/05/26,6
2021/05/27,10
2021/05/28,3
2021/05/29,1
2021/05/30,4
2021/05/31,0
2021/06/01,4
2021/06/02,4
2021/06/03,3
2021/06/04,0
2021/06/05,3
2021/06/06,1
2021/06/07,2
2021/06/08,6
2021/06/09,2
2021/06/10,4
2021/06/11,1
2021/06/12,1
2021/06/13,2
2021/06/14,4
2021/06/15,10
2021/06/16,0
2021/06/17,2
2021/06/18,12
2021/06/19,6
2021/06/20,5
2021/06/21,0
2021/06/22,1
2021/06/23,0
2021/06/24,6
2021/06/25,4
2021/06/26,4
2021/06/27,11
2021/06/28,0
2021/06/29,0
2021/06/30,1
2021/07/01,1
2021/07/02,1
2021/07/03,1
2021/07/04,2
2021/07/05,0
2021/07/06,0
2021/07/07,2
2021/07/08,4
2021/07/09,1
2021/07/10,0
2021/07/11,7
2021/07/12,1
2021/07/13,0
2021/07/14,16
2021/07/15,10
2021/07/16,23
2021/07/17,8
2021/07/18,13
2021/07/19,2
2021/07/20,0
2021/07/21,12
2021/07/22,2
2021/07/23,3
2021/07/24,4
2021/07/25,11
2021/07/26,0
2021/07/27,1
2021/07/28,8
2021/07/29,3
2021/07/30,7
