Datas,Pordenone
2021/02/13,56
2021/02/14,28
2021/02/15,8
2021/02/16,47
2021/02/17,66
2021/02/18,28
2021/02/19,48
2021/02/20,44
2021/02/21,30
2021/02/22,3
2021/02/23,52
2021/02/24,62
2021/02/25,47
2021/02/26,61
2021/02/27,68
2021/02/28,41
2021/03/01,6
2021/03/02,67
2021/03/03,46
2021/03/04,75
2021/03/05,64
2021/03/06,66
2021/03/07,67
2021/03/08,10
2021/03/09,81
2021/03/10,83
2021/03/11,119
2021/03/12,90
2021/03/13,79
2021/03/14,75
2021/03/15,27
2021/03/16,143
2021/03/17,121
2021/03/18,106
2021/03/19,114
2021/03/20,91
2021/03/21,72
2021/03/22,25
2021/03/23,105
2021/03/24,88
2021/03/25,106
2021/03/26,90
2021/03/27,79
2021/03/28,88
2021/03/29,16
2021/03/30,69
2021/03/31,113
2021/04/01,70
2021/04/02,26
2021/04/03,63
2021/04/04,59
2021/04/05,13
2021/04/06,4
2021/04/07,74
2021/04/08,61
2021/04/09,68
2021/04/10,58
2021/04/11,30
2021/04/12,2
2021/04/13,63
2021/04/14,44
2021/04/15,30
2021/04/16,76
2021/04/17,38
2021/04/18,43
2021/04/19,6
2021/04/20,38
2021/04/21,48
2021/04/22,37
2021/04/23,24
2021/04/24,34
2021/04/25,51
2021/04/26,17
2021/04/27,69
2021/04/28,19
2021/04/29,45
2021/04/30,19
2021/05/01,63
2021/05/02,4
2021/05/03,4
2021/05/04,51
2021/05/05,35
2021/05/06,21
2021/05/07,21
2021/05/08,20
2021/05/09,16
2021/05/10,4
2021/05/11,30
2021/05/12,21
2021/05/13,17
2021/05/14,4
2021/05/15,20
2021/05/16,11
2021/05/17,4
2021/05/18,16
2021/05/19,17
2021/05/20,13
2021/05/21,10
2021/05/22,8
2021/05/23,11
2021/05/24,0
2021/05/25,8
2021/05/26,9
2021/05/27,18
2021/05/28,6
2021/05/29,9
2021/05/30,9
2021/05/31,3
2021/06/01,8
2021/06/02,12
2021/06/03,0
2021/06/04,6
2021/06/05,7
2021/06/06,5
2021/06/07,0
2021/06/08,12
2021/06/09,6
2021/06/10,12
2021/06/11,5
2021/06/12,6
2021/06/13,4
2021/06/14,1
2021/06/15,3
2021/06/16,3
2021/06/17,3
2021/06/18,4
2021/06/19,3
2021/06/20,5
2021/06/21,0
2021/06/22,1
2021/06/23,0
2021/06/24,-10
2021/06/25,2
2021/06/26,6
2021/06/27,4
2021/06/28,0
2021/06/29,6
2021/06/30,1
2021/07/01,5
2021/07/02,3
2021/07/03,1
2021/07/04,2
2021/07/05,1
2021/07/06,1
2021/07/07,8
2021/07/08,0
2021/07/09,0
2021/07/10,2
2021/07/11,1
2021/07/12,2
2021/07/13,2
2021/07/14,6
2021/07/15,2
2021/07/16,5
2021/07/17,9
2021/07/18,6
2021/07/19,0
2021/07/20,0
2021/07/21,15
2021/07/22,20
2021/07/23,26
2021/07/24,15
2021/07/25,23
2021/07/26,3
2021/07/27,50
2021/07/28,28
2021/07/29,33
2021/07/30,41
2021/07/31,38
2021/08/01,33
2021/08/02,9
2021/08/03,46
2021/08/04,49
2021/08/05,29
2021/08/06,38
2021/08/07,31
2021/08/08,26
2021/08/09,3
2021/08/10,29
2021/08/11,46
2021/08/12,32
2021/08/13,41
2021/08/14,29
2021/08/15,16
2021/08/16,10
2021/08/17,20
2021/08/18,31
2021/08/19,16
2021/08/20,38
2021/08/21,14
2021/08/22,29
2021/08/23,7
2021/08/24,34
2021/08/25,57
