Datas,Pavia
2021/02/13,128
2021/02/14,85
2021/02/15,16
2021/02/16,72
2021/02/17,115
2021/02/18,119
2021/02/19,166
2021/02/20,146
2021/02/21,131
2021/02/22,40
2021/02/23,104
2021/02/24,200
2021/02/25,243
2021/02/26,220
2021/02/27,169
2021/02/28,144
2021/03/01,83
2021/03/02,148
2021/03/03,279
2021/03/04,313
2021/03/05,278
2021/03/06,366
2021/03/07,233
2021/03/08,43
2021/03/09,224
2021/03/10,309
2021/03/11,439
2021/03/12,348
2021/03/13,421
2021/03/14,227
2021/03/15,88
2021/03/16,166
2021/03/17,275
2021/03/18,304
2021/03/19,323
2021/03/20,227
2021/03/21,222
2021/03/22,66
2021/03/23,203
2021/03/24,357
2021/03/25,316
2021/03/26,262
2021/03/27,194
2021/03/28,212
2021/03/29,41
2021/03/30,95
2021/03/31,203
2021/04/01,205
2021/04/02,195
2021/04/03,181
2021/04/04,111
2021/04/05,48
2021/04/06,53
2021/04/07,85
2021/04/08,152
2021/04/09,228
2021/04/10,124
2021/04/11,127
2021/04/12,21
2021/04/13,85
2021/04/14,108
2021/04/15,143
2021/04/16,131
2021/04/17,99
2021/04/18,72
2021/04/19,44
2021/04/20,78
2021/04/21,129
2021/04/22,123
2021/04/23,111
2021/04/24,114
2021/04/25,92
2021/04/26,32
2021/04/27,93
2021/04/28,117
2021/04/29,98
2021/04/30,132
2021/05/01,89
2021/05/02,29
2021/05/03,7
2021/05/04,65
2021/05/05,106
2021/05/06,84
2021/05/07,66
2021/05/08,90
2021/05/09,64
2021/05/10,20
2021/05/11,59
2021/05/12,63
2021/05/13,66
2021/05/14,55
2021/05/15,37
2021/05/16,45
2021/05/17,7
2021/05/18,4
2021/05/19,41
2021/05/20,34
2021/05/21,41
2021/05/22,38
2021/05/23,24
2021/05/24,6
2021/05/25,10
2021/05/26,49
2021/05/27,30
2021/05/28,37
2021/05/29,14
2021/05/30,37
2021/05/31,4
2021/06/01,19
2021/06/02,26
2021/06/03,13
2021/06/04,19
2021/06/05,11
2021/06/06,17
2021/06/07,4
2021/06/08,16
2021/06/09,25
2021/06/10,15
2021/06/11,18
2021/06/12,18
2021/06/13,18
2021/06/14,1
2021/06/15,3
2021/06/16,7
2021/06/17,6
2021/06/18,3
2021/06/19,7
2021/06/20,5
2021/06/21,3
2021/06/22,7
2021/06/23,2
2021/06/24,7
2021/06/25,1
2021/06/26,1
2021/06/27,2
2021/06/28,0
2021/06/29,5
2021/06/30,3
2021/07/01,7
2021/07/02,0
2021/07/03,0
2021/07/04,0
2021/07/05,0
2021/07/06,5
2021/07/07,7
2021/07/08,6
2021/07/09,7
2021/07/10,13
2021/07/11,11
2021/07/12,3
2021/07/13,8
2021/07/14,12
2021/07/15,21
2021/07/16,16
2021/07/17,17
2021/07/18,6
2021/07/19,4
2021/07/20,10
2021/07/21,15
2021/07/22,11
2021/07/23,22
2021/07/24,27
2021/07/25,17
2021/07/26,8
2021/07/27,32
2021/07/28,24
2021/07/29,19
2021/07/30,24
2021/07/31,28
2021/08/01,10
2021/08/02,9
2021/08/03,23
2021/08/04,22
2021/08/05,21
2021/08/06,21
2021/08/07,25
2021/08/08,16
2021/08/09,4
2021/08/10,24
2021/08/11,33
2021/08/12,47
2021/08/13,35
2021/08/14,45
2021/08/15,11
2021/08/16,6
2021/08/17,32
2021/08/18,31
2021/08/19,31
2021/08/20,36
2021/08/21,27
2021/08/22,20
2021/08/23,4
2021/08/24,38
2021/08/25,34
2021/08/26,43
2021/08/27,30
2021/08/28,22
2021/08/29,9
2021/08/30,7
2021/08/31,35
2021/09/01,43
2021/09/02,48
2021/09/03,40
2021/09/04,39
2021/09/05,19
2021/09/06,9
2021/09/07,36
2021/09/08,31
2021/09/09,43
2021/09/10,25
2021/09/11,51
2021/09/12,19
2021/09/13,8
2021/09/14,28
2021/09/15,46
2021/09/16,38
2021/09/17,19
2021/09/18,44
2021/09/19,19
2021/09/20,3
2021/09/21,31
2021/09/22,31
2021/09/23,30
2021/09/24,19
2021/09/25,35
2021/09/26,14
2021/09/27,2
2021/09/28,28
2021/09/29,20
2021/09/30,12
2021/10/01,26
2021/10/02,22
2021/10/03,12
2021/10/04,8
2021/10/05,19
2021/10/06,17
2021/10/07,23
2021/10/08,21
2021/10/09,17
2021/10/10,12
2021/10/11,3
2021/10/12,18
2021/10/13,21
2021/10/14,18
2021/10/15,24
2021/10/16,21
2021/10/17,13
2021/10/18,1
2021/10/19,16
2021/10/20,39
2021/10/21,24
2021/10/22,23
2021/10/23,28
2021/10/24,12
2021/10/25,4
2021/10/26,31
2021/10/27,28
2021/10/28,32
2021/10/29,30
2021/10/30,37
2021/10/31,26
2021/11/01,9
2021/11/02,14
2021/11/03,43
2021/11/04,34
2021/11/05,46
2021/11/06,31
2021/11/07,25
2021/11/08,8
2021/11/09,35
2021/11/10,43
2021/11/11,41
2021/11/12,44
2021/11/13,45
2021/11/14,31
2021/11/15,17
2021/11/16,54
2021/11/17,75
2021/11/18,73
2021/11/19,52
2021/11/20,55
2021/11/21,49
2021/11/22,26
2021/11/23,70
2021/11/24,108
2021/11/25,81
2021/11/26,85
2021/11/27,73
2021/11/28,106
2021/11/29,26
2021/11/30,119
2021/12/01,122
2021/12/02,121
2021/12/03,134
2021/12/04,165
2021/12/05,89
2021/12/06,52
2021/12/07,118
2021/12/08,207
2021/12/09,43
2021/12/10,137
2021/12/11,170
2021/12/12,131
2021/12/13,67
2021/12/14,199
2021/12/15,219
2021/12/16,244
2021/12/17,262
2021/12/18,286
2021/12/19,242
2021/12/20,146
2021/12/21,431
2021/12/22,484
2021/12/23,635
2021/12/24,716
2021/12/25,807
2021/12/26,199
2021/12/27,331
2021/12/28,1645
2021/12/29,1807
2021/12/30,2107
2021/12/31,2152
2022/01/01,1880
2022/01/02,359
2022/01/03,638
2022/01/04,3133
