Datas,Bologna
2021/02/13,451
2021/02/14,368
2021/02/15,490
2021/02/16,262
2021/02/17,268
2021/02/18,536
2021/02/19,624
2021/02/20,602
2021/02/21,608
2021/02/22,630
2021/02/23,639
2021/02/24,268
2021/02/25,448
2021/02/26,730
2021/02/27,595
2021/02/28,731
2021/03/01,878
2021/03/02,862
2021/03/03,757
2021/03/04,644
2021/03/05,845
2021/03/06,976
2021/03/07,1011
2021/03/08,938
2021/03/09,923
2021/03/10,667
2021/03/11,988
2021/03/12,1055
2021/03/13,808
2021/03/14,931
2021/03/15,821
2021/03/16,529
2021/03/17,479
2021/03/18,688
2021/03/19,860
2021/03/20,716
2021/03/21,685
2021/03/22,553
2021/03/23,366
2021/03/24,334
2021/03/25,411
2021/03/26,609
2021/03/27,574
2021/03/28,524
2021/03/29,462
2021/03/30,254
2021/03/31,354
2021/04/01,403
2021/04/02,338
2021/04/03,391
2021/04/04,417
2021/04/05,332
2021/04/06,264
2021/04/07,111
2021/04/08,245
2021/04/09,234
2021/04/10,361
2021/04/11,257
2021/04/12,226
2021/04/13,211
2021/04/14,126
2021/04/15,222
2021/04/16,316
2021/04/17,195
2021/04/18,184
2021/04/19,192
2021/04/20,131
2021/04/21,102
2021/04/22,203
2021/04/23,234
2021/04/24,155
2021/04/25,227
2021/04/26,201
2021/04/27,198
2021/04/28,147
2021/04/29,178
2021/04/30,270
2021/05/01,153
2021/05/02,224
2021/05/03,157
2021/05/04,170
2021/05/05,125
2021/05/06,161
2021/05/07,200
2021/05/08,197
2021/05/09,156
2021/05/10,94
2021/05/11,159
2021/05/12,67
2021/05/13,138
2021/05/14,118
2021/05/15,118
2021/05/16,103
2021/05/17,77
2021/05/18,73
2021/05/19,72
2021/05/20,102
2021/05/21,95
2021/05/22,76
2021/05/23,69
2021/05/24,64
2021/05/25,36
2021/05/26,46
2021/05/27,46
2021/05/28,68
2021/05/29,39
2021/05/30,39
2021/05/31,29
2021/06/01,38
2021/06/02,21
2021/06/03,42
2021/06/04,43
2021/06/05,12
2021/06/06,29
2021/06/07,36
2021/06/08,28
2021/06/09,7
2021/06/10,27
2021/06/11,24
2021/06/12,25
2021/06/13,28
2021/06/14,21
2021/06/15,7
2021/06/16,9
2021/06/17,13
2021/06/18,21
2021/06/19,14
2021/06/20,15
2021/06/21,6
2021/06/22,14
2021/06/23,14
2021/06/24,11
2021/06/25,5
2021/06/26,7
2021/06/27,8
2021/06/28,6
2021/06/29,11
2021/06/30,5
2021/07/01,4
2021/07/02,5
2021/07/03,9
2021/07/04,9
2021/07/05,3
2021/07/06,16
2021/07/07,6
2021/07/08,13
2021/07/09,21
2021/07/10,18
2021/07/11,14
2021/07/12,14
2021/07/13,21
2021/07/14,24
2021/07/15,36
2021/07/16,43
2021/07/17,30
2021/07/18,43
2021/07/19,41
2021/07/20,44
2021/07/21,54
2021/07/22,64
2021/07/23,85
2021/07/24,98
2021/07/25,116
2021/07/26,105
2021/07/27,92
2021/07/28,72
2021/07/29,81
2021/07/30,96
2021/07/31,171
2021/08/01,121
2021/08/02,139
2021/08/03,73
2021/08/04,88
2021/08/05,77
2021/08/06,156
2021/08/07,149
2021/08/08,128
2021/08/09,177
2021/08/10,86
2021/08/11,56
2021/08/12,106
2021/08/13,70
2021/08/14,198
2021/08/15,87
2021/08/16,90
2021/08/17,116
2021/08/18,59
2021/08/19,125
2021/08/20,134
2021/08/21,103
2021/08/22,147
2021/08/23,115
2021/08/24,83
2021/08/25,48
2021/08/26,96
2021/08/27,156
2021/08/28,133
2021/08/29,130
2021/08/30,71
2021/08/31,124
2021/09/01,67
2021/09/02,58
2021/09/03,170
2021/09/04,91
2021/09/05,68
2021/09/06,44
2021/09/07,117
2021/09/08,64
2021/09/09,76
2021/09/10,155
2021/09/11,87
2021/09/12,60
2021/09/13,150
2021/09/14,89
2021/09/15,61
2021/09/16,52
2021/09/17,100
2021/09/18,68
2021/09/19,49
2021/09/20,83
2021/09/21,87
2021/09/22,35
2021/09/23,29
2021/09/24,100
2021/09/25,54
2021/09/26,77
2021/09/27,71
2021/09/28,38
2021/09/29,56
2021/09/30,51
2021/10/01,68
2021/10/02,64
2021/10/03,71
2021/10/04,73
2021/10/05,15
2021/10/06,92
2021/10/07,47
2021/10/08,60
2021/10/09,96
2021/10/10,61
2021/10/11,46
2021/10/12,33
2021/10/13,30
2021/10/14,29
2021/10/15,59
2021/10/16,68
2021/10/17,61
2021/10/18,43
2021/10/19,47
2021/10/20,58
2021/10/21,70
2021/10/22,66
2021/10/23,75
2021/10/24,102
2021/10/25,83
2021/10/26,92
2021/10/27,88
2021/10/28,87
2021/10/29,134
2021/10/30,112
2021/10/31,91
2021/11/01,96
2021/11/02,113
2021/11/03,68
2021/11/04,86
2021/11/05,149
2021/11/06,140
2021/11/07,142
2021/11/08,166
2021/11/09,139
2021/11/10,130
2021/11/11,96
2021/11/12,167
2021/11/13,170
2021/11/14,147
2021/11/15,151
2021/11/16,190
2021/11/17,172
2021/11/18,177
2021/11/19,188
2021/11/20,258
2021/11/21,224
2021/11/22,244
