Datas,Potenza
2021/02/12,40
2021/02/13,40
2021/02/14,49
2021/02/15,9
2021/02/16,55
2021/02/17,41
2021/02/18,68
2021/02/19,95
2021/02/20,51
2021/02/21,47
2021/02/22,13
2021/02/23,74
2021/02/24,82
2021/02/25,51
2021/02/26,34
2021/02/27,69
2021/02/28,72
2021/03/01,34
2021/03/02,106
2021/03/03,83
2021/03/04,60
2021/03/05,69
2021/03/06,107
2021/03/07,70
2021/03/08,12
2021/03/09,109
2021/03/10,62
2021/03/11,87
2021/03/12,85
2021/03/13,67
2021/03/14,72
2021/03/15,26
2021/03/16,123
2021/03/17,85
2021/03/18,118
2021/03/19,58
2021/03/20,103
2021/03/21,68
2021/03/22,14
2021/03/23,70
2021/03/24,78
2021/03/25,48
2021/03/26,96
2021/03/27,84
2021/03/28,87
2021/03/29,15
2021/03/30,77
2021/03/31,87
2021/04/01,105
2021/04/02,87
2021/04/03,67
2021/04/04,74
2021/04/05,4
2021/04/06,17
2021/04/07,101
2021/04/08,90
2021/04/09,108
2021/04/10,105
2021/04/11,180
2021/04/12,28
2021/04/13,120
2021/04/14,116
2021/04/15,143
2021/04/16,101
2021/04/17,146
2021/04/18,91
2021/04/19,29
2021/04/20,104
2021/04/21,106
2021/04/22,126
2021/04/23,131
2021/04/24,116
2021/04/25,99
2021/04/26,33
2021/04/27,59
2021/04/28,115
2021/04/29,108
2021/04/30,88
2021/05/01,141
2021/05/02,48
2021/05/03,13
2021/05/04,40
2021/05/05,115
2021/05/06,90
2021/05/07,81
2021/05/08,85
2021/05/09,80
2021/05/10,14
2021/05/11,65
2021/05/12,99
2021/05/13,70
2021/05/14,85
2021/05/15,84
2021/05/16,73
2021/05/17,11
2021/05/18,68
2021/05/19,39
2021/05/20,39
2021/05/21,53
2021/05/22,50
2021/05/23,28
2021/05/24,3
2021/05/25,36
2021/05/26,45
2021/05/27,34
2021/05/28,37
2021/05/29,31
2021/05/30,15
2021/05/31,5
2021/06/01,15
2021/06/02,26
2021/06/03,0
2021/06/04,42
2021/06/05,23
2021/06/06,26
2021/06/07,0
2021/06/08,28
2021/06/09,20
2021/06/10,25
2021/06/11,43
2021/06/12,7
2021/06/13,22
2021/06/14,1
2021/06/15,21
2021/06/16,10
2021/06/17,27
2021/06/18,12
2021/06/19,6
2021/06/20,33
2021/06/21,2
2021/06/22,11
2021/06/23,8
2021/06/24,25
2021/06/25,6
2021/06/26,11
2021/06/27,16
2021/06/28,0
2021/06/29,5
2021/06/30,3
2021/07/01,5
2021/07/02,0
2021/07/03,10
2021/07/04,1
2021/07/05,0
2021/07/06,3
2021/07/07,5
2021/07/08,1
2021/07/09,1
2021/07/10,1
2021/07/11,1
2021/07/12,0
2021/07/13,0
2021/07/14,1
2021/07/15,1
2021/07/16,5
2021/07/17,7
2021/07/18,8
2021/07/19,0
2021/07/20,19
2021/07/21,16
2021/07/22,11
2021/07/23,8
2021/07/24,23
2021/07/25,5
2021/07/26,1
2021/07/27,26
2021/07/28,10
2021/07/29,23
2021/07/30,23
2021/07/31,51
2021/08/01,20
2021/08/02,7
2021/08/03,43
2021/08/04,37
2021/08/05,59
2021/08/06,21
2021/08/07,45
2021/08/08,10
2021/08/09,20
2021/08/10,32
2021/08/11,51
2021/08/12,49
2021/08/13,33
2021/08/14,55
2021/08/15,57
2021/08/16,1
2021/08/17,38
2021/08/18,53
2021/08/19,50
2021/08/20,37
2021/08/21,27
2021/08/22,45
2021/08/23,5
2021/08/24,53
2021/08/25,54
2021/08/26,26
2021/08/27,52
2021/08/28,31
2021/08/29,53
2021/08/30,1
2021/08/31,59
2021/09/01,35
2021/09/02,24
2021/09/03,33
2021/09/04,19
2021/09/05,23
2021/09/06,3
2021/09/07,41
2021/09/08,30
2021/09/09,11
2021/09/10,20
2021/09/11,20
2021/09/12,29
2021/09/13,2
2021/09/14,26
2021/09/15,58
2021/09/16,25
2021/09/17,25
2021/09/18,14
2021/09/19,17
2021/09/20,7
2021/09/21,26
2021/09/22,18
2021/09/23,24
2021/09/24,23
2021/09/25,12
2021/09/26,12
2021/09/27,1
2021/09/28,19
2021/09/29,58
2021/09/30,62
2021/10/01,27
2021/10/02,19
2021/10/03,52
2021/10/04,6
2021/10/05,23
2021/10/06,41
2021/10/07,13
2021/10/08,19
2021/10/09,18
2021/10/10,12
2021/10/11,4
2021/10/12,17
2021/10/13,10
2021/10/14,6
2021/10/15,10
2021/10/16,12
2021/10/17,6
2021/10/18,0
2021/10/19,10
2021/10/20,3
2021/10/21,5
2021/10/22,12
2021/10/23,6
2021/10/24,8
2021/10/25,5
2021/10/26,13
2021/10/27,14
2021/10/28,18
2021/10/29,22
2021/10/30,10
2021/10/31,8
2021/11/01,2
2021/11/02,14
2021/11/03,23
2021/11/04,10
2021/11/05,7
2021/11/06,24
2021/11/07,13
2021/11/08,0
2021/11/09,18
2021/11/10,14
2021/11/11,14
2021/11/12,9
2021/11/13,13
2021/11/14,24
2021/11/15,1
2021/11/16,21
2021/11/17,15
2021/11/18,13
2021/11/19,10
2021/11/20,15
2021/11/21,15
2021/11/22,0
2021/11/23,7
2021/11/24,12
2021/11/25,14
2021/11/26,17
2021/11/27,9
2021/11/28,12
2021/11/29,3
2021/11/30,9
2021/12/01,25
2021/12/02,11
2021/12/03,37
2021/12/04,10
2021/12/05,26
2021/12/06,2
2021/12/07,31
2021/12/08,61
2021/12/09,0
2021/12/10,52
2021/12/11,38
2021/12/12,32
2021/12/13,9
2021/12/14,114
2021/12/15,71
2021/12/16,78
2021/12/17,46
2021/12/18,105
2021/12/19,81
2021/12/20,2
2021/12/21,83
2021/12/22,111
2021/12/23,125
2021/12/24,168
2021/12/25,178
2021/12/26,7
2021/12/27,66
2021/12/28,278
2021/12/29,293
2021/12/30,411
2021/12/31,329
2022/01/01,593
2022/01/02,270
2022/01/03,149
2022/01/04,683
2022/01/05,630
2022/01/06,741
2022/01/07,690
2022/01/08,501
2022/01/09,714
2022/01/10,147
2022/01/11,629
2022/01/12,622
2022/01/13,659
2022/01/14,614
2022/01/15,417
2022/01/16,413
2022/01/17,31
2022/01/18,911
2022/01/19,683
2022/01/20,865
2022/01/21,801
2022/01/22,692
2022/01/23,547
2022/01/24,279
2022/01/25,804
2022/01/26,626
2022/01/27,598
2022/01/28,607
2022/01/29,629
2022/01/30,520
2022/01/31,292
2022/02/01,800
2022/02/02,610
2022/02/03,628
2022/02/04,501
2022/02/05,678
2022/02/06,495
2022/02/07,276
2022/02/08,673
2022/02/09,606
2022/02/10,435
2022/02/11,410
2022/02/12,401
2022/02/13,289
2022/02/14,223
2022/02/15,507
2022/02/16,409
2022/02/17,364
2022/02/18,365
2022/02/19,375
2022/02/20,267
2022/02/21,216
2022/02/22,479
2022/02/23,318
2022/02/24,328
2022/02/25,310
2022/02/26,321
2022/02/27,242
2022/02/28,156
2022/03/01,461
2022/03/02,242
2022/03/03,359
2022/03/04,246
2022/03/05,300
2022/03/06,218
2022/03/07,162
2022/03/08,436
2022/03/09,350
2022/03/10,385
2022/03/11,426
2022/03/12,348
2022/03/13,299
2022/03/14,200
2022/03/15,630
2022/03/16,496
2022/03/17,628
2022/03/18,559
2022/03/19,635
2022/03/20,543
2022/03/21,294
2022/03/22,826
2022/03/23,766
2022/03/24,654
2022/03/25,629
2022/03/26,684
2022/03/27,530
2022/03/28,358
2022/03/29,826
2022/03/30,715
2022/03/31,478
2022/04/01,731
2022/04/02,686
2022/04/03,446
2022/04/04,346
2022/04/05,777
2022/04/06,505
2022/04/07,590
2022/04/08,558
2022/04/09,501
2022/04/10,381
2022/04/11,251
2022/04/12,622
2022/04/13,438
2022/04/14,470
2022/04/15,425
2022/04/16,482
2022/04/17,340
2022/04/18,90
2022/04/19,341
2022/04/20,776
2022/04/21,620
2022/04/22,534
2022/04/23,597
2022/04/24,380
2022/04/25,154
2022/04/26,345
2022/04/27,773
2022/04/28,519
2022/04/29,415
2022/04/30,428
2022/05/01,305
2022/05/02,143
2022/05/03,506
2022/05/04,338
2022/05/05,319
2022/05/06,325
2022/05/07,344
2022/05/08,245
2022/05/09,150
2022/05/10,405
2022/05/11,282
2022/05/12,264
2022/05/13,274
2022/05/14,249
2022/05/15,171
2022/05/16,127
2022/05/17,317
2022/05/18,214
2022/05/19,214
2022/05/20,170
2022/05/21,142
2022/05/22,104
2022/05/23,87
2022/05/24,202
2022/05/25,188
2022/05/26,105
2022/05/27,155
2022/05/28,114
2022/05/29,79
2022/05/30,54
2022/05/31,146
2022/06/01,107
2022/06/02,86
2022/06/03,77
2022/06/04,122
2022/06/05,83
2022/06/06,54
2022/06/07,167
2022/06/08,103
2022/06/09,138
2022/06/10,98
2022/06/11,89
2022/06/12,65
2022/06/13,62
2022/06/14,219
2022/06/15,163
2022/06/16,208
2022/06/17,174
2022/06/18,169
2022/06/19,153
2022/06/20,154
2022/06/21,343
2022/06/22,254
2022/06/23,284
2022/06/24,277
2022/06/25,271
2022/06/26,216
2022/06/27,179
2022/06/28,411
2022/06/29,312
2022/06/30,427
2022/07/01,411
2022/07/02,419
2022/07/03,376
2022/07/04,281
2022/07/05,807
2022/07/06,644
2022/07/07,641
2022/07/08,555
2022/07/09,583
2022/07/10,399
2022/07/11,288
2022/07/12,933
2022/07/13,616
2022/07/14,702
2022/07/15,616
2022/07/16,545
2022/07/17,382
2022/07/18,325
2022/07/19,845
2022/07/20,515
2022/07/21,522
2022/07/22,421
2022/07/23,462
2022/07/24,307
2022/07/25,171
2022/07/26,592
2022/07/27,387
2022/07/28,352
2022/07/29,327
2022/07/30,347
2022/07/31,229
2022/08/01,119
2022/08/02,408
2022/08/03,226
2022/08/04,223
2022/08/05,175
2022/08/06,190
2022/08/07,133
2022/08/08,63
2022/08/09,219
2022/08/10,139
2022/08/11,117
2022/08/12,168
2022/08/13,155
2022/08/14,110
2022/08/15,66
2022/08/16,87
2022/08/17,219
2022/08/18,217
2022/08/19,157
2022/08/20,233
2022/08/21,137
2022/08/22,96
2022/08/23,339
2022/08/24,234
2022/08/25,229
2022/08/26,220
2022/08/27,208
2022/08/28,142
2022/08/29,92
2022/08/30,322
2022/08/31,155
2022/09/01,171
2022/09/02,150
2022/09/03,163
2022/09/04,101
2022/09/05,82
2022/09/06,201
2022/09/07,130
2022/09/08,135
2022/09/09,105
2022/09/10,115
2022/09/11,98
2022/09/12,69
2022/09/13,141
2022/09/14,93
2022/09/15,108
2022/09/16,89
2022/09/17,113
2022/09/18,79
2022/09/19,57
2022/09/20,169
2022/09/21,120
2022/09/22,105
2022/09/23,85
2022/09/24,95
2022/09/25,89
2022/09/26,58
2022/09/27,206
2022/09/28,161
2022/09/29,143
2022/09/30,149
2022/10/01,167
2022/10/02,128
2022/10/03,101
