Datas,Ravenna
2021/02/12,112
2021/02/13,124
2021/02/14,95
2021/02/15,69
2021/02/16,64
2021/02/17,136
2021/02/18,101
2021/02/19,154
2021/02/20,117
2021/02/21,144
2021/02/22,118
2021/02/23,80
2021/02/24,229
2021/02/25,196
2021/02/26,212
2021/02/27,291
2021/02/28,217
2021/03/01,176
2021/03/02,96
2021/03/03,271
2021/03/04,247
2021/03/05,281
2021/03/06,220
2021/03/07,277
2021/03/08,127
2021/03/09,100
2021/03/10,272
2021/03/11,321
2021/03/12,277
2021/03/13,220
2021/03/14,330
2021/03/15,213
2021/03/16,131
2021/03/17,216
2021/03/18,238
2021/03/19,294
2021/03/20,232
2021/03/21,210
2021/03/22,199
2021/03/23,70
2021/03/24,220
2021/03/25,204
2021/03/26,234
2021/03/27,182
2021/03/28,197
2021/03/29,141
2021/03/30,53
2021/03/31,200
2021/04/01,138
2021/04/02,173
2021/04/03,155
2021/04/04,150
2021/04/05,131
2021/04/06,43
2021/04/07,33
2021/04/08,109
2021/04/09,125
2021/04/10,102
2021/04/11,122
2021/04/12,92
2021/04/13,44
2021/04/14,135
2021/04/15,71
2021/04/16,166
2021/04/17,96
2021/04/18,116
2021/04/19,67
2021/04/20,66
2021/04/21,76
2021/04/22,79
2021/04/23,76
2021/04/24,117
2021/04/25,93
2021/04/26,87
2021/04/27,51
2021/04/28,76
2021/04/29,64
2021/04/30,102
2021/05/01,74
2021/05/02,69
2021/05/03,42
2021/05/04,30
2021/05/05,67
2021/05/06,71
2021/05/07,55
2021/05/08,62
2021/05/09,41
2021/05/10,52
2021/05/11,24
2021/05/12,44
2021/05/13,42
2021/05/14,37
2021/05/15,32
2021/05/16,18
2021/05/17,24
2021/05/18,8
2021/05/19,39
2021/05/20,23
2021/05/21,28
2021/05/22,23
2021/05/23,27
2021/05/24,13
2021/05/25,16
2021/05/26,21
2021/05/27,18
2021/05/28,14
2021/05/29,20
2021/05/30,15
2021/05/31,13
2021/06/01,14
2021/06/02,16
2021/06/03,29
2021/06/04,9
2021/06/05,16
2021/06/06,13
2021/06/07,7
2021/06/08,9
2021/06/09,13
2021/06/10,15
2021/06/11,13
2021/06/12,4
2021/06/13,17
2021/06/14,8
2021/06/15,7
2021/06/16,8
2021/06/17,13
2021/06/18,10
2021/06/19,7
2021/06/20,0
2021/06/21,3
2021/06/22,7
2021/06/23,5
2021/06/24,3
2021/06/25,3
2021/06/26,1
2021/06/27,3
2021/06/28,2
2021/06/29,5
2021/06/30,0
2021/07/01,3
2021/07/02,8
2021/07/03,5
2021/07/04,0
2021/07/05,9
2021/07/06,10
2021/07/07,-1
2021/07/08,3
2021/07/09,8
2021/07/10,5
2021/07/11,7
2021/07/12,2
2021/07/13,6
2021/07/14,4
2021/07/15,3
2021/07/16,10
2021/07/17,13
2021/07/18,12
2021/07/19,2
2021/07/20,10
2021/07/21,21
2021/07/22,20
2021/07/23,27
2021/07/24,31
2021/07/25,20
2021/07/26,22
2021/07/27,9
2021/07/28,35
2021/07/29,26
2021/07/30,43
2021/07/31,55
2021/08/01,37
2021/08/02,40
2021/08/03,25
2021/08/04,67
2021/08/05,44
2021/08/06,55
2021/08/07,35
2021/08/08,50
2021/08/09,32
2021/08/10,35
2021/08/11,39
2021/08/12,48
2021/08/13,48
2021/08/14,42
2021/08/15,31
2021/08/16,33
2021/08/17,22
2021/08/18,38
2021/08/19,44
2021/08/20,43
2021/08/21,34
2021/08/22,48
2021/08/23,35
2021/08/24,31
2021/08/25,45
2021/08/26,56
2021/08/27,50
2021/08/28,57
2021/08/29,39
2021/08/30,34
