Datas,Lecce
2021/02/13,41
2021/02/14,44
2021/02/15,43
2021/02/16,48
2021/02/17,72
2021/02/18,75
2021/02/19,79
2021/02/20,86
2021/02/21,78
2021/02/22,47
2021/02/23,70
2021/02/24,99
2021/02/25,99
2021/02/26,76
2021/02/27,73
2021/02/28,69
2021/03/01,84
2021/03/02,105
2021/03/03,125
2021/03/04,87
2021/03/05,198
2021/03/06,170
2021/03/07,84
2021/03/08,117
2021/03/09,147
2021/03/10,201
2021/03/11,143
2021/03/12,220
2021/03/13,216
2021/03/14,173
2021/03/15,127
2021/03/16,195
2021/03/17,247
2021/03/18,191
2021/03/19,239
2021/03/20,267
2021/03/21,169
2021/03/22,89
2021/03/23,239
2021/03/24,309
2021/03/25,152
2021/03/26,243
2021/03/27,236
2021/03/28,296
2021/03/29,99
2021/03/30,242
2021/03/31,284
2021/04/01,291
2021/04/02,217
2021/04/03,256
2021/04/04,231
2021/04/05,125
2021/04/06,90
2021/04/07,193
2021/04/08,197
2021/04/09,176
2021/04/10,213
2021/04/11,123
2021/04/12,224
2021/04/13,179
2021/04/14,140
2021/04/15,172
2021/04/16,161
2021/04/17,163
2021/04/18,137
2021/04/19,77
2021/04/20,128
2021/04/21,202
2021/04/22,209
2021/04/23,176
2021/04/24,145
2021/04/25,166
2021/04/26,83
2021/04/27,167
2021/04/28,186
2021/04/29,226
2021/04/30,183
2021/05/01,159
2021/05/02,146
2021/05/03,100
2021/05/04,196
2021/05/05,169
2021/05/06,203
2021/05/07,172
2021/05/08,202
2021/05/09,80
2021/05/10,136
2021/05/11,132
2021/05/12,105
2021/05/13,105
2021/05/14,138
2021/05/15,105
2021/05/16,131
2021/05/17,52
2021/05/18,77
2021/05/19,75
2021/05/20,84
2021/05/21,73
2021/05/22,70
2021/05/23,43
2021/05/24,36
2021/05/25,50
2021/05/26,58
2021/05/27,53
2021/05/28,47
2021/05/29,40
2021/05/30,22
2021/05/31,45
2021/06/01,33
2021/06/02,38
2021/06/03,13
2021/06/04,30
2021/06/05,39
2021/06/06,26
2021/06/07,16
2021/06/08,18
2021/06/09,20
2021/06/10,24
2021/06/11,18
2021/06/12,15
2021/06/13,12
2021/06/14,17
2021/06/15,7
2021/06/16,16
2021/06/17,24
2021/06/18,12
2021/06/19,12
2021/06/20,9
2021/06/21,2
