Datas,Messina
2021/02/13,67
2021/02/14,101
2021/02/15,51
2021/02/16,38
2021/02/17,56
2021/02/18,51
2021/02/19,54
2021/02/20,34
2021/02/21,56
2021/02/22,43
2021/02/23,21
2021/02/24,40
2021/02/25,69
2021/02/26,66
2021/02/27,31
2021/02/28,27
2021/03/01,58
2021/03/02,27
2021/03/03,36
2021/03/04,51
2021/03/05,28
2021/03/06,63
2021/03/07,26
2021/03/08,23
2021/03/09,44
2021/03/10,33
2021/03/11,51
2021/03/12,44
2021/03/13,31
2021/03/14,44
2021/03/15,59
2021/03/16,18
2021/03/17,25
2021/03/18,63
2021/03/19,81
2021/03/20,49
2021/03/21,56
2021/03/22,52
2021/03/23,48
2021/03/24,78
2021/03/25,58
2021/03/26,30
2021/03/27,83
2021/03/28,121
2021/03/29,51
2021/03/30,0
2021/03/31,161
2021/04/01,106
2021/04/02,132
2021/04/03,124
2021/04/04,80
2021/04/05,33
2021/04/06,124
2021/04/07,88
2021/04/08,69
2021/04/09,128
2021/04/10,114
2021/04/11,162
2021/04/12,121
2021/04/13,113
2021/04/14,127
2021/04/15,122
2021/04/16,135
2021/04/17,105
2021/04/18,79
2021/04/19,87
2021/04/20,125
2021/04/21,98
2021/04/22,96
2021/04/23,59
2021/04/24,96
2021/04/25,146
2021/04/26,101
2021/04/27,71
2021/04/28,50
2021/04/29,69
2021/04/30,113
2021/05/01,93
2021/05/02,89
2021/05/03,61
2021/05/04,50
2021/05/05,65
2021/05/06,76
2021/05/07,52
2021/05/08,81
2021/05/09,78
2021/05/10,46
2021/05/11,88
2021/05/12,70
2021/05/13,65
2021/05/14,65
2021/05/15,49
2021/05/16,88
2021/05/17,38
2021/05/18,49
2021/05/19,51
2021/05/20,43
2021/05/21,96
2021/05/22,74
2021/05/23,49
2021/05/24,33
2021/05/25,31
2021/05/26,33
2021/05/27,46
2021/05/28,51
2021/05/29,38
2021/05/30,44
2021/05/31,25
2021/06/01,18
2021/06/02,37
2021/06/03,4
2021/06/04,42
2021/06/05,23
2021/06/06,21
2021/06/07,24
2021/06/08,23
2021/06/09,21
2021/06/10,13
2021/06/11,26
2021/06/12,10
2021/06/13,21
2021/06/14,11
2021/06/15,1
2021/06/16,13
2021/06/17,2
2021/06/18,19
2021/06/19,20
2021/06/20,12
2021/06/21,4
2021/06/22,6
2021/06/23,1
2021/06/24,13
2021/06/25,0
2021/06/26,0
2021/06/27,3
2021/06/28,4
2021/06/29,1
2021/06/30,0
2021/07/01,0
2021/07/02,2
2021/07/03,7
2021/07/04,19
2021/07/05,3
2021/07/06,9
2021/07/07,1
2021/07/08,5
2021/07/09,5
2021/07/10,33
2021/07/11,15
2021/07/12,5
2021/07/13,4
2021/07/14,36
2021/07/15,11
2021/07/16,4
2021/07/17,12
2021/07/18,18
2021/07/19,15
2021/07/20,3
2021/07/21,4
2021/07/22,23
2021/07/23,12
2021/07/24,43
2021/07/25,66
2021/07/26,2
2021/07/27,63
2021/07/28,3
2021/07/29,1
2021/07/30,141
2021/07/31,37
2021/08/01,67
2021/08/02,6
2021/08/03,38
2021/08/04,3
2021/08/05,2
2021/08/06,38
2021/08/07,35
2021/08/08,26
2021/08/09,186
2021/08/10,7
2021/08/11,8
2021/08/12,263
2021/08/13,115
2021/08/14,128
2021/08/15,8
2021/08/16,95
2021/08/17,225
2021/08/18,18
2021/08/19,81
2021/08/20,128
2021/08/21,487
2021/08/22,170
2021/08/23,4
2021/08/24,246
2021/08/25,220
2021/08/26,35
2021/08/27,18
2021/08/28,288
2021/08/29,146
2021/08/30,273
2021/08/31,27
2021/09/01,253
2021/09/02,25
2021/09/03,353
2021/09/04,246
2021/09/05,12
2021/09/06,249
2021/09/07,20
2021/09/08,243
2021/09/09,118
2021/09/10,129
2021/09/11,150
2021/09/12,234
2021/09/13,6
2021/09/14,149
2021/09/15,5
2021/09/16,169
2021/09/17,125
2021/09/18,119
2021/09/19,7
2021/09/20,45
2021/09/21,86
2021/09/22,11
2021/09/23,75
2021/09/24,5
2021/09/25,71
2021/09/26,24
2021/09/27,2
2021/09/28,100
2021/09/29,7
2021/09/30,1
2021/10/01,41
2021/10/02,289
2021/10/03,31
2021/10/04,23
2021/10/05,25
2021/10/06,33
2021/10/07,6
2021/10/08,15
2021/10/09,6
2021/10/10,64
2021/10/11,3
2021/10/12,30
2021/10/13,12
2021/10/14,76
2021/10/15,1
2021/10/16,38
2021/10/17,44
2021/10/18,48
2021/10/19,38
2021/10/20,48
2021/10/21,10
2021/10/22,53
2021/10/23,91
2021/10/24,35
2021/10/25,0
2021/10/26,155
2021/10/27,23
2021/10/28,40
2021/10/29,59
2021/10/30,5
2021/10/31,40
2021/11/01,55
2021/11/02,2
