Datas,Perugia
2021/02/13,305
2021/02/14,244
2021/02/15,109
2021/02/16,221
2021/02/17,392
2021/02/18,283
2021/02/19,277
2021/02/20,306
2021/02/21,207
2021/02/22,90
2021/02/23,241
2021/02/24,240
2021/02/25,229
2021/02/26,272
2021/02/27,185
2021/02/28,175
2021/03/01,76
2021/03/02,232
2021/03/03,217
2021/03/04,211
2021/03/05,203
2021/03/06,184
2021/03/07,154
2021/03/08,40
2021/03/09,186
2021/03/10,187
2021/03/11,202
2021/03/12,159
2021/03/13,121
2021/03/14,173
2021/03/15,64
2021/03/16,121
2021/03/17,239
2021/03/18,110
2021/03/19,124
2021/03/20,118
2021/03/21,75
2021/03/22,48
2021/03/23,150
2021/03/24,140
2021/03/25,90
2021/03/26,230
2021/03/27,149
2021/03/28,90
2021/03/29,45
2021/03/30,162
2021/03/31,123
2021/04/01,128
2021/04/02,140
2021/04/03,83
2021/04/04,77
2021/04/05,36
2021/04/06,65
2021/04/07,107
2021/04/08,125
2021/04/09,151
2021/04/10,117
2021/04/11,82
2021/04/12,37
2021/04/13,98
2021/04/14,94
2021/04/15,86
2021/04/16,112
2021/04/17,83
2021/04/18,77
2021/04/19,11
2021/04/20,92
2021/04/21,74
2021/04/22,101
2021/04/23,96
2021/04/24,74
2021/04/25,59
2021/04/26,7
2021/04/27,91
2021/04/28,63
2021/04/29,126
2021/04/30,85
2021/05/01,73
2021/05/02,47
2021/05/03,30
2021/05/04,76
2021/05/05,82
2021/05/06,75
2021/05/07,69
2021/05/08,59
2021/05/09,61
2021/05/10,5
2021/05/11,72
2021/05/12,63
2021/05/13,77
2021/05/14,58
2021/05/15,37
2021/05/16,44
2021/05/17,14
2021/05/18,61
2021/05/19,34
2021/05/20,35
2021/05/21,35
2021/05/22,20
2021/05/23,25
2021/05/24,9
2021/05/25,43
2021/05/26,26
2021/05/27,15
2021/05/28,52
2021/05/29,17
2021/05/30,50
2021/05/31,5
2021/06/01,14
2021/06/02,21
2021/06/03,4
2021/06/04,27
2021/06/05,30
2021/06/06,21
2021/06/07,6
2021/06/08,31
2021/06/09,19
2021/06/10,30
2021/06/11,11
2021/06/12,19
2021/06/13,10
2021/06/14,3
2021/06/15,20
2021/06/16,11
2021/06/17,16
2021/06/18,9
2021/06/19,7
2021/06/20,11
2021/06/21,0
2021/06/22,6
2021/06/23,14
2021/06/24,7
2021/06/25,14
2021/06/26,14
2021/06/27,6
2021/06/28,0
2021/06/29,8
2021/06/30,6
2021/07/01,3
2021/07/02,7
2021/07/03,4
2021/07/04,11
2021/07/05,1
2021/07/06,0
2021/07/07,4
2021/07/08,7
2021/07/09,7
2021/07/10,10
2021/07/11,4
2021/07/12,3
2021/07/13,10
2021/07/14,13
2021/07/15,14
2021/07/16,36
2021/07/17,24
2021/07/18,55
2021/07/19,2
2021/07/20,64
2021/07/21,46
2021/07/22,52
2021/07/23,83
2021/07/24,80
2021/07/25,82
2021/07/26,6
2021/07/27,104
2021/07/28,77
2021/07/29,101
2021/07/30,104
2021/07/31,75
2021/08/01,50
2021/08/02,10
2021/08/03,62
2021/08/04,126
2021/08/05,94
2021/08/06,89
2021/08/07,100
2021/08/08,84
2021/08/09,12
2021/08/10,118
2021/08/11,94
2021/08/12,98
2021/08/13,120
2021/08/14,57
2021/08/15,62
2021/08/16,8
2021/08/17,98
2021/08/18,104
2021/08/19,69
2021/08/20,82
2021/08/21,79
2021/08/22,74
2021/08/23,6
2021/08/24,87
2021/08/25,85
2021/08/26,113
2021/08/27,56
2021/08/28,76
2021/08/29,71
2021/08/30,21
2021/08/31,62
2021/09/01,99
2021/09/02,95
2021/09/03,69
2021/09/04,74
2021/09/05,67
2021/09/06,4
2021/09/07,86
2021/09/08,60
2021/09/09,70
2021/09/10,49
2021/09/11,72
2021/09/12,52
2021/09/13,4
2021/09/14,62
2021/09/15,71
2021/09/16,48
2021/09/17,56
2021/09/18,53
2021/09/19,49
2021/09/20,2
2021/09/21,38
2021/09/22,40
2021/09/23,48
2021/09/24,39
2021/09/25,31
2021/09/26,23
2021/09/27,7
2021/09/28,28
2021/09/29,29
2021/09/30,46
2021/10/01,13
2021/10/02,27
2021/10/03,30
2021/10/04,9
2021/10/05,25
2021/10/06,20
2021/10/07,28
2021/10/08,22
2021/10/09,25
2021/10/10,9
2021/10/11,0
2021/10/12,15
2021/10/13,19
2021/10/14,16
2021/10/15,18
2021/10/16,27
2021/10/17,17
2021/10/18,0
2021/10/19,45
2021/10/20,37
2021/10/21,56
2021/10/22,55
2021/10/23,42
2021/10/24,51
2021/10/25,12
2021/10/26,69
2021/10/27,70
2021/10/28,46
2021/10/29,45
2021/10/30,55
2021/10/31,60
2021/11/01,12
2021/11/02,17
2021/11/03,72
2021/11/04,87
2021/11/05,80
2021/11/06,78
2021/11/07,75
2021/11/08,6
2021/11/09,94
2021/11/10,59
2021/11/11,55
2021/11/12,70
2021/11/13,69
2021/11/14,46
2021/11/15,6
2021/11/16,60
2021/11/17,77
2021/11/18,63
2021/11/19,71
2021/11/20,92
