Datas,Massa Carrara
2021/02/13,68
2021/02/14,32
2021/02/15,43
2021/02/16,10
2021/02/17,25
2021/02/18,49
2021/02/19,29
2021/02/20,62
2021/02/21,53
2021/02/22,31
2021/02/23,26
2021/02/24,41
2021/02/25,68
2021/02/26,80
2021/02/27,56
2021/02/28,62
2021/03/01,46
2021/03/02,45
2021/03/03,57
2021/03/04,89
2021/03/05,53
2021/03/06,65
2021/03/07,49
2021/03/08,65
2021/03/09,29
2021/03/10,63
2021/03/11,42
2021/03/12,74
2021/03/13,44
2021/03/14,84
2021/03/15,30
2021/03/16,24
2021/03/17,62
2021/03/18,81
2021/03/19,61
2021/03/20,51
2021/03/21,47
2021/03/22,44
2021/03/23,31
2021/03/24,58
2021/03/25,61
2021/03/26,50
2021/03/27,50
2021/03/28,33
2021/03/29,53
2021/03/30,39
2021/03/31,59
2021/04/01,65
2021/04/02,78
2021/04/03,60
2021/04/04,57
2021/04/05,41
2021/04/06,13
2021/04/07,29
2021/04/08,36
2021/04/09,58
2021/04/10,40
2021/04/11,41
2021/04/12,33
2021/04/13,18
2021/04/14,29
2021/04/15,50
2021/04/16,46
2021/04/17,38
2021/04/18,31
2021/04/19,34
2021/04/20,24
2021/04/21,41
2021/04/22,75
2021/04/23,22
2021/04/24,33
2021/04/25,38
2021/04/26,27
2021/04/27,31
2021/04/28,47
2021/04/29,36
2021/04/30,44
2021/05/01,35
2021/05/02,21
2021/05/03,28
2021/05/04,19
2021/05/05,49
2021/05/06,33
2021/05/07,18
2021/05/08,45
2021/05/09,28
2021/05/10,35
2021/05/11,23
2021/05/12,20
2021/05/13,34
2021/05/14,24
2021/05/15,33
2021/05/16,15
2021/05/17,14
2021/05/18,13
2021/05/19,10
2021/05/20,16
2021/05/21,11
2021/05/22,11
2021/05/23,8
2021/05/24,6
2021/05/25,8
2021/05/26,15
2021/05/27,16
2021/05/28,16
2021/05/29,6
2021/05/30,5
2021/05/31,11
2021/06/01,2
2021/06/02,8
2021/06/03,13
2021/06/04,4
2021/06/05,1
2021/06/06,3
2021/06/07,6
2021/06/08,1
2021/06/09,3
2021/06/10,4
2021/06/11,3
2021/06/12,4
2021/06/13,3
2021/06/14,0
2021/06/15,0
2021/06/16,2
2021/06/17,0
2021/06/18,2
2021/06/19,1
2021/06/20,3
2021/06/21,0
2021/06/22,1
2021/06/23,2
2021/06/24,1
2021/06/25,0
2021/06/26,2
2021/06/27,2
2021/06/28,0
2021/06/29,1
2021/06/30,2
2021/07/01,1
2021/07/02,3
2021/07/03,0
2021/07/04,0
2021/07/05,2
2021/07/06,0
2021/07/07,0
2021/07/08,0
2021/07/09,7
2021/07/10,2
2021/07/11,11
2021/07/12,2
2021/07/13,4
2021/07/14,5
2021/07/15,13
2021/07/16,5
2021/07/17,5
2021/07/18,8
2021/07/19,15
2021/07/20,11
2021/07/21,10
2021/07/22,22
2021/07/23,15
2021/07/24,17
2021/07/25,27
2021/07/26,16
2021/07/27,7
2021/07/28,33
2021/07/29,21
2021/07/30,20
2021/07/31,19
2021/08/01,23
2021/08/02,12
2021/08/03,8
2021/08/04,20
2021/08/05,28
2021/08/06,30
2021/08/07,24
2021/08/08,29
2021/08/09,16
2021/08/10,12
2021/08/11,32
2021/08/12,23
2021/08/13,42
2021/08/14,23
2021/08/15,33
2021/08/16,34
2021/08/17,5
2021/08/18,36
2021/08/19,36
2021/08/20,33
2021/08/21,21
2021/08/22,26
2021/08/23,26
2021/08/24,5
2021/08/25,31
2021/08/26,49
2021/08/27,42
