Datas,Viterbo
2021/02/12,37
2021/02/13,1
2021/02/14,0
2021/02/15,34
2021/02/16,77
2021/02/17,39
2021/02/18,2
2021/02/19,52
2021/02/20,0
2021/02/21,4
2021/02/22,45
2021/02/23,181
2021/02/24,44
2021/02/25,1
2021/02/26,54
2021/02/27,54
2021/02/28,0
2021/03/01,69
2021/03/02,84
2021/03/03,43
2021/03/04,0
2021/03/05,23
2021/03/06,117
2021/03/07,0
2021/03/08,-1
2021/03/09,82
2021/03/10,88
2021/03/11,77
2021/03/12,31
2021/03/13,92
2021/03/14,1
2021/03/15,0
2021/03/16,63
2021/03/17,157
2021/03/18,83
2021/03/19,62
2021/03/20,0
2021/03/21,0
2021/03/22,72
2021/03/23,114
2021/03/24,74
2021/03/25,85
2021/03/26,124
2021/03/27,12
2021/03/28,1
2021/03/29,79
2021/03/30,74
2021/03/31,112
2021/04/01,58
2021/04/02,34
2021/04/03,4
2021/04/04,105
2021/04/05,0
2021/04/06,3
2021/04/07,130
2021/04/08,28
2021/04/09,99
2021/04/10,3
2021/04/11,0
2021/04/12,1
2021/04/13,121
2021/04/14,38
2021/04/15,73
2021/04/16,40
2021/04/17,-1
2021/04/18,10
2021/04/19,2
2021/04/20,124
2021/04/21,42
2021/04/22,36
2021/04/23,39
2021/04/24,2
2021/04/25,3
2021/04/26,45
2021/04/27,153
2021/04/28,18
2021/04/29,8
2021/04/30,70
2021/05/01,41
2021/05/02,0
2021/05/03,56
2021/05/04,81
2021/05/05,67
2021/05/06,43
2021/05/07,2
2021/05/08,3
2021/05/09,4
2021/05/10,66
2021/05/11,127
2021/05/12,14
2021/05/13,3
2021/05/14,55
2021/05/15,0
2021/05/16,1
2021/05/17,55
2021/05/18,13
2021/05/19,62
2021/05/20,-5
2021/05/21,13
2021/05/22,-1
2021/05/23,0
2021/05/24,23
2021/05/25,45
2021/05/26,55
2021/05/27,1
2021/05/28,3
2021/05/29,0
2021/05/30,0
2021/05/31,37
2021/06/01,11
2021/06/02,0
2021/06/03,0
2021/06/04,2
2021/06/05,5
2021/06/06,0
2021/06/07,64
2021/06/08,18
2021/06/09,23
2021/06/10,8
2021/06/11,0
2021/06/12,0
2021/06/13,1
2021/06/14,6
2021/06/15,9
2021/06/16,5
2021/06/17,0
2021/06/18,0
2021/06/19,2
2021/06/20,0
2021/06/21,3
2021/06/22,0
2021/06/23,4
2021/06/24,0
2021/06/25,0
2021/06/26,0
2021/06/27,0
2021/06/28,1
2021/06/29,0
2021/06/30,1
2021/07/01,2
2021/07/02,5
2021/07/03,0
2021/07/04,0
2021/07/05,2
2021/07/06,0
2021/07/07,0
2021/07/08,-1
2021/07/09,1
2021/07/10,3
2021/07/11,1
2021/07/12,2
2021/07/13,-1
2021/07/14,10
2021/07/15,4
2021/07/16,-1
2021/07/17,4
2021/07/18,2
2021/07/19,11
2021/07/20,1
2021/07/21,-3
2021/07/22,43
2021/07/23,3
2021/07/24,15
2021/07/25,17
2021/07/26,10
2021/07/27,83
2021/07/28,27
2021/07/29,4
2021/07/30,5
2021/07/31,25
2021/08/01,15
2021/08/02,7
2021/08/03,27
2021/08/04,21
2021/08/05,26
2021/08/06,21
2021/08/07,23
2021/08/08,15
2021/08/09,20
2021/08/10,30
2021/08/11,25
2021/08/12,24
2021/08/13,36
2021/08/14,26
2021/08/15,18
2021/08/16,31
2021/08/17,24
2021/08/18,20
2021/08/19,19
2021/08/20,25
2021/08/21,19
2021/08/22,16
2021/08/23,13
2021/08/24,24
2021/08/25,23
2021/08/26,30
2021/08/27,21
2021/08/28,39
2021/08/29,26
2021/08/30,14
2021/08/31,28
2021/09/01,35
2021/09/02,30
2021/09/03,25
2021/09/04,29
2021/09/05,23
2021/09/06,6
2021/09/07,21
2021/09/08,19
2021/09/09,13
2021/09/10,21
2021/09/11,20
2021/09/12,20
2021/09/13,11
2021/09/14,17
2021/09/15,15
2021/09/16,9
2021/09/17,15
2021/09/18,10
2021/09/19,6
2021/09/20,5
2021/09/21,12
2021/09/22,13
2021/09/23,11
2021/09/24,9
2021/09/25,9
2021/09/26,14
2021/09/27,0
2021/09/28,8
2021/09/29,14
2021/09/30,32
2021/10/01,8
2021/10/02,7
2021/10/03,9
2021/10/04,2
2021/10/05,9
2021/10/06,11
2021/10/07,11
2021/10/08,7
2021/10/09,6
2021/10/10,11
2021/10/11,5
2021/10/12,12
2021/10/13,13
2021/10/14,10
2021/10/15,16
2021/10/16,17
2021/10/17,15
2021/10/18,19
2021/10/19,31
2021/10/20,25
2021/10/21,21
2021/10/22,27
2021/10/23,19
2021/10/24,23
2021/10/25,19
2021/10/26,24
2021/10/27,26
2021/10/28,29
2021/10/29,30
2021/10/30,29
2021/10/31,21
2021/11/01,15
2021/11/02,10
2021/11/03,23
2021/11/04,36
2021/11/05,45
2021/11/06,32
2021/11/07,44
2021/11/08,13
2021/11/09,70
2021/11/10,27
2021/11/11,9
2021/11/12,59
2021/11/13,47
2021/11/14,35
2021/11/15,19
2021/11/16,82
2021/11/17,61
2021/11/18,58
2021/11/19,53
2021/11/20,56
2021/11/21,60
2021/11/22,21
2021/11/23,83
2021/11/24,101
2021/11/25,97
2021/11/26,84
2021/11/27,72
2021/11/28,76
2021/11/29,48
2021/11/30,70
2021/12/01,95
2021/12/02,111
2021/12/03,89
2021/12/04,119
2021/12/05,82
2021/12/06,96
2021/12/07,107
2021/12/08,71
2021/12/09,61
2021/12/10,91
2021/12/11,93
2021/12/12,78
2021/12/13,60
2021/12/14,120
2021/12/15,67
2021/12/16,120
2021/12/17,107
2021/12/18,84
2021/12/19,83
2021/12/20,39
2021/12/21,138
2021/12/22,160
2021/12/23,198
2021/12/24,153
2021/12/25,258
2021/12/26,135
2021/12/27,96
2021/12/28,248
2021/12/29,432
2021/12/30,219
2021/12/31,196
2022/01/01,189
2022/01/02,279
2022/01/03,204
2022/01/04,634
2022/01/05,1022
2022/01/06,775
2022/01/07,384
2022/01/08,750
2022/01/09,521
2022/01/10,311
2022/01/11,688
2022/01/12,611
2022/01/13,629
2022/01/14,409
2022/01/15,610
2022/01/16,556
2022/01/17,203
2022/01/18,974
2022/01/19,802
2022/01/20,687
2022/01/21,783
2022/01/22,565
2022/01/23,810
2022/01/24,373
2022/01/25,869
2022/01/26,712
2022/01/27,623
2022/01/28,669
2022/01/29,567
2022/01/30,550
2022/01/31,276
2022/02/01,767
2022/02/02,581
2022/02/03,664
2022/02/04,586
2022/02/05,493
2022/02/06,472
2022/02/07,192
2022/02/08,608
2022/02/09,449
2022/02/10,335
2022/02/11,287
2022/02/12,317
2022/02/13,280
2022/02/14,131
2022/02/15,423
2022/02/16,342
2022/02/17,300
2022/02/18,267
2022/02/19,273
2022/02/20,242
2022/02/21,129
2022/02/22,362
2022/02/23,244
2022/02/24,277
2022/02/25,221
2022/02/26,176
2022/02/27,171
2022/02/28,14
2022/03/01,282
2022/03/02,90
2022/03/03,189
2022/03/04,144
2022/03/05,166
2022/03/06,197
2022/03/07,85
2022/03/08,329
2022/03/09,207
2022/03/10,383
2022/03/11,290
2022/03/12,331
2022/03/13,322
2022/03/14,162
2022/03/15,666
2022/03/16,432
2022/03/17,596
2022/03/18,456
2022/03/19,428
