Datas,Ragusa
2021/02/13,27
2021/02/14,10
2021/02/15,5
2021/02/16,7
2021/02/17,7
2021/02/18,24
2021/02/19,16
2021/02/20,21
2021/02/21,20
2021/02/22,12
2021/02/23,25
2021/02/24,3
2021/02/25,41
2021/02/26,14
2021/02/27,26
2021/02/28,26
2021/03/01,26
2021/03/02,10
2021/03/03,28
2021/03/04,24
2021/03/05,33
2021/03/06,43
2021/03/07,57
2021/03/08,11
2021/03/09,30
2021/03/10,38
2021/03/11,32
2021/03/12,49
2021/03/13,37
2021/03/14,45
2021/03/15,1
2021/03/16,23
2021/03/17,42
2021/03/18,43
2021/03/19,55
2021/03/20,27
2021/03/21,31
2021/03/22,43
2021/03/23,14
2021/03/24,14
2021/03/25,28
2021/03/26,56
2021/03/27,109
2021/03/28,86
2021/03/29,15
2021/03/30,0
2021/03/31,43
2021/04/01,79
2021/04/02,80
2021/04/03,56
2021/04/04,116
2021/04/05,34
2021/04/06,46
2021/04/07,29
2021/04/08,34
2021/04/09,84
2021/04/10,51
2021/04/11,64
2021/04/12,34
2021/04/13,54
2021/04/14,58
2021/04/15,40
2021/04/16,5
2021/04/17,131
2021/04/18,76
2021/04/19,68
2021/04/20,26
2021/04/21,7
2021/04/22,142
2021/04/23,30
2021/04/24,48
2021/04/25,116
2021/04/26,66
2021/04/27,44
2021/04/28,82
2021/04/29,75
2021/04/30,1
2021/05/01,102
2021/05/02,82
2021/05/03,28
2021/05/04,0
2021/05/05,32
2021/05/06,100
2021/05/07,54
2021/05/08,71
2021/05/09,68
2021/05/10,64
2021/05/11,62
2021/05/12,23
2021/05/13,6
2021/05/14,36
2021/05/15,81
2021/05/16,31
2021/05/17,73
2021/05/18,20
2021/05/19,48
2021/05/20,34
2021/05/21,36
2021/05/22,40
2021/05/23,17
2021/05/24,18
2021/05/25,25
2021/05/26,21
2021/05/27,15
2021/05/28,20
2021/05/29,30
2021/05/30,41
2021/05/31,15
2021/06/01,12
2021/06/02,25
2021/06/03,53
2021/06/04,0
2021/06/05,37
2021/06/06,21
2021/06/07,4
2021/06/08,16
2021/06/09,34
2021/06/10,1
2021/06/11,73
2021/06/12,7
2021/06/13,31
2021/06/14,16
2021/06/15,10
2021/06/16,16
2021/06/17,24
2021/06/18,12
2021/06/19,30
2021/06/20,14
2021/06/21,13
2021/06/22,5
2021/06/23,13
2021/06/24,5
2021/06/25,10
2021/06/26,17
2021/06/27,3
2021/06/28,13
2021/06/29,12
2021/06/30,4
2021/07/01,12
2021/07/02,31
2021/07/03,14
2021/07/04,6
2021/07/05,11
2021/07/06,9
2021/07/07,0
2021/07/08,29
2021/07/09,34
2021/07/10,10
2021/07/11,36
2021/07/12,34
2021/07/13,11
2021/07/14,27
2021/07/15,29
2021/07/16,10
2021/07/17,134
2021/07/18,63
2021/07/19,0
2021/07/20,67
2021/07/21,175
2021/07/22,103
2021/07/23,17
2021/07/24,175
2021/07/25,76
2021/07/26,60
2021/07/27,2
2021/07/28,68
2021/07/29,235
2021/07/30,0
2021/07/31,219
2021/08/01,73
2021/08/02,0
2021/08/03,151
2021/08/04,115
2021/08/05,72
2021/08/06,70
2021/08/07,59
2021/08/08,137
2021/08/09,112
2021/08/10,93
2021/08/11,129
