Datas,Caserta
2021/02/13,227
2021/02/14,237
2021/02/15,78
2021/02/16,94
2021/02/17,133
2021/02/18,180
2021/02/19,151
2021/02/20,193
2021/02/21,186
2021/02/22,92
2021/02/23,128
2021/02/24,267
2021/02/25,314
2021/02/26,321
2021/02/27,277
2021/02/28,291
2021/03/01,209
2021/03/02,243
2021/03/03,305
2021/03/04,387
2021/03/05,337
2021/03/06,392
2021/03/07,292
2021/03/08,241
2021/03/09,195
2021/03/10,546
2021/03/11,272
2021/03/12,368
2021/03/13,328
2021/03/14,377
2021/03/15,199
2021/03/16,201
2021/03/17,288
2021/03/18,347
2021/03/19,278
2021/03/20,321
2021/03/21,270
2021/03/22,239
2021/03/23,260
2021/03/24,328
2021/03/25,304
2021/03/26,338
2021/03/27,331
2021/03/28,307
2021/03/29,137
2021/03/30,175
2021/03/31,304
2021/04/01,0
2021/04/02,778
2021/04/03,382
2021/04/04,286
2021/04/05,162
2021/04/06,129
2021/04/07,183
2021/04/08,184
2021/04/09,479
2021/04/10,263
2021/04/11,269
2021/04/12,212
2021/04/13,215
2021/04/14,289
2021/04/15,342
2021/04/16,297
2021/04/17,255
2021/04/18,276
2021/04/19,164
2021/04/20,169
2021/04/21,260
2021/04/22,241
2021/04/23,371
2021/04/24,272
2021/04/25,305
2021/04/26,248
2021/04/27,174
2021/04/28,268
2021/04/29,352
2021/04/30,281
2021/05/01,270
2021/05/02,241
2021/05/03,185
2021/05/04,168
2021/05/05,218
2021/05/06,219
2021/05/07,190
2021/05/08,204
2021/05/09,168
2021/05/10,169
2021/05/11,140
2021/05/12,173
2021/05/13,170
2021/05/14,168
2021/05/15,164
2021/05/16,162
2021/05/17,85
2021/05/18,75
2021/05/19,64
2021/05/20,25
2021/05/21,169
2021/05/22,74
2021/05/23,96
2021/05/24,55
2021/05/25,37
2021/05/26,0
2021/05/27,163
2021/05/28,83
2021/05/29,50
2021/05/30,89
2021/05/31,17
2021/06/01,40
2021/06/02,52
2021/06/03,31
2021/06/04,42
2021/06/05,55
2021/06/06,9
2021/06/07,5
2021/06/08,7
2021/06/09,18
2021/06/10,3
2021/06/11,1
2021/06/12,10
2021/06/13,5
2021/06/14,2
2021/06/15,9
2021/06/16,11
2021/06/17,4
2021/06/18,3
2021/06/19,6
2021/06/20,3
2021/06/21,4
2021/06/22,7
2021/06/23,11
2021/06/24,4
2021/06/25,5
2021/06/26,6
2021/06/27,3
2021/06/28,0
2021/06/29,48
2021/06/30,0
2021/07/01,20
2021/07/02,4
2021/07/03,4
2021/07/04,3
2021/07/05,1
2021/07/06,8
2021/07/07,99
2021/07/08,47
2021/07/09,35
2021/07/10,23
2021/07/11,46
2021/07/12,3
2021/07/13,22
2021/07/14,46
2021/07/15,35
2021/07/16,17
2021/07/17,27
2021/07/18,42
2021/07/19,1
2021/07/20,30
2021/07/21,52
2021/07/22,39
2021/07/23,20
2021/07/24,27
2021/07/25,22
2021/07/26,1
2021/07/27,21
2021/07/28,43
2021/07/29,36
2021/07/30,29
2021/07/31,51
2021/08/01,41
2021/08/02,5
2021/08/03,33
2021/08/04,27
2021/08/05,70
2021/08/06,57
2021/08/07,47
2021/08/08,14
2021/08/09,5
2021/08/10,10
2021/08/11,92
2021/08/12,60
2021/08/13,50
2021/08/14,65
2021/08/15,75
2021/08/16,6
2021/08/17,49
2021/08/18,68
2021/08/19,69
2021/08/20,38
2021/08/21,80
2021/08/22,68
2021/08/23,10
2021/08/24,35
2021/08/25,91
2021/08/26,51
2021/08/27,34
2021/08/28,66
2021/08/29,65
2021/08/30,2
2021/08/31,50
2021/09/01,57
2021/09/02,9
2021/09/03,12
2021/09/04,9
2021/09/05,15
2021/09/06,5
2021/09/07,16
2021/09/08,311
2021/09/09,53
2021/09/10,18
2021/09/11,69
2021/09/12,73
2021/09/13,0
2021/09/14,38
2021/09/15,45
2021/09/16,70
2021/09/17,71
2021/09/18,36
2021/09/19,73
2021/09/20,12
2021/09/21,19
2021/09/22,47
2021/09/23,71
2021/09/24,62
2021/09/25,35
2021/09/26,53
2021/09/27,1
2021/09/28,24
2021/09/29,38
2021/09/30,66
2021/10/01,35
2021/10/02,45
2021/10/03,77
2021/10/04,3
2021/10/05,25
2021/10/06,41
2021/10/07,58
2021/10/08,33
2021/10/09,39
2021/10/10,68
2021/10/11,2
2021/10/12,21
2021/10/13,38
2021/10/14,48
2021/10/15,45
2021/10/16,60
2021/10/17,45
2021/10/18,2
2021/10/19,30
2021/10/20,54
2021/10/21,84
2021/10/22,56
2021/10/23,51
2021/10/24,150
2021/10/25,4
2021/10/26,46
2021/10/27,120
2021/10/28,138
2021/10/29,100
2021/10/30,116
2021/10/31,164
2021/11/01,14
2021/11/02,20
2021/11/03,125
2021/11/04,103
2021/11/05,131
2021/11/06,125
2021/11/07,129
2021/11/08,62
2021/11/09,62
2021/11/10,180
2021/11/11,147
2021/11/12,118
2021/11/13,148
2021/11/14,160
2021/11/15,141
2021/11/16,70
2021/11/17,166
2021/11/18,197
2021/11/19,145
2021/11/20,175
2021/11/21,148
2021/11/22,102
2021/11/23,163
2021/11/24,137
2021/11/25,168
2021/11/26,148
2021/11/27,139
2021/11/28,204
2021/11/29,118
2021/11/30,171
2021/12/01,138
2021/12/02,240
2021/12/03,192
2021/12/04,130
2021/12/05,217
2021/12/06,138
2021/12/07,101
2021/12/08,59
2021/12/09,6
2021/12/10,484
2021/12/11,235
2021/12/12,284
2021/12/13,96
2021/12/14,126
2021/12/15,221
2021/12/16,300
2021/12/17,295
2021/12/18,276
2021/12/19,303
2021/12/20,150
2021/12/21,257
2021/12/22,351
2021/12/23,584
2021/12/24,742
2021/12/25,439
2021/12/26,35
2021/12/27,838
2021/12/28,1058
2021/12/29,1557
2021/12/30,1839
2021/12/31,2264
2022/01/01,1815
2022/01/02,983
2022/01/03,1396
2022/01/04,1699
2022/01/05,2328
2022/01/06,2654
2022/01/07,1326
2022/01/08,2334
2022/01/09,1848
2022/01/10,64
2022/01/11,4001
2022/01/12,3326
2022/01/13,3151
2022/01/14,2754
2022/01/15,2842
2022/01/16,2675
2022/01/17,1576
2022/01/18,2755
2022/01/19,2336
2022/01/20,2300
2022/01/21,1960
2022/01/22,1896
2022/01/23,1739
2022/01/24,870
2022/01/25,2227
2022/01/26,1893
2022/01/27,1687
2022/01/28,1658
2022/01/29,1583
2022/01/30,1469
2022/01/31,739
2022/02/01,2040
2022/02/02,1599
2022/02/03,1563
2022/02/04,1316
2022/02/05,1256
2022/02/06,1261
2022/02/07,631
2022/02/08,1726
2022/02/09,1282
2022/02/10,1193
2022/02/11,1082
2022/02/12,1083
2022/02/13,989
2022/02/14,491
2022/02/15,1307
2022/02/16,1043
2022/02/17,957
2022/02/18,985
2022/02/19,868
2022/02/20,917
2022/02/21,402
2022/02/22,1022
2022/02/23,805
2022/02/24,784
2022/02/25,589
2022/02/26,652
2022/02/27,524
2022/02/28,238
2022/03/01,884
2022/03/02,692
2022/03/03,677
2022/03/04,684
2022/03/05,763
2022/03/06,815
2022/03/07,348
2022/03/08,1164
2022/03/09,855
2022/03/10,1018
2022/03/11,965
2022/03/12,1024
2022/03/13,979
2022/03/14,537
2022/03/15,1697
2022/03/16,1399
2022/03/17,1574
2022/03/18,1518
2022/03/19,1394
2022/03/20,1310
2022/03/21,623
2022/03/22,1889
2022/03/23,1429
2022/03/24,1543
2022/03/25,1410
2022/03/26,1369
2022/03/27,1366
2022/03/28,550
2022/03/29,1929
2022/03/30,1313
2022/03/31,1387
2022/04/01,1348
2022/04/02,1321
2022/04/03,1162
2022/04/04,504
2022/04/05,1689
2022/04/06,1256
2022/04/07,1242
2022/04/08,1233
2022/04/09,1136
2022/04/10,1137
2022/04/11,450
2022/04/12,1502
2022/04/13,1060
2022/04/14,1118
2022/04/15,1212
2022/04/16,1197
2022/04/17,1157
2022/04/18,292
2022/04/19,556
2022/04/20,2088
2022/04/21,1479
2022/04/22,1500
2022/04/23,1362
2022/04/24,1344
2022/04/25,457
2022/04/26,715
2022/04/27,1886
2022/04/28,1324
2022/04/29,1166
2022/04/30,1101
2022/05/01,869
2022/05/02,323
2022/05/03,1244
2022/05/04,894
2022/05/05,841
2022/05/06,832
2022/05/07,832
2022/05/08,708
2022/05/09,340
2022/05/10,1053
2022/05/11,667
2022/05/12,820
2022/05/13,566
2022/05/14,700
2022/05/15,537
2022/05/16,209
2022/05/17,824
2022/05/18,530
2022/05/19,451
2022/05/20,400
2022/05/21,378
2022/05/22,325
2022/05/23,170
2022/05/24,499
2022/05/25,321
2022/05/26,339
2022/05/27,301
2022/05/28,274
2022/05/29,259
2022/05/30,118
2022/05/31,448
2022/06/01,255
2022/06/02,287
2022/06/03,108
2022/06/04,308
2022/06/05,236
2022/06/06,107
2022/06/07,333
2022/06/08,259
2022/06/09,283
2022/06/10,320
2022/06/11,299
2022/06/12,271
2022/06/13,144
2022/06/14,478
2022/06/15,424
2022/06/16,452
2022/06/17,448
2022/06/18,469
2022/06/19,477
2022/06/20,176
2022/06/21,803
2022/06/22,625
2022/06/23,744
2022/06/24,773
2022/06/25,807
2022/06/26,754
2022/06/27,340
2022/06/28,1370
2022/06/29,1119
2022/06/30,1571
2022/07/01,1544
2022/07/02,1729
2022/07/03,1483
2022/07/04,750
2022/07/05,2826
2022/07/06,2167
2022/07/07,2069
2022/07/08,2151
2022/07/09,2024
2022/07/10,1873
2022/07/11,879
2022/07/12,2914
2022/07/13,2125
2022/07/14,1970
2022/07/15,1921
2022/07/16,1535
2022/07/17,1206
2022/07/18,495
2022/07/19,2260
2022/07/20,1350
2022/07/21,1334
2022/07/22,1225
2022/07/23,1074
2022/07/24,1068
2022/07/25,379
2022/07/26,1483
2022/07/27,932
2022/07/28,952
2022/07/29,760
2022/07/30,766
2022/07/31,605
2022/08/01,292
2022/08/02,993
2022/08/03,684
2022/08/04,647
2022/08/05,551
2022/08/06,543
2022/08/07,481
2022/08/08,187
2022/08/09,664
2022/08/10,410
2022/08/11,412
2022/08/12,357
2022/08/13,330
2022/08/14,261
2022/08/15,139
2022/08/16,121
2022/08/17,461
2022/08/18,335
2022/08/19,325
2022/08/20,334
2022/08/21,306
2022/08/22,123
2022/08/23,479
2022/08/24,325
2022/08/25,285
2022/08/26,281
2022/08/27,277
2022/08/28,229
2022/08/29,116
2022/08/30,427
2022/08/31,258
2022/09/01,274
2022/09/02,223
2022/09/03,256
2022/09/04,214
2022/09/05,84
2022/09/06,329
2022/09/07,204
2022/09/08,189
2022/09/09,203
2022/09/10,182
2022/09/11,189
2022/09/12,91
2022/09/13,313
2022/09/14,217
2022/09/15,248
2022/09/16,232
2022/09/17,207
2022/09/18,230
2022/09/19,92
2022/09/20,343
2022/09/21,275
2022/09/22,258
2022/09/23,213
2022/09/24,222
2022/09/25,192
2022/09/26,78
2022/09/27,425
2022/09/28,359
2022/09/29,333
2022/09/30,282
2022/10/01,289
2022/10/02,286
2022/10/03,127
