Datas,Novara
2021/02/13,66
2021/02/14,22
2021/02/15,16
2021/02/16,69
2021/02/17,45
2021/02/18,9
2021/02/19,99
2021/02/20,63
2021/02/21,33
2021/02/22,33
2021/02/23,93
2021/02/24,73
2021/02/25,113
2021/02/26,80
2021/02/27,116
2021/02/28,49
2021/03/01,94
2021/03/02,115
2021/03/03,98
2021/03/04,136
2021/03/05,144
2021/03/06,99
2021/03/07,119
2021/03/08,112
2021/03/09,156
2021/03/10,199
2021/03/11,176
2021/03/12,108
2021/03/13,323
2021/03/14,108
2021/03/15,128
2021/03/16,191
2021/03/17,194
2021/03/18,200
2021/03/19,221
2021/03/20,164
2021/03/21,156
2021/03/22,78
2021/03/23,189
2021/03/24,192
2021/03/25,222
2021/03/26,175
2021/03/27,184
2021/03/28,145
2021/03/29,105
2021/03/30,166
2021/03/31,167
2021/04/01,174
2021/04/02,149
2021/04/03,144
2021/04/04,126
2021/04/05,33
2021/04/06,83
2021/04/07,85
2021/04/08,114
2021/04/09,108
2021/04/10,125
2021/04/11,70
2021/04/12,64
2021/04/13,105
2021/04/14,121
2021/04/15,78
2021/04/16,93
2021/04/17,60
2021/04/18,25
2021/04/19,60
2021/04/20,53
2021/04/21,86
2021/04/22,71
2021/04/23,73
2021/04/24,72
2021/04/25,57
2021/04/26,45
2021/04/27,68
2021/04/28,81
2021/04/29,80
2021/04/30,69
2021/05/01,82
2021/05/02,28
2021/05/03,24
2021/05/04,56
2021/05/05,69
2021/05/06,47
2021/05/07,61
2021/05/08,66
2021/05/09,39
2021/05/10,20
2021/05/11,41
2021/05/12,54
2021/05/13,36
2021/05/14,37
2021/05/15,49
2021/05/16,22
2021/05/17,12
2021/05/18,40
2021/05/19,38
2021/05/20,23
2021/05/21,34
2021/05/22,28
2021/05/23,17
2021/05/24,12
2021/05/25,33
2021/05/26,38
2021/05/27,20
2021/05/28,20
2021/05/29,19
2021/05/30,15
2021/05/31,11
2021/06/01,22
2021/06/02,22
2021/06/03,21
2021/06/04,30
2021/06/05,10
2021/06/06,14
2021/06/07,11
2021/06/08,23
2021/06/09,14
2021/06/10,10
2021/06/11,7
2021/06/12,9
2021/06/13,5
2021/06/14,7
2021/06/15,8
2021/06/16,11
2021/06/17,2
2021/06/18,7
2021/06/19,8
2021/06/20,2
2021/06/21,4
2021/06/22,1
2021/06/23,4
2021/06/24,8
2021/06/25,1
2021/06/26,4
2021/06/27,2
2021/06/28,1
2021/06/29,1
2021/06/30,4
2021/07/01,1
2021/07/02,4
2021/07/03,3
2021/07/04,4
2021/07/05,1
2021/07/06,7
2021/07/07,7
2021/07/08,1
2021/07/09,2
2021/07/10,5
2021/07/11,9
2021/07/12,2
2021/07/13,9
2021/07/14,6
2021/07/15,7
2021/07/16,11
2021/07/17,6
2021/07/18,6
2021/07/19,6
2021/07/20,15
2021/07/21,22
2021/07/22,19
2021/07/23,14
2021/07/24,35
2021/07/25,9
2021/07/26,6
2021/07/27,41
2021/07/28,23
2021/07/29,46
2021/07/30,25
2021/07/31,46
2021/08/01,33
2021/08/02,10
2021/08/03,32
2021/08/04,26
2021/08/05,47
2021/08/06,20
2021/08/07,19
2021/08/08,18
2021/08/09,8
2021/08/10,25
2021/08/11,26
2021/08/12,54
2021/08/13,37
2021/08/14,29
2021/08/15,14
2021/08/16,2
2021/08/17,29
2021/08/18,14
2021/08/19,19
2021/08/20,17
2021/08/21,28
2021/08/22,4
2021/08/23,6
2021/08/24,20
2021/08/25,26
2021/08/26,32
2021/08/27,20
2021/08/28,22
2021/08/29,20
2021/08/30,6
2021/08/31,33
2021/09/01,13
2021/09/02,23
2021/09/03,15
2021/09/04,23
2021/09/05,11
2021/09/06,4
2021/09/07,21
2021/09/08,24
2021/09/09,16
2021/09/10,9
2021/09/11,20
2021/09/12,7
2021/09/13,3
2021/09/14,10
2021/09/15,17
2021/09/16,27
2021/09/17,15
2021/09/18,15
2021/09/19,8
2021/09/20,9
2021/09/21,23
2021/09/22,6
2021/09/23,16
2021/09/24,11
2021/09/25,19
2021/09/26,3
2021/09/27,9
2021/09/28,12
2021/09/29,22
2021/09/30,13
2021/10/01,6
2021/10/02,13
2021/10/03,8
2021/10/04,3
2021/10/05,14
2021/10/06,5
2021/10/07,18
2021/10/08,9
2021/10/09,19
2021/10/10,11
2021/10/11,3
2021/10/12,17
2021/10/13,15
2021/10/14,13
2021/10/15,5
2021/10/16,12
2021/10/17,6
2021/10/18,5
2021/10/19,12
2021/10/20,8
2021/10/21,10
2021/10/22,12
2021/10/23,17
2021/10/24,4
2021/10/25,15
2021/10/26,13
2021/10/27,6
2021/10/28,10
2021/10/29,16
2021/10/30,18
2021/10/31,12
2021/11/01,12
2021/11/02,6
2021/11/03,18
2021/11/04,16
2021/11/05,13
2021/11/06,20
2021/11/07,8
2021/11/08,23
2021/11/09,34
2021/11/10,24
2021/11/11,37
2021/11/12,42
2021/11/13,39
2021/11/14,36
2021/11/15,24
2021/11/16,48
2021/11/17,55
2021/11/18,52
2021/11/19,36
2021/11/20,33
2021/11/21,28
2021/11/22,44
2021/11/23,55
2021/11/24,56
2021/11/25,118
2021/11/26,64
2021/11/27,81
2021/11/28,34
2021/11/29,38
2021/11/30,91
2021/12/01,75
2021/12/02,79
2021/12/03,93
2021/12/04,92
2021/12/05,46
2021/12/06,50
2021/12/07,129
2021/12/08,67
2021/12/09,93
2021/12/10,112
2021/12/11,141
2021/12/12,62
2021/12/13,101
2021/12/14,187
2021/12/15,116
2021/12/16,227
2021/12/17,133
2021/12/18,167
2021/12/19,92
2021/12/20,110
2021/12/21,242
2021/12/22,262
2021/12/23,348
2021/12/24,362
2021/12/25,282
2021/12/26,80
2021/12/27,355
2021/12/28,724
2021/12/29,867
2021/12/30,948
2021/12/31,948
2022/01/01,584
2022/01/02,139
2022/01/03,374
2022/01/04,1658
2022/01/05,1206
2022/01/06,1014
2022/01/07,627
2022/01/08,1513
2022/01/09,679
2022/01/10,632
2022/01/11,1443
2022/01/12,1352
2022/01/13,1257
2022/01/14,1113
2022/01/15,1065
2022/01/16,1005
2022/01/17,708
2022/01/18,1366
2022/01/19,1229
2022/01/20,1220
2022/01/21,1178
2022/01/22,971
2022/01/23,551
2022/01/24,545
2022/01/25,1455
2022/01/26,951
2022/01/27,824
2022/01/28,764
2022/01/29,658
2022/01/30,408
2022/01/31,377
2022/02/01,754
2022/02/02,574
2022/02/03,451
2022/02/04,372
2022/02/05,377
2022/02/06,218
2022/02/07,227
2022/02/08,446
2022/02/09,280
2022/02/10,255
2022/02/11,213
2022/02/12,225
2022/02/13,144
2022/02/14,150
2022/02/15,237
2022/02/16,173
2022/02/17,210
2022/02/18,142
2022/02/19,166
2022/02/20,75
2022/02/21,129
2022/02/22,154
2022/02/23,126
2022/02/24,136
2022/02/25,127
2022/02/26,121
2022/02/27,67
2022/02/28,101
2022/03/01,149
2022/03/02,141
2022/03/03,105
2022/03/04,113
2022/03/05,112
2022/03/06,56
2022/03/07,109
2022/03/08,140
2022/03/09,130
2022/03/10,152
2022/03/11,126
2022/03/12,132
2022/03/13,103
2022/03/14,135
2022/03/15,239
2022/03/16,222
2022/03/17,225
2022/03/18,194
2022/03/19,207
2022/03/20,103
2022/03/21,167
2022/03/22,219
2022/03/23,178
2022/03/24,208
2022/03/25,239
2022/03/26,160
2022/03/27,121
2022/03/28,167
2022/03/29,329
2022/03/30,213
2022/03/31,272
2022/04/01,259
2022/04/02,196
2022/04/03,88
2022/04/04,216
2022/04/05,307
2022/04/06,233
2022/04/07,288
2022/04/08,227
2022/04/09,237
2022/04/10,100
2022/04/11,167
2022/04/12,297
2022/04/13,225
2022/04/14,256
2022/04/15,222
2022/04/16,234
2022/04/17,110
2022/04/18,44
2022/04/19,246
2022/04/20,339
2022/04/21,196
2022/04/22,288
2022/04/23,255
2022/04/24,160
2022/04/25,66
2022/04/26,131
2022/04/27,425
2022/04/28,223
2022/04/29,214
2022/04/30,201
2022/05/01,133
2022/05/02,56
2022/05/03,292
2022/05/04,165
2022/05/05,210
2022/05/06,155
2022/05/07,164
2022/05/08,109
2022/05/09,61
2022/05/10,226
2022/05/11,173
2022/05/12,91
2022/05/13,224
2022/05/14,112
2022/05/15,107
2022/05/16,50
2022/05/17,169
2022/05/18,114
2022/05/19,109
2022/05/20,88
2022/05/21,78
2022/05/22,53
2022/05/23,41
2022/05/24,89
2022/05/25,61
2022/05/26,60
2022/05/27,43
2022/05/28,69
2022/05/29,47
2022/05/30,17
2022/05/31,77
2022/06/01,58
2022/06/02,50
2022/06/03,18
2022/06/04,79
2022/06/05,49
2022/06/06,43
2022/06/07,131
2022/06/08,72
2022/06/09,94
2022/06/10,77
2022/06/11,68
2022/06/12,66
2022/06/13,45
2022/06/14,173
2022/06/15,119
2022/06/16,182
2022/06/17,99
2022/06/18,111
2022/06/19,96
2022/06/20,61
2022/06/21,290
2022/06/22,187
2022/06/23,203
2022/06/24,251
2022/06/25,255
2022/06/26,162
2022/06/27,89
2022/06/28,556
2022/06/29,342
2022/06/30,430
2022/07/01,377
2022/07/02,195
2022/07/03,326
2022/07/04,104
2022/07/05,721
2022/07/06,421
2022/07/07,436
2022/07/08,401
2022/07/09,406
2022/07/10,313
2022/07/11,96
2022/07/12,736
2022/07/13,516
2022/07/14,509
2022/07/15,437
2022/07/16,401
2022/07/17,263
2022/07/18,113
2022/07/19,660
2022/07/20,394
2022/07/21,350
2022/07/22,353
2022/07/23,307
2022/07/24,196
2022/07/25,119
2022/07/26,444
2022/07/27,293
2022/07/28,245
2022/07/29,248
2022/07/30,224
2022/07/31,157
2022/08/01,114
2022/08/02,316
2022/08/03,199
2022/08/04,177
2022/08/05,202
2022/08/06,150
2022/08/07,107
2022/08/08,46
2022/08/09,236
2022/08/10,128
2022/08/11,98
2022/08/12,135
2022/08/13,82
2022/08/14,55
2022/08/15,29
2022/08/16,44
2022/08/17,200
2022/08/18,128
2022/08/19,101
2022/08/20,105
2022/08/21,57
2022/08/22,40
2022/08/23,191
2022/08/24,106
2022/08/25,94
2022/08/26,91
2022/08/27,93
2022/08/28,90
2022/08/29,55
2022/08/30,191
2022/08/31,114
2022/09/01,73
2022/09/02,123
2022/09/03,96
2022/09/04,64
2022/09/05,32
2022/09/06,148
2022/09/07,64
2022/09/08,110
2022/09/09,85
2022/09/10,94
2022/09/11,69
2022/09/12,38
2022/09/13,145
2022/09/14,95
2022/09/15,96
2022/09/16,113
2022/09/17,107
2022/09/18,92
2022/09/19,38
2022/09/20,253
2022/09/21,116
2022/09/22,222
2022/09/23,118
2022/09/24,182
2022/09/25,98
2022/09/26,61
2022/09/27,424
2022/09/28,326
2022/09/29,335
2022/09/30,322
2022/10/01,272
2022/10/02,231
2022/10/03,75
