Datas,Benevento
2021/02/13,50
2021/02/14,39
2021/02/15,30
2021/02/16,19
2021/02/17,45
2021/02/18,30
2021/02/19,42
2021/02/20,37
2021/02/21,30
2021/02/22,28
2021/02/23,28
2021/02/24,15
2021/02/25,59
2021/02/26,41
2021/02/27,20
2021/02/28,21
2021/03/01,39
2021/03/02,15
2021/03/03,23
2021/03/04,25
2021/03/05,7
2021/03/06,65
2021/03/07,9
2021/03/08,6
2021/03/09,86
2021/03/10,78
2021/03/11,53
2021/03/12,68
2021/03/13,91
2021/03/14,78
2021/03/15,21
2021/03/16,56
2021/03/17,105
2021/03/18,71
2021/03/19,71
2021/03/20,96
2021/03/21,65
2021/03/22,19
2021/03/23,56
2021/03/24,69
2021/03/25,101
2021/03/26,109
2021/03/27,79
2021/03/28,43
2021/03/29,18
2021/03/30,88
2021/03/31,88
2021/04/01,0
2021/04/02,196
2021/04/03,90
2021/04/04,35
2021/04/05,10
2021/04/06,42
2021/04/07,118
2021/04/08,153
2021/04/09,132
2021/04/10,145
2021/04/11,89
2021/04/12,30
2021/04/13,67
2021/04/14,133
2021/04/15,157
2021/04/16,106
2021/04/17,115
2021/04/18,71
2021/04/19,44
2021/04/20,80
2021/04/21,68
2021/04/22,152
2021/04/23,87
2021/04/24,89
2021/04/25,58
2021/04/26,32
2021/04/27,52
2021/04/28,56
2021/04/29,75
2021/04/30,254
2021/05/01,88
2021/05/02,30
2021/05/03,16
2021/05/04,27
2021/05/05,67
2021/05/06,76
2021/05/07,62
2021/05/08,31
2021/05/09,40
2021/05/10,16
2021/05/11,14
2021/05/12,40
2021/05/13,29
2021/05/14,44
2021/05/15,21
2021/05/16,28
2021/05/17,15
2021/05/18,23
2021/05/19,20
2021/05/20,26
2021/05/21,28
2021/05/22,28
2021/05/23,5
2021/05/24,1
2021/05/25,16
2021/05/26,0
2021/05/27,46
2021/05/28,4
2021/05/29,16
2021/05/30,9
2021/05/31,15
2021/06/01,35
2021/06/02,24
2021/06/03,4
2021/06/04,7
2021/06/05,18
2021/06/06,6
2021/06/07,2
2021/06/08,5
2021/06/09,10
2021/06/10,3
2021/06/11,4
2021/06/12,10
2021/06/13,2
2021/06/14,4
2021/06/15,4
2021/06/16,5
2021/06/17,10
2021/06/18,4
2021/06/19,6
2021/06/20,3
2021/06/21,0
2021/06/22,2
2021/06/23,0
2021/06/24,7
2021/06/25,3
2021/06/26,1
2021/06/27,2
2021/06/28,0
2021/06/29,3
2021/06/30,0
2021/07/01,3
2021/07/02,1
2021/07/03,1
2021/07/04,1
2021/07/05,0
2021/07/06,4
2021/07/07,5
2021/07/08,3
2021/07/09,4
2021/07/10,6
2021/07/11,0
2021/07/12,0
2021/07/13,7
2021/07/14,3
2021/07/15,2
2021/07/16,4
2021/07/17,4
2021/07/18,7
2021/07/19,0
2021/07/20,5
2021/07/21,16
2021/07/22,23
2021/07/23,6
2021/07/24,7
2021/07/25,13
2021/07/26,0
2021/07/27,13
2021/07/28,8
2021/07/29,10
2021/07/30,5
2021/07/31,13
2021/08/01,9
2021/08/02,3
2021/08/03,12
2021/08/04,3
2021/08/05,19
2021/08/06,10
2021/08/07,9
2021/08/08,13
2021/08/09,1
2021/08/10,17
2021/08/11,21
2021/08/12,9
2021/08/13,7
2021/08/14,3
2021/08/15,8
2021/08/16,0
2021/08/17,3
2021/08/18,13
2021/08/19,27
2021/08/20,27
2021/08/21,13
2021/08/22,14
2021/08/23,0
2021/08/24,25
2021/08/25,8
2021/08/26,26
2021/08/27,10
2021/08/28,10
2021/08/29,8
2021/08/30,0
2021/08/31,26
2021/09/01,13
2021/09/02,19
2021/09/03,11
2021/09/04,5
2021/09/05,5
2021/09/06,0
2021/09/07,11
2021/09/08,10
2021/09/09,27
2021/09/10,5
2021/09/11,12
2021/09/12,11
2021/09/13,0
2021/09/14,21
2021/09/15,25
2021/09/16,14
2021/09/17,36
2021/09/18,12
2021/09/19,15
2021/09/20,0
2021/09/21,17
2021/09/22,24
2021/09/23,4
2021/09/24,24
2021/09/25,2
2021/09/26,6
2021/09/27,0
2021/09/28,16
2021/09/29,18
2021/09/30,12
2021/10/01,4
2021/10/02,15
2021/10/03,15
2021/10/04,0
2021/10/05,10
2021/10/06,11
2021/10/07,7
2021/10/08,13
2021/10/09,14
2021/10/10,9
2021/10/11,4
2021/10/12,8
2021/10/13,1
2021/10/14,1
2021/10/15,9
2021/10/16,3
2021/10/17,11
2021/10/18,0
2021/10/19,12
2021/10/20,9
2021/10/21,4
2021/10/22,7
2021/10/23,9
2021/10/24,4
2021/10/25,0
2021/10/26,20
2021/10/27,20
2021/10/28,17
2021/10/29,21
2021/10/30,17
2021/10/31,12
2021/11/01,0
2021/11/02,1
2021/11/03,21
2021/11/04,25
2021/11/05,20
2021/11/06,14
2021/11/07,13
2021/11/08,1
2021/11/09,24
2021/11/10,32
2021/11/11,63
2021/11/12,35
2021/11/13,57
2021/11/14,53
2021/11/15,1
2021/11/16,31
2021/11/17,33
2021/11/18,52
2021/11/19,31
2021/11/20,74
2021/11/21,20
2021/11/22,8
2021/11/23,28
2021/11/24,39
2021/11/25,27
2021/11/26,29
2021/11/27,32
2021/11/28,25
2021/11/29,15
2021/11/30,38
2021/12/01,34
2021/12/02,49
2021/12/03,68
2021/12/04,43
2021/12/05,71
2021/12/06,8
2021/12/07,26
2021/12/08,47
2021/12/09,21
2021/12/10,66
2021/12/11,58
2021/12/12,95
2021/12/13,34
2021/12/14,41
2021/12/15,101
2021/12/16,68
2021/12/17,89
2021/12/18,55
2021/12/19,113
2021/12/20,14
2021/12/21,63
2021/12/22,81
2021/12/23,147
2021/12/24,116
2021/12/25,136
2021/12/26,6
2021/12/27,60
2021/12/28,328
2021/12/29,407
2021/12/30,388
2021/12/31,551
2022/01/01,307
2022/01/02,10
2022/01/03,256
2022/01/04,355
2022/01/05,789
2022/01/06,636
2022/01/07,353
2022/01/08,463
2022/01/09,556
2022/01/10,-172
2022/01/11,900
2022/01/12,897
2022/01/13,836
2022/01/14,517
2022/01/15,710
2022/01/16,485
2022/01/17,179
2022/01/18,649
2022/01/19,580
2022/01/20,559
2022/01/21,490
2022/01/22,454
2022/01/23,365
2022/01/24,154
2022/01/25,636
2022/01/26,447
2022/01/27,415
2022/01/28,379
2022/01/29,395
2022/01/30,349
2022/01/31,70
2022/02/01,511
2022/02/02,350
2022/02/03,349
2022/02/04,296
2022/02/05,316
2022/02/06,263
2022/02/07,118
2022/02/08,476
2022/02/09,250
2022/02/10,297
2022/02/11,251
2022/02/12,276
2022/02/13,236
2022/02/14,58
2022/02/15,311
2022/02/16,264
2022/02/17,259
2022/02/18,207
2022/02/19,212
2022/02/20,169
2022/02/21,60
2022/02/22,319
2022/02/23,256
2022/02/24,188
2022/02/25,196
2022/02/26,186
2022/02/27,124
2022/02/28,34
2022/03/01,263
2022/03/02,255
2022/03/03,200
2022/03/04,251
2022/03/05,285
2022/03/06,200
2022/03/07,88
2022/03/08,436
2022/03/09,332
2022/03/10,281
2022/03/11,327
2022/03/12,368
2022/03/13,314
2022/03/14,106
2022/03/15,647
2022/03/16,457
2022/03/17,511
2022/03/18,516
2022/03/19,570
2022/03/20,442
2022/03/21,153
2022/03/22,738
2022/03/23,524
2022/03/24,537
2022/03/25,556
2022/03/26,550
2022/03/27,442
2022/03/28,122
2022/03/29,733
2022/03/30,522
2022/03/31,473
2022/04/01,492
2022/04/02,475
2022/04/03,427
2022/04/04,116
2022/04/05,573
2022/04/06,405
2022/04/07,411
2022/04/08,423
2022/04/09,428
2022/04/10,345
2022/04/11,87
2022/04/12,616
2022/04/13,309
2022/04/14,309
2022/04/15,367
2022/04/16,390
2022/04/17,326
2022/04/18,60
2022/04/19,99
2022/04/20,781
2022/04/21,528
2022/04/22,465
2022/04/23,526
2022/04/24,345
2022/04/25,108
2022/04/26,131
2022/04/27,692
2022/04/28,329
2022/04/29,384
2022/04/30,366
2022/05/01,251
2022/05/02,59
2022/05/03,438
2022/05/04,294
2022/05/05,312
2022/05/06,314
2022/05/07,283
2022/05/08,230
2022/05/09,52
2022/05/10,378
2022/05/11,240
2022/05/12,262
2022/05/13,198
2022/05/14,236
2022/05/15,186
2022/05/16,38
2022/05/17,332
2022/05/18,162
2022/05/19,155
2022/05/20,115
2022/05/21,154
2022/05/22,108
