Datas,Grosseto
2021/02/13,19
2021/02/14,22
2021/02/15,3
2021/02/16,16
2021/02/17,27
2021/02/18,17
2021/02/19,34
2021/02/20,31
2021/02/21,29
2021/02/22,11
2021/02/23,27
2021/02/24,41
2021/02/25,35
2021/02/26,52
2021/02/27,37
2021/02/28,54
2021/03/01,6
2021/03/02,35
2021/03/03,31
2021/03/04,67
2021/03/05,54
2021/03/06,21
2021/03/07,54
2021/03/08,22
2021/03/09,30
2021/03/10,65
2021/03/11,84
2021/03/12,71
2021/03/13,82
2021/03/14,21
2021/03/15,149
2021/03/16,75
2021/03/17,75
2021/03/18,94
2021/03/19,95
2021/03/20,42
2021/03/21,79
2021/03/22,84
2021/03/23,33
2021/03/24,41
2021/03/25,111
2021/03/26,59
2021/03/27,54
2021/03/28,48
2021/03/29,44
2021/03/30,32
2021/03/31,59
2021/04/01,66
2021/04/02,49
2021/04/03,38
2021/04/04,53
2021/04/05,24
2021/04/06,35
2021/04/07,27
2021/04/08,24
2021/04/09,31
2021/04/10,53
2021/04/11,35
2021/04/12,12
2021/04/13,29
2021/04/14,42
2021/04/15,42
2021/04/16,43
2021/04/17,47
2021/04/18,31
2021/04/19,32
2021/04/20,32
2021/04/21,45
2021/04/22,25
2021/04/23,39
2021/04/24,25
2021/04/25,35
2021/04/26,13
2021/04/27,17
2021/04/28,27
2021/04/29,40
2021/04/30,16
2021/05/01,14
2021/05/02,34
2021/05/03,9
2021/05/04,27
2021/05/05,22
2021/05/06,45
2021/05/07,26
2021/05/08,39
2021/05/09,31
2021/05/10,21
2021/05/11,11
2021/05/12,36
2021/05/13,24
2021/05/14,28
2021/05/15,25
2021/05/16,36
2021/05/17,16
2021/05/18,11
2021/05/19,18
2021/05/20,49
2021/05/21,22
2021/05/22,26
2021/05/23,23
2021/05/24,18
2021/05/25,17
2021/05/26,14
2021/05/27,34
2021/05/28,15
2021/05/29,22
2021/05/30,19
2021/05/31,11
2021/06/01,15
2021/06/02,10
2021/06/03,17
2021/06/04,6
2021/06/05,18
2021/06/06,19
2021/06/07,22
2021/06/08,10
2021/06/09,16
2021/06/10,27
2021/06/11,16
2021/06/12,22
2021/06/13,28
2021/06/14,24
2021/06/15,11
2021/06/16,28
2021/06/17,2
2021/06/18,7
2021/06/19,9
2021/06/20,6
2021/06/21,1
2021/06/22,4
2021/06/23,5
2021/06/24,9
2021/06/25,2
2021/06/26,5
2021/06/27,2
2021/06/28,1
2021/06/29,0
2021/06/30,4
2021/07/01,7
2021/07/02,8
2021/07/03,5
2021/07/04,2
2021/07/05,7
2021/07/06,9
2021/07/07,6
2021/07/08,14
2021/07/09,9
2021/07/10,4
2021/07/11,4
2021/07/12,1
2021/07/13,7
2021/07/14,6
2021/07/15,21
2021/07/16,0
2021/07/17,13
2021/07/18,16
2021/07/19,5
2021/07/20,12
2021/07/21,31
2021/07/22,23
2021/07/23,17
2021/07/24,12
2021/07/25,37
2021/07/26,10
2021/07/27,24
2021/07/28,23
2021/07/29,25
2021/07/30,31
2021/07/31,18
2021/08/01,30
2021/08/02,6
2021/08/03,21
2021/08/04,27
2021/08/05,22
2021/08/06,20
2021/08/07,32
2021/08/08,39
2021/08/09,16
2021/08/10,47
2021/08/11,35
2021/08/12,33
2021/08/13,59
2021/08/14,21
2021/08/15,44
2021/08/16,44
2021/08/17,17
2021/08/18,42
2021/08/19,31
2021/08/20,38
2021/08/21,35
2021/08/22,27
2021/08/23,24
2021/08/24,21
2021/08/25,44
2021/08/26,8
2021/08/27,48
2021/08/28,38
2021/08/29,27
2021/08/30,21
2021/08/31,18
2021/09/01,31
2021/09/02,30
2021/09/03,42
2021/09/04,18
2021/09/05,26
2021/09/06,26
2021/09/07,11
2021/09/08,25
2021/09/09,31
2021/09/10,19
2021/09/11,14
2021/09/12,35
2021/09/13,9
2021/09/14,3
2021/09/15,18
2021/09/16,20
2021/09/17,23
2021/09/18,14
2021/09/19,19
2021/09/20,9
2021/09/21,15
2021/09/22,15
2021/09/23,14
2021/09/24,14
2021/09/25,13
2021/09/26,8
2021/09/27,14
2021/09/28,11
2021/09/29,9
2021/09/30,5
2021/10/01,21
2021/10/02,13
2021/10/03,11
2021/10/04,4
2021/10/05,1
2021/10/06,12
2021/10/07,1
2021/10/08,10
2021/10/09,14
2021/10/10,6
2021/10/11,4
2021/10/12,4
2021/10/13,7
2021/10/14,9
2021/10/15,10
2021/10/16,14
2021/10/17,17
2021/10/18,2
2021/10/19,10
2021/10/20,12
2021/10/21,14
2021/10/22,17
2021/10/23,16
2021/10/24,19
2021/10/25,21
2021/10/26,12
2021/10/27,20
2021/10/28,11
2021/10/29,15
2021/10/30,25
2021/10/31,24
2021/11/01,17
2021/11/02,14
2021/11/03,18
2021/11/04,47
2021/11/05,36
2021/11/06,48
2021/11/07,27
2021/11/08,5
2021/11/09,11
2021/11/10,26
2021/11/11,43
2021/11/12,32
2021/11/13,54
2021/11/14,56
2021/11/15,24
2021/11/16,30
2021/11/17,39
2021/11/18,35
2021/11/19,51
2021/11/20,66
2021/11/21,77
2021/11/22,16
2021/11/23,38
2021/11/24,43
2021/11/25,56
2021/11/26,33
2021/11/27,79
2021/11/28,54
2021/11/29,39
2021/11/30,25
2021/12/01,46
2021/12/02,72
2021/12/03,66
2021/12/04,34
2021/12/05,90
2021/12/06,34
2021/12/07,20
2021/12/08,57
2021/12/09,56
2021/12/10,38
2021/12/11,72
2021/12/12,51
2021/12/13,40
2021/12/14,49
2021/12/15,77
2021/12/16,91
2021/12/17,55
2021/12/18,106
2021/12/19,108
2021/12/20,73
2021/12/21,70
2021/12/22,130
2021/12/23,92
2021/12/24,153
2021/12/25,133
2021/12/26,120
2021/12/27,142
2021/12/28,133
2021/12/29,218
2021/12/30,412
2021/12/31,420
2022/01/01,369
2022/01/02,217
2022/01/03,353
2022/01/04,604
2022/01/05,662
2022/01/06,604
2022/01/07,428
2022/01/08,654
2022/01/09,525
2022/01/10,182
2022/01/11,698
2022/01/12,576
2022/01/13,603
2022/01/14,547
2022/01/15,520
2022/01/16,572
2022/01/17,288
2022/01/18,736
2022/01/19,654
2022/01/20,676
2022/01/21,707
2022/01/22,574
2022/01/23,673
2022/01/24,402
2022/01/25,758
2022/01/26,523
2022/01/27,759
2022/01/28,622
2022/01/29,524
2022/01/30,409
2022/01/31,262
2022/02/01,631
