Datas,Barletta-Andria-Trani
2021/02/11,58
2021/02/12,99
2021/02/13,81
2021/02/14,64
2021/02/15,6
2021/02/16,48
2021/02/17,89
2021/02/18,59
2021/02/19,80
2021/02/20,78
2021/02/21,78
2021/02/22,18
2021/02/23,103
2021/02/24,95
2021/02/25,78
2021/02/26,75
2021/02/27,46
2021/02/28,132
2021/03/01,10
2021/03/02,105
2021/03/03,103
2021/03/04,92
2021/03/05,93
2021/03/06,110
2021/03/07,74
2021/03/08,14
2021/03/09,67
2021/03/10,138
2021/03/11,126
2021/03/12,119
2021/03/13,110
2021/03/14,94
2021/03/15,19
2021/03/16,131
2021/03/17,118
2021/03/18,115
2021/03/19,147
2021/03/20,109
2021/03/21,120
2021/03/22,19
2021/03/23,143
2021/03/24,142
2021/03/25,144
2021/03/26,160
2021/03/27,165
2021/03/28,125
2021/03/29,28
2021/03/30,163
2021/03/31,195
2021/04/01,131
2021/04/02,194
2021/04/03,183
2021/04/04,222
2021/04/05,23
2021/04/06,30
2021/04/07,119
2021/04/08,249
2021/04/09,176
2021/04/10,149
2021/04/11,143
2021/04/12,33
2021/04/13,159
2021/04/14,155
2021/04/15,113
2021/04/16,119
2021/04/17,205
2021/04/18,114
2021/04/19,28
2021/04/20,216
2021/04/21,105
2021/04/22,203
2021/04/23,154
2021/04/24,153
2021/04/25,122
2021/04/26,39
2021/04/27,145
2021/04/28,152
2021/04/29,221
2021/04/30,169
2021/05/01,172
2021/05/02,66
2021/05/03,47
2021/05/04,140
2021/05/05,112
2021/05/06,89
2021/05/07,100
2021/05/08,136
2021/05/09,108
2021/05/10,10
2021/05/11,64
2021/05/12,79
2021/05/13,74
2021/05/14,109
2021/05/15,67
2021/05/16,41
2021/05/17,11
2021/05/18,71
2021/05/19,78
2021/05/20,61
2021/05/21,38
2021/05/22,57
2021/05/23,50
2021/05/24,7
2021/05/25,54
2021/05/26,50
2021/05/27,52
2021/05/28,46
2021/05/29,38
2021/05/30,14
2021/05/31,5
2021/06/01,43
2021/06/02,49
2021/06/03,3
2021/06/04,18
2021/06/05,36
2021/06/06,22
2021/06/07,3
2021/06/08,39
2021/06/09,17
2021/06/10,14
2021/06/11,9
2021/06/12,23
2021/06/13,8
2021/06/14,1
2021/06/15,32
2021/06/16,4
2021/06/17,12
2021/06/18,7
2021/06/19,5
2021/06/20,5
2021/06/21,-1
2021/06/22,5
2021/06/23,7
2021/06/24,1
2021/06/25,4
2021/06/26,0
2021/06/27,1
2021/06/28,0
2021/06/29,3
2021/06/30,7
2021/07/01,0
2021/07/02,1
2021/07/03,4
2021/07/04,2
2021/07/05,0
2021/07/06,6
2021/07/07,0
2021/07/08,2
2021/07/09,2
2021/07/10,5
2021/07/11,1
2021/07/12,2
2021/07/13,1
2021/07/14,3
2021/07/15,2
2021/07/16,5
2021/07/17,2
2021/07/18,3
2021/07/19,3
2021/07/20,4
2021/07/21,14
2021/07/22,10
2021/07/23,17
2021/07/24,14
2021/07/25,15
2021/07/26,2
2021/07/27,13
2021/07/28,16
2021/07/29,42
2021/07/30,35
2021/07/31,25
2021/08/01,27
2021/08/02,7
2021/08/03,31
2021/08/04,23
2021/08/05,47
2021/08/06,36
2021/08/07,58
2021/08/08,59
2021/08/09,46
2021/08/10,80
2021/08/11,65
2021/08/12,31
2021/08/13,78
2021/08/14,85
2021/08/15,48
2021/08/16,9
2021/08/17,33
2021/08/18,104
2021/08/19,27
2021/08/20,90
2021/08/21,118
2021/08/22,78
2021/08/23,17
2021/08/24,30
2021/08/25,113
2021/08/26,30
2021/08/27,76
2021/08/28,45
2021/08/29,50
2021/08/30,3
2021/08/31,39
2021/09/01,64
2021/09/02,26
2021/09/03,111
2021/09/04,4
2021/09/05,51
2021/09/06,2
2021/09/07,14
2021/09/08,49
2021/09/09,34
2021/09/10,37
2021/09/11,33
2021/09/12,11
2021/09/13,1
2021/09/14,43
2021/09/15,11
2021/09/16,32
2021/09/17,8
2021/09/18,11
2021/09/19,21
2021/09/20,1
2021/09/21,15
2021/09/22,10
2021/09/23,33
2021/09/24,5
2021/09/25,28
2021/09/26,7
2021/09/27,2
2021/09/28,26
2021/09/29,6
2021/09/30,19
2021/10/01,7
2021/10/02,19
2021/10/03,5
2021/10/04,5
2021/10/05,18
2021/10/06,6
2021/10/07,4
2021/10/08,2
2021/10/09,30
2021/10/10,3
2021/10/11,0
2021/10/12,10
2021/10/13,4
2021/10/14,7
2021/10/15,5
2021/10/16,23
2021/10/17,5
2021/10/18,0
2021/10/19,28
2021/10/20,9
2021/10/21,14
2021/10/22,3
2021/10/23,1
2021/10/24,13
2021/10/25,3
2021/10/26,17
2021/10/27,12
2021/10/28,16
2021/10/29,6
2021/10/30,1
2021/10/31,34
2021/11/01,1
2021/11/02,0
2021/11/03,10
2021/11/04,8
2021/11/05,-5
2021/11/06,7
2021/11/07,15
2021/11/08,-1
2021/11/09,19
2021/11/10,8
2021/11/11,34
2021/11/12,7
2021/11/13,13
2021/11/14,5
2021/11/15,2
2021/11/16,9
2021/11/17,37
2021/11/18,1
2021/11/19,28
2021/11/20,15
2021/11/21,4
2021/11/22,1
2021/11/23,15
2021/11/24,13
2021/11/25,21
2021/11/26,11
2021/11/27,19
2021/11/28,0
2021/11/29,3
2021/11/30,22
2021/12/01,13
2021/12/02,14
2021/12/03,5
2021/12/04,10
2021/12/05,34
2021/12/06,5
2021/12/07,43
2021/12/08,9
2021/12/09,9
2021/12/10,14
2021/12/11,43
2021/12/12,10
2021/12/13,1
2021/12/14,63
2021/12/15,29
2021/12/16,41
2021/12/17,69
2021/12/18,66
2021/12/19,15
2021/12/20,8
2021/12/21,90
2021/12/22,48
2021/12/23,136
2021/12/24,29
2021/12/25,141
2021/12/26,18
2021/12/27,39
2021/12/28,191
2021/12/29,368
2021/12/30,534
2021/12/31,520
2022/01/01,194
2022/01/02,266
2022/01/03,227
2022/01/04,360
2022/01/05,535
2022/01/06,634
2022/01/07,526
2022/01/08,717
2022/01/09,445
2022/01/10,97
2022/01/11,708
2022/01/12,258
2022/01/13,288
2022/01/14,2807
2022/01/15,2387
2022/01/16,1884
2022/01/17,621
2022/01/18,3088
2022/01/19,2106
2022/01/20,2100
2022/01/21,1776
2022/01/22,1464
2022/01/23,1214
2022/01/24,323
2022/01/25,1580
2022/01/26,923
2022/01/27,863
2022/01/28,807
2022/01/29,1045
2022/01/30,214
2022/01/31,233
2022/02/01,769
2022/02/02,651
2022/02/03,597
2022/02/04,569
2022/02/05,575
2022/02/06,408
2022/02/07,187
2022/02/08,735
2022/02/09,330
2022/02/10,408
2022/02/11,385
2022/02/12,368
2022/02/13,302
2022/02/14,173
2022/02/15,415
2022/02/16,331
2022/02/17,322
2022/02/18,358
2022/02/19,342
2022/02/20,195
2022/02/21,150
2022/02/22,445
2022/02/23,269
2022/02/24,272
2022/02/25,249
2022/02/26,270
2022/02/27,164
2022/02/28,135
2022/03/01,350
2022/03/02,213
2022/03/03,285
2022/03/04,282
2022/03/05,293
2022/03/06,176
2022/03/07,139
2022/03/08,433
2022/03/09,287
2022/03/10,360
2022/03/11,389
2022/03/12,386
2022/03/13,278
2022/03/14,261
2022/03/15,598
2022/03/16,540
2022/03/17,601
2022/03/18,578
2022/03/19,491
2022/03/20,411
2022/03/21,261
2022/03/22,843
2022/03/23,513
2022/03/24,582
2022/03/25,585
2022/03/26,555
2022/03/27,454
2022/03/28,231
2022/03/29,768
2022/03/30,507
2022/03/31,510
2022/04/01,499
2022/04/02,452
2022/04/03,379
2022/04/04,234
2022/04/05,513
