Datas,Genova
2021/02/13,107
2021/02/14,112
2021/02/15,132
2021/02/16,71
2021/02/17,105
2021/02/18,109
2021/02/19,121
2021/02/20,158
2021/02/21,63
2021/02/22,73
2021/02/23,186
2021/02/24,101
2021/02/25,216
2021/02/26,147
2021/02/27,170
2021/02/28,87
2021/03/01,144
2021/03/02,139
2021/03/03,111
2021/03/04,190
2021/03/05,201
2021/03/06,123
2021/03/07,144
2021/03/08,145
2021/03/09,126
2021/03/10,152
2021/03/11,179
2021/03/12,203
2021/03/13,147
2021/03/14,145
2021/03/15,135
2021/03/16,173
2021/03/17,163
2021/03/18,140
2021/03/19,197
2021/03/20,281
2021/03/21,190
2021/03/22,129
2021/03/23,164
2021/03/24,163
2021/03/25,245
2021/03/26,201
2021/03/27,247
2021/03/28,127
2021/03/29,171
2021/03/30,215
2021/03/31,135
2021/04/01,301
2021/04/02,203
2021/04/03,189
2021/04/04,205
2021/04/05,201
2021/04/06,36
2021/04/07,155
2021/04/08,190
2021/04/09,227
2021/04/10,168
2021/04/11,152
2021/04/12,141
2021/04/13,103
2021/04/14,154
2021/04/15,177
2021/04/16,165
2021/04/17,162
2021/04/18,83
2021/04/19,125
2021/04/20,144
2021/04/21,135
2021/04/22,200
2021/04/23,175
2021/04/24,146
2021/04/25,101
2021/04/26,125
2021/04/27,100
2021/04/28,144
2021/04/29,152
2021/04/30,172
2021/05/01,97
2021/05/02,92
2021/05/03,83
2021/05/04,77
2021/05/05,85
2021/05/06,112
2021/05/07,61
2021/05/08,109
2021/05/09,35
2021/05/10,28
2021/05/11,57
2021/05/12,69
2021/05/13,56
2021/05/14,73
2021/05/15,43
2021/05/16,31
2021/05/17,31
2021/05/18,27
2021/05/19,35
2021/05/20,46
2021/05/21,41
2021/05/22,26
2021/05/23,22
2021/05/24,38
2021/05/25,18
2021/05/26,37
2021/05/27,24
2021/05/28,45
2021/05/29,53
2021/05/30,22
2021/05/31,28
2021/06/01,7
2021/06/02,24
2021/06/03,25
2021/06/04,15
2021/06/05,12
2021/06/06,23
2021/06/07,4
2021/06/08,12
2021/06/09,14
2021/06/10,12
2021/06/11,5
2021/06/12,5
2021/06/13,4
2021/06/14,7
2021/06/15,8
2021/06/16,11
2021/06/17,14
2021/06/18,7
