Datas,Brindisi
2021/02/12,93
2021/02/13,66
2021/02/14,77
2021/02/15,30
2021/02/16,82
2021/02/17,80
2021/02/18,88
2021/02/19,57
2021/02/20,77
2021/02/21,46
2021/02/22,25
2021/02/23,89
2021/02/24,81
2021/02/25,85
2021/02/26,88
2021/02/27,67
2021/02/28,27
2021/03/01,25
2021/03/02,134
2021/03/03,76
2021/03/04,129
2021/03/05,64
2021/03/06,78
2021/03/07,57
2021/03/08,42
2021/03/09,109
2021/03/10,72
2021/03/11,89
2021/03/12,75
2021/03/13,60
2021/03/14,127
2021/03/15,71
2021/03/16,60
2021/03/17,136
2021/03/18,141
2021/03/19,154
2021/03/20,138
2021/03/21,78
2021/03/22,84
2021/03/23,69
2021/03/24,142
2021/03/25,153
2021/03/26,176
2021/03/27,147
2021/03/28,155
2021/03/29,90
2021/03/30,147
2021/03/31,185
2021/04/01,150
2021/04/02,137
2021/04/03,173
2021/04/04,68
2021/04/05,5
2021/04/06,48
2021/04/07,157
2021/04/08,194
2021/04/09,177
2021/04/10,154
2021/04/11,76
2021/04/12,59
2021/04/13,126
2021/04/14,109
2021/04/15,97
2021/04/16,97
2021/04/17,146
2021/04/18,96
2021/04/19,49
2021/04/20,159
2021/04/21,104
2021/04/22,127
2021/04/23,155
2021/04/24,182
2021/04/25,117
2021/04/26,34
2021/04/27,145
2021/04/28,116
2021/04/29,113
2021/04/30,132
2021/05/01,156
2021/05/02,60
2021/05/03,39
2021/05/04,105
2021/05/05,99
2021/05/06,96
2021/05/07,95
2021/05/08,89
2021/05/09,31
2021/05/10,18
2021/05/11,76
2021/05/12,45
2021/05/13,45
2021/05/14,79
2021/05/15,67
2021/05/16,38
2021/05/17,23
2021/05/18,58
2021/05/19,45
2021/05/20,43
2021/05/21,65
2021/05/22,56
2021/05/23,29
2021/05/24,9
2021/05/25,51
2021/05/26,27
2021/05/27,8
2021/05/28,49
2021/05/29,46
2021/05/30,11
2021/05/31,26
2021/06/01,19
2021/06/02,23
2021/06/03,21
2021/06/04,47
2021/06/05,20
2021/06/06,25
2021/06/07,15
2021/06/08,34
2021/06/09,27
2021/06/10,33
2021/06/11,22
2021/06/12,22
2021/06/13,21
2021/06/14,13
2021/06/15,24
2021/06/16,1
2021/06/17,16
2021/06/18,25
2021/06/19,13
2021/06/20,12
2021/06/21,11
2021/06/22,20
2021/06/23,4
2021/06/24,12
2021/06/25,12
2021/06/26,9
2021/06/27,12
2021/06/28,2
2021/06/29,11
2021/06/30,3
2021/07/01,5
2021/07/02,8
2021/07/03,3
2021/07/04,6
2021/07/05,2
2021/07/06,1
2021/07/07,3
2021/07/08,5
2021/07/09,2
2021/07/10,6
2021/07/11,3
2021/07/12,2
2021/07/13,6
2021/07/14,6
2021/07/15,6
2021/07/16,7
2021/07/17,4
2021/07/18,14
2021/07/19,5
2021/07/20,14
2021/07/21,14
2021/07/22,27
2021/07/23,20
2021/07/24,15
2021/07/25,12
2021/07/26,2
2021/07/27,12
2021/07/28,30
2021/07/29,19
2021/07/30,21
2021/07/31,34
2021/08/01,19
2021/08/02,5
2021/08/03,27
2021/08/04,15
2021/08/05,30
2021/08/06,26
2021/08/07,45
2021/08/08,27
2021/08/09,20
2021/08/10,27
2021/08/11,40
2021/08/12,6
2021/08/13,45
2021/08/14,46
2021/08/15,8
