Datas,Sondrio
2021/02/13,37
2021/02/14,44
2021/02/15,1
2021/02/16,13
2021/02/17,43
2021/02/18,10
2021/02/19,24
2021/02/20,39
2021/02/21,70
2021/02/22,0
2021/02/23,39
2021/02/24,11
2021/02/25,31
2021/02/26,68
2021/02/27,37
2021/02/28,61
2021/03/01,0
2021/03/02,34
2021/03/03,83
2021/03/04,72
2021/03/05,54
2021/03/06,29
2021/03/07,51
2021/03/08,65
2021/03/09,86
2021/03/10,58
2021/03/11,107
2021/03/12,96
2021/03/13,90
2021/03/14,14
2021/03/15,10
2021/03/16,148
2021/03/17,72
2021/03/18,148
2021/03/19,92
2021/03/20,94
2021/03/21,78
2021/03/22,45
2021/03/23,25
2021/03/24,88
2021/03/25,106
2021/03/26,66
2021/03/27,97
2021/03/28,95
2021/03/29,40
2021/03/30,24
2021/03/31,75
2021/04/01,74
2021/04/02,63
2021/04/03,74
2021/04/04,66
2021/04/05,49
2021/04/06,5
2021/04/07,45
2021/04/08,59
2021/04/09,108
2021/04/10,56
2021/04/11,69
2021/04/12,36
2021/04/13,10
2021/04/14,57
2021/04/15,65
2021/04/16,52
2021/04/17,29
2021/04/18,40
2021/04/19,31
2021/04/20,11
2021/04/21,49
2021/04/22,45
2021/04/23,35
2021/04/24,47
2021/04/25,2
2021/04/26,4
2021/04/27,50
2021/04/28,40
2021/04/29,39
2021/04/30,40
2021/05/01,38
2021/05/02,36
2021/05/03,3
2021/05/04,6
2021/05/05,4
2021/05/06,47
2021/05/07,42
2021/05/08,29
2021/05/09,31
2021/05/10,20
2021/05/11,3
2021/05/12,25
2021/05/13,36
2021/05/14,52
2021/05/15,50
2021/05/16,10
2021/05/17,14
2021/05/18,2
2021/05/19,22
2021/05/20,32
2021/05/21,17
2021/05/22,18
2021/05/23,16
2021/05/24,14
2021/05/25,4
2021/05/26,6
2021/05/27,35
2021/05/28,10
2021/05/29,9
2021/05/30,10
2021/05/31,11
2021/06/01,12
2021/06/02,27
2021/06/03,19
2021/06/04,9
2021/06/05,15
2021/06/06,29
2021/06/07,14
2021/06/08,1
2021/06/09,13
2021/06/10,9
2021/06/11,10
2021/06/12,6
2021/06/13,9
2021/06/14,11
2021/06/15,14
2021/06/16,3
2021/06/17,13
2021/06/18,1
2021/06/19,7
2021/06/20,5
2021/06/21,0
2021/06/22,1
2021/06/23,1
2021/06/24,1
2021/06/25,0
2021/06/26,1
2021/06/27,0
2021/06/28,2
2021/06/29,0
2021/06/30,2
2021/07/01,5
2021/07/02,1
2021/07/03,2
2021/07/04,0
2021/07/05,1
2021/07/06,1
2021/07/07,1
2021/07/08,1
2021/07/09,4
2021/07/10,1
2021/07/11,1
2021/07/12,0
2021/07/13,1
2021/07/14,1
2021/07/15,2
2021/07/16,6
2021/07/17,3
2021/07/18,3
2021/07/19,0
2021/07/20,4
2021/07/21,1
2021/07/22,3
2021/07/23,2
2021/07/24,5
2021/07/25,5
2021/07/26,4
2021/07/27,0
2021/07/28,4
2021/07/29,8
2021/07/30,9
2021/07/31,3
2021/08/01,7
2021/08/02,2
2021/08/03,2
2021/08/04,7
2021/08/05,13
2021/08/06,5
2021/08/07,26
2021/08/08,4
2021/08/09,7
2021/08/10,5
2021/08/11,14
2021/08/12,8
2021/08/13,7
2021/08/14,12
2021/08/15,0
2021/08/16,0
2021/08/17,7
2021/08/18,12
2021/08/19,11
2021/08/20,12
2021/08/21,9
2021/08/22,9
2021/08/23,6
2021/08/24,6
2021/08/25,7
2021/08/26,15
2021/08/27,11
2021/08/28,2
2021/08/29,14
2021/08/30,5
2021/08/31,14
2021/09/01,18
2021/09/02,11
2021/09/03,7
2021/09/04,9
2021/09/05,8
2021/09/06,4
2021/09/07,3
2021/09/08,14
2021/09/09,13
2021/09/10,9
2021/09/11,3
2021/09/12,5
2021/09/13,1
