Datas,Rimini
2021/02/13,146
2021/02/14,126
2021/02/15,99
2021/02/16,79
2021/02/17,141
2021/02/18,148
2021/02/19,151
2021/02/20,173
2021/02/21,131
2021/02/22,168
2021/02/23,96
2021/02/24,221
2021/02/25,287
2021/02/26,259
2021/02/27,236
2021/02/28,284
2021/03/01,172
2021/03/02,132
2021/03/03,234
2021/03/04,218
2021/03/05,278
2021/03/06,240
2021/03/07,270
2021/03/08,373
2021/03/09,171
2021/03/10,274
2021/03/11,217
2021/03/12,419
2021/03/13,257
2021/03/14,289
2021/03/15,331
2021/03/16,201
2021/03/17,259
2021/03/18,284
2021/03/19,304
2021/03/20,177
2021/03/21,186
2021/03/22,214
2021/03/23,90
2021/03/24,172
2021/03/25,262
2021/03/26,216
2021/03/27,193
2021/03/28,132
2021/03/29,213
2021/03/30,122
2021/03/31,130
2021/04/01,202
2021/04/02,96
2021/04/03,193
2021/04/04,104
2021/04/05,205
2021/04/06,21
2021/04/07,16
2021/04/08,119
2021/04/09,160
2021/04/10,90
2021/04/11,74
2021/04/12,129
2021/04/13,62
2021/04/14,91
2021/04/15,96
2021/04/16,110
2021/04/17,96
2021/04/18,75
2021/04/19,89
2021/04/20,69
2021/04/21,61
2021/04/22,76
2021/04/23,52
2021/04/24,111
2021/04/25,78
2021/04/26,97
2021/04/27,51
2021/04/28,60
2021/04/29,128
2021/04/30,79
2021/05/01,69
2021/05/02,77
2021/05/03,69
2021/05/04,47
2021/05/05,30
2021/05/06,72
2021/05/07,50
2021/05/08,54
2021/05/09,30
2021/05/10,49
2021/05/11,31
2021/05/12,54
2021/05/13,44
2021/05/14,46
2021/05/15,36
2021/05/16,43
2021/05/17,27
2021/05/18,29
2021/05/19,32
2021/05/20,57
2021/05/21,24
2021/05/22,20
2021/05/23,24
2021/05/24,28
2021/05/25,13
2021/05/26,17
2021/05/27,31
2021/05/28,24
2021/05/29,35
2021/05/30,17
2021/05/31,24
2021/06/01,6
2021/06/02,13
2021/06/03,16
2021/06/04,11
2021/06/05,13
2021/06/06,14
2021/06/07,5
2021/06/08,7
2021/06/09,19
2021/06/10,10
2021/06/11,11
2021/06/12,3
2021/06/13,4
2021/06/14,14
2021/06/15,8
2021/06/16,6
2021/06/17,3
2021/06/18,3
2021/06/19,1
2021/06/20,11
2021/06/21,5
2021/06/22,-2
2021/06/23,3
2021/06/24,5
2021/06/25,4
2021/06/26,0
2021/06/27,2
2021/06/28,-1
2021/06/29,0
2021/06/30,3
2021/07/01,6
2021/07/02,3
2021/07/03,6
2021/07/04,2
2021/07/05,6
2021/07/06,5
2021/07/07,10
2021/07/08,14
2021/07/09,6
2021/07/10,7
2021/07/11,3
2021/07/12,15
2021/07/13,14
2021/07/14,21
2021/07/15,24
2021/07/16,27
2021/07/17,40
2021/07/18,61
2021/07/19,40
2021/07/20,39
2021/07/21,60
2021/07/22,98
