Datas,Crotone
2021/02/13,11
2021/02/14,12
2021/02/15,0
2021/02/16,9
2021/02/17,6
2021/02/18,11
2021/02/19,11
2021/02/20,15
2021/02/21,1
2021/02/22,0
2021/02/23,9
2021/02/24,13
2021/02/25,16
2021/02/26,11
2021/02/27,15
2021/02/28,8
2021/03/01,0
2021/03/02,15
2021/03/03,10
2021/03/04,27
2021/03/05,22
2021/03/06,38
2021/03/07,8
2021/03/08,0
2021/03/09,52
2021/03/10,41
2021/03/11,51
2021/03/12,59
2021/03/13,36
2021/03/14,47
2021/03/15,1
2021/03/16,62
2021/03/17,45
2021/03/18,55
2021/03/19,52
2021/03/20,50
2021/03/21,46
2021/03/22,2
2021/03/23,55
2021/03/24,56
2021/03/25,38
2021/03/26,47
2021/03/27,67
2021/03/28,57
2021/03/29,8
2021/03/30,62
2021/03/31,52
2021/04/01,80
2021/04/02,85
2021/04/03,61
2021/04/04,58
2021/04/05,1
2021/04/06,59
2021/04/07,49
2021/04/08,79
2021/04/09,68
2021/04/10,46
2021/04/11,58
2021/04/12,0
2021/04/13,84
2021/04/14,61
2021/04/15,52
2021/04/16,47
2021/04/17,53
2021/04/18,42
2021/04/19,3
2021/04/20,70
2021/04/21,54
2021/04/22,64
2021/04/23,36
2021/04/24,44
2021/04/25,46
2021/04/26,0
2021/04/27,66
2021/04/28,42
2021/04/29,54
2021/04/30,60
2021/05/01,37
2021/05/02,27
2021/05/03,3
2021/05/04,55
2021/05/05,2
2021/05/06,67
2021/05/07,62
2021/05/08,42
2021/05/09,37
2021/05/10,6
2021/05/11,73
2021/05/12,31
2021/05/13,41
2021/05/14,41
2021/05/15,32
2021/05/16,37
2021/05/17,0
2021/05/18,20
2021/05/19,4
2021/05/20,90
2021/05/21,41
2021/05/22,15
2021/05/23,17
2021/05/24,2
2021/05/25,32
2021/05/26,18
2021/05/27,31
2021/05/28,9
2021/05/29,5
2021/05/30,9
2021/05/31,0
2021/06/01,9
2021/06/02,10
2021/06/03,1
2021/06/04,17
2021/06/05,6
2021/06/06,9
2021/06/07,1
2021/06/08,13
2021/06/09,5
2021/06/10,6
2021/06/11,4
2021/06/12,5
2021/06/13,12
2021/06/14,1
2021/06/15,8
2021/06/16,15
2021/06/17,6
2021/06/18,8
2021/06/19,4
2021/06/20,3
2021/06/21,0
