Datas,Rieti
2021/02/12,38
2021/02/13,6
2021/02/14,4
2021/02/15,2
2021/02/16,12
2021/02/17,51
2021/02/18,23
2021/02/19,12
2021/02/20,33
2021/02/21,3
2021/02/22,5
2021/02/23,64
2021/02/24,16
2021/02/25,10
2021/02/26,14
2021/02/27,26
2021/02/28,0
2021/03/01,15
2021/03/02,39
2021/03/03,133
2021/03/04,23
2021/03/05,49
2021/03/06,50
2021/03/07,6
2021/03/08,31
2021/03/09,58
2021/03/10,75
2021/03/11,16
2021/03/12,21
2021/03/13,40
2021/03/14,16
2021/03/15,46
2021/03/16,30
2021/03/17,169
2021/03/18,21
2021/03/19,40
2021/03/20,31
2021/03/21,27
2021/03/22,35
2021/03/23,12
2021/03/24,221
2021/03/25,57
2021/03/26,48
2021/03/27,42
2021/03/28,67
2021/03/29,25
2021/03/30,57
2021/03/31,81
2021/04/01,23
2021/04/02,21
2021/04/03,30
2021/04/04,17
2021/04/05,76
2021/04/06,40
2021/04/07,146
2021/04/08,18
2021/04/09,14
2021/04/10,26
2021/04/11,26
2021/04/12,26
2021/04/13,38
2021/04/14,91
2021/04/15,44
2021/04/16,24
2021/04/17,8
2021/04/18,1
2021/04/19,1
2021/04/20,19
2021/04/21,61
2021/04/22,23
2021/04/23,48
2021/04/24,60
2021/04/25,0
2021/04/26,34
2021/04/27,25
2021/04/28,30
2021/04/29,40
2021/04/30,37
2021/05/01,23
2021/05/02,3
2021/05/03,26
2021/05/04,35
2021/05/05,28
2021/05/06,13
2021/05/07,10
2021/05/08,24
2021/05/09,2
2021/05/10,20
2021/05/11,24
2021/05/12,14
2021/05/13,10
2021/05/14,13
2021/05/15,3
2021/05/16,2
2021/05/17,3
2021/05/18,2
2021/05/19,20
2021/05/20,10
2021/05/21,6
2021/05/22,1
2021/05/23,0
2021/05/24,0
2021/05/25,16
2021/05/26,41
2021/05/27,4
2021/05/28,4
2021/05/29,12
2021/05/30,1
2021/05/31,8
2021/06/01,3
2021/06/02,6
2021/06/03,3
2021/06/04,1
2021/06/05,1
2021/06/06,0
2021/06/07,1
2021/06/08,0
2021/06/09,0
2021/06/10,0
2021/06/11,3
2021/06/12,2
2021/06/13,1
2021/06/14,0
2021/06/15,0
2021/06/16,0
2021/06/17,0
2021/06/18,0
2021/06/19,-2
2021/06/20,-4
2021/06/21,0
2021/06/22,0
2021/06/23,4
2021/06/24,-3
2021/06/25,-1
2021/06/26,-1
2021/06/27,0
2021/06/28,0
2021/06/29,0
2021/06/30,0
2021/07/01,1
2021/07/02,2
2021/07/03,1
2021/07/04,2
2021/07/05,3
2021/07/06,4
2021/07/07,3
2021/07/08,-1
2021/07/09,0
2021/07/10,0
2021/07/11,2
2021/07/12,0
2021/07/13,0
2021/07/14,1
2021/07/15,2
2021/07/16,3
2021/07/17,3
2021/07/18,1
2021/07/19,2
2021/07/20,3
2021/07/21,0
2021/07/22,8
2021/07/23,8
2021/07/24,5
2021/07/25,0
2021/07/26,3
2021/07/27,12
2021/07/28,19
2021/07/29,11
2021/07/30,12
2021/07/31,21
2021/08/01,15
2021/08/02,2
2021/08/03,13
2021/08/04,14
2021/08/05,11
2021/08/06,12
2021/08/07,19
2021/08/08,18
2021/08/09,1
2021/08/10,17
2021/08/11,15
2021/08/12,21
2021/08/13,21
2021/08/14,15
2021/08/15,11
2021/08/16,0
2021/08/17,30
2021/08/18,32
2021/08/19,17
2021/08/20,9
2021/08/21,23
2021/08/22,17
2021/08/23,7
2021/08/24,25
2021/08/25,18
2021/08/26,25
2021/08/27,17
2021/08/28,26
2021/08/29,3
2021/08/30,7
2021/08/31,9
2021/09/01,21
2021/09/02,5
2021/09/03,10
2021/09/04,14
2021/09/05,24
2021/09/06,0
2021/09/07,21
2021/09/08,14
2021/09/09,6
2021/09/10,12
2021/09/11,7
2021/09/12,8
2021/09/13,0
2021/09/14,4
2021/09/15,8
2021/09/16,5
2021/09/17,6
2021/09/18,3
2021/09/19,3
2021/09/20,1
2021/09/21,8
2021/09/22,11
2021/09/23,6
2021/09/24,4
2021/09/25,17
2021/09/26,15
2021/09/27,1
2021/09/28,10
2021/09/29,10
2021/09/30,15
2021/10/01,9
2021/10/02,4
2021/10/03,8
2021/10/04,4
2021/10/05,7
2021/10/06,9
2021/10/07,7
2021/10/08,8
2021/10/09,11
2021/10/10,2
2021/10/11,1
2021/10/12,0
2021/10/13,5
2021/10/14,3
2021/10/15,6
2021/10/16,9
2021/10/17,8
2021/10/18,1
2021/10/19,28
2021/10/20,33
2021/10/21,18
2021/10/22,17
2021/10/23,19
2021/10/24,25
2021/10/25,10
2021/10/26,31
2021/10/27,19
2021/10/28,18
2021/10/29,33
2021/10/30,28
2021/10/31,26
2021/11/01,6
2021/11/02,19
2021/11/03,35
2021/11/04,25
2021/11/05,45
2021/11/06,21
2021/11/07,28
2021/11/08,1
2021/11/09,37
2021/11/10,44
2021/11/11,46
2021/11/12,27
2021/11/13,22
