Datas,Siracusa
2021/02/13,38
2021/02/14,34
2021/02/15,16
2021/02/16,58
2021/02/17,42
2021/02/18,50
2021/02/19,35
2021/02/20,45
2021/02/21,33
2021/02/22,33
2021/02/23,37
2021/02/24,54
2021/02/25,75
2021/02/26,40
2021/02/27,24
2021/02/28,41
2021/03/01,48
2021/03/02,28
2021/03/03,47
2021/03/04,47
2021/03/05,24
2021/03/06,29
2021/03/07,43
2021/03/08,18
2021/03/09,44
2021/03/10,42
2021/03/11,27
2021/03/12,31
2021/03/13,91
2021/03/14,55
2021/03/15,35
2021/03/16,32
2021/03/17,65
2021/03/18,50
2021/03/19,58
2021/03/20,65
2021/03/21,50
2021/03/22,65
2021/03/23,47
2021/03/24,65
2021/03/25,84
2021/03/26,40
2021/03/27,98
2021/03/28,51
2021/03/29,58
2021/03/30,0
2021/03/31,76
2021/04/01,92
2021/04/02,27
2021/04/03,3
2021/04/04,113
2021/04/05,26
2021/04/06,3
2021/04/07,59
2021/04/08,131
2021/04/09,110
2021/04/10,159
2021/04/11,142
2021/04/12,162
2021/04/13,43
2021/04/14,105
2021/04/15,165
2021/04/16,108
2021/04/17,96
2021/04/18,93
2021/04/19,79
2021/04/20,49
2021/04/21,98
2021/04/22,97
2021/04/23,121
2021/04/24,95
2021/04/25,123
2021/04/26,37
2021/04/27,71
2021/04/28,33
2021/04/29,130
2021/04/30,51
2021/05/01,106
2021/05/02,106
2021/05/03,35
2021/05/04,75
2021/05/05,157
2021/05/06,117
2021/05/07,56
2021/05/08,73
2021/05/09,40
2021/05/10,62
2021/05/11,17
2021/05/12,56
2021/05/13,51
2021/05/14,52
2021/05/15,40
2021/05/16,29
2021/05/17,14
2021/05/18,7
2021/05/19,48
2021/05/20,30
2021/05/21,24
2021/05/22,32
2021/05/23,24
2021/05/24,40
2021/05/25,20
2021/05/26,24
2021/05/27,37
2021/05/28,25
2021/05/29,37
2021/05/30,29
2021/05/31,22
2021/06/01,19
2021/06/02,25
2021/06/03,26
2021/06/04,24
2021/06/05,9
2021/06/06,55
2021/06/07,14
2021/06/08,12
2021/06/09,28
2021/06/10,26
2021/06/11,6
2021/06/12,26
2021/06/13,19
2021/06/14,10
2021/06/15,11
2021/06/16,20
2021/06/17,5
2021/06/18,18
2021/06/19,9
2021/06/20,7
2021/06/21,9
2021/06/22,14
2021/06/23,13
2021/06/24,5
2021/06/25,8
2021/06/26,16
2021/06/27,3
2021/06/28,2
2021/06/29,16
2021/06/30,16
2021/07/01,15
2021/07/02,2
2021/07/03,1
2021/07/04,3
2021/07/05,2
2021/07/06,6
2021/07/07,10
2021/07/08,10
2021/07/09,12
2021/07/10,3
2021/07/11,15
2021/07/12,2
2021/07/13,8
2021/07/14,14
2021/07/15,14
2021/07/16,43
2021/07/17,37
2021/07/18,28
2021/07/19,7
2021/07/20,31
2021/07/21,19
2021/07/22,38
2021/07/23,36
2021/07/24,32
2021/07/25,36
2021/07/26,33
2021/07/27,14
2021/07/28,33
2021/07/29,67
2021/07/30,29
2021/07/31,18
2021/08/01,72
2021/08/02,35
2021/08/03,40
2021/08/04,59
2021/08/05,37
2021/08/06,57
2021/08/07,62
2021/08/08,70
2021/08/09,56
2021/08/10,55
2021/08/11,49
2021/08/12,110
2021/08/13,100
2021/08/14,104
2021/08/15,98
2021/08/16,82
2021/08/17,65
2021/08/18,114
2021/08/19,141
2021/08/20,148
2021/08/21,185
2021/08/22,127
2021/08/23,133
2021/08/24,62
2021/08/25,117
2021/08/26,139
2021/08/27,233
2021/08/28,152
2021/08/29,195
2021/08/30,90
2021/08/31,126
2021/09/01,140
2021/09/02,152
2021/09/03,204
2021/09/04,99
2021/09/05,158
2021/09/06,80
2021/09/07,68
2021/09/08,111
2021/09/09,158
2021/09/10,79
2021/09/11,136
2021/09/12,100
2021/09/13,46
2021/09/14,64
2021/09/15,72
2021/09/16,107
2021/09/17,87
2021/09/18,41
2021/09/19,148
2021/09/20,36
2021/09/21,77
2021/09/22,90
2021/09/23,105
2021/09/24,71
2021/09/25,80
2021/09/26,73
2021/09/27,39
2021/09/28,25
2021/09/29,73
2021/09/30,56
2021/10/01,78
2021/10/02,3
2021/10/03,84
2021/10/04,27
2021/10/05,44
2021/10/06,63
2021/10/07,37
2021/10/08,50
2021/10/09,38
2021/10/10,35
2021/10/11,20
2021/10/12,31
2021/10/13,38
2021/10/14,39
2021/10/15,28
2021/10/16,44
2021/10/17,31
2021/10/18,28
2021/10/19,34
2021/10/20,38
2021/10/21,46
2021/10/22,47
2021/10/23,5
2021/10/24,71
2021/10/25,89
2021/10/26,29
2021/10/27,42
2021/10/28,51
2021/10/29,98
2021/10/30,31
