Datas,Asti
2021/02/13,29
2021/02/14,11
2021/02/15,4
2021/02/16,43
2021/02/17,25
2021/02/18,16
2021/02/19,43
2021/02/20,30
2021/02/21,34
2021/02/22,4
2021/02/23,71
2021/02/24,44
2021/02/25,28
2021/02/26,52
2021/02/27,48
2021/02/28,19
2021/03/01,17
2021/03/02,41
2021/03/03,65
2021/03/04,104
2021/03/05,88
2021/03/06,65
2021/03/07,18
2021/03/08,46
2021/03/09,57
2021/03/10,41
2021/03/11,89
2021/03/12,60
2021/03/13,15
2021/03/14,38
2021/03/15,112
2021/03/16,71
2021/03/17,95
2021/03/18,101
2021/03/19,128
2021/03/20,76
2021/03/21,95
2021/03/22,31
2021/03/23,127
2021/03/24,75
2021/03/25,66
2021/03/26,66
2021/03/27,122
2021/03/28,131
2021/03/29,56
2021/03/30,87
2021/03/31,126
2021/04/01,85
2021/04/02,61
2021/04/03,125
2021/04/04,60
2021/04/05,7
2021/04/06,3
2021/04/07,136
2021/04/08,133
2021/04/09,151
2021/04/10,82
2021/04/11,48
2021/04/12,49
2021/04/13,79
2021/04/14,78
2021/04/15,82
2021/04/16,50
2021/04/17,18
2021/04/18,33
2021/04/19,17
2021/04/20,56
2021/04/21,18
2021/04/22,35
2021/04/23,34
2021/04/24,28
2021/04/25,19
2021/04/26,31
2021/04/27,14
2021/04/28,41
2021/04/29,22
2021/04/30,43
2021/05/01,46
2021/05/02,27
2021/05/03,8
2021/05/04,20
2021/05/05,19
2021/05/06,82
2021/05/07,31
2021/05/08,57
2021/05/09,7
2021/05/10,31
2021/05/11,29
2021/05/12,32
2021/05/13,22
2021/05/14,19
2021/05/15,20
2021/05/16,20
2021/05/17,10
2021/05/18,14
2021/05/19,17
2021/05/20,13
2021/05/21,15
2021/05/22,10
2021/05/23,6
2021/05/24,2
2021/05/25,7
2021/05/26,14
2021/05/27,10
2021/05/28,14
2021/05/29,4
2021/05/30,7
2021/05/31,12
2021/06/01,13
2021/06/02,2
2021/06/03,20
2021/06/04,10
2021/06/05,4
2021/06/06,3
2021/06/07,2
2021/06/08,3
2021/06/09,7
2021/06/10,4
2021/06/11,5
2021/06/12,1
2021/06/13,0
2021/06/14,8
2021/06/15,1
2021/06/16,6
2021/06/17,1
2021/06/18,2
2021/06/19,11
2021/06/20,0
2021/06/21,0
2021/06/22,4
2021/06/23,5
2021/06/24,0
2021/06/25,0
2021/06/26,1
