Datas,London
2021/03/22,480
2021/03/23,495
2021/03/24,508
2021/03/25,604
2021/03/26,501
2021/03/27,383
2021/03/28,402
2021/03/29,386
2021/03/30,468
2021/03/31,402
2021/04/01,393
2021/04/02,286
2021/04/03,350
2021/04/04,237
2021/04/05,208
2021/04/06,194
2021/04/07,317
2021/04/08,291
2021/04/09,0
2021/04/10,247
2021/04/11,171
2021/04/12,422
2021/04/13,274
2021/04/14,341
2021/04/15,315
2021/04/16,380
2021/04/17,357
2021/04/18,205
2021/04/19,378
2021/04/20,406
2021/04/21,296
2021/04/22,376
2021/04/23,391
2021/04/24,251
2021/04/25,187
2021/04/26,263
2021/04/27,401
2021/04/28,257
2021/04/29,307
2021/04/30,310
2021/05/01,201
2021/05/02,216
2021/05/03,193
2021/05/04,216
2021/05/05,278
2021/05/06,252
2021/05/07,333
2021/05/08,253
2021/05/09,238
2021/05/10,273
2021/05/11,352
2021/05/12,277
2021/05/13,299
2021/05/14,287
2021/05/15,252
2021/05/16,217
2021/05/17,212
2021/05/18,0
2021/05/19,262
2021/05/20,306
2021/05/21,355
2021/05/22,309
2021/05/23,233
2021/05/24,310
2021/05/25,295
2021/05/26,323
2021/05/27,403
2021/05/28,495
2021/05/29,485
2021/05/30,355
2021/05/31,381
2021/06/01,384
2021/06/02,573
2021/06/03,669
2021/06/04,820
2021/06/05,702
2021/06/06,635
2021/06/07,601
2021/06/08,773
2021/06/09,994
2021/06/10,1058
2021/06/11,948
2021/06/12,962
2021/06/13,932
2021/06/14,778
2021/06/15,813
2021/06/16,1168
2021/06/17,1225
2021/06/18,1200
2021/06/19,1172
2021/06/20,886
2021/06/21,1023
2021/06/22,1066
2021/06/23,1609
2021/06/24,1731
2021/06/25,1699
2021/06/26,1993
2021/06/27,1493
2021/06/28,2306
2021/06/29,2069
2021/06/30,2598
2021/07/01,2705
2021/07/02,2651
2021/07/03,2531
2021/07/04,2218
2021/07/05,3343
2021/07/06,3633
2021/07/07,3314
2021/07/08,3234
2021/07/09,3046
2021/07/10,4131
2021/07/11,3669
2021/07/12,4201
2021/07/13,4126
2021/07/14,4751
2021/07/15,5743
2021/07/16,6296
2021/07/17,6592
2021/07/18,5451
2021/07/19,3940
2021/07/20,7086
2021/07/21,5763
2021/07/22,4463
2021/07/23,5187
2021/07/24,4557
2021/07/25,3926
2021/07/26,3056
2021/07/27,3227
2021/07/28,3340
2021/07/29,4333
2021/07/30,3753
2021/07/31,3686
2021/08/01,3121
2021/08/02,2719
2021/08/03,2978
2021/08/04,3876
2021/08/05,3768
2021/08/06,4409
2021/08/07,3898
2021/08/08,3662
2021/08/09,2985
2021/08/10,2844
2021/08/11,3736
2021/08/12,4005
2021/08/13,4249
2021/08/14,3870
2021/08/15,3157
2021/08/16,3166
2021/08/17,3032
2021/08/18,3489
2021/08/19,3272
2021/08/20,4093
2021/08/21,3424
2021/08/22,2977
2021/08/23,2754
2021/08/24,2782
2021/08/25,3544
2021/08/26,3472
2021/08/27,3355
2021/08/28,3272
2021/08/29,2517
2021/08/30,2751
2021/08/31,2409
2021/09/01,2834
2021/09/02,3377
2021/09/03,3530
2021/09/04,3593
2021/09/05,3641
2021/09/06,2853
2021/09/07,2972
2021/09/08,3536
2021/09/09,3439
2021/09/10,3025
2021/09/11,2857
2021/09/12,2239
2021/09/13,2673
2021/09/14,2073
2021/09/15,2588
2021/09/16,2620
2021/09/17,2597
2021/09/18,2179
2021/09/19,2402
2021/09/20,2647
2021/09/21,2450
2021/09/22,2593
2021/09/23,2494
2021/09/24,2783
2021/09/25,3074
2021/09/26,2260
2021/09/27,2960
2021/09/28,2831
2021/09/29,3072
2021/09/30,2439
2021/10/01,2195
2021/10/02,2344
2021/10/03,2274
2021/10/04,2665
2021/10/05,3135
2021/10/06,2890
2021/10/07,3077
2021/10/08,2942
2021/10/09,2589
2021/10/10,2855
2021/10/11,3050
2021/10/12,2748
2021/10/13,3271
2021/10/14,2947
2021/10/15,3301
2021/10/16,3485
2021/10/17,3448
2021/10/18,3806
2021/10/19,3317
2021/10/20,3648
2021/10/21,4342
2021/10/22,3928
2021/10/23,4435
2021/10/24,3279
2021/10/25,3118
2021/10/26,3225
2021/10/27,3801
2021/10/28,3473
2021/10/29,3615
2021/10/30,3555
2021/10/31,3014
2021/11/01,3322
2021/11/02,2935
2021/11/03,3720
2021/11/04,3115
2021/11/05,2993
2021/11/06,2950
2021/11/07,2736
2021/11/08,2735
2021/11/09,2845
2021/11/10,3471
2021/11/11,4136
2021/11/12,3590
2021/11/13,4088
2021/11/14,3652
2021/11/15,3343
2021/11/16,3194
2021/11/17,2993
2021/11/18,4924
2021/11/19,4358
2021/11/20,4231
2021/11/21,4536
2021/11/22,4347
2021/11/23,4261
2021/11/24,4457
2021/11/25,5319
2021/11/26,5830
2021/11/27,5079
2021/11/28,3716
2021/11/29,5089
2021/11/30,4653
2021/12/01,5668
2021/12/02,6901
2021/12/03,6741
2021/12/04,6112
2021/12/05,4713
2021/12/06,6333
2021/12/07,5987
2021/12/08,6988
2021/12/09,7761
2021/12/10,9988
2021/12/11,8537
2021/12/12,9959
2021/12/13,11791
2021/12/14,12832
2021/12/15,19294
2021/12/16,23272
2021/12/17,26608
2021/12/18,25551
2021/12/19,21594
2021/12/20,22750
2021/12/21,20491
2021/12/22,27799
2021/12/23,26307
2021/12/24,26342
2021/12/25,25378
2021/12/26,22348
2021/12/27,22224
2021/12/28,22981
2021/12/29,22727
2021/12/30,24320
2021/12/31,24865
2022/01/01,27608
2022/01/02,19951
2022/01/03,20080
2022/01/04,21527
2022/01/05,22558
2022/01/06,21854
2022/01/07,21558
2022/01/08,20853
2022/01/09,16493
2022/01/10,15235
2022/01/11,12309
2022/01/12,15453
2022/01/13,13938
2022/01/14,12491
2022/01/15,10601
2022/01/16,9612
2022/01/17,9775
2022/01/18,11116
2022/01/19,13328
2022/01/20,14774
2022/01/21,11887
2022/01/22,10009
2022/01/23,9326
2022/01/24,9918
2022/01/25,10810
2022/01/26,12727
2022/01/27,11694
2022/01/28,11306
2022/01/29,9581
2022/01/30,8411
2022/01/31,128076
2022/02/01,18514
2022/02/02,11076
2022/02/03,10910
2022/02/04,10851
2022/02/05,8295
2022/02/06,6918
2022/02/07,6826
2022/02/08,8009
2022/02/09,8902
2022/02/10,7933
2022/02/11,7102
2022/02/12,5775
2022/02/13,4864
2022/02/14,4347
2022/02/15,5174
2022/02/16,6153
2022/02/17,5921
2022/02/18,5582
2022/02/19,4821
2022/02/20,3382
2022/02/21,4971
2022/02/22,4856
2022/02/23,4890
2022/02/24,4434
2022/02/25,3929
2022/02/26,0
2022/02/27,0
2022/02/28,9130
2022/03/01,3950
2022/03/02,4917
2022/03/03,4900
2022/03/04,4959
2022/03/05,0
2022/03/06,0
2022/03/07,14043
2022/03/08,5951
2022/03/09,6706
2022/03/10,7479
2022/03/11,7412
2022/03/12,0
2022/03/13,0
2022/03/14,21163
2022/03/15,7660
2022/03/16,9644
2022/03/17,9490
