Datas,Seul
01/08/2021,191
01/09/2021,188
01/10/2021,187
01/11/2021,141
01/12/2021,167
01/13/2021,152
01/14/2021,134
01/15/2021,127
01/16/2021,156
01/17/2021,145
01/18/2021,132
01/19/2021,101
01/20/2021,143
01/21/2021,125
01/22/2021,115
01/23/2021,127
01/24/2021,133
01/25/2021,101
01/26/2021,104
01/27/2021,129
01/28/2021,105
01/29/2021,112
01/30/2021,152
01/31/2021,100
02/01/2021,107
02/02/2021,128
02/03/2021,188
02/04/2021,172
02/05/2021,126
02/06/2021,143
02/07/2021,144
02/08/2021,112
02/09/2021,90
02/10/2021,175
02/11/2021,183
02/12/2021,158
02/13/2021,136
02/14/2021,152
02/15/2021,150
02/16/2021,161
02/17/2021,258
02/18/2021,185
02/19/2021,180
02/20/2021,123
02/21/2021,130
02/22/2021,106
02/23/2021,125
02/24/2021,144
02/25/2021,122
02/26/2021,131
02/27/2021,131
02/28/2021,120
03/01/2021,92
03/02/2021,122
03/03/2021,119
03/04/2021,118
03/05/2021,129
03/06/2021,128
03/07/2021,132
03/08/2021,100
03/09/2021,102
03/10/2021,138
03/11/2021,138
03/12/2021,140
03/13/2021,140
03/14/2021,112
03/15/2021,109
03/16/2021,79
03/17/2021,120
03/18/2021,124
03/19/2021,146
03/20/2021,115
03/21/2021,125
03/22/2021,109
03/23/2021,97
03/24/2021,137
03/25/2021,127
03/26/2021,121
03/27/2021,127
03/28/2021,138
03/29/2021,107
03/30/2021,145
03/31/2021,158
04/01/2021,199
04/02/2021,166
04/03/2021,155
04/04/2021,149
04/05/2021,152
04/06/2021,147
04/07/2021,198
04/08/2021,244
04/09/2021,215
04/10/2021,201
04/11/2021,214
04/12/2021,162
04/13/2021,158
04/14/2021,247
04/15/2021,217
04/16/2021,216
04/17/2021,217
04/18/2021,204
04/19/2021,137
04/20/2021,148
04/21/2021,218
04/22/2021,230
04/23/2021,204
04/24/2021,253
04/25/2021,175
04/26/2021,154
04/27/2021,116
04/28/2021,257
04/29/2021,227
04/30/2021,227
05/01/2021,195
05/02/2021,182
05/03/2021,127
05/04/2021,184
05/05/2021,238
05/06/2021,212
05/07/2021,179
05/08/2021,242
05/09/2021,195
05/10/2021,141
05/11/2021,163
05/12/2021,222
05/13/2021,227
05/14/2021,231
05/15/2021,254
05/16/2021,213
05/17/2021,195
05/18/2021,172
05/19/2021,249
05/20/2021,242
05/21/2021,172
05/22/2021,208
05/23/2021,181
05/24/2021,139
05/25/2021,138
05/26/2021,261
05/27/2021,218
05/28/2021,214
05/29/2021,194
05/30/2021,160
05/31/2021,130
06/01/2021,147
06/02/2021,258
06/03/2021,215
06/04/2021,206
06/05/2021,277
06/06/2021,179
06/07/2021,159
06/08/2021,139
06/09/2021,183
06/10/2021,212
06/11/2021,204
06/12/2021,208
06/13/2021,176
06/14/2021,122
06/15/2021,131
06/16/2021,201
06/17/2021,201
06/18/2021,200
06/19/2021,197
06/20/2021,165
06/21/2021,134
06/22/2021,131
06/23/2021,236
06/24/2021,252
06/25/2021,269
06/26/2021,263
06/27/2021,242
06/28/2021,185
06/29/2021,205
06/30/2021,375
07/01/2021,333
07/02/2021,346
07/03/2021,359
07/04/2021,289
07/05/2021,307
07/06/2021,320
07/07/2021,582
07/08/2021,550
07/09/2021,503
07/10/2021,509
07/11/2021,509
07/12/2021,403
07/13/2021,417
07/14/2021,637
07/15/2021,519
07/16/2021,569
07/17/2021,559
07/18/2021,522
07/19/2021,419
07/20/2021,394
07/21/2021,604
07/22/2021,499
07/23/2021,519
07/24/2021,465
07/25/2021,489
07/26/2021,341
07/27/2021,351
07/28/2021,573
07/29/2021,514
07/30/2021,488
07/31/2021,475
08/01/2021,473
08/02/2021,364
08/03/2021,311
08/04/2021,486
08/05/2021,466
08/06/2021,464
08/07/2021,503
08/08/2021,450
08/09/2021,415
08/10/2021,359
08/11/2021,660
08/12/2021,526
08/13/2021,524
08/14/2021,513
