Datas,Incheon
05/27/2020,11
05/28/2020,22
05/29/2020,18
05/30/2020,5
05/31/2020,3
06/01/2020,18
06/02/2020,9
06/03/2020,16
06/04/2020,7
06/05/2020,6
06/06/2020,11
06/07/2020,6
06/08/2020,4
06/09/2020,3
06/10/2020,8
06/11/2020,6
06/12/2020,1
06/13/2020,1
06/14/2020,8
06/15/2020,8
06/16/2020,2
06/17/2020,2
06/18/2020,1
06/19/2020,0
06/20/2020,5
06/21/2020,0
06/22/2020,1
06/23/2020,1
06/24/2020,3
06/25/2020,1
06/26/2020,2
06/27/2020,1
06/28/2020,0
06/29/2020,1
06/30/2020,3
07/01/2020,2
07/02/2020,0
07/03/2020,1
07/04/2020,2
07/05/2020,0
07/06/2020,6
07/07/2020,2
07/08/2020,1
07/09/2020,3
07/10/2020,1
07/11/2020,1
07/12/2020,0
07/13/2020,3
07/14/2020,0
07/15/2020,1
07/16/2020,3
07/17/2020,0
07/18/2020,2
07/19/2020,1
07/20/2020,2
07/21/2020,0
07/22/2020,5
07/23/2020,3
07/24/2020,0
07/25/2020,0
07/26/2020,0
07/27/2020,0
07/28/2020,0
07/29/2020,3
07/30/2020,0
07/31/2020,0
08/01/2020,1
08/02/2020,0
08/03/2020,0
08/04/2020,1
08/05/2020,1
08/06/2020,0
08/07/2020,0
08/08/2020,2
08/09/2020,1
08/10/2020,0
08/11/2020,0
08/12/2020,0
08/13/2020,0
08/14/2020,4
08/15/2020,6
08/16/2020,9
08/17/2020,7
08/18/2020,18
08/19/2020,8
08/20/2020,10
08/21/2020,18
08/22/2020,21
08/23/2020,32
08/24/2020,20
08/25/2020,14
08/26/2020,27
08/27/2020,59
08/28/2020,27
08/29/2020,20
08/30/2020,13
08/31/2020,14
09/01/2020,22
09/02/2020,11
09/03/2020,16
09/04/2020,5
09/05/2020,14
09/06/2020,12
09/07/2020,1
09/08/2020,2
09/09/2020,1
09/10/2020,5
09/11/2020,8
09/12/2020,8
09/13/2020,3
09/14/2020,10
09/15/2020,9
09/16/2020,9
09/17/2020,7
09/18/2020,6
09/19/2020,11
09/20/2020,3
09/21/2020,2
09/22/2020,2
09/23/2020,5
09/24/2020,10
09/25/2020,3
09/26/2020,1
09/27/2020,9
09/28/2020,1
09/29/2020,0
09/30/2020,4
10/01/2020,3
10/02/2020,4
10/03/2020,7
10/04/2020,6
10/05/2020,5
10/06/2020,4
10/07/2020,6
10/08/2020,5
10/09/2020,0
10/10/2020,8
10/11/2020,1
10/12/2020,3
10/13/2020,0
10/14/2020,8
10/15/2020,11
10/16/2020,4
10/17/2020,2
10/18/2020,1
10/19/2020,5
10/20/2020,3
10/21/2020,6
10/22/2020,4
10/23/2020,5
10/24/2020,2
10/25/2020,0
10/26/2020,3
10/27/2020,2
10/28/2020,10
10/29/2020,5
10/30/2020,3
10/31/2020,3
11/01/2020,4
11/02/2020,2
11/03/2020,1
11/04/2020,4
11/05/2020,5
11/06/2020,0
11/07/2020,1
11/08/2020,3
11/09/2020,2
11/10/2020,3
11/11/2020,1
11/12/2020,2
11/13/2020,4
11/14/2020,1
11/15/2020,2
11/16/2020,10
11/17/2020,13
11/18/2020,12
11/19/2020,12
11/20/2020,30
11/21/2020,22
11/22/2020,27
11/23/2020,23
11/24/2020,17
11/25/2020,40
11/26/2020,18
11/27/2020,25
11/28/2020,25
11/29/2020,21
11/30/2020,34
12/01/2020,16
12/02/2020,23
12/03/2020,22
12/04/2020,17
12/05/2020,19
12/06/2020,42
12/07/2020,40
12/08/2020,25
12/09/2020,46
12/10/2020,37
12/11/2020,37
12/12/2020,42
12/13/2020,62
12/14/2020,36
12/15/2020,55
12/16/2020,67
12/17/2020,80
12/18/2020,65
12/19/2020,46
12/20/2020,62
12/21/2020,88
12/22/2020,45
12/23/2020,49
12/24/2020,53
12/25/2020,55
12/26/2020,55
12/27/2020,61
12/28/2020,46
12/29/2020,32
12/30/2020,48
12/31/2020,59
01/01/2021,65
01/02/2021,71
01/03/2021,48
01/04/2021,103
01/05/2021,49
01/06/2021,38
01/07/2021,41
01/08/2021,30
01/09/2021,49
01/10/2021,33
01/11/2021,22
01/12/2021,21
01/13/2021,22
01/14/2021,25
01/15/2021,24
01/16/2021,33
01/17/2021,35
01/18/2021,13
01/19/2021,19
01/20/2021,16
01/21/2021,23
01/22/2021,9
01/23/2021,12
01/24/2021,25
01/25/2021,14
01/26/2021,18
01/27/2021,20
01/28/2021,41
01/29/2021,19
01/30/2021,15
01/31/2021,21
02/01/2021,11
02/02/2021,8
02/03/2021,21
02/04/2021,44
02/05/2021,26
02/06/2021,25
02/07/2021,17
02/08/2021,18
02/09/2021,16
02/10/2021,20
02/11/2021,25
02/12/2021,43
02/13/2021,30
02/14/2021,19
02/15/2021,12
02/16/2021,21
02/17/2021,21
02/18/2021,17
02/19/2021,38
02/20/2021,37
02/21/2021,21
02/22/2021,19
02/23/2021,14
02/24/2021,18
02/25/2021,22
02/26/2021,15
02/27/2021,27
02/28/2021,13
03/01/2021,14
03/02/2021,11
03/03/2021,20
03/04/2021,18
03/05/2021,13
03/06/2021,20
03/07/2021,28
03/08/2021,15
03/09/2021,20
03/10/2021,23
03/11/2021,18
03/12/2021,31
03/13/2021,26
03/14/2021,20
03/15/2021,18
03/16/2021,14
03/17/2021,21
03/18/2021,21
03/19/2021,24
03/20/2021,12
03/21/2021,22
03/22/2021,10
03/23/2021,13
03/24/2021,21
03/25/2021,12
03/26/2021,29
03/27/2021,39
03/28/2021,33
03/29/2021,18
03/30/2021,18
03/31/2021,25
04/01/2021,20
04/02/2021,23
04/03/2021,21
04/04/2021,22
04/05/2021,22
04/06/2021,27
04/07/2021,48
04/08/2021,25
04/09/2021,45
04/10/2021,24
04/11/2021,17
04/12/2021,12
04/13/2021,16
04/14/2021,26
04/15/2021,17
04/16/2021,12
04/17/2021,23
04/18/2021,19
04/19/2021,11
04/20/2021,18
04/21/2021,15
04/22/2021,14
04/23/2021,10
04/24/2021,18
04/25/2021,15
04/26/2021,14
04/27/2021,14
04/28/2021,20
04/29/2021,25
04/30/2021,14
05/01/2021,13
05/02/2021,17
05/03/2021,15
05/04/2021,13
05/05/2021,16
05/06/2021,19
05/07/2021,14
05/08/2021,22
05/09/2021,11
05/10/2021,13
05/11/2021,21
05/12/2021,20
05/13/2021,17
05/14/2021,34
05/15/2021,16
05/16/2021,15
05/17/2021,14
05/18/2021,16
05/19/2021,23
05/20/2021,13
05/21/2021,12
05/22/2021,15
05/23/2021,12
05/24/2021,18
05/25/2021,11
05/26/2021,19
05/27/2021,30
05/28/2021,26
05/29/2021,18
05/30/2021,18
05/31/2021,12
06/01/2021,17
06/02/2021,20
06/03/2021,22
06/04/2021,10
06/05/2021,16
06/06/2021,23
06/07/2021,15
06/08/2021,13
06/09/2021,23
06/10/2021,22
06/11/2021,18
06/12/2021,20
06/13/2021,15
06/14/2021,14
06/15/2021,12
06/16/2021,12
06/17/2021,17
06/18/2021,22
06/19/2021,22
06/20/2021,22
06/21/2021,9
06/22/2021,18
06/23/2021,28
06/24/2021,15
06/25/2021,29
06/26/2021,12
06/27/2021,25
06/28/2021,31
06/29/2021,17
06/30/2021,30
07/01/2021,36
07/02/2021,22
07/03/2021,16
07/04/2021,33
07/05/2021,22
07/06/2021,23
07/07/2021,57
07/08/2021,64
07/09/2021,82
07/10/2021,84
07/11/2021,66
07/12/2021,56
07/13/2021,71
07/14/2021,96
07/15/2021,90
07/16/2021,97
07/17/2021,81
07/18/2021,83
07/19/2021,67
07/20/2021,71
07/21/2021,128
07/22/2021,130
07/23/2021,97
07/24/2021,84
07/25/2021,88
07/26/2021,71
07/27/2021,65
07/28/2021,102
07/29/2021,96
07/30/2021,119
07/31/2021,96
08/01/2021,89
08/02/2021,62
08/03/2021,48
08/04/2021,83
08/05/2021,90
08/06/2021,103
08/07/2021,90
08/08/2021,75
08/09/2021,65
08/10/2021,66
08/11/2021,111
08/12/2021,114
08/13/2021,97
08/14/2021,79
08/15/2021,100
08/16/2021,110
08/17/2021,78
08/18/2021,92
08/19/2021,153
08/20/2021,120
08/21/2021,92
08/22/2021,66
08/23/2021,78
08/24/2021,63
08/25/2021,119
08/26/2021,102
08/27/2021,97
08/28/2021,95
08/29/2021,93
08/30/2021,64
08/31/2021,73
09/01/2021,123
09/02/2021,123
09/03/2021,118
09/04/2021,98
09/05/2021,100
09/06/2021,83
09/07/2021,87
09/08/2021,120
09/09/2021,108
09/10/2021,120
09/11/2021,132
09/12/2021,148
09/13/2021,151
09/14/2021,124
09/15/2021,164
09/16/2021,137
09/17/2021,141
09/18/2021,147
09/19/2021,183
09/20/2021,96
09/21/2021,133
09/22/2021,148
09/23/2021,107
09/24/2021,140
09/25/2021,201
09/26/2021,173
09/27/2021,145
09/28/2021,123
09/29/2021,154
09/30/2021,148
10/01/2021,159
10/02/2021,116
10/03/2021,128
10/04/2021,120
10/05/2021,106
10/06/2021,133
10/07/2021,200
10/08/2021,128
10/09/2021,131
10/10/2021,95
10/11/2021,72
10/12/2021,81
10/13/2021,86
10/14/2021,142
10/15/2021,96
10/16/2021,103
10/17/2021,109
10/18/2021,85
10/19/2021,93
10/20/2021,109
10/21/2021,105
10/22/2021,121
10/23/2021,106
10/24/2021,103
10/25/2021,96
10/26/2021,74
10/27/2021,125
10/28/2021,137
10/29/2021,132
10/30/2021,123
10/31/2021,157
11/01/2021,127
11/02/2021,113
11/03/2021,183
11/04/2021,171
11/05/2021,152
11/06/2021,144
11/07/2021,161
11/08/2021,98
11/09/2021,111
11/10/2021,159
11/11/2021,187
11/12/2021,120
11/13/2021,166
11/14/2021,156
11/15/2021,102
11/16/2021,131
11/17/2021,159
11/18/2021,195
11/19/2021,188
11/20/2021,204
11/21/2021,206
11/22/2021,161
11/23/2021,131
11/24/2021,221
11/25/2021,260
11/26/2021,248
11/27/2021,288
11/28/2021,278
11/29/2021,233
11/30/2021,192
12/01/2021,326
12/02/2021,355
12/03/2021,307
12/04/2021,284
12/05/2021,337
12/06/2021,302
12/07/2021,251
12/08/2021,433
12/09/2021,497
12/10/2021,465
12/11/2021,464
12/12/2021,458
12/13/2021,389
12/14/2021,348
12/15/2021,476
12/16/2021,511
12/17/2021,572
12/18/2021,600
12/19/2021,493
12/20/2021,375
12/21/2021,383
12/22/2021,479
12/23/2021,422
12/24/2021,438
12/25/2021,400
12/26/2021,326
12/27/2021,234
12/28/2021,241
12/29/2021,314
12/30/2021,318
12/31/2021,304
01/01/2022,241
01/02/2022,233
01/03/2022,187
01/04/2022,171
01/05/2022,271
01/06/2022,282
01/07/2022,181
01/08/2022,203
01/09/2022,185
01/10/2022,125
01/11/2022,154
01/12/2022,262
01/13/2022,240
01/14/2022,266
01/15/2022,248
01/16/2022,259
01/17/2022,199
01/18/2022,196
01/19/2022,424
01/20/2022,418
01/21/2022,452
01/22/2022,570
01/23/2022,610
01/24/2022,582
01/25/2022,670
01/26/2022,879
01/27/2022,1026
01/28/2022,1244
01/29/2022,1613
01/30/2022,1316
01/31/2022,1225
02/01/2022,1381
02/02/2022,1400
02/03/2022,1535
02/04/2022,1781
02/05/2022,2500
02/06/2022,2238
02/07/2022,2376
02/08/2022,2982
02/09/2022,3930
02/10/2022,3995
02/11/2022,3745
02/12/2022,5068
02/13/2022,4474
02/14/2022,3578
02/15/2022,4899
02/16/2022,5821
02/17/2022,7236
02/18/2022,7343
02/19/2022,7816
02/20/2022,9189
02/21/2022,7364
02/22/2022,7772
02/23/2022,11056
02/24/2022,13862
02/25/2022,12847
02/26/2022,12113
02/27/2022,11132
02/28/2022,10740
03/01/2022,8956
03/02/2022,12103
03/03/2022,15964
03/04/2022,16682
03/05/2022,18838
03/06/2022,14859
03/07/2022,15324
03/08/2022,12606
03/09/2022,18826
03/10/2022,21974
03/11/2022,17457
03/12/2022,23737
03/13/2022,20236
03/14/2022,18239
03/15/2022,20443
03/16/2022,28454
03/17/2022,32964
03/18/2022,25795
03/19/2022,20838
03/20/2022,19148
03/21/2022,12085
03/22/2022,17567
03/23/2022,24940
03/24/2022,24691
03/25/2022,21773
03/26/2022,16781
03/27/2022,21559
03/28/2022,11721
03/29/2022,18820
03/30/2022,23257
03/31/2022,18124
04/01/2022,14795
04/02/2022,14282
04/03/2022,13391
04/04/2022,5545
04/05/2022,15352
04/06/2022,14845
04/07/2022,11270
04/08/2022,10557
04/09/2022,9757
04/10/2022,8593
04/11/2022,4385
04/12/2022,11647
04/13/2022,9664
04/14/2022,7629
04/15/2022,6689
04/16/2022,5604
04/17/2022,4874
04/18/2022,2485
04/19/2022,6668
04/20/2022,5434
04/21/2022,4667
04/22/2022,4097
04/23/2022,3669
04/24/2022,3312
04/25/2022,1656
04/26/2022,4280
04/27/2022,3621
04/28/2022,2843
04/29/2022,2254
04/30/2022,1958
05/01/2022,1757
05/02/2022,911
05/03/2022,2605
05/04/2022,2165
05/05/2022,2017
05/06/2022,1164
05/07/2022,2021
05/08/2022,1707
05/09/2022,922
05/10/2022,2554
05/11/2022,2175
05/12/2022,1684
05/13/2022,1512
05/14/2022,1413
05/15/2022,1158
05/16/2022,607
05/17/2022,1723
05/18/2022,1395
05/19/2022,1336
05/20/2022,1148
05/21/2022,1064
05/22/2022,799
05/23/2022,392
05/24/2022,1055
05/25/2022,997
05/26/2022,756
05/27/2022,591
05/28/2022,637
05/29/2022,431
05/30/2022,275
05/31/2022,676
06/01/2022,537
06/02/2022,378
06/03/2022,444
06/04/2022,531
06/05/2022,413
06/06/2022,191
06/07/2022,249
06/08/2022,533
06/09/2022,409
06/10/2022,388
06/11/2022,336
06/12/2022,277
06/13/2022,121
06/14/2022,590
06/15/2022,397
06/16/2022,334
06/17/2022,289
06/18/2022,256
06/19/2022,278
06/20/2022,221
06/21/2022,477
06/22/2022,402
06/23/2022,371
06/24/2022,365
06/25/2022,330
06/26/2022,370
06/27/2022,202
06/28/2022,497
06/29/2022,615
06/30/2022,505
07/01/2022,465
07/02/2022,524
07/03/2022,563
07/04/2022,345
07/05/2022,974
07/06/2022,1067
07/07/2022,979
07/08/2022,972
07/09/2022,1060
07/10/2022,926
07/11/2022,631
07/12/2022,1910
07/13/2022,2087
07/14/2022,1953
07/15/2022,2091
07/16/2022,2125
07/17/2022,2092
07/18/2022,1937
07/19/2022,4227
07/20/2022,4399
07/21/2022,3930
07/22/2022,3707
07/23/2022,3756
07/24/2022,3469
07/25/2022,1944
07/26/2022,5350
07/27/2022,5308
07/28/2022,4840
07/29/2022,4374
07/30/2022,4114
07/31/2022,3949
08/01/2022,2455
08/02/2022,5741
08/03/2022,6260
08/04/2022,5536
08/05/2022,5900
08/06/2022,5590
08/07/2022,5618
08/08/2022,2785
08/09/2022,7763
08/10/2022,7707
08/11/2022,6679
08/12/2022,7000
08/13/2022,6095
08/14/2022,6062
08/15/2022,2978
08/16/2022,4204
08/17/2022,9109
08/18/2022,9210
08/19/2022,6739
08/20/2022,6247
08/21/2022,5425
08/22/2022,3111
08/23/2022,8189
08/24/2022,7094
08/25/2022,5794
08/26/2022,5421
08/27/2022,4813
08/28/2022,4332
08/29/2022,2581
08/30/2022,6475
08/31/2022,5303
09/01/2022,4461
09/02/2022,5171
09/03/2022,4501
09/04/2022,3974
09/05/2022,2374
09/06/2022,5984
09/07/2022,4791
09/08/2022,4240
09/09/2022,4104
09/10/2022,2298
09/11/2022,1673
09/12/2022,2223
09/13/2022,3401
09/14/2022,5544
09/15/2022,4261
09/16/2022,3121
09/17/2022,2601
09/18/2022,2076
09/19/2022,1378
09/20/2022,3073
09/21/2022,2494
09/22/2022,2070
09/23/2022,1773
09/24/2022,1779
09/25/2022,1708
09/26/2022,925
09/27/2022,2480
09/28/2022,2087
09/29/2022,1857
09/30/2022,1747
10/01/2022,1567
10/02/2022,1340
10/03/2022,785
10/04/2022,888
10/05/2022,2095
10/06/2022,1603
10/07/2022,1300
10/08/2022,1062
10/09/2022,981
10/10/2022,570
10/11/2022,941
10/12/2022,1871
10/13/2022,1658
10/14/2022,1409
10/15/2022,1395
10/16/2022,1286
10/17/2022,717
10/18/2022,2180
10/19/2022,1815
10/20/2022,1542
10/21/2022,1598
10/22/2022,1697
10/23/2022,1660
10/24/2022,937
10/25/2022,2640
10/26/2022,2532
10/27/2022,2217
10/28/2022,2313
10/29/2022,2324
10/30/2022,2208
10/31/2022,1188
11/01/2022,3746
11/02/2022,3303
11/03/2022,2872
11/04/2022,2631
11/05/2022,2409
11/06/2022,2062
11/07/2022,1171
11/08/2022,3900
11/09/2022,3861
11/10/2022,3252
11/11/2022,3602
11/12/2022,3237
11/13/2022,2846
11/14/2022,1406
11/15/2022,4451
11/16/2022,3825
11/17/2022,3312
11/18/2022,2868
11/19/2022,2879
11/20/2022,2791
11/21/2022,1421
11/22/2022,4520
11/23/2022,3911
11/24/2022,3558
11/25/2022,3100
11/26/2022,3133
11/27/2022,2616
11/28/2022,1414
11/29/2022,4169
11/30/2022,3941
12/01/2022,3377
12/02/2022,3089
